E13B4_1	E13B4_2	E13B4_3	E13B5_1	E13B5_2	E13B5_3	E13H1a_1	E13H1a_2	E13H1a_3	E13H1b_1	E13H1b_2	E13H1b_3	E13H1c_1	E13H1c_2	E13H1c_3	E13H1d_1	E13H1d_2	E13H1d_3	E13H1e_1	E13H1e_2	E13H1e_3	E13L1_1	E13L1_2	E13L1_3	E13N1_1	E13N1_2	E13N1_3	E13N2_1	E13N2_2	E13N2_3	E13OLa_1	E13OLa_2	E13OLa_3	E13OLb_1	E13OLb_2	E13OLb_3	E13OLc_1	E13OLc_2	E13OLc_3	E13OLd_1	E13OLd_2	E13OLd_3	E13OLe_1	E13OLe_2	E13OLe_3	E13ORa_1	E13ORa_2	E13ORa_3	E13ORb_1	E13ORb_2	E13ORb_3	E13ORc_1	E13ORc_2	E13ORc_3	E13ORd_1	E13ORd_2	E13ORd_3	E13P1_1	E13P1_2	E13P1_3	E13P2_1	E13P2_2	E13P2_3	E13P3_1	E13P3_2	E13P3_3	E13P4_1	E13P4_2	E13P4_3	E13P5_1	E13P5_2	E13P5_3	E13P6_1	E13P6_2	E13P6_3	E13P7_1	E13P7_2	E13P7_3	E13P8_1	E13P9_1	E13P9_2	E13P9_3	E13X1_1	E13X1_2	E13X1_3	E13X2_1	E13X2_2	E13X2_3	E13X3_1	E13X3_2	E13X3_3
156	108	102	0	0	80	226	117	215	0	0	58	401	222	374	278	213	406	153	159	363	336	426	779	76	65	0	72	0	80	102	88	114	170	159	231	203	129	272	177	134	359	246	264	274	160	75	166	129	81	173	258	151	181	139	100	209	129	127	0	132	125	58	136	116	0	272	118	0	112	77	54	98	62	0	67	85	0	91	206	145	290	142	79	0	109	0	58	54	0	0
616	340	441	55	73	179	905	533	883	126	115	233	1872	750	1302	1041	763	1372	605	691	1056	1383	1342	2334	210	185	100	170	87	213	501	428	581	721	534	902	806	551	999	784	525	1165	1039	1137	953	615	463	598	449	262	555	977	683	726	529	489	881	502	465	201	531	442	210	512	424	223	815	580	159	413	213	178	308	212	118	260	229	80	235	684	428	960	510	265	156	317	163	156	115	66	100
1745	1172	1293	186	186	483	2616	1691	2432	464	398	683	5327	2520	3981	2904	2314	4025	2062	1965	2765	4119	4032	7265	680	565	342	443	247	460	1385	1342	1614	2113	1793	2413	2391	1485	3008	2102	1457	3210	2962	3075	2902	1630	1301	1992	1292	776	1840	2656	1873	2169	1510	1339	2304	1596	1151	502	1492	1222	641	1367	1195	601	2251	1537	379	1032	675	527	1075	672	331	781	672	222	786	2000	1561	2470	1526	751	516	852	592	385	330	245	245
4660	3310	3814	570	540	991	7826	5046	6884	1216	1255	1857	14745	7157	10774	8478	6376	11213	5781	5769	7190	7484	7715	12946	1520	1428	1146	1035	644	1130	4256	4215	4814	5960	4925	6769	6013	4650	8175	6377	4282	8984	8345	9242	8182	4600	3784	5520	3607	2322	4912	7300	5615	6086	4418	4000	6342	3874	3135	1392	4076	3308	1746	3702	3280	1536	5454	4242	1077	2639	1924	1450	2417	1697	656	2138	1883	644	1792	4879	3565	6136	3988	2169	1596	2245	1860	1141	836	705	716
7754	5427	6275	899	943	1530	13015	8448	11773	2070	2112	3066	23580	11800	17482	13972	10214	17806	9562	9522	11277	8453	8721	14540	2690	2561	1925	1820	1173	1778	6980	7227	8135	9774	8243	11135	10447	7755	13916	10631	7271	14594	13838	15191	13289	7314	6318	9008	5746	3873	8169	11802	9182	9861	7294	6624	10385	6121	4890	2260	6206	5025	2716	5460	4799	2309	7940	6490	1675	4218	3137	2383	3611	2474	888	3478	3074	966	2622	7160	4959	9016	6266	3464	2485	3745	3204	1887	1524	1336	1253
9305	6247	7481	1013	1107	1675	15557	10532	13874	2430	2537	3603	27009	13435	19405	15964	11905	20171	11166	10748	13107	6864	7051	11988	3582	3387	2436	2273	1509	2040	8520	8760	9528	11356	9851	12954	12848	9263	16637	12509	8713	17339	16098	17523	15585	8221	7114	10491	6953	4652	9707	13503	10654	11581	8669	7888	11836	6694	5310	2472	6784	5383	3026	5406	4799	2381	8334	7040	1819	4629	3597	2654	3749	2626	820	3990	3548	1088	2734	7444	4856	9088	7132	3993	2760	4567	3983	2323	2021	1728	1582
7256	4847	5813	781	926	1422	13342	8873	11541	1920	2029	2838	21325	10172	15289	12475	9644	16254	8735	8424	10128	5024	5168	9098	3492	3269	2290	2167	1472	1979	7459	7387	8302	8757	7923	10159	10922	8293	14460	10683	7365	15498	12512	13803	12606	6307	5339	8174	5589	3806	7648	10937	8353	9237	6935	6405	9844	5042	4004	1839	5006	4020	2247	3612	3245	1643	5929	4965	1256	3588	2869	2097	2750	1913	547	3200	2801	787	1919	5149	3192	6147	5672	3282	2183	4088	3603	2097	1966	1748	1480
2652	1634	1902	287	362	607	5052	3341	4690	545	618	968	6567	3131	5081	4013	3252	5452	3003	2811	3486	2069	2026	3614	2197	2071	1371	1401	905	1267	3070	3152	3431	2908	2707	3370	5133	3899	7049	5085	3510	7442	4173	4153	4113	1987	1550	2479	1802	1244	2509	3607	2645	2951	2577	2364	3484	2049	1547	789	2110	1624	935	1224	1163	663	2118	1774	432	1372	1209	829	1061	705	153	1067	1001	202	614	1579	912	1779	2436	1446	718	2259	1888	1022	1202	1060	883
769	463	550	113	68	220	1595	918	1456	126	67	245	1735	824	1237	1162	785	1261	640	761	999	827	841	1570	875	764	617	521	342	601	951	852	1108	670	557	842	1778	1255	2237	1632	1040	2686	890	1055	883	513	342	546	384	179	566	908	685	642	698	496	964	752	493	263	809	639	314	595	397	165	952	562	124	517	365	273	396	245	95	323	237	86	175	497	310	612	749	413	262	814	716	356	453	380	395
128	87	125	0	0	0	301	178	271	0	0	0	339	147	258	162	126	300	147	153	161	237	220	410	195	137	182	131	83	169	155	157	200	152	118	146	389	230	515	372	211	547	173	172	177	96	57	102	63	0	144	193	126	136	122	138	223	160	71	0	160	110	95	136	75	0	187	146	0	89	0	74	127	0	0	0	0	0	62	135	80	68	121	0	0	215	171	0	114	66	126
