E13B4_1	E13B4_2	E13B4_3	E13B5_1	E13B5_2	E13B5_3	E13H1a_1	E13H1a_2	E13H1a_3	E13H1b_1	E13H1b_2	E13H1b_3	E13H1c_2	E13H1c_3	E13H1d_1	E13H1d_2	E13H1d_3	E13H1e_1	E13H1e_2	E13H1e_3	E13L1_1	E13L1_2	E13L1_3	E13N1_1	E13N1_2	E13N1_3	E13N2_1	E13N2_2	E13N2_3	E13OLa_1	E13OLa_2	E13OLa_3	E13OLb_1	E13OLb_2	E13OLb_3	E13OLc_1	E13OLc_2	E13OLc_3	E13OLd_1	E13OLd_2	E13OLd_3	E13OLe_1	E13OLe_2	E13OLe_3	E13ORa_1	E13ORa_2	E13ORa_3	E13ORb_1	E13ORb_2	E13ORb_3	E13ORc_1	E13ORc_2	E13ORc_3	E13ORd_1	E13ORd_2	E13ORd_3	E13P1_1	E13P1_2	E13P1_3	E13P2_1	E13P2_2	E13P2_3	E13P3_1	E13P3_2	E13P3_3	E13P4_1	E13P4_2	E13P4_3	E13P5_1	E13P5_2	E13P5_3	E13P6_1	E13P6_2	E13P6_3	E13P7_1	E13P7_2	E13P7_3	E13P8_1	E13P8_3	E13P9_1	E13P9_2	E13P9_3	E13X1_1	E13X1_2	E13X1_3	E13X2_1	E13X2_2	E13X2_3	E13X3_1	E13X3_2
177	159	99	99	97	61	217	194	170	37	108	88	258	256	315	240	280	214	252	379	167	211	180	258	297	109	206	152	169	0	62	53	145	185	191	241	228	299	293	208	328	199	260	191	207	222	286	105	103	145	374	468	329	225	257	205	203	159	68	257	196	85	127	136	57	167	181	0	135	197	83	188	147	0	235	143	0	93	65	249	135	260	181	135	75	109	91	0	93	52
489	371	282	234	173	148	648	604	484	155	217	185	710	831	783	646	600	687	698	783	476	472	460	602	692	276	564	383	397	84	159	119	433	435	437	628	621	610	751	505	787	531	712	601	499	556	606	288	237	367	1085	1164	928	561	576	587	511	461	164	556	540	209	337	366	134	398	397	71	386	444	201	494	324	42	543	415	67	295	105	572	432	701	396	311	174	305	245	40	205	94
992	809	669	461	351	254	1674	1369	1267	474	461	417	1993	1929	1883	1695	1464	1632	1734	1815	1098	1192	1099	1471	1717	585	1268	969	1028	209	375	332	1064	1115	1189	1692	1492	1664	1906	1321	1866	1299	1908	1432	1161	1310	1508	653	534	829	2338	2544	2231	1385	1432	1271	1280	1014	355	1203	1258	480	814	847	305	1108	1101	195	812	931	508	1142	737	137	1065	955	227	650	203	1480	1078	1529	952	700	355	719	590	128	446	278
2213	1727	1503	834	616	503	3578	2918	2730	990	946	924	4187	4068	4399	3552	3067	3491	3763	3783	2306	2729	2216	3399	3973	1201	2599	2097	1957	487	776	708	2200	2425	2593	3320	3190	3775	4139	3003	4294	2770	4199	3006	2441	2866	3389	1322	1029	1646	4406	5095	4065	2946	3028	2620	2528	2199	737	2552	2599	996	1749	1826	656	2619	2500	423	1638	1771	1032	2214	1623	364	2177	1933	505	1261	296	3004	2215	3104	1945	1534	622	1474	1376	311	866	614
4055	4014	2840	1714	1086	1061	7572	6558	5065	1959	2198	1716	8875	8095	9650	7094	5611	7478	7720	6389	4628	5457	4884	7747	8659	2508	5328	4431	3454	981	1595	1548	4656	5592	5019	7045	7341	7285	8699	6201	8609	6046	8529	6548	5415	6773	6573	2650	2184	3615	8603	10746	7988	5944	6238	5197	5281	5007	1581	5409	5235	2088	3328	3652	1327	5133	5243	1000	3534	3527	2045	4230	3630	953	3954	4107	1227	2603	643	5823	4972	6577	4425	2970	1039	2883	3248	679	1575	1309
7018	6888	5031	2629	1778	1718	13163	11517	8934	3139	3757	3023	15376	13682	17322	12859	9753	12742	13193	10604	8100	9630	8449	13698	15695	4361	9736	8377	6405	1795	2942	2682	8254	10028	9122	13076	13288	13113	16279	11122	15112	10979	15691	11836	9442	12124	11806	4628	3932	6488	12539	16281	11841	9589	10025	8673	9123	9021	2875	9416	9483	3694	5750	6598	2471	9268	9689	1867	6022	6351	3579	7169	6347	1631	6590	7413	2139	4533	1063	10053	8896	11452	7737	5261	1547	5234	6019	1199	2701	2420
9014	8711	6428	3039	2153	2149	16463	14666	11219	3822	4743	3952	18666	16502	21772	16394	12859	15386	15921	12660	9942	12016	10570	17479	20355	5483	12803	11245	8368	2244	3704	3293	10635	12880	11747	17030	17187	16582	21195	14306	19481	14257	20370	15049	12164	15541	15078	5922	5114	8499	14173	18487	13029	11397	11796	10334	11678	11400	3680	12073	11999	4760	7174	8485	3242	11609	12496	2351	7672	8289	4561	9197	8146	2060	8126	9510	2634	5827	1301	12372	11377	14629	9853	6661	1745	6578	7705	1436	3377	3230
7787	7398	5511	2395	1824	1800	13911	12453	9689	3155	4068	3502	15466	13965	18873	14153	11595	12825	13228	10461	8314	10108	9186	15503	17727	4840	11479	9906	7472	1807	3053	2759	9167	11107	10211	14802	14713	14706	18091	12607	17062	12411	17459	13373	10597	13468	13123	5219	4563	7385	11290	14384	9959	9372	9574	8644	10095	9836	3314	10370	10072	4103	6147	7470	2896	10081	10891	2078	6540	7260	3944	7934	6915	1698	7000	8236	2252	5036	1075	10521	9852	12855	8537	5690	1416	5769	6600	1186	2862	2774
3428	3165	2398	887	700	724	6207	5467	4581	1321	1751	1482	6614	6251	8460	6010	5458	5615	5618	4645	3552	4330	4190	7771	8220	2225	5564	4609	3613	701	1244	1176	4285	5021	4710	6385	6607	7039	8281	5548	8119	5828	7404	6149	4983	6157	5890	2511	2243	3267	4619	5301	3675	4046	3941	3765	4396	4402	1539	4730	4256	1847	2619	3402	1391	4423	4776	922	2981	3229	1739	3642	3018	702	3277	3856	927	2222	474	4742	4137	5953	4070	2581	612	2738	2817	463	1321	1184
943	823	644	216	126	146	1503	1257	1198	330	468	369	1801	1898	2154	1388	1417	1327	1350	1382	866	990	1051	1654	1955	602	1173	939	941	113	252	349	1041	1077	1132	1548	1568	1877	1946	1244	2125	1304	1643	1349	1328	1307	1431	700	325	867	1334	1265	1038	992	845	957	1295	1043	285	1248	973	485	576	796	259	1148	1109	224	793	604	390	1056	720	173	906	905	296	584	127	1136	990	1729	780	565	233	737	685	108	257	214
