E13B4_1	E13B4_2	E13B4_3	E13B5_1	E13B5_2	E13B5_3	E13H1a_1	E13H1a_2	E13H1a_3	E13H1b_1	E13H1b_2	E13H1b_3	E13H1c_1	E13H1c_2	E13H1c_3	E13H1d_1	E13H1d_2	E13H1d_3	E13H1e_1	E13H1e_2	E13H1e_3	E13L1_1	E13L1_2	E13L1_3	E13N1_1	E13N1_2	E13N1_3	E13N2_1	E13N2_2	E13N2_3	E13OLa_1	E13OLa_2	E13OLb_1	E13OLb_2	E13OLb_3	E13OLc_1	E13OLc_2	E13OLc_3	E13OLd_1	E13OLd_2	E13OLd_3	E13OLe_1	E13OLe_2	E13OLe_3	E13ORa_1	E13ORa_2	E13ORa_3	E13ORb_1	E13ORb_2	E13ORb_3	E13ORc_1	E13ORc_2	E13ORc_3	E13ORd_1	E13ORd_2	E13ORd_3	E13P1_1	E13P1_2	E13P1_3	E13P2_1	E13P2_2	E13P2_3	E13P5_1	E13P5_2	E13P5_3	E13P7_1	E13P7_2	E13P7_3	E13P8_1	E13P8_2	E13P8_3	E13P9_1	E13P9_2	E13P9_3	E13X1_1	E13X1_2	E13X1_3
734	456	582	285	251	717	558	387	1004	591	384	806	368	349	993	650	847	1583	294	452	851	416	325	547	242	223	322	312	190	131	134	109	210	357	585	221	290	699	345	326	448	558	396	446	576	545	772	994	580	718	502	538	531	355	378	946	251	270	546	334	207	465	387	292	534	534	405	475	424	376	334	282	256	737	232	344	472
1552	1009	1195	728	606	1443	1105	845	2270	1221	877	1700	900	861	2124	1266	1576	3046	694	1029	1665	783	756	1101	260	174	373	323	138	71	216	222	440	605	1430	461	731	1558	815	634	1021	1160	929	1081	1213	1109	1432	2142	1134	1489	1120	1073	1059	766	903	1890	614	615	1287	755	557	1025	841	644	999	1184	896	1013	897	719	721	584	693	1814	519	640	975
3120	1948	2313	1329	1245	2945	2391	1724	4242	2254	1748	3309	1974	1895	4143	2861	3376	5876	1288	2137	3196	1660	1447	2253	304	207	434	324	155	0	492	423	910	1229	2636	968	1423	2944	1692	1315	2090	2143	1959	2062	2477	1998	2631	4047	2063	2989	2254	2116	2188	1623	1834	3922	1242	1165	2498	1548	1083	2075	1639	1191	1883	2233	1648	2114	1659	1432	1561	1154	1278	3422	1076	1404	1964
5991	4374	5114	2904	2527	5505	5404	4214	9307	4944	4123	6538	4407	4229	9357	5722	6728	10927	2967	5026	7065	3816	3127	4618	396	277	519	424	245	65	899	856	1882	2775	5523	2250	3141	6638	3461	2695	4391	4748	4455	4691	5147	4739	5876	8458	4787	6300	4797	4748	4951	3524	4125	8169	2645	2447	4889	3038	2158	4350	3244	2564	4385	4269	3558	4549	3609	3197	3195	2385	2718	6496	2152	3148	4073
10298	7335	8223	5153	4485	9583	8751	6886	15119	8075	6767	10145	7145	6963	15096	9644	11355	18101	5038	8181	11852	6475	5307	7427	685	547	727	824	463	0	1475	1434	3081	4750	8813	3878	5699	10894	6057	5095	7742	8464	7500	7802	8249	8062	9417	13592	8161	9907	7760	7989	8103	5809	6877	13291	4703	4771	9078	5298	4017	7623	5430	4547	7212	7149	6310	7235	6016	5478	5503	4421	4753	11081	3594	5143	6495
13829	9847	10472	6555	5959	12930	10907	8673	17573	10059	8388	11974	8975	8917	18731	8636	10411	15859	6556	10413	15391	8030	6755	9206	1270	906	1432	1378	865	150	1874	2008	3925	6129	11089	5209	7795	13967	8063	7090	10231	11014	9842	9992	10299	10167	11516	17125	10572	11888	10286	10437	9805	7432	8732	16145	6433	6645	12540	7167	5652	10185	7137	5857	8920	9652	8205	8824	8092	7219	6856	5962	6738	14787	4538	6250	7514
10576	7466	7515	5573	5264	9998	7491	5758	10877	6858	5580	7226	6174	6263	12301	6758	8110	12120	4624	7487	10473	6276	5310	6890	2111	1709	2297	2503	1545	344	1629	1546	2866	4607	7869	4221	6232	10357	6973	5879	8251	8202	7071	6982	7289	7765	7286	12292	7723	7698	7393	7692	6843	5604	6203	11319	5488	5736	10305	6253	4871	8568	5402	4817	6740	7759	6796	6532	6180	5397	5434	4807	5468	11774	3546	4588	5693
4055	2913	2299	3338	3168	6090	2778	1772	2864	2391	1883	1967	2300	1997	3356	3057	3422	4789	1971	2848	3710	1916	1522	1783	2757	2400	3223	3678	2120	459	784	959	1075	1879	2829	2099	3199	4309	3993	3215	4284	3079	2279	1964	2994	2880	2131	4514	2942	1846	3043	3206	1971	2459	2308	3942	3300	3459	6876	3682	3020	4856	2742	2464	2866	3790	3700	2705	3412	2751	2463	2607	3228	6207	2077	1916	2455
2119	1616	1338	2721	2466	5097	2009	1408	2083	1904	1367	1502	1527	1338	2325	2096	2502	3465	1357	1884	2774	1539	1297	1631	3937	3304	4330	5105	2991	1443	469	450	483	832	1352	1706	2321	3260	2939	2376	3223	1481	996	845	1445	1568	1127	2292	1412	1130	1693	1650	1081	1271	1312	2429	2361	2448	5208	2720	2267	3730	2192	1904	2367	2437	2461	1997	2317	1808	1743	1611	1859	4037	1486	1422	1977
1683	1353	1000	2426	2234	4267	1966	1353	2133	1794	1253	1628	1429	1269	2220	2015	2279	3501	1245	1902	2900	1681	1295	1572	4162	3632	4397	5226	3170	2349	406	427	372	552	1099	1631	2086	2968	2525	2073	2933	1081	735	554	910	1100	965	1598	931	773	1559	1650	1026	1191	1225	2088	2197	2383	4836	2688	2087	3434	2046	1802	2225	2328	2042	1683	2107	1602	1623	1395	1710	3318	1451	1427	1857
1940	1418	1273	2259	2160	4206	2827	2024	3350	2448	1848	2335	2119	1949	3474	2397	3074	4377	1631	2645	3841	2460	1976	2571	4685	4160	6052	5619	3356	2247	404	412	446	671	1379	1753	2172	3529	2557	2155	3029	1139	1007	835	1057	1245	1075	1914	1065	1015	2118	2052	1571	1518	1683	2965	2380	2582	5102	2919	2047	3829	2463	2256	2857	2628	2358	2135	2442	1843	2072	1693	1896	3862	1636	1818	2533
2494	1925	1636	2851	2572	5041	4121	2896	4694	3526	2597	3163	3083	2907	4962	3653	4478	6516	2548	3940	5585	3110	2396	3071	5634	5061	7600	6543	3940	2085	533	496	642	933	1849	2271	2839	4600	3150	2714	3874	1607	1446	1203	1316	1676	1512	2540	1543	1292	3086	3129	2253	2288	2524	4250	3271	3481	6759	4045	2721	5044	3334	3169	4038	3491	3122	2840	3327	2618	2839	2275	2616	5229	2077	2587	3299
3347	2470	2176	3288	2975	5956	5329	3761	5960	4511	3279	3751	4063	3944	6388	4629	5872	8702	3227	5124	7312	3711	2972	3606	6600	6039	8628	7740	4542	1671	622	595	790	1146	2280	2813	3523	5909	3873	3372	4813	2093	1902	1506	1628	2034	1821	3232	2001	1650	4061	4107	2832	2866	3316	5332	3924	4116	8059	4813	3251	6026	4049	3905	4728	4397	3841	3508	4060	3194	3663	2802	3194	6660	2540	3227	4051
2937	2203	1498	3233	2496	5239	4760	3085	4052	3921	2739	2500	3399	3370	4587	4707	5637	8042	3128	4907	6233	1843	1259	1168	5337	4609	5440	6680	3468	761	558	574	633	1050	1987	2467	2987	4540	3525	3152	4121	1774	1514	1096	1322	1755	1213	2639	1784	1071	3588	3746	2032	2505	2709	4195	3780	3964	7834	4548	3198	5438	3393	3377	3446	4058	3609	2773	3823	2944	3033	2592	2943	6109	2094	2707	2913
1260	936	671	1341	1268	2716	1843	1171	1458	1670	1168	1009	1473	1356	1812	2107	2606	3481	1268	2144	2643	765	579	571	2474	2206	2229	3434	1566	287	229	235	268	428	739	1073	1168	1907	1520	1506	1843	734	613	371	588	781	518	1114	754	445	1462	1413	703	1007	991	1498	1753	1747	3491	2045	1379	2542	1617	1386	1474	1991	1553	1258	1735	1280	1402	1100	1334	2881	972	1073	1377
648	454	275	755	659	1518	858	523	547	853	561	380	731	648	784	1135	1334	1712	648	1052	1405	335	207	195	1276	1058	962	1792	749	127	129	139	134	197	306	537	611	842	803	760	890	352	272	151	289	371	218	556	373	187	787	758	308	511	441	734	994	887	1974	1107	790	1331	805	661	654	1065	911	573	922	667	732	616	672	1554	546	519	645
