E13B4_1	E13B4_2	E13B4_3	E13B5_1	E13B5_2	E13B5_3	E13H1a_1	E13H1a_2	E13H1a_3	E13H1b_1	E13H1b_2	E13H1b_3	E13H1c_1	E13H1c_2	E13H1c_3	E13H1d_1	E13H1d_2	E13H1d_3	E13H1e_1	E13H1e_2	E13H1e_3	E13L1_1	E13L1_2	E13L1_3	E13N1_1	E13N1_2	E13N1_3	E13N2_1	E13N2_2	E13N2_3	E13OLa_1	E13OLa_2	E13OLa_3	E13OLb_1	E13OLb_2	E13OLb_3	E13OLc_1	E13OLc_2	E13OLc_3	E13OLd_1	E13OLd_2	E13OLd_3	E13OLe_1	E13OLe_2	E13OLe_3	E13ORa_1	E13ORa_2	E13ORa_3	E13ORb_1	E13ORb_2	E13ORb_3	E13ORc_1	E13ORc_2	E13ORc_3	E13ORd_1	E13ORd_2	E13ORd_3	E13P1_1	E13P1_2	E13P1_3	E13P2_1	E13P2_2	E13P2_3	E13P3_1	E13P3_2	E13P3_3	E13P4_1	E13P4_2	E13P4_3	E13P5_1	E13P5_2	E13P5_3	E13P6_1	E13P6_2	E13P6_3	E13P7_1	E13P7_2	E13P7_3	E13P8_1	E13P8_2	E13P8_3	E13P9_1	E13P9_2	E13P9_3	E13X1_1	E13X1_2	E13X1_3	E13X2_1	E13X2_2	E13X2_3	E13X3_1	E13X3_2	E13X3_3
220	285	215	56	97	165	282	239	143	138	167	155	315	275	379	345	286	424	286	266	343	221	193	152	109	99	115	85	76	120	190	128	102	197	212	203	276	196	194	206	206	247	306	297	274	144	217	108	229	172	220	235	234	189	326	224	282	168	143	199	162	176	199	154	162	152	148	184	121	52	91	112	0	83	62	95	68	73	33	93	70	302	171	135	174	80	105	121	172	114	78	92	60
393	434	386	116	146	214	503	469	281	266	234	276	577	505	627	594	512	703	510	474	665	415	313	249	210	186	270	162	191	208	329	225	163	388	359	383	508	419	363	368	392	539	487	509	472	237	342	169	341	322	385	380	391	348	542	380	403	311	298	320	291	344	369	282	280	295	268	284	249	143	188	171	66	143	108	159	139	148	104	147	105	451	292	270	231	126	186	209	170	170	138	151	82
829	954	794	213	265	517	1049	885	521	515	539	542	1109	1065	1258	1316	1045	1479	988	992	1320	783	660	474	391	290	376	322	258	371	623	505	343	690	749	700	1032	702	737	742	737	933	1052	1065	991	506	697	355	657	641	760	840	779	676	1133	821	955	642	504	664	629	654	727	606	620	537	542	566	454	280	333	324	188	300	277	284	254	241	216	284	269	946	560	534	468	314	392	368	375	353	243	215	162
1357	1379	1210	323	372	672	1544	1527	807	866	813	780	1872	1702	1905	1858	1692	2176	1601	1613	1923	1246	966	702	732	660	759	574	477	663	950	720	537	1135	1088	1099	1650	1213	1161	1215	1231	1571	1545	1563	1474	692	1038	495	1008	990	1228	1161	1193	1134	1670	1230	1356	1057	897	966	982	1086	1114	925	880	893	851	877	774	440	610	484	334	435	371	381	409	395	368	438	368	1416	920	792	692	423	563	571	474	467	310	359	270
2840	2999	2533	733	824	1259	3589	3390	1696	1895	1892	1704	4074	3819	4038	4134	3532	4752	3692	3554	4185	2656	2138	1440	1210	1024	1214	964	806	1162	1899	1510	1237	2546	2552	2470	3639	2665	2352	2391	2699	3235	3268	3789	3351	1612	2417	1133	2166	2368	2767	2611	2766	2407	3637	2832	2989	2300	1914	2002	2004	2316	2297	1972	2017	1821	1857	1909	1683	953	1191	1047	741	989	886	704	897	810	722	924	849	3039	2029	1711	1497	1004	1202	1112	1224	1053	567	603	443
3737	4107	3288	1015	1144	1684	5106	4620	2167	2510	2553	2431	5160	4992	5445	5564	4695	6385	4872	4727	5497	3405	2958	1941	2360	1989	2322	1809	1546	1990	2578	2081	1631	3374	3464	3257	5381	3896	3543	3807	4261	4766	4475	4963	4293	2109	3103	1497	2858	3176	3515	3444	3560	3058	4913	3832	3877	3128	2726	3032	2958	3372	3287	2670	2814	2484	2564	2771	2370	1315	1697	1528	1051	1375	1274	933	1273	1106	1029	1190	1166	4201	2729	2125	1864	1304	1505	1682	1701	1443	1040	995	747
5183	5575	4743	1375	1525	2167	6985	6534	3056	3552	3556	3122	7589	7164	7507	7962	6741	9144	6874	6654	8033	4764	4001	2663	2775	2347	2687	2124	1886	2261	3353	2788	2214	4705	4798	4562	6977	5111	4701	5009	5530	6255	6354	7040	6311	3013	4553	2103	3957	4465	5012	5045	5193	4377	6891	5389	5493	4258	3669	3915	3779	4316	4304	3563	3922	3459	3495	3810	3257	1810	2414	1976	1438	1834	1650	1292	1775	1529	1264	1577	1570	5646	3774	2893	2740	1920	2151	2442	2445	2038	1260	1088	878
3346	3552	2914	921	1151	1623	4828	4523	2215	2208	2191	2060	4676	4590	5003	4791	4187	5323	4368	4181	5044	3085	2801	1871	3322	2791	3227	2477	2274	2760	2541	2113	1663	2912	2805	2914	5942	4390	4045	4289	5068	5226	3999	4082	3896	1608	2519	1135	2422	2766	3092	2894	3101	2719	4305	3493	3550	3097	2844	3017	2635	3146	2813	2442	2714	2447	2503	2757	2345	1359	1889	1407	1020	1309	1185	830	1125	958	830	976	902	3826	2341	1964	1462	956	1170	2174	1920	1705	1350	1302	992
609	684	575	128	185	304	772	787	525	315	390	359	899	834	959	884	713	1040	735	696	983	627	524	384	544	443	555	400	350	423	659	458	335	497	408	479	938	676	644	546	692	888	781	677	714	303	381	223	419	412	486	575	565	482	689	513	625	550	467	505	397	413	447	434	446	437	410	386	410	226	275	201	168	229	164	148	167	148	156	191	151	664	372	387	222	142	223	356	269	289	268	186	115
240	232	224	34	62	127	340	295	197	83	115	101	331	291	364	298	244	326	272	252	328	232	202	143	212	171	227	170	126	171	222	184	134	176	157	148	419	262	301	229	316	365	255	234	269	102	151	87	144	172	163	165	179	178	191	223	220	200	194	225	146	180	177	191	143	149	176	138	182	87	123	79	61	91	67	67	71	70	57	85	66	240	144	146	46	31	83	119	94	86	83	114	44
