E14B1_1	E14B1_2	E14B1_3	E14B2_1	E14B2_2	E14B2_3	E14B3_1	E14B3_2	E14B3_3	E14B4_1	E14B4_2	E14B4_3	E14B5_1	E14B5_2	E14B5_3	E14B6_2	E14B6_3	E14B7_1	E14B7_2	E14B7_3	E14H1_1	E14H1_2	E14H1_3	E14L1_1	E14L1_2	E14L1_3	E14L2_2	E14L2_3	E14L3_1	E14L3_2	E14L3_3	E14N1_1	E14N1_2	E14N1_3	E14N2_1	E14N2_2	E14N2_3	E14N3_1	E14N3_2	E14N3_3	E14P10_1	E14P10_2	E14P10_3	E14P11_1	E14P11_2	E14P11_3	E14P1_1	E14P1_2	E14P1_3	E14P2_1	E14P2_2	E14P2_3	E14P3_1	E14P3_2	E14P3_3	E14P4_1	E14P4_2	E14P4_3	E14P5_1	E14P5_2	E14P5_3	E14P6_1	E14P6_2	E14P6_3	E14P7_1	E14P7_2	E14P7_3	E14P8_1	E14P8_2	E14P8_3	E14P9_2	E14P9_3	E14X1_1	E14X1_2	E14X1_3	E14X2_1	E14X2_2	E14X2_3	E14X3_1	E14X3_2	E14X3_3
227	148	182	157	131	91	114	67	80	154	190	170	260	147	88	115	169	205	155	146	168	97	130	258	231	249	222	295	331	272	269	141	78	110	226	75	77	0	75	56	244	102	148	199	137	172	522	198	244	205	108	74	285	172	107	166	68	49	162	96	90	183	120	123	298	178	144	233	66	184	117	142	312	101	170	177	148	111	317	159	198
628	616	566	504	407	324	297	159	260	522	486	461	638	433	341	436	538	630	425	397	573	333	366	943	769	979	660	750	865	915	1049	374	147	228	466	201	221	138	155	124	660	317	447	642	471	435	1841	552	741	715	265	242	1145	567	383	464	170	165	732	244	232	707	316	404	891	650	393	544	278	521	380	481	675	382	573	705	441	370	1013	464	552
2015	1902	1773	1737	1251	1009	839	506	738	1424	1525	1365	1819	1269	1041	1233	1494	1991	1352	1242	1467	1096	1208	2834	2232	2887	2144	2411	2910	2646	3166	1011	411	705	1232	501	652	657	432	436	2354	1102	1356	1761	1269	1327	4971	1799	2362	1973	844	818	3478	1667	1111	1355	676	511	2244	843	686	2177	1050	1137	2755	1935	1145	1766	959	1638	1385	1457	1860	1116	1551	2026	1403	1005	3279	1346	1777
5659	6077	5497	5021	3499	2836	2098	1407	2022	3935	4563	3921	5255	3662	3119	3488	3641	5213	3693	3321	4270	3812	3562	8349	7213	7792	5594	6358	8246	7985	8981	2976	1265	1876	3461	1661	1790	1926	1242	1249	7592	3708	4099	5591	4237	4045	14315	5142	6583	5129	2564	2406	9535	4824	3280	3955	2267	1792	6596	2802	2279	5936	3237	3367	7119	5826	3492	5077	3502	5393	4711	4711	5040	3101	4133	5889	4247	2931	10137	4235	5120
8705	9579	8273	8500	6372	5466	4240	2781	4330	6672	7662	6641	7639	5240	5049	5181	5134	10185	7394	6209	7690	6540	6468	14550	12025	13089	10614	11050	14718	13675	15167	7324	3102	4143	8096	4229	4241	4086	2847	2890	13720	6488	7982	9486	6957	6672	24006	7811	9622	9152	4374	3933	14006	7417	4845	6315	3904	3060	10510	4795	3805	9189	5043	5312	10675	8911	5518	8401	6399	9567	7782	8299	7058	4667	6019	8766	6070	4166	15785	6749	7682
9749	10225	9447	10793	7705	6992	5634	3962	5802	7989	9754	8104	8074	5894	5554	5560	5422	13559	10247	8414	9853	8033	7883	17760	14599	15901	13743	13728	18348	16917	18131	11685	5068	6819	12829	7045	7104	6673	4428	4502	18209	8594	10257	11022	8193	8176	25784	8573	10476	11001	5726	4955	14326	7683	4742	7411	4998	3717	12814	5917	4501	10063	5507	5711	11850	10519	6405	10639	7718	12000	9497	9732	7421	4737	5939	8963	6172	4281	17970	8175	8473
7408	8034	7166	9630	7042	6844	5687	3810	5985	7162	8563	7212	6292	4522	4422	4060	3933	13480	10241	8685	8783	7020	7064	14871	12145	13414	12836	12528	15958	14574	15809	13677	6037	7544	15063	8096	7990	7577	5227	5094	15493	7358	9409	9325	6714	7018	20079	6631	7895	10116	5086	4207	9906	5489	3333	5833	3971	2886	10594	4969	3900	7918	4329	4598	9203	8504	5465	8992	6661	9975	7193	7841	5369	3519	4146	6192	4271	2943	14379	6881	6663
4773	4679	4594	7095	4540	4718	4148	2883	4450	4925	5822	4852	3803	2802	2563	2264	2289	9804	7622	6393	6311	5030	5261	10213	8256	8797	9021	9005	10982	10033	10823	10473	4627	5984	12160	6223	6484	6032	4284	4100	9205	4307	5567	5249	3973	4367	11930	3987	5064	6798	3528	2915	5536	3119	1754	2951	2090	1479	5629	2832	2106	5017	2553	2638	6084	5904	3425	4805	3465	5195	3321	3592	3027	1852	2274	3396	2509	1602	9734	4512	3962
2021	1799	1907	3274	1892	2015	1992	1085	1968	2056	2532	2151	1745	1131	1034	921	1017	4159	3339	2634	2756	2169	2288	4398	3427	3802	3956	4105	4725	4255	4689	5172	2296	2850	5876	2637	3172	2970	2137	1906	3488	1522	2225	2137	1516	1841	4775	1511	2366	3022	1410	1198	2357	1347	745	1202	725	532	2105	991	768	2305	1002	1113	2817	2442	1494	1776	1282	1749	1068	1282	1305	676	1001	1342	1012	704	4281	1760	1593
645	544	571	1094	586	674	622	318	703	648	831	673	566	393	248	306	316	1315	1057	840	931	714	750	1410	1091	1286	1371	1255	1582	1435	1530	1491	612	881	1883	747	997	899	553	612	1033	469	739	661	523	584	1774	498	834	1129	422	412	784	384	231	426	195	174	698	310	236	802	301	379	977	856	489	626	370	533	295	401	418	190	355	387	268	265	1398	606	510
157	126	122	262	133	125	157	54	182	123	213	160	139	104	63	67	48	288	247	166	229	164	178	315	220	302	416	330	303	299	343	346	151	223	463	151	251	241	167	176	232	95	171	157	115	128	502	112	205	336	92	91	221	87	61	117	0	53	151	59	60	238	63	75	283	187	129	145	88	107	62	69	103	50	94	74	43	104	326	122	82
