E14B1_1	E14B1_2	E14B1_3	E14B2_1	E14B2_2	E14B2_3	E14B3_1	E14B3_2	E14B3_3	E14B4_1	E14B4_2	E14B4_3	E14B5_1	E14B5_2	E14B5_3	E14B6_1	E14B6_2	E14B6_3	E14B7_1	E14B7_2	E14B7_3	E14H1_1	E14H1_2	E14H1_3	E14L2_2	E14L3_2	E14N1_1	E14N1_2	E14N1_3	E14N2_1	E14N2_2	E14N2_3	E14N3_1	E14N3_2	E14N3_3	E14P10_1	E14P10_2	E14P10_3	E14P11_1	E14P11_2	E14P11_3	E14P1_1	E14P1_2	E14P1_3	E14P2_1	E14P2_2	E14P2_3	E14P3_1	E14P3_2	E14P3_3	E14P4_1	E14P4_2	E14P4_3	E14P5_1	E14P5_2	E14P5_3	E14P6_1	E14P6_2	E14P6_3	E14P7_1	E14P7_2	E14P7_3	E14P8_1	E14P8_2	E14P8_3	E14P9_1	E14P9_2	E14P9_3	E14X1_1	E14X1_2	E14X1_3	E14X2_1	E14X2_2	E14X2_3	E14X3_1	E14X3_2	E14X3_3
210	191	159	178	136	196	184	219	172	282	229	246	303	136	198	0	156	149	224	277	350	247	175	222	296	354	189	225	267	191	92	216	228	45	261	251	240	233	277	206	156	104	225	253	203	140	221	165	172	212	163	133	134	164	206	143	135	245	201	40	207	222	153	43	267	274	148	165	127	154	205	188	140	149	235	257	270
545	560	442	513	440	474	490	470	480	826	694	668	785	526	525	53	454	423	748	695	918	623	498	667	687	912	470	639	668	569	260	650	608	243	613	818	693	688	888	587	464	202	523	688	550	507	681	487	501	621	518	362	341	513	584	486	430	645	514	261	538	603	351	249	632	761	608	590	482	440	566	618	470	402	714	785	647
1500	1581	1167	1472	1196	1370	1397	1337	1287	2317	1891	1740	1982	1643	1605	163	1064	1309	2097	1959	2415	1888	1475	1722	2222	2116	1305	1771	2003	1465	711	1543	1824	822	1693	2113	1902	1866	2287	1523	1129	332	1527	1767	1559	1333	1727	1416	1356	1556	1331	875	863	1511	1499	1271	1276	1605	1381	1107	1442	1612	650	911	1187	2045	1652	1398	1315	1116	1495	1473	1270	1104	1811	2003	1868
3438	3748	2658	3528	2705	3313	3473	3236	3204	5740	4401	4108	4404	3815	3745	387	2474	2775	5198	4920	5738	4408	3589	4416	5569	4555	3487	4344	5300	3518	2037	3835	4743	1870	4611	5229	4374	4743	4993	3529	2586	688	3654	4142	3646	3394	3881	3435	3120	3629	2935	1778	1822	3474	3337	2887	2951	3632	3299	2984	3578	3616	1165	2075	2254	4753	3716	2884	2911	2536	3390	3286	2945	2449	4205	4596	4528
7498	7988	5597	7831	6731	7355	7674	7698	7951	12724	10866	9643	9130	8644	7933	965	5424	5773	12968	12419	13906	10264	8768	9970	12366	9318	8191	11427	11879	8782	5557	9369	11278	4630	9685	11577	10397	10561	11099	8634	5823	1093	7929	8898	8490	7544	9196	7360	7118	8179	6070	3850	3837	7327	7837	6836	6955	8606	7202	7216	8408	8370	2137	4406	4792	10090	8272	5715	6715	5828	6779	7573	6670	5726	10054	10836	9217
12338	13239	9693	13268	12142	12790	13064	13125	13477	20460	18695	16942	14735	14281	12916	1571	9049	9278	22566	21538	22777	18566	15726	17097	21451	15461	14357	20007	20800	15488	9735	16376	18524	7792	16644	18959	18474	17736	18367	14869	9676	1460	13503	14868	13898	12872	15352	11764	12518	14067	9319	6303	6181	11255	13418	11159	11269	14544	11977	11994	14392	14169	3147	7145	7586	16168	13268	9600	10896	10067	11307	12845	11713	9443	17392	18652	16149
14839	15849	11926	15566	14616	15213	14958	15478	15850	22961	21880	20045	17148	16435	14897	1842	10437	10620	25587	25366	26693	22021	19018	19828	25126	17794	16220	22920	23584	18238	11131	18332	20700	8911	19161	22427	22203	21018	20788	17036	11256	1482	15802	17358	15989	14784	17816	13410	14568	16449	10289	7089	7249	12727	15765	12626	12825	16563	13832	13762	17238	16672	3580	8201	8967	18830	15496	11532	12735	11677	12968	15272	14029	11112	20801	22000	18990
12280	13202	10267	12720	11540	12577	12314	12275	11905	18383	17294	16392	14496	13562	12073	1466	8950	8710	19756	20160	20788	17953	15563	16207	20938	14374	12571	16515	17357	13840	8214	13923	15018	6301	14020	18591	18514	18192	16360	13399	8888	1035	13248	14158	12394	12140	14127	11314	12076	13315	7936	5683	5635	10166	13080	10040	10465	12699	11563	10866	13640	13175	3017	7212	7345	16728	13330	10114	10455	9721	10709	12661	11834	9538	17046	18249	15583
7772	8032	6409	7552	7192	7665	7543	7400	6287	11116	10524	10212	9550	8675	7474	849	5637	5065	11968	12231	13559	11576	10067	10276	12953	8287	7076	9215	9469	7649	4268	8227	8433	3442	7711	11301	12012	11401	9659	7947	5609	539	7981	9234	7572	6982	8647	6999	7385	8277	4588	3240	3249	6294	8124	6035	6368	7579	7273	6668	8021	7854	1898	4688	4285	11151	8384	6370	6119	5893	6565	8345	7550	6475	11039	11152	9598
3441	3370	2849	3570	3193	3567	3436	3447	2902	5102	5005	4706	4638	3963	3361	375	2464	2514	5674	5964	6607	5112	4839	4911	5814	3764	3292	4568	4376	3773	2010	4316	4397	1836	4244	4738	5309	4985	4568	3391	2571	286	3502	4350	3555	3098	4092	3076	3005	3670	2048	1370	1213	2986	3436	2743	3258	3469	3193	3456	3510	3695	938	2096	1842	4807	3642	2757	2780	2375	2758	3766	3021	2864	5051	4636	4403
