E15B11a_2	E15B11b_2	E15B11c_2	E15B12_2	E15B2_2	E15B4_2	E15B5a_2	E15B5b_2	E15B6a_2	E15B6b_2	E15B6c_2	E15B6d_2	E15B7_2	E15B8_2	E15B9_2	E15L1_2	E15N1_2	E15N3_2	E15P11b_2	E15P3a_2	E15P4a_2	E15X2_2	E15X4_2	E15X6_2	E15X7_2	E15X8_2	E15B11a_1	E15B11a_3	E15B11b_1	E15B11c_1	E15B11c_3	E15B12_1	E15B12_3	E15B1_1	E15B1_2	E15B2_1	E15B3_1	E15B3_2	E15B3_3	E15B4_1	E15B5a_1	E15B5b_1	E15B6b_1	E15B6c_1	E15B6c_3	E15B6d_1	E15B7_1	E15B8_1	E15B9_1	E15L1_1	E15L2_1	E15L2_2	E15L3_1	E15L3_2	E15L4_1	E15L4_2	E15L5_1	E15L5_2	E15L6_1	E15L6_2	E15L7_1	E15L7_2	E15L8_1	E15L8_2	E15L9_1	E15L9_2	E15N1_1	E15N1_3	E15N3_1	E15N3_3	E15P10b_1	E15P10b_2	E15P11b_1	E15P12b_1	E15P12b_2	E15P13b_1	E15P13b_2	E15P14b_1	E15P14b_2	E15P15b_1	E15P15b_2	E15P1a_1	E15P1a_2	E15P3a_1	E15P4a_1	E15P5a_1	E15P6a_1	E15P6a_2	E15P7a_1	E15P7a_2	E15P8b_1	E15P8b_2	E15P9b_1	E15P9b_2	E15X2_1	E15X2_3	E15X4_1	E15X4_3	E15X6_1	E15X6_3	E15X7_1	E15X7_3	E15X8_1	E15B11b_3	E15B1_3	E15B2_3	E15B4_3	E15B5a_3	E15B5b_3	E15B6a_3	E15B6b_3	E15B7_3	E15B8_3	E15B9_3	E15L1_3	E15L2_3	E15L3_3	E15L4_3	E15L5_3	E15L6_3	E15L7_3	E15L8_3	E15P10b_3	E15P11b_3	E15P12b_3	E15P13b_3	E15P14b_3	E15P15b_3	E15P1a_3	E15P3a_3	E15P4a_3	E15P5a_3	E15P6a_3	E15P7a_3	E15P8b_3	E15P9b_3	E15X8_3	E15L9_3	E15B6a_1	E15P5a_2
374	302	199	148	107	94	63	192	186	0	80	266	167	220	122	77	162	0	244	198	0	315	0	75	196	224	186	340	219	165	249	101	130	86	58	124	185	122	139	77	55	256	121	134	0	123	195	257	216	123	86	0	75	148	229	290	134	159	0	0	98	53	173	177	199	163	129	217	65	120	266	206	300	359	296	152	163	210	121	178	148	331	149	306	135	435	370	212	205	172	256	109	260	229	103	318	77	219	51	84	180	228	189	450	61	183	83	72	228	236	189	217	232	0	110	67	95	289	101	0	0	177	265	204	305	136	77	96	181	220	97	225	275	181	155	111	292	182	0	102
1332	1234	751	468	455	266	153	771	738	217	391	760	688	667	407	213	595	173	723	560	268	937	321	180	767	849	634	1501	754	634	816	270	391	116	121	342	406	427	388	266	221	729	308	309	202	533	677	806	532	416	227	75	271	407	815	870	489	490	57	81	263	232	676	645	748	616	363	679	213	402	1045	763	993	1293	989	668	528	632	422	623	458	1259	726	1095	442	1574	1201	748	834	554	930	479	1034	764	359	1045	201	625	182	264	579	785	551	1476	73	508	278	157	831	848	559	790	799	334	322	159	325	1026	526	70	279	535	727	709	1026	447	341	448	704	653	316	994	1061	700	565	499	867	640	202	321
3927	3341	2413	1203	1397	784	512	2401	2126	673	1037	2198	2007	2074	1111	623	1844	760	1985	1530	803	2579	981	610	2224	2535	1992	4670	2159	1936	2302	800	1125	352	276	1021	1078	1221	1224	880	666	2175	934	854	667	1642	1965	2284	1469	1180	618	223	760	1096	2388	2250	1427	1358	197	245	782	693	1952	1777	2116	1916	1136	2071	671	1299	3179	2031	2751	3830	2552	2100	1512	1576	1122	1854	1271	3841	1995	2999	1299	4432	3751	2343	2508	1665	2489	1341	2863	2088	1002	2718	451	1646	485	764	1486	2376	1495	3954	226	1522	765	535	2334	2293	1702	2172	2125	1131	879	343	841	2676	1480	245	705	1821	2220	1908	3266	1513	1011	1288	2157	1659	914	2741	3195	1985	1692	1372	2614	1943	680	910
9877	8603	6088	2881	3750	1945	1309	6298	5696	1824	2811	5634	5257	5377	2886	1761	4637	1970	5369	3783	2071	6016	2037	1744	5634	6364	5465	11922	5650	4837	6456	2043	3077	941	631	2823	2759	2876	3069	1951	1582	5674	2664	2360	1936	4392	5146	6048	3545	2908	1361	606	1941	2776	5906	5369	3927	3400	694	715	2000	1948	4816	4628	5644	4788	2760	4908	1693	3393	8244	4974	6833	9321	6423	5011	3959	3873	2941	4678	3567	9376	5191	7140	3128	10976	9749	5902	6306	4601	5589	3441	6588	4979	2628	6785	1001	3443	1301	2263	4057	6299	4337	10781	621	4033	2024	1325	6774	7086	4412	5931	6165	3436	2589	1008	2282	7157	4021	793	2274	5318	6136	5452	8548	4655	3104	3831	5703	4505	2532	7272	9158	5807	4679	3692	7094	5303	2755	3690
17810	14513	10201	4545	6726	3699	2402	10798	10399	3568	4956	9458	8689	9186	5039	2979	9718	4018	9440	6311	3720	8858	2794	2828	9766	10834	9288	20192	9768	8402	11300	3521	4971	1653	1088	5216	4757	4901	5405	3686	2881	10191	4926	4230	3394	7169	8785	10386	6200	4634	2165	1043	3268	4606	9685	9104	6622	6019	1149	1228	3506	3424	7739	7644	8984	7934	6239	10413	3832	6890	13846	8264	12393	14848	10786	8881	7307	6198	4677	7823	6414	15329	8698	11202	5698	16181	15998	10089	10857	8048	8582	5456	9990	7648	4221	10352	1457	4775	2185	3736	7594	10941	7634	17997	1075	6973	3930	2685	12561	12250	7931	10310	10637	6024	4169	1591	3741	11835	7515	1407	3957	8580	10268	9931	14030	8358	5395	6604	9756	7442	4759	11517	15140	10242	6963	5903	12163	8815	5349	6205
22259	18511	12519	5487	8612	5314	3246	14218	13362	4830	6392	11281	10382	11717	6709	3590	14602	5961	12624	7550	4853	9804	2905	3394	12679	13807	11770	25458	12324	10365	13693	4089	5958	2076	1437	6730	6176	6417	6944	5269	4032	12954	6507	5312	4364	8615	10471	12716	8092	5614	2765	1248	4023	5645	11778	10865	8459	7851	1582	1740	4529	4359	8992	9021	10662	9300	9496	15747	5746	10674	16778	10525	16302	17305	12751	11717	9688	7542	5871	9810	8154	18247	10967	13219	7833	16964	18819	12243	13565	9850	9427	5947	11109	8523	4685	11303	1674	4847	2854	4232	9733	14540	9411	23133	1413	9177	5555	4040	16311	15896	10493	12073	13015	7966	5063	1908	4522	14229	9553	2097	4904	10111	12939	12887	16103	11256	6638	8559	11865	8701	6309	12794	17768	12988	7539	6885	15152	10289	7035	6635
20028	16570	10942	4796	8300	5425	3388	13944	12381	4848	6087	9783	8854	10153	6549	3131	16948	6783	12132	6246	4764	8060	1944	2891	11887	12554	10711	22141	10524	8771	12018	3468	5189	1993	1467	6199	5971	6148	6720	5344	4125	12777	6621	5060	4187	7502	8815	11180	8104	4613	2664	1211	3270	4863	9971	9140	7937	7346	1690	1839	4235	3819	7281	7386	8617	7629	10696	17433	6591	11890	15045	9394	15441	14441	10492	11233	9227	7440	5733	8816	7265	15867	9667	11010	7927	12617	15160	10293	12591	8909	7275	4609	9171	7227	4006	9523	1320	3427	2518	3662	9109	12851	8571	20201	1417	8366	5450	4041	15860	14208	10147	10034	11293	7531	4053	1759	3795	11616	9168	2190	4451	7821	11391	12400	13911	10623	6412	7394	10878	6996	6382	9290	14642	11456	5615	5960	13663	7820	6165	4425
9157	7808	4660	2590	4514	3389	1918	7895	6124	2930	3282	4447	3562	4587	3811	1180	11614	4721	6758	2463	2684	4343	747	1488	5806	6378	5122	10795	4988	3733	5149	1759	2812	1161	875	3421	3470	3446	3905	3336	2498	7307	3870	2824	2244	3197	3561	5134	4705	1758	1519	696	1329	2160	3914	3439	4206	3887	1122	1204	2022	1886	2641	2511	3050	2926	7627	12331	4548	8233	7239	4451	9033	6834	4347	6379	5046	4785	3507	4242	3319	7454	4307	4416	4721	5257	5720	4029	6156	4316	3153	2052	4879	3669	2095	5074	550	1188	1342	1748	4398	6516	4088	9658	778	4669	3551	2606	9067	7044	6053	4000	5032	4385	1574	940	1734	4253	4844	1468	2165	2762	5330	7027	6380	6257	3907	3657	4944	2659	3732	3982	5421	5821	2317	2848	6685	2920	2409	634
2267	1781	1042	573	938	763	410	1769	1325	657	831	1108	618	1141	892	172	2911	1324	1419	552	745	1182	198	362	1286	1447	1066	2503	1005	792	1212	438	627	316	234	682	723	824	890	856	569	1647	815	547	575	668	763	1069	1147	401	433	128	287	377	842	685	1006	799	280	254	435	389	518	560	713	679	1847	2952	1009	2168	1684	1033	2215	1576	1137	1395	1214	1099	849	971	791	1654	969	941	1113	1383	1483	733	1454	951	805	463	1396	842	507	1422	133	395	274	495	858	1334	811	2088	182	1031	782	548	2074	1484	1450	833	1037	977	276	203	353	891	1085	326	451	518	1194	1329	1203	1219	855	768	1061	517	808	817	1138	1078	629	755	1686	784	352	69
372	264	197	92	162	145	66	317	252	98	164	253	113	195	173	0	605	247	282	114	148	251	56	81	266	275	204	479	196	96	193	88	123	62	64	158	123	174	184	142	94	294	102	77	116	135	127	205	188	0	79	0	0	81	130	103	194	118	0	50	0	48	79	105	92	133	357	569	221	396	339	186	424	230	207	255	198	144	125	144	112	325	134	154	240	288	283	90	303	190	167	110	281	157	94	253	0	96	62	120	152	268	163	380	0	228	159	74	307	182	221	140	160	163	0	0	63	146	201	90	105	59	176	222	203	208	128	118	145	86	147	138	237	196	100	101	305	145	0	0
