E15B11a_1	E15B11a_2	E15B11a_3	E15B11b_1	E15B11b_2	E15B11b_3	E15B11c_1	E15B11c_2	E15B11c_3	E15B12_1	E15B12_2	E15B12_3	E15B1_1	E15B1_2	E15B1_3	E15B2_1	E15B2_2	E15B2_3	E15B3_1	E15B3_2	E15B3_3	E15B4_1	E15B4_2	E15B4_3	E15B5a_1	E15B5a_2	E15B5a_3	E15B5b_1	E15B5b_2	E15B5b_3	E15B6a_1	E15B6a_2	E15B6a_3	E15B6b_1	E15B6b_2	E15B6b_3	E15B6c_1	E15B6c_2	E15B6c_3	E15B6d_1	E15B6d_2	E15B7_1	E15B7_2	E15B7_3	E15B8_1	E15B8_2	E15B8_3	E15B9_1	E15B9_2	E15B9_3	E15L1_1	E15L1_2	E15L1_3	E15L2_1	E15L2_3	E15L3_1	E15L3_2	E15L3_3	E15L4_1	E15L4_2	E15L4_3	E15L5_1	E15L5_2	E15L5_3	E15L6_1	E15L6_2	E15L6_3	E15L7_1	E15L7_2	E15L7_3	E15L8_1	E15L8_2	E15L8_3	E15L9_1	E15L9_2	E15L9_3	E15N1_1	E15N1_2	E15N1_3	E15N3_1	E15N3_2	E15N3_3	E15P10b_1	E15P10b_2	E15P10b_3	E15P11b_1	E15P11b_2	E15P11b_3	E15P12b_1	E15P12b_2	E15P12b_3	E15P13b_1	E15P13b_2	E15P13b_3	E15P14b_1	E15P14b_2	E15P14b_3	E15P15b_1	E15P15b_2	E15P15b_3	E15P1a_1	E15P1a_2	E15P1a_3	E15P3a_1	E15P3a_2	E15P3a_3	E15P4a_1	E15P4a_2	E15P4a_3	E15P5a_2	E15P5a_3	E15P6a_1	E15P6a_2	E15P6a_3	E15P7a_1	E15P7a_2	E15P7a_3	E15P8b_1	E15P8b_2	E15P8b_3	E15P9b_1	E15P9b_2	E15P9b_3	E15X2_1	E15X2_2	E15X2_3	E15X4_2	E15X4_3	E15X6_1	E15X6_2	E15X6_3	E15X7_1	E15X7_2	E15X7_3	E15X8_1	E15X8_2	E15X8_3	E15P5a_1
293	314	187	260	277	191	182	186	136	57	95	55	116	79	143	412	340	257	378	227	275	242	146	173	149	110	97	305	281	220	140	190	115	121	109	106	144	96	39	160	139	147	112	128	193	181	168	145	159	118	85	88	108	0	0	43	89	0	260	255	206	42	141	108	0	0	0	55	49	0	88	95	76	80	82	90	203	250	194	202	49	177	191	286	368	371	270	430	230	172	240	151	150	165	144	93	151	184	165	107	197	209	219	175	296	193	55	71	93	238	278	137	169	184	109	186	193	123	111	167	130	114	150	82	129	96	151	181	63	87	72	156	178	90	200	200	147	200
840	1029	650	737	840	490	423	525	363	180	283	192	261	162	227	1055	862	716	903	634	665	676	453	406	455	315	304	886	746	717	402	510	414	351	288	292	431	299	73	504	493	461	384	385	579	524	501	449	531	441	252	203	271	68	53	169	259	58	641	674	474	368	437	283	93	52	45	170	135	68	265	272	190	263	252	290	638	652	491	595	210	599	669	700	970	964	669	1130	687	478	653	383	415	379	415	300	438	478	453	361	547	678	574	424	686	400	248	219	273	687	817	400	529	564	274	574	593	353	305	470	381	497	416	232	367	259	355	331	185	213	181	488	543	221	565	603	448	553
2168	2748	1623	1770	2032	1150	1185	1264	914	482	794	439	543	334	412	2588	2091	1691	2089	1514	1603	1730	1223	1093	1139	825	684	2366	1986	1922	1074	1306	984	919	697	765	1062	749	262	1235	1464	1188	1055	901	1557	1482	1415	1212	1299	1457	569	450	611	181	156	567	601	124	1605	1632	1085	1072	1183	708	225	131	105	369	320	222	703	783	554	787	633	832	1722	1634	1195	1640	513	1443	1860	1668	2578	2397	1590	2816	1750	1307	1663	1104	960	930	1011	816	1079	1278	1220	911	1363	1831	1428	948	1471	896	679	584	615	1692	2080	957	1305	1455	778	1440	1500	854	833	1320	998	1322	1101	565	998	658	609	540	420	598	510	1288	1503	642	1503	1544	1101	1180
5970	6607	4128	4664	4634	2730	2946	3111	2285	1135	1792	1145	1113	800	927	6882	5095	4182	5147	3390	3745	4144	2704	2619	2682	2002	1663	6234	5115	4827	2711	3316	2353	2596	1774	1899	2515	1979	711	3188	3410	3068	2755	2382	3845	3849	3512	3179	3221	3645	1379	1196	1604	409	475	1614	1465	382	3829	3868	2765	2821	2992	1621	491	315	237	858	857	602	1946	2067	1471	1991	1847	2205	4073	3736	2889	4098	1534	3411	4652	3955	6733	5843	4056	6837	4444	3244	4331	2839	2368	2367	2429	2151	2760	3338	3052	2387	3691	4700	3838	2252	3581	2088	1706	1515	1543	4624	5400	2430	3338	3705	2015	4024	3998	2039	2337	3452	2467	3570	2783	1429	2143	1556	978	875	982	1524	1215	3277	3670	1725	4087	3674	2491	2913
11977	13002	8048	9209	8723	5257	6110	6086	4512	2606	3690	2322	2074	1558	1881	13428	9930	8187	10007	6685	7162	9015	5912	5596	5779	4272	3403	13674	11013	10521	5967	6881	5045	5545	3573	3936	5262	3970	1513	5924	6774	5862	5414	4679	7715	7650	7005	6663	7070	7438	2449	2271	2981	748	896	2967	2702	735	7050	7086	4967	5513	6141	3389	1061	827	568	1472	1536	1108	3632	3983	2796	3601	3499	4392	9593	7928	6546	9459	3232	7929	9082	7578	13460	11266	8110	13146	8798	6966	9023	5708	5219	5130	5190	4692	5887	6539	6537	4900	6793	9028	7827	3821	6097	3733	3349	3330	3470	8756	9730	4462	6454	7037	3797	7744	7927	3827	4650	6580	4625	6961	5438	2556	4034	2958	1365	1073	2106	3006	2386	6654	7662	3534	8693	7505	5065	5318
16263	17172	10675	11909	11518	6812	7956	7744	5794	3565	4971	3162	2774	2278	2750	17668	13152	10932	13159	9411	9734	12826	8421	8138	8254	6221	4767	19352	15899	14442	8033	9486	6806	7791	5054	5502	7099	5327	2119	7458	8779	7597	7038	6090	10368	10232	9309	9699	9992	10450	2947	2677	3763	1057	1214	3691	3372	955	8524	8428	6165	7440	8716	4749	1483	1306	883	1855	1819	1385	4406	4813	3507	4458	4407	5463	15593	12359	10270	14282	5001	12058	11926	10283	18038	14666	10860	17169	11975	9179	11847	7959	7057	7275	7361	6480	8138	8924	8696	6531	8845	12052	10090	4526	7354	4484	4567	4726	4968	10801	12086	5448	8147	8727	4910	10395	10293	4889	6078	8478	6076	9277	7385	3151	5310	3884	1430	1070	2900	3938	2976	8998	10055	4669	11701	10249	6724	6536
13999	15115	9464	10503	10174	5989	6973	6400	4745	3345	4686	2908	2651	2258	2695	16059	11483	9799	12311	8804	9038	12627	8451	7903	7958	5891	4591	18513	14860	13493	7337	8331	5954	7073	4988	5229	6638	4872	1978	6217	7299	6159	5671	4924	8897	9072	7826	9281	9340	10066	2396	2076	2986	1044	1142	3101	2763	856	7003	6738	4962	6954	7866	4553	1408	1316	895	1523	1456	1144	3533	3836	2656	3538	3476	4279	16050	12824	10806	14583	5181	12314	10878	8896	15679	13456	9685	15852	10275	8276	10088	7517	6774	6591	7231	6326	7762	7694	7863	5693	7539	10153	8460	3777	5907	3679	4389	4490	4629	8506	9481	4474	6452	6940	4369	8883	8890	4174	5031	7028	5492	8184	6457	2645	4644	3340	955	666	2615	3308	2585	8062	9138	4158	10154	9109	6182	5124
8020	8565	5568	5504	5751	3224	3775	3577	2606	1809	2753	1612	1560	1338	1646	8813	6241	5327	6771	5001	5129	7252	4853	4524	4646	3483	2688	10552	8702	7859	4087	4692	3354	4002	2915	3059	3657	2879	1119	3226	3904	3401	2801	2509	4940	4835	4370	5329	5534	5977	1267	1014	1605	615	646	1581	1539	495	3597	3367	2610	3900	4598	2557	844	762	491	839	666	558	1822	1925	1275	1715	1776	2230	9855	7895	6360	8987	3057	7668	6077	5005	9219	8011	5666	8756	5723	4508	5592	4343	3725	3923	4417	3399	4600	4468	4220	3154	4021	5791	4810	1993	2999	1911	2465	2614	2654	3743	4168	2393	3374	3598	2477	4879	4543	2263	2786	3644	3277	4611	3441	1384	2620	1806	398	284	1456	1780	1388	4299	5146	2421	5484	5327	3415	2334
2377	2795	1840	1545	1723	1007	1023	1064	818	437	772	462	511	429	519	2563	1784	1547	2030	1521	1589	1913	1358	1259	1410	1066	813	2964	2393	2259	1133	1425	998	1034	893	881	871	882	345	978	1362	1082	734	682	1365	1372	1253	1670	1716	1864	426	239	479	155	191	515	524	178	1102	1001	826	1138	1289	711	272	130	124	249	219	166	561	625	357	537	542	652	2640	2342	1758	2513	885	2422	1892	1449	2997	2572	1700	2707	1607	1174	1590	1265	1015	1027	1336	970	1336	1380	1140	901	1281	1782	1405	649	796	511	768	709	680	912	1008	805	906	917	867	1379	1200	791	866	1051	1127	1371	987	453	916	548	132	108	361	563	504	1109	1506	728	1423	1626	1076	630
625	812	498	371	450	289	243	290	216	81	213	101	154	115	150	657	431	444	521	389	451	433	303	296	416	421	275	738	648	657	317	404	271	239	248	220	210	311	112	291	445	308	195	167	368	355	385	431	507	500	147	56	144	61	52	147	152	54	347	284	244	333	418	170	93	0	0	85	76	52	168	183	120	180	164	210	826	570	490	694	260	596	520	348	935	724	474	764	453	282	382	370	263	291	374	246	367	416	298	258	359	511	380	214	190	133	212	180	179	169	233	260	285	272	276	410	308	245	236	320	387	380	291	113	316	173	41	0	75	162	162	337	445	206	345	448	274	165
