E15B11a_1	E15B11b_2	E15B11c_1	E15B11c_2	E15B12_1	E15B12_2	E15B12_3	E15B2_1	E15B2_2	E15B3_1	E15B3_2	E15B4_1	E15B4_2	E15B4_3	E15B5a_1	E15B5a_2	E15B5a_3	E15B5b_2	E15B6a_1	E15B6a_2	E15B6a_3	E15B6b_1	E15B6b_2	E15B6b_3	E15B6c_1	E15B6c_2	E15B6c_3	E15B6d_1	E15B6d_2	E15B7_1	E15B7_2	E15B7_3	E15B8_2	E15B9_2	E15L1_1	E15L1_2	E15L1_3	E15L4_1	E15L4_2	E15L5_1	E15L5_2	E15L5_3	E15L8_1	E15L8_2	E15L8_3	E15L9_1	E15L9_2	E15L9_3	E15N1_1	E15N1_2	E15N1_3	E15N3_1	E15N3_2	E15N3_3	E15P10b_1	E15P12b_1	E15P12b_2	E15P12b_3	E15P13b_1	E15P13b_2	E15P13b_3	E15P14b_1	E15P14b_2	E15P14b_3	E15P15b_1	E15P15b_2	E15P15b_3	E15P1a_2	E15P4a_1	E15P4a_2	E15P4a_3	E15P5a_1	E15P5a_2	E15P5a_3	E15P6a_1	E15P6a_2	E15P6a_3	E15P7a_1	E15P7a_2	E15P7a_3	E15P8b_1	E15P8b_2	E15P8b_3	E15P9b_1	E15P9b_2	E15P9b_3	E15X2_1	E15X4_1	E15X4_2	E15X4_3	E15X6_1	E15X6_2	E15X6_3	E15X7_1	E15X7_2	E15X7_3	E15X8_1	E15X8_2	E15X8_3
243	431	329	280	195	114	214	291	414	425	208	378	178	469	255	121	265	138	376	287	370	318	287	391	194	189	215	93	295	300	153	357	220	392	227	260	238	384	261	71	243	220	154	85	157	190	149	286	281	334	297	136	432	224	212	316	277	385	292	240	334	207	135	343	273	175	374	34	271	198	252	133	246	171	489	264	657	378	285	484	236	144	86	388	112	616	213	215	248	235	131	179	169	262	247	257	336	308	258
1234	1695	1355	894	792	513	833	1219	1409	1357	937	1276	946	1589	955	614	1108	907	1290	1155	1313	1218	1053	1350	890	934	1115	1106	1402	1349	911	1408	1310	1439	971	889	1051	1506	1408	801	1262	1383	695	697	666	939	966	1185	1107	1220	1096	984	1344	1031	1203	1137	1141	1461	1173	1282	1321	868	758	1233	978	1173	1591	223	965	921	1226	846	1180	1065	1395	1289	1908	1301	1313	1798	1239	898	1267	1391	954	1598	1313	1043	1243	1023	756	608	702	1209	945	1113	1317	1064	1228
4496	4521	3799	3112	2364	1609	2911	3955	4457	4126	2988	4261	3278	4868	2637	2337	3155	3485	4125	3358	4430	4027	3437	4366	3033	2562	3270	4013	3720	3945	2737	4502	3992	4193	3225	2401	3717	4417	4438	3099	3686	4089	1939	2544	1960	3156	3026	3808	3765	3955	3750	3559	3587	3955	4095	3307	3888	4093	3458	4397	4347	2952	2377	3930	2920	3926	4304	714	3281	2924	4103	3079	3559	3764	3877	4221	5035	3771	4060	4351	4013	3271	4127	3771	3026	4253	4427	3448	3724	3134	2118	2048	2347	3536	2989	3470	4419	3265	3591
12642	11196	10695	7161	6490	4127	7608	11133	11654	10103	8118	10169	7761	12463	6662	5455	7899	8378	10172	8199	11137	9639	7595	11119	8666	6796	9619	11056	9441	11186	7786	11946	11166	10248	7804	6583	8932	12014	12395	7772	9257	10820	5785	6889	5438	7679	9701	10130	8825	8559	8808	9967	8768	10044	11003	8430	9956	11262	8794	10328	9744	6736	6317	9385	7631	10562	11355	2514	7536	7632	9702	8776	10099	10160	10112	11819	14117	8795	11669	11045	9760	9038	9940	9135	9494	10166	11213	9709	9460	8634	5878	5124	6043	10225	7375	8935	10865	8322	9731
22867	16972	17562	10128	10885	6180	13047	21190	20574	18022	13065	17854	12131	22775	10999	7953	13265	12424	16634	11490	17742	16522	10963	18549	15565	10670	16666	19089	13964	17898	10740	19232	16817	16756	11762	10646	13634	18787	20745	11907	14860	17836	8581	10500	8633	12343	15306	15513	15080	13785	14709	18259	15250	17299	19471	13151	16648	18406	13426	16603	15597	10587	10391	15340	11870	17894	17839	5304	12410	13127	16987	13900	15300	16931	15411	17915	22357	13372	19022	18229	16531	15321	16533	15009	16855	17488	18349	14808	14040	13650	10045	8225	10247	16079	10922	14487	17844	12191	15207
24478	21640	21767	11847	13767	7442	17308	25516	25352	23065	17145	23766	15647	25615	14361	10013	17633	15891	20678	13377	22524	21602	13592	24070	20240	13060	21358	23749	16265	21870	12373	23996	20332	21182	13955	12858	16808	22848	24755	15302	18791	23115	9995	12186	10764	14769	18346	19357	20625	18452	20606	24458	20192	24167	24950	16661	21181	23406	16375	20801	20319	13913	13042	20995	14818	21949	22803	6547	16231	16956	22395	17188	18417	21874	18875	21237	27211	16848	23219	23786	20539	18724	21193	19633	21466	22728	23266	17566	16251	16943	12381	10099	13401	20096	12990	19088	22607	15208	19382
24712	19957	19774	11119	13556	7378	16479	25456	25202	21741	17048	24319	16452	25445	14650	10508	17648	16933	19887	12842	21195	21006	13316	22985	18913	13023	19724	21138	14685	19453	11116	21067	18753	20208	12466	11185	15073	20503	21339	14713	18161	22395	8715	10813	9826	13277	16140	17179	21684	19517	21893	24848	20526	25376	23126	15885	20005	22015	15885	20142	19057	14524	13160	20915	14203	20261	21015	5640	16365	16934	21269	16615	17139	19926	17281	18915	24266	16455	21749	22647	18753	16792	18989	18416	20121	21226	21635	15129	13757	14338	11606	9524	12482	19110	12725	18643	21523	14579	18866
11872	8989	8292	4502	6489	3632	7748	12350	12664	10173	8041	13400	8802	15839	8256	5819	9530	8491	8971	5980	9891	10235	7069	11049	8663	6050	8966	7985	6001	7627	4214	8153	8195	9829	4532	4216	5529	8152	8024	6962	8781	10267	3197	3605	3334	5004	6238	6742	12490	10994	12699	13388	11322	14193	9912	7140	8137	9868	8365	9770	9224	7602	6574	11256	6541	8447	9568	2286	8525	8691	10355	6943	7307	8030	6116	6905	8913	7439	9396	10004	7821	6390	7782	8097	8891	9544	9301	5876	5145	5084	5186	3994	5243	8932	5727	8118	9278	6537	8811
2732	2267	1824	1213	1555	886	1783	2617	3041	2504	1919	2966	2031	3731	2148	1508	2303	2211	1999	1396	2377	2329	1948	2665	1937	1554	1853	2013	1379	1505	1010	1721	1858	2486	1281	692	1448	1668	1663	1731	2117	2393	752	851	797	1339	1321	1401	2639	2872	2578	3116	2896	3260	2324	1830	1761	2403	2268	2328	2283	1876	1513	2463	1749	1624	2580	387	2296	1994	2504	1604	1616	2047	1512	1321	1843	1967	2286	2333	1929	1575	2002	1911	1892	2271	2425	1143	1231	894	1114	961	906	2087	1465	1593	2120	1722	2000
273	337	150	141	236	109	315	396	583	351	290	514	334	724	430	311	432	313	313	201	356	313	284	304	180	299	144	261	185	209	143	184	308	353	279	53	297	251	214	289	267	357	134	133	113	202	209	220	344	397	188	529	422	520	369	296	166	381	335	369	351	308	237	408	388	197	630	48	383	286	341	262	234	302	196	164	267	317	325	413	271	199	276	273	290	315	354	161	205	114	93	125	35	277	241	203	354	277	340
