E15B11a_1	E15B11a_3	E15B11b_1	E15B11b_2	E15B11b_3	E15B11c_1	E15B12_1	E15B1_2	E15B1_3	E15B2_2	E15B2_3	E15B3_2	E15B3_3	E15B4_3	E15B5b_2	E15B5b_3	E15B6a_2	E15B6a_3	E15B6b_2	E15B6b_3	E15B6c_2	E15B6c_3	E15B6d_2	E15B6d_3	E15B7_2	E15B7_3	E15B8_2	E15B8_3	E15B9_2	E15L1_1	E15L1_2	E15L1_3	E15L2_2	E15L2_3	E15L3_2	E15L3_3	E15L7_2	E15L7_3	E15L8_2	E15L8_3	E15L9_2	E15L9_3	E15N1_1	E15N1_2	E15N1_3	E15N3_2	E15P10b_2	E15P10b_3	E15P11b_2	E15P11b_3	E15P13b_2	E15P13b_3	E15P15b_1	E15P15b_2	E15P15b_3	E15P1a_2	E15P1a_3	E15P5a_3	E15P6a_2	E15P6a_3	E15P7a_2	E15P7a_3	E15P8b_2	E15P8b_3	E15P9b_3	E15X2_1	E15X6_1	E15X6_2	E15X6_3	E15X7_1	E15X8_1	E15B11c_2	E15B11c_3	E15B12_2	E15B12_3	E15B4_2	E15B5a_2	E15B5a_3	E15B9_3	E15L4_2	E15L4_3	E15L5_2	E15L5_3	E15L6_2	E15L6_3	E15N3_3	E15P11b_1	E15P12b_2	E15P12b_3	E15P14b_2	E15P14b_3	E15P3a_3	E15P4a_2	E15P4a_3	E15X7_2	E15X7_3	E15X8_2	E15X8_3	E15B11a_2	E15B1_1	E15B2_1	E15B3_1	E15B4_1	E15B5a_1	E15B5b_1	E15B6a_1	E15B6b_1	E15B6c_1	E15B6d_1	E15B7_1	E15B8_1	E15B9_1	E15L2_1	E15L3_1	E15L4_1	E15L5_1	E15L6_1	E15L7_1	E15L8_1	E15L9_1	E15N3_1	E15P10b_1	E15P12b_1	E15P13b_1	E15P14b_1	E15P1a_1	E15P3a_1	E15P3a_2	E15P4a_1	E15P5a_1	E15P5a_2	E15P6a_1	E15P7a_1	E15P8b_1	E15P9b_1	E15P9b_2	E15X2_2	E15X2_3	E15X4_1	E15X4_2	E15X4_3
83	110	90	176	120	105	89	723	121	86	88	99	79	87	146	98	100	99	138	89	74	71	328	97	54	64	108	85	190	1016	892	1200	421	279	0	0	0	0	47	46	101	78	88	60	83	271	103	113	66	53	342	69	782	637	833	70	92	88	77	67	83	51	165	384	3155	0	86	103	332	231	226	84	122	55	66	94	79	42	262	97	92	56	66	45	0	184	94	74	79	0	59	37	61	64	86	95	163	208	125	1691	87	84	75	65	130	83	74	79	166	87	115	283	691	88	88	178	0	0	57	90	184	272	121	87	64	156	95	48	88	64	77	117	55	497	5374	4887	32	0	0	0	64
217	283	237	310	287	234	162	1357	761	172	221	227	216	143	271	186	183	236	190	165	136	172	690	331	156	216	320	201	451	2034	2613	2054	800	662	72	42	35	39	160	116	235	211	116	102	132	693	448	471	183	133	219	145	1653	832	1241	240	164	221	196	120	150	94	659	705	6802	0	189	257	750	366	634	190	296	112	124	180	106	108	646	236	223	110	145	148	0	374	215	192	166	103	100	101	109	97	259	237	388	501	272	2004	179	191	151	112	265	174	150	220	657	199	283	318	1151	189	285	227	89	74	172	202	354	744	320	195	139	285	241	113	198	183	154	286	158	1422	10358	9348	101	89	0	0	77
619	915	804	888	860	770	382	1796	1867	533	636	638	555	301	527	468	612	663	346	435	346	469	1149	878	468	551	877	716	765	2952	3634	2652	610	1393	178	198	126	121	456	434	765	706	295	262	307	1082	1061	1119	581	363	548	447	1862	1326	1451	650	448	535	561	460	415	325	1623	1256	8015	90	607	591	745	554	1335	601	787	294	298	437	273	238	828	754	621	303	524	234	64	516	704	609	614	299	241	325	303	214	704	646	901	948	769	2872	613	458	448	287	680	675	357	564	1297	721	964	810	1646	206	873	691	147	213	621	631	805	1279	969	645	304	883	765	402	407	528	552	681	410	2082	10807	9965	251	237	43	32	147
1877	2779	2151	2542	2470	2244	1076	1942	1914	1363	1635	1515	1646	967	1495	1314	1634	1724	984	1081	963	1267	2330	2204	1389	1614	2388	2032	1689	2954	2986	3335	834	1173	399	463	349	327	1314	1339	1999	1604	767	678	845	1611	2010	2153	1480	1143	1353	1099	2639	2323	2204	1416	1315	1476	1707	1350	1171	981	2619	1375	5959	285	1415	1269	1555	1634	2899	1680	2222	879	930	1221	833	625	1671	1940	1726	844	1507	241	162	944	1691	1706	1521	922	645	812	893	649	1977	1734	1931	1775	2065	3460	1557	1195	1173	784	1815	1837	1064	1490	2781	1896	2431	2008	2115	429	2525	1820	275	627	1953	1752	1478	2663	2650	1691	986	2223	1766	1101	1075	1565	1385	1860	1184	2630	8124	7749	678	586	174	201	360
4405	6867	4988	6198	5888	5089	2573	2499	2904	3155	3964	3532	4087	2284	3791	3287	3613	4090	2292	2734	2442	2808	4315	4519	3138	3972	5872	4535	3412	3982	2187	4074	984	1081	813	786	667	749	2812	3413	4020	3373	1979	1833	2042	2892	4260	4586	3306	2985	3306	2448	4058	3698	2793	3029	3243	3267	3901	2854	2916	2469	2990	1890	2546	789	3294	2660	3280	3826	5392	3818	5121	2257	2226	3174	1971	1461	3544	4510	4187	2036	3033	493	400	2073	3940	4219	3650	2278	1565	1709	2095	1571	4597	4075	4176	4166	4743	3471	3560	2991	2597	1895	4206	4480	2279	3488	6270	4582	5171	3610	2474	1001	5835	4432	571	1295	4794	3697	2688	5803	6393	3478	2468	4610	3834	2359	2800	3807	3630	4572	2858	3711	3775	3702	1529	1302	383	476	780
8384	11966	10559	10992	10609	10267	4193	3708	3442	6055	7219	6889	7223	3852	6756	5395	7032	8475	4493	5236	4178	5678	7604	7732	5883	7455	10478	8947	5556	3877	2204	4052	1326	934	1436	1445	1314	1474	5443	6699	7104	6035	3686	3593	3485	4803	7244	8556	6435	5339	5333	4709	6711	5950	5233	5768	6195	6551	7447	5692	5499	4040	4843	3184	1627	1671	5539	5010	5669	7798	10624	7339	9267	3729	3849	5173	3240	2986	5924	8679	8030	3755	6236	837	722	3721	7721	7857	7299	3733	2849	3301	3587	2661	8048	7278	8142	8124	9168	3656	7374	5387	5199	3409	7465	9319	4346	5987	11287	8688	10133	6532	2973	1842	10770	9127	1000	2539	9134	6775	4861	9751	12010	6590	4090	8670	7164	4811	5049	7503	6827	8103	5724	6172	2883	2318	2804	2290	778	906	1368
12270	17616	14867	15843	15718	14631	7433	5612	4560	9485	11407	10246	10693	6757	11468	9738	10981	13211	7249	8519	6683	9254	10990	10912	8931	10986	15375	13389	8615	4619	2420	4284	1912	1228	2104	2276	1818	2112	7944	9752	9672	8418	7141	7336	6967	7804	9779	11145	8906	8417	8694	7551	10289	8959	7805	8624	8794	10751	11734	8761	9268	7372	7552	4867	1428	2667	8648	7601	8145	11790	15140	10599	13716	6149	6179	9261	6014	5311	8607	11421	11284	5910	9428	1543	1275	7345	11319	11615	10684	6354	4996	4669	6182	5167	12230	11067	12310	11808	13251	4331	11351	8759	8175	5706	12988	13960	7233	9569	14570	12275	14267	9674	3282	2878	15439	13046	1816	3574	12630	9743	8528	12888	16722	10119	6894	12080	9822	6743	8084	11781	11375	11919	8837	8462	2411	2069	4194	3699	1505	1462	1991
13523	21073	17135	17980	17927	16591	9182	4831	5224	11277	13626	12346	12847	9056	15385	12722	12387	15215	9521	11002	7946	11079	11450	11481	9854	12175	16494	14551	9854	4586	2429	3676	2135	1561	2379	2771	1943	2400	8329	10900	9945	8994	11027	11056	10471	11104	10352	11707	10545	9891	10551	9548	11439	10645	9432	9613	10008	13159	13837	10447	11858	9265	8480	5490	1296	3261	9876	8684	9967	13762	17553	12241	15653	7729	7756	11653	8036	7485	10459	12188	12230	7074	10772	1977	1771	10540	13247	12911	12105	7921	6864	5250	7674	6799	13343	12935	14183	13986	15089	5182	14225	10322	10887	8003	16738	16691	8911	11062	15325	13704	15681	11381	3469	3317	15629	15074	2367	3803	13627	10395	12552	13507	18775	11888	8879	13426	10585	7411	10193	14307	14349	13738	10524	9347	2119	1745	5033	4584	1922	1908	2214
12449	19114	14735	16071	15826	14244	9349	4609	4682	11481	14011	11926	12122	10149	16643	13949	12075	14538	10232	11382	7672	10998	9682	9675	8689	10334	14410	12913	9729	3544	1915	2827	2041	1718	2161	2588	1629	2194	7030	8992	8609	7252	13491	13442	12589	13413	8912	9623	9528	9351	10523	9801	10738	10200	8977	8697	8755	13138	13406	9944	11999	9874	8098	5396	899	3307	9500	8476	9216	12556	15813	11548	13942	7444	7670	12479	9134	8360	10388	9276	9922	6596	10080	2041	1945	12487	12728	11316	10626	8146	7438	4555	7901	7540	12135	12558	13792	13304	14246	5266	13678	10088	11394	8887	18567	15141	9137	10596	12271	11537	13145	11300	3414	3139	12714	13743	2572	3095	11116	8935	14555	11308	16166	11941	9258	11863	9114	5996	10081	14350	14122	12689	10641	8568	1557	1278	5066	4778	2024	1892	2083
7745	13063	9073	11476	11019	9285	6716	3164	3145	8228	10044	8583	8370	8345	13828	11126	8151	10376	7773	9153	5481	8256	5909	5521	5309	6326	8721	7757	7245	2177	1127	1636	1421	1463	1389	1751	884	1238	3866	5323	4842	4090	12361	12313	11547	11606	6083	6380	6421	6438	7909	7677	7346	6756	6226	5615	5832	9457	9259	6955	9561	7665	5219	3586	707	2368	6499	6381	6589	8519	10678	7845	9796	5879	5710	9881	7460	7189	7526	4576	5495	4821	6766	1646	1619	11438	8681	7009	7230	6423	6204	2845	5790	5956	7999	8122	9517	9236	9750	3975	9985	7010	9400	7388	14566	10475	6588	7154	6349	6894	7467	7834	2464	2082	6204	9216	2025	1664	6208	5076	13047	7552	10585	8634	7670	7067	5209	3568	8002	9977	10325	9123	8188	5811	1452	1004	4081	3822	1387	1382	1419
