E16B10_1	E16B10_2	E16B10_3	E16B11_1	E16B11_2	E16B11_3	E16B12_1	E16B12_2	E16B12_3	E16B13_1	E16B13_2	E16B13_3	E16B14_1	E16B14_2	E16B14_3	E16B15_1	E16B15_2	E16B15_3	E16B17_1	E16B17_2	E16B17_3	E16B18_1	E16B18_2	E16B18_3	E16B19_1	E16B19_2	E16B19_3	E16B1_1	E16B1_2	E16B1_3	E16B20_1	E16B20_2	E16B20_3	E16B21_1	E16B21_2	E16B21_3	E16B22_1	E16B22_2	E16B22_3	E16B2_1	E16B2_2	E16B2_3	E16B3_1	E16B3_2	E16B3_3	E16B4_1	E16B4_2	E16B4_3	E16B5_1	E16B5_2	E16B5_3	E16B6_1	E16B6_2	E16B6_3	E16B7_1	E16B7_2	E16B7_3	E16B8_1	E16B8_2	E16B8_3	E16B9_1	E16B9_2	E16B9_3	E16L10_1	E16L10_2	E16L10_3	E16L11_1	E16L11_2	E16L11_3	E16L1_1	E16L1_2	E16L1_3	E16L2_1	E16L2_2	E16L2_3	E16L4_1	E16L4_2	E16L4_3	E16L5_1	E16L5_2	E16L5_3	E16L6_1	E16L6_2	E16L6_3	E16L7_1	E16L7_2	E16L7_3	E16L8_1	E16L8_2	E16L8_3	E16L9_1	E16L9_2	E16L9_3	E16N1_1	E16N1_2	E16N1_3	E16N2_1	E16N2_2	E16N2_3	E16P10_1	E16P10_2	E16P10_3	E16P11_1	E16P11_2	E16P11_3	E16P12_1	E16P12_2	E16P12_3	E16P1_1	E16P1_2	E16P1_3	E16P2_1	E16P2_2	E16P2_3	E16P3_1	E16P3_2	E16P3_3	E16P4_1	E16P4_2	E16P4_3	E16P5_1	E16P5_2	E16P5_3	E16P6_1	E16P6_2	E16P6_3	E16P9_1	E16P9_2	E16P9_3	E16X1_1	E16X1_2	E16X1_3	E16X2_1	E16X2_2	E16X2_3	E16X3_1	E16X3_2	E16X3_3	E16X4_1	E16X4_2	E16X4_3
268	323	167	285	291	278	153	136	333	0	36	44	516	463	262	412	184	338	131	84	135	233	155	295	176	214	139	81	202	133	162	222	293	346	453	626	176	233	231	144	203	155	182	520	523	299	273	286	196	155	196	326	84	136	39	162	46	479	490	606	273	273	178	206	249	223	407	377	408	388	402	341	316	251	237	252	375	316	368	514	445	301	492	358	497	509	485	443	510	520	168	230	281	301	439	424	485	381	418	439	445	543	129	216	277	186	594	257	286	446	490	240	236	298	155	402	234	499	591	655	190	429	494	150	336	177	270	292	338	106	167	103	234	126	65	534	450	469	678	702	687
576	549	434	441	598	526	374	352	733	118	90	112	1613	1296	774	709	365	628	375	131	276	612	474	677	386	464	313	200	464	272	360	390	585	912	1026	1304	301	453	406	275	457	340	331	714	823	605	475	557	471	384	580	715	209	374	68	288	106	1556	1377	1561	687	504	345	620	690	687	1114	922	1109	830	1045	810	853	654	717	546	796	791	1033	1194	1164	771	1097	973	882	946	779	971	949	964	508	693	669	1000	1195	991	1172	1004	965	840	756	1071	351	514	587	524	1275	831	681	1143	1394	486	466	667	438	712	519	845	1031	1023	623	1060	1107	416	654	489	592	614	605	355	384	259	399	374	182	1462	1093	1268	1916	1884	1900
1243	1063	1007	752	1170	746	884	767	1428	290	204	218	3340	2568	1777	1088	631	873	907	270	711	1306	946	1472	850	830	735	582	1068	621	674	661	976	2149	2332	2631	524	766	651	523	737	593	619	1006	1187	1103	923	1228	1027	898	1057	1402	527	846	120	500	205	3300	3038	3543	1113	802	756	1458	1645	1391	2400	2342	2310	1936	2274	1626	1761	1472	1506	1146	1749	1374	2296	3050	2429	1610	2038	2022	1726	1686	1450	1828	1663	1694	1168	1278	1657	2390	2845	2678	2563	2122	1998	1220	1344	1685	735	1108	1390	1276	2946	1696	1599	2487	2544	834	863	1275	906	1283	1072	1096	1650	1584	1330	1879	2116	1060	1266	982	962	965	1101	792	829	536	658	780	489	3339	2639	2528	3825	3867	3751
2768	2004	2020	1172	1670	1294	1861	1651	2754	801	500	551	7441	6009	4033	1827	1027	1304	2285	586	1443	3142	2486	3483	1897	1433	1620	1456	2388	1569	1055	1006	1417	4950	4674	5214	938	1043	1002	979	1049	1126	1035	1351	1455	2250	1672	2248	2349	2153	2456	2707	1269	1738	249	937	507	7602	7305	8465	2064	1469	1547	2799	3428	2850	4928	4292	4963	3966	4768	3820	3350	3032	2968	2505	3537	3142	4934	6379	5451	3248	4125	4228	3051	3048	2585	3114	3098	3101	2465	3099	3966	4692	5577	5205	4761	4111	3819	2182	2528	3091	1587	2512	2927	3012	6541	4172	3528	5727	6257	1668	1834	2439	2180	2845	2475	1606	2333	2590	2896	4400	5174	2015	2640	1940	1891	2149	2623	1773	1815	1188	1644	1762	1079	7020	6231	6084	9788	9727	9636
4001	2882	3040	1382	1942	1827	2476	2572	4026	1284	796	988	12428	10070	6901	2224	1241	1643	3665	1106	2483	4919	4136	5259	2849	2162	2350	2350	3537	2425	1354	1229	1544	7848	6884	7472	1123	1261	1127	1372	1233	1497	1358	1562	1469	3291	2413	2919	3775	3401	3704	3884	2155	2574	531	1289	775	13515	12227	13824	2829	1928	2257	5677	7044	5855	9869	9182	10147	6600	7956	6672	6339	5931	6029	3952	5524	4943	8952	11604	10131	6046	7391	8066	4450	4532	3656	4238	4310	4334	3973	5234	6568	9920	11503	10668	9259	8590	7721	3273	3724	4287	2549	4178	4855	4802	10249	6786	5310	8702	9332	2453	2840	3479	3564	4347	4201	1990	2852	3229	4988	6955	8081	3701	4213	3749	2893	3365	3892	3060	2896	1952	2655	2906	1931	11916	10507	10626	15507	15354	15065
4491	3157	3382	1356	1874	1954	2646	2873	4610	1574	949	1220	15393	12420	8637	2349	1263	1652	4454	1370	3281	5830	4852	5870	3282	2491	2595	2693	3962	2863	1388	1229	1505	9177	8047	8669	1136	1315	1179	1498	1324	1362	1282	1506	1280	3842	2514	2955	4569	4078	4258	4195	2529	2893	747	1418	887	17127	15001	17064	3043	1914	2333	8072	10499	8370	14131	13173	14452	8257	10493	8331	8656	8088	8473	4637	6656	5964	11664	15183	13273	8398	9963	11105	4985	5308	4087	4487	4674	5011	4962	6722	7968	14071	16577	14939	12546	12478	11216	3790	4208	4841	3124	5160	6213	5645	11926	8023	5836	9721	10557	2734	3405	4030	4334	5083	5239	2125	2880	3315	6373	8603	9841	4918	5462	4948	3446	3782	4301	3870	3411	2393	3233	3594	2352	14631	12820	13109	18029	18330	17961
3767	2507	2985	1045	1462	1514	2140	2401	4029	1411	885	1068	14150	11402	7976	1873	959	1230	4098	1262	3027	5136	4094	4650	2640	2140	2217	2211	3444	2533	1143	920	1175	7954	6699	7379	875	934	1032	1348	1120	987	916	1184	821	3427	2210	2156	4323	3653	3717	3544	2193	2393	840	1250	750	15818	13952	15851	2516	1495	1733	8412	10844	8757	14745	13958	14861	7723	9797	7792	8859	8491	8893	4109	6219	5245	11304	15125	13107	8556	10194	11702	4363	4581	3772	3722	3896	4198	4665	6361	7481	15034	17779	16268	13262	13376	11012	3048	3571	3946	2894	5136	5917	4820	10409	7048	4917	8207	8679	2352	3063	3614	4029	4374	4641	1900	2321	2830	5978	7920	8776	5093	5416	4964	3139	3348	3584	3682	3081	2281	2976	3208	2112	13297	11636	11584	15588	15830	15176
1947	1289	1620	446	674	800	1006	1253	2410	853	581	714	9097	7109	5029	1005	431	533	2424	693	1833	3071	2213	2273	1420	1258	1185	1120	2047	1400	618	509	628	4362	3447	3693	504	370	481	776	569	451	435	660	428	1920	1205	969	2667	2258	2262	2081	1327	1321	687	715	422	10270	8548	9658	1296	704	788	6000	8096	6595	10854	10250	10892	4987	6219	5087	6441	6265	6476	2446	4033	3216	7653	10315	8757	6506	7297	8489	2857	2979	2442	2167	2214	2503	2973	4181	4788	11250	13199	11762	9493	10163	8492	1636	2038	2097	1888	3336	3989	2691	6234	3968	2499	4450	4364	1303	1812	2082	2653	2431	2698	1159	1330	1602	4008	5024	5512	3602	3953	3519	1818	1999	2147	2366	1945	1436	1911	1910	1205	7899	7064	6537	8488	8205	7662
558	459	590	196	297	304	375	397	855	246	230	230	2997	2498	1584	350	164	249	786	155	411	930	626	517	392	364	374	251	533	438	255	234	209	1177	926	1177	158	133	182	364	249	210	195	300	234	569	428	346	714	718	674	624	347	448	332	224	166	3317	2475	2904	374	265	318	2326	3362	2539	4412	4027	4246	1543	1941	1682	2472	2537	2242	633	1218	1033	2557	3728	3069	2440	2991	3422	971	1031	854	860	716	865	835	1261	1579	4496	5453	4946	3793	4124	3304	637	692	677	769	1240	1432	855	1876	1035	780	1317	1374	490	525	618	866	716	638	592	586	733	1216	1429	1522	1336	1453	1302	644	625	688	779	704	461	649	551	261	2210	2326	1590	2404	2329	2151
188	135	191	62	85	104	102	177	308	120	100	84	1162	760	592	123	50	38	164	0	81	230	110	169	108	128	103	71	167	104	66	64	97	409	270	346	48	47	36	147	81	63	84	95	93	158	132	146	204	176	279	224	126	152	43	82	64	1078	739	880	94	71	94	656	823	589	1246	1114	1178	497	754	546	859	645	632	124	466	341	767	1157	985	760	945	870	380	345	291	342	196	347	284	387	509	1615	1967	1701	1135	1314	976	187	243	247	295	346	409	232	630	277	182	318	421	163	164	202	262	207	217	178	190	223	393	511	547	400	493	466	201	192	206	226	254	141	186	155	69	679	571	623	793	826	702
