E16B10_1	E16B10_2	E16B10_3	E16B11_1	E16B11_2	E16B11_3	E16B12_1	E16B12_2	E16B12_3	E16B13_1	E16B13_2	E16B13_3	E16B14_1	E16B14_2	E16B14_3	E16B15_1	E16B15_2	E16B15_3	E16B17_1	E16B17_2	E16B17_3	E16B18_1	E16B18_2	E16B18_3	E16B19_1	E16B19_2	E16B19_3	E16B1_1	E16B1_2	E16B1_3	E16B20_1	E16B20_2	E16B20_3	E16B21_1	E16B21_2	E16B21_3	E16B22_2	E16B22_3	E16B2_1	E16B2_2	E16B2_3	E16B3_1	E16B3_2	E16B3_3	E16B4_1	E16B4_2	E16B4_3	E16B5_1	E16B5_2	E16B5_3	E16B6_1	E16B6_2	E16B6_3	E16B7_3	E16B8_1	E16B8_2	E16B8_3	E16B9_1	E16B9_2	E16B9_3	E16L10_1	E16L10_2	E16L10_3	E16L11_1	E16L11_2	E16L11_3	E16L1_1	E16L1_2	E16L1_3	E16L2_1	E16L2_2	E16L2_3	E16L4_1	E16L4_2	E16L4_3	E16L5_1	E16L5_2	E16L5_3	E16L6_1	E16L6_2	E16L6_3	E16L7_1	E16L7_2	E16L7_3	E16L8_1	E16L8_2	E16L8_3	E16L9_1	E16L9_2	E16L9_3	E16N1_1	E16N1_2	E16N1_3	E16N2_1	E16N2_2	E16N2_3	E16P10_1	E16P10_2	E16P10_3	E16P11_1	E16P11_2	E16P11_3	E16P12_1	E16P12_2	E16P12_3	E16P1_1	E16P1_2	E16P1_3	E16P2_1	E16P2_2	E16P2_3	E16P3_1	E16P3_2	E16P3_3	E16P4_1	E16P4_2	E16P4_3	E16P5_1	E16P5_2	E16P5_3	E16P6_1	E16P6_2	E16P6_3	E16P9_1	E16P9_2	E16P9_3	E16X1_1	E16X1_2	E16X1_3	E16X2_1	E16X2_2	E16X2_3	E16X3_1	E16X3_2	E16X3_3
244	0	236	201	175	298	246	698	60	67	145	72	243	351	354	255	119	115	44	178	191	222	407	205	50	0	89	117	305	236	0	178	133	127	384	285	135	101	0	133	140	0	99	0	234	119	187	387	150	243	95	171	172	127	586	357	673	104	132	465	212	105	80	191	203	283	580	243	168	365	129	278	330	225	312	524	157	455	288	141	189	266	204	243	287	102	180	247	654	260	318	546	187	224	139	184	441	391	482	218	64	142	408	92	278	542	246	333	173	113	207	218	192	152	204	48	118	283	168	213	168	339	177	342	361	274	138	160	221	81	145	348	275	478	475
513	0	457	423	373	706	546	1459	168	102	323	112	605	764	715	551	166	254	99	407	476	452	796	464	113	58	182	233	819	579	120	296	335	405	894	539	203	222	101	287	303	0	132	95	571	303	416	900	337	530	230	353	380	271	1342	868	1513	385	270	1055	479	252	157	500	364	572	1303	547	381	781	278	607	818	472	654	1183	356	1006	651	252	396	587	417	384	667	200	410	535	1448	561	761	1101	465	517	321	465	1037	930	1134	469	176	306	890	247	653	1305	568	788	429	260	370	492	433	265	519	158	256	628	489	529	416	685	376	790	812	645	300	416	460	162	357	698	676	953	1016
1152	135	942	927	793	1491	1215	2843	388	245	656	241	1306	1625	1463	1097	319	535	237	890	992	997	1857	988	253	166	417	554	1662	1192	297	531	663	1035	1795	1123	315	518	204	712	703	214	198	279	1259	748	849	1759	681	1162	486	664	868	513	2720	1905	3031	857	645	2246	935	560	396	1205	799	1196	2806	1013	855	1807	578	1335	1838	1024	1401	2526	774	2089	1233	591	920	1237	800	669	1317	477	877	1133	2929	1191	1524	2153	990	1207	699	992	2214	1978	2488	998	350	604	1796	536	1300	2563	1203	1742	984	586	838	1091	994	607	1170	357	609	1263	994	1095	876	1431	766	1470	1618	1380	689	865	953	404	767	1357	1382	1833	2071
2213	268	1929	1825	1620	2755	2143	5528	792	443	1246	493	2424	2876	2797	2083	680	1075	484	1715	1880	1943	3725	2042	528	391	807	1260	2952	2275	544	902	1261	1955	3626	2071	638	1116	435	1447	1364	510	303	495	2430	1370	1660	3316	1330	2174	957	1241	1677	951	5098	3440	5723	1685	1458	4473	1945	1043	924	2517	1540	2353	5290	1909	1568	3390	1163	2528	3394	1957	2766	5172	1623	3878	2258	1339	1715	2392	1646	1283	2383	950	1719	2255	5450	2207	3096	4035	1911	2438	1478	2067	3873	3575	4399	1808	899	1183	3291	1075	2220	4500	2315	3117	1920	1088	1663	2327	1896	1214	2061	736	1148	2514	1981	2231	1859	2768	1633	2692	2995	2543	1412	1519	2014	777	1362	2526	2790	3421	3928
4371	717	3999	3904	3230	5366	4227	9489	1780	926	2598	1048	5217	6267	5553	3961	1264	2361	877	3320	3986	4091	7370	4566	969	880	1937	2332	5789	4483	1175	1783	2513	4121	6750	4225	1651	2421	928	2891	2777	1056	525	1077	5097	2720	3915	6545	2637	4564	1726	2538	3478	1706	9579	6945	11294	3354	3035	8782	3586	1877	1613	4972	3446	4560	9027	3567	3037	7192	2641	5001	6694	4098	5424	9884	3440	7560	4353	2948	3318	4991	3220	3138	4895	1929	3552	4794	7665	4642	6652	8541	4273	4734	2879	4393	7486	7032	8052	4154	1977	2348	6880	2443	4446	8881	4751	6254	3840	2353	3461	4997	4006	2663	3921	1400	2311	5279	4080	4570	3461	5987	3331	5128	6291	5012	2916	3571	4057	1809	2519	4756	5460	6950	7808
6931	1226	6038	6219	5031	7793	6306	12975	2819	1660	4070	1666	8266	9531	8671	5740	1935	3785	1582	5249	6254	6534	11107	7145	1764	1562	3184	4006	8522	6890	1849	2926	3889	6399	10477	6468	2741	3811	1449	4559	4286	1686	779	1756	7907	4273	6343	9674	3970	6894	2902	3976	5275	2507	14263	10578	16725	5336	4693	13358	6185	3301	3251	8724	6017	7975	12210	5208	4519	11696	4397	8240	10203	6778	8386	14798	5791	11381	7518	4714	5546	8144	5468	5091	7649	3258	5614	7637	8980	7229	10879	13880	7377	7728	5317	7004	11227	10594	11764	6589	3292	3857	10440	3847	6875	12834	7423	9421	5815	3759	5521	7945	6317	4127	6026	2904	4064	8176	6658	6933	6122	9734	5387	7958	9685	7677	4784	5501	6244	3097	4081	7024	8366	10128	11726
8458	1512	6761	7431	5855	8684	6850	13961	3403	2171	5056	1963	10063	11819	10698	6242	2208	4342	2088	5996	7546	7824	12722	8461	2371	1954	3798	5080	9614	8067	2261	3705	4531	7462	12592	7362	3400	4448	1792	5391	5133	2081	895	2166	9235	5386	7581	11024	4698	7877	3825	4923	6143	2955	16328	12084	19214	6497	5762	15540	7988	4301	4719	11361	7894	10479	13006	5646	4955	14918	5711	10455	12502	8386	10181	17768	7353	13598	9887	5820	7275	10144	7246	6488	9086	4155	6982	9161	7884	8635	13762	17397	9474	9762	7205	8635	12902	12020	13141	8209	3965	4855	12325	4757	8098	14183	8641	10855	6751	4437	6698	9569	7546	5003	7148	4279	5373	9811	8288	8245	8175	11939	6915	9288	11132	9087	5907	6516	7220	3916	4814	8090	9523	11457	13340
7752	1446	5583	6409	5127	7007	5380	10878	2976	2033	4587	1793	9129	10581	9467	4719	2000	3626	2068	5391	6598	6914	10704	7333	2453	1822	3308	4887	8018	7092	2131	3487	3773	6208	10616	6204	2859	3843	1649	4665	4647	1842	733	1969	7726	5012	6450	8972	4100	6426	3693	4468	5187	2828	13751	10157	15958	6013	5014	13034	7746	4306	4793	11391	7919	10363	10250	4507	4107	14004	5614	9940	11189	7664	9171	16274	6892	12085	10041	5412	7054	9813	7289	6080	8457	4019	6439	8194	5201	7675	13104	16713	9118	9392	7470	8151	10920	9497	10427	7384	3637	4562	10496	4138	7016	11152	7436	8795	6158	3962	5911	8328	6599	4293	6319	4597	5517	8602	7665	7342	8462	11080	6483	8044	9186	7929	5558	5597	6143	3660	4326	6862	7926	9465	10475
4597	838	2788	3516	2685	3298	2278	4451	1570	1285	2601	996	4852	5566	5296	1897	1093	1783	1346	3115	3669	3679	5222	3829	1419	1069	1708	3185	3980	3728	1251	2013	1795	2898	5476	2950	1279	1906	972	2521	2550	949	326	1019	3871	2949	3114	4219	2351	3000	2303	2617	2543	1727	6875	4911	8070	3550	2779	6614	4976	2883	3220	7308	5173	6829	5003	2374	2156	8769	3493	6228	6266	4441	5440	9961	3958	7154	7064	3286	4547	6121	4850	3818	4593	2476	3837	4532	2123	4225	8286	10690	5728	6013	4838	4810	5596	3845	4665	4134	2113	2687	5255	2197	3479	4629	3843	4275	3421	2113	3218	4609	3502	2275	3601	3334	3856	4699	4414	4228	5895	6704	4093	4505	4224	4176	3306	3205	3221	2227	2354	3527	3815	4354	4560
788	110	615	530	724	752	419	1183	274	315	631	247	885	1227	1152	516	268	347	324	773	711	699	1254	503	224	195	259	994	1034	753	299	423	431	514	1300	559	126	379	254	632	813	321	96	310	934	636	607	952	523	648	660	726	592	571	1680	1381	1921	900	545	1524	1378	876	916	2144	1540	1979	1249	501	662	2617	958	1876	1490	860	1479	2829	687	1863	2540	923	1444	1820	1676	1195	1050	716	1139	989	758	976	2444	3335	1508	1695	1558	1543	1560	832	1036	835	378	685	1360	538	965	1004	672	753	858	419	827	986	644	545	1023	1237	1361	1177	950	1196	1990	1989	1255	1152	1046	1160	714	918	595	495	537	800	889	1278	1064
