E17B1_1	E17B1_2	E17B1_3	E17B2_1	E17B2_2	E17B2_3	E17B3_1	E17B3_2	E17B3_3	E17B4_1	E17B4_2	E17B4_3	E17B5_1	E17B5_2	E17B5_3	E17B6_1	E17B6_2	E17B6_3	E17B7_1	E17B7_2	E17B7_3	E17B8_1	E17B8_2	E17B8_3	E17B9_1	E17B9_2	E17B9_3	E17L1_1	E17L1_2	E17N1_1	E17N1_2	E17N1_3	E17N3_1	E17N3_2	E17N3_3	E17P10_1	E17P10_2	E17P10_3	E17P11_1	E17P11_2	E17P11_3	E17P12_1	E17P12_2	E17P12_3	E17P13_1	E17P13_2	E17P13_3	E17P1_2	E17P1_3	E17P2_1	E17P2_2	E17P2_3	E17P3_1	E17P3_2	E17P3_3	E17P4_1	E17P4_2	E17P4_3	E17P5_1	E17P5_2	E17P5_3	E17P6_1	E17P6_2	E17P6_3	E17P7_1	E17P7_2	E17P7_3	E17P8_1	E17P8_2	E17P8_3	E17P9_1	E17P9_2	E17P9_3	E17X2_1	E17X2_2	E17X2_3
779	594	746	386	642	396	646	622	557	904	850	617	614	445	374	257	213	228	301	439	214	609	469	417	117	151	131	168	125	597	939	1207	657	699	844	757	934	1871	572	842	1052	399	836	560	632	844	1001	1055	1204	1047	630	634	482	556	601	612	373	559	800	677	869	840	988	1324	1036	813	1038	841	642	778	1687	968	1961	692	712	0
1799	1408	1805	991	1599	1064	1536	1589	1542	2330	2076	1468	1550	1170	930	576	520	495	815	1150	569	1393	1140	1083	302	355	300	415	373	1441	2481	2821	1838	1812	2299	1867	2176	4609	1363	2088	2656	1068	2169	1357	1463	2068	2478	2678	2995	2721	1836	1563	1247	1420	1538	1527	963	1440	2046	1616	2209	2103	2259	3214	2421	2058	2563	1904	1721	1945	4060	2250	4486	1557	1644	0
3789	2984	3517	1892	3439	2268	3336	3542	3291	4772	4530	2929	3318	2466	1898	1175	1065	984	1743	2498	1141	2630	2202	2225	557	672	598	926	950	3207	5809	6181	4344	4184	5006	4076	4553	9405	2542	4482	5063	2358	4305	2966	2856	4640	5502	5786	6583	5460	3940	3024	2690	2977	3266	3054	2014	2957	4150	2983	4363	4552	4711	6586	4686	4323	5302	4357	3634	4147	7945	4584	10697	2997	3527	757
7108	6287	7190	3792	6802	4890	6485	7388	6720	9519	8895	5830	6704	4765	3707	2258	2277	1764	3344	4950	2310	5374	4547	4580	1063	1456	1189	1474	1624	7218	12056	12004	9395	9219	9741	7514	9081	17043	4844	9125	9713	4407	8623	5917	5212	9205	10389	12653	12846	10195	8702	6126	5080	5639	6610	6018	4277	6284	7361	6372	8338	8456	9405	12072	8454	8174	9939	7579	7498	7955	15300	8105	19746	6060	6964	1702
10212	8945	10517	5605	10051	7183	9422	10659	9808	13720	12443	8246	9655	6885	5332	3023	3191	2328	4835	7131	3220	7990	6968	6439	1600	2253	1722	1916	2125	11621	18319	19404	14710	14344	16135	9519	11615	21769	6829	12380	13928	6338	12609	8279	7098	12001	13748	18224	18588	15077	12481	8974	6863	8079	9123	8224	6082	8803	10031	8950	11624	10889	12214	15899	11240	11477	13294	9878	9888	10552	20437	10954	24993	8449	9563	2107
10984	9919	11120	6138	11126	8028	10628	11913	10635	14530	13567	8680	10728	7531	5888	3050	3437	2510	5004	7502	3302	8767	7733	7132	1788	2524	1964	1941	2130	13575	21896	22789	17442	17270	18680	9278	11393	20661	7203	12887	13691	6712	13243	9063	6910	12129	13590	20200	20580	16118	13011	9412	6989	8262	9791	8370	6552	9331	10050	9206	11797	11072	12296	15673	11382	11487	13558	9525	10012	10910	20146	10536	24232	8728	9862	1803
9203	8072	9048	5218	9243	6808	9039	9620	8849	11450	10733	6772	8560	6179	4895	2226	2627	1916	4033	6033	2666	7075	6336	5886	1526	2086	1676	1426	1569	11845	18554	19967	15448	14488	15956	6349	7450	13391	5425	9651	10603	5506	10436	7010	5148	8481	9558	15676	16174	13029	9866	7420	5275	6361	7279	6329	5085	7133	7383	6780	8832	7979	8528	11077	8412	8858	9688	6939	7027	7828	14180	7463	17664	6707	7716	747
5112	4458	4467	2934	5227	3612	5016	5387	4621	5899	5705	3673	4780	3358	2634	1123	1385	1028	2116	3133	1307	4087	3416	3122	849	1151	954	764	839	7060	11132	11111	9140	8805	9616	3000	3307	5823	2739	4566	5041	2999	5105	3796	2431	3970	4535	8393	9197	7064	4332	3655	2602	3130	3786	3108	2558	3565	3699	3219	4284	3594	3910	5274	4187	4307	4655	3424	3195	3633	6205	3281	8122	3198	3884	324
1889	1575	1734	1177	1973	1285	1795	2148	1783	2334	2200	1642	1854	1269	1058	498	581	430	720	1008	526	1648	1194	1245	346	441	387	343	328	2616	4069	4636	3234	3200	3744	1307	1400	2394	1262	1833	2082	1091	1961	1424	1056	1545	1939	3310	3422	2745	1703	1461	1068	1262	1380	1351	957	1425	1460	1316	1698	1565	1612	2228	1783	1621	1858	1398	1364	1485	2474	1321	3233	1335	1581	91
493	458	546	454	640	355	503	669	579	679	655	532	576	385	294	166	188	146	254	284	175	477	364	430	106	141	132	101	93	808	1203	1574	941	977	1223	433	389	722	361	491	605	390	607	449	409	397	616	991	996	869	441	393	310	407	393	436	254	518	459	350	476	424	379	629	561	451	560	425	438	434	651	373	962	415	430	0
