E18B10_1	E18B10_2	E18B10_3	E18B11_1	E18B11_2	E18B11_3	E18B12_1	E18B12_2	E18B12_3	E18B1_1	E18B1_2	E18B1_3	E18B2_1	E18B2_2	E18B2_3	E18B3_1	E18B3_2	E18B3_3	E18B4_1	E18B4_2	E18B4_3	E18B5_1	E18B5_2	E18B5_3	E18B6_1	E18B6_2	E18B6_3	E18B7_1	E18B7_2	E18B7_3	E18B8_1	E18B8_2	E18B8_3	E18B9_1	E18B9_2	E18B9_3	E18L1_1	E18L1_2	E18L1_3	E18L4a_1	E18L4a_2	E18L4a_3	E18L4b_1	E18L4b_2	E18L4b_3	E18LD1_1	E18LD1_2	E18LD1_3	E18LD2a_1	E18LD2a_2	E18LD2a_3	E18LD2b_1	E18LD2b_2	E18LD2b_3	E18LD3_1	E18LD3_2	E18LD3_3	E18N1_1	E18N1_2	E18N1_3	E18N2_1	E18N2_2	E18N2_3	E18N3_1	E18N3_2	E18N3_3	E18P10_1	E18P10_2	E18P10_3	E18P11_1	E18P11_2	E18P11_3	E18P12_1	E18P12_2	E18P12_3	E18P1_1	E18P1_2	E18P1_3	E18P2_1	E18P2_2	E18P2_3	E18P3_1	E18P3_2	E18P3_3	E18P4_1	E18P4_2	E18P4_3	E18P5_1	E18P5_2	E18P5_3	E18P6_1	E18P6_2	E18P6_3	E18P7_1	E18P7_2	E18P7_3	E18P8_1	E18P8_2	E18P8_3	E18P9_1	E18P9_2	E18P9_3	E18X1_1	E18X1_2	E18X1_3	E18X2_1	E18X2_2	E18X2_3	E18X3_1	E18X3_2	E18X3_3	E18X4_1	E18X4_2	E18X4_3	E18X5_1	E18X5_2	E18X5_3	E18X6_1	E18X6_2	E18X6_3	E18X7_1	E18X7_2	E18X7_3	E18X8_1	E18X8_2	E18X8_3
607	386	512	526	480	430	662	640	506	637	712	595	626	551	476	552	525	394	721	746	548	697	769	531	584	690	524	596	614	568	525	543	441	650	471	569	493	350	294	622	685	498	647	842	647	516	321	109	715	752	566	1075	800	877	430	399	331	670	959	429	596	941	490	485	663	475	509	676	489	512	513	532	498	497	423	445	681	442	549	622	535	457	402	395	602	425	432	582	483	537	624	673	616	846	744	669	845	883	804	608	824	506	647	714	598	621	1039	729	558	658	460	543	532	429	483	542	385	853	881	516	555	617	539	753	787	428
1107	1035	1046	1010	1085	990	1228	1365	1162	1241	1249	1248	1105	1183	1104	1172	959	995	1538	1578	1147	1238	1484	1295	1219	1568	1250	1129	1391	1130	1172	1082	1085	1371	1034	1244	602	706	535	1075	1593	1121	1210	1507	1213	981	746	222	1193	1244	1260	1884	1682	1762	623	777	484	1255	2031	1272	1159	2019	875	965	1344	1036	1006	1436	1090	1132	1109	1071	1060	1028	941	992	1349	954	1193	1182	1131	1008	873	942	1112	733	986	1220	937	1164	1378	1213	1296	1476	1402	1402	1480	1683	1684	1195	1719	1143	1155	1269	1238	1208	2163	1292	1155	1377	1324	989	1190	1030	1008	1292	1029	1398	1601	1032	1222	1448	1158	1403	1455	927
1458	1218	1472	1264	1558	1377	1649	1835	1927	1588	1796	1681	1322	1468	1437	1437	1224	1368	1615	1788	1480	1552	1925	1726	1390	2149	1636	1414	1880	1649	1559	1525	1531	1534	1512	1699	854	975	767	1303	2041	1555	1362	1730	1595	1151	1011	416	1466	1513	1670	2021	1774	2025	771	1078	760	1480	2516	1514	1533	2203	1758	1391	1922	1617	1161	1676	1346	1387	1499	1626	1258	1349	1405	1057	1603	1261	1458	1552	1409	1216	1222	1335	1279	1128	1217	1431	1518	1561	1603	1451	1707	1701	1528	1659	1600	1839	1716	1444	2131	1473	1342	1631	1467	1473	2496	1683	1497	1967	1578	1423	1563	1533	1297	1681	1394	1489	2060	1287	1480	1710	1601	1469	1635	1330
2163	1895	2318	1863	2313	1975	2443	2596	2544	2323	2684	2362	2275	2311	2290	2173	2107	2075	2505	2893	2203	2271	2831	2457	2342	3003	2510	2292	2594	2526	2214	2347	2257	2572	2281	2596	1339	1577	1398	2153	3215	2186	2232	3052	2490	1926	1729	781	2187	2425	2399	3491	2888	3306	1175	1773	1151	2294	4177	2555	2165	3512	2261	1956	2726	2294	1885	2484	2058	2278	2061	2173	1963	2146	2077	1571	2499	1960	2372	2074	2371	2011	1706	2111	2058	1587	2028	2188	2162	2565	2505	2441	2550	2730	2428	2751	2742	3133	2798	2012	3026	2253	2003	2669	2395	2562	4131	2685	2092	2837	2648	2116	2225	2091	2108	2787	2350	2353	3110	2167	2135	2908	2430	2591	2736	1898
3261	3033	3531	2859	3577	3139	3728	4137	4028	3510	4240	3765	3558	3735	3561	3294	3274	3274	3571	4118	3330	3473	4318	3782	3594	4554	3838	3592	4391	3942	3510	3927	3678	3948	3707	4079	1856	2142	1700	3151	4867	3358	3151	4413	3560	2580	2274	993	3362	3680	3648	4715	4075	4475	1699	2336	1609	3492	6217	3692	3492	5273	3495	2956	4297	3788	2898	3920	3022	3348	3386	3535	3139	3341	3281	2404	3934	2774	3239	2989	3373	3178	2872	3382	3118	2631	3167	3496	3667	3973	3855	3530	3814	3669	3200	3575	3711	4017	3880	3151	4612	3435	3066	4076	3440	3515	6071	3916	3166	4589	3766	3279	3641	3222	3156	4464	3654	3127	4305	3045	3217	4082	3311	3564	3651	2989
6443	6174	6446	5638	6913	5740	7615	8615	7776	7493	8396	7359	7361	7946	7242	6686	6734	6364	7279	7863	6718	6980	8680	7263	6820	8906	7124	7101	8820	7560	7219	7764	7347	7952	7720	7797	3316	3561	2610	6570	9628	6653	6126	7964	6394	4421	3732	1708	6485	7296	6949	8483	7371	8078	3063	3826	2773	7052	11618	7016	6774	9979	6504	6063	8339	7086	5763	7387	5869	6871	6866	7041	6684	7082	6333	4846	7476	5334	5994	6368	6411	6926	6147	6852	6393	5346	5651	7211	7494	7664	7265	7402	7355	6104	5937	6196	6520	7014	6897	6584	9087	6857	6492	8348	6902	6836	11829	7445	6311	9613	7075	6657	7181	6682	6506	8578	7050	5401	7501	5352	6071	8008	6069	6687	6746	5699
6495	6608	6733	6226	7185	6083	7774	9367	8157	7770	8804	7516	7867	8489	7636	6941	7221	6693	7789	8211	7086	7185	9083	7147	6589	8749	6840	7017	9091	7735	7735	8087	7903	8231	8341	8068	3641	3691	2555	6728	9669	6706	6511	8169	6467	4686	3713	1949	6851	7353	7254	8511	7484	8031	3317	3939	2893	7308	12076	7172	6893	10794	6783	6462	8880	7381	6144	7586	6087	7342	6928	7393	7246	7420	6702	5342	7800	5637	6037	6706	6729	7505	6743	7521	7337	5910	6269	7641	7747	8255	7695	7522	7677	6064	5928	6290	6484	6752	7002	6855	8797	6988	6871	8864	7223	6645	11997	7203	6395	9208	6998	7042	7777	7079	6892	9234	7362	5277	7629	5239	6063	8575	5905	6623	6933	6086
6040	6311	6381	5782	6871	5682	7008	8963	7540	7142	8215	7346	7342	7773	7117	6509	6810	6384	7059	7463	6652	6396	8144	6858	5677	8041	6023	6614	8694	7080	7506	7779	7671	7598	7841	7771	3525	3449	2299	6112	8738	6282	5815	7315	5913	4367	3479	2054	6425	6738	6958	7524	6619	7504	2998	3490	2675	6586	11121	6706	6479	9868	6229	6195	8476	6876	5473	6700	5671	6771	6430	7212	6984	7209	6790	4923	7284	5282	5540	6266	6326	7411	6748	7547	7053	5646	6228	7225	7656	7847	7238	6944	7521	5401	5361	5855	6021	5919	6384	6401	8014	6838	6422	8514	6922	6038	11277	6682	5672	8623	6444	6901	7297	6674	6625	9049	7083	4603	6824	4918	5609	8044	5508	5824	6825	6045
2883	3109	3125	2852	3495	2707	3286	4408	3325	3297	3893	3277	3557	3748	3359	2959	3185	3061	3203	3261	2938	2794	3798	2854	2357	3468	2569	3067	4151	3281	3614	3706	3930	3385	3850	3515	1867	1790	1025	2681	3843	2735	2677	3226	2585	2062	1628	1297	2949	3092	3215	3250	2683	3175	1610	1526	1260	3155	4927	3025	3234	4653	3082	3528	4065	3358	2656	2870	2698	3569	2952	3510	3732	3589	3444	2317	3522	2514	2627	3162	3127	3849	3696	3937	4182	3214	3368	3390	3675	3909	3369	3200	3523	2369	2269	2582	2564	2362	2742	3083	3438	3243	3004	3983	3096	2525	5042	2840	2471	3937	2934	3636	3627	3330	3251	4600	3394	1727	2975	2121	2396	4144	2409	2333	3201	2908
1231	1188	1461	1096	1420	1141	1268	1871	1584	1371	1464	1525	1535	1597	1471	1494	1398	1396	1615	1614	1459	1306	1908	1366	938	1714	1229	1253	1782	1412	1566	1580	1576	1456	1578	1580	709	696	461	1222	1644	1217	1041	1353	1159	810	579	487	1440	1319	1660	1681	1292	1611	592	807	553	1371	2480	1335	1015	2004	1227	1035	1680	1249	1109	1201	1194	1247	1130	1503	1457	1377	1416	1001	1246	1244	1182	1175	1419	1590	1323	1550	1425	1033	1392	1620	1634	1816	1600	1478	1664	1035	1055	1274	1252	1064	1353	1283	1621	1323	1319	1764	1354	1255	2497	1471	1020	1842	1161	1443	1621	1290	1337	1805	1414	809	1239	916	1110	1761	1062	1083	1388	1180
