E18B10_1	E18B10_2	E18B10_3	E18B11_1	E18B11_2	E18B11_3	E18B12_1	E18B12_2	E18B12_3	E18B1_1	E18B1_2	E18B1_3	E18B2_1	E18B2_2	E18B2_3	E18B3_1	E18B3_2	E18B3_3	E18B4_1	E18B4_2	E18B4_3	E18B5_1	E18B5_2	E18B5_3	E18B6_1	E18B6_2	E18B6_3	E18B7_1	E18B7_2	E18B7_3	E18B8_1	E18B8_2	E18B8_3	E18B9_1	E18B9_2	E18B9_3	E18L4a_1	E18L4a_2	E18L4a_3	E18L4b_1	E18L4b_2	E18L4b_3	E18LD2a_1	E18LD2a_2	E18LD2a_3	E18LD2b_1	E18LD2b_2	E18LD2b_3	E18N1_1	E18N1_2	E18N1_3	E18N2_1	E18N2_2	E18N2_3	E18N3_1	E18N3_2	E18N3_3	E18P10_1	E18P10_2	E18P10_3	E18P11_1	E18P11_2	E18P11_3	E18P12_1	E18P12_2	E18P12_3	E18P1_1	E18P1_2	E18P1_3	E18P2_1	E18P2_2	E18P2_3	E18P3_1	E18P3_2	E18P3_3	E18P4_1	E18P4_2	E18P4_3	E18P5_1	E18P5_2	E18P5_3	E18P6_1	E18P6_2	E18P6_3	E18P7_1	E18P7_2	E18P7_3	E18P8_1	E18P8_2	E18P8_3	E18P9_1	E18P9_2	E18P9_3	E18X1_1	E18X1_2	E18X1_3	E18X2_1	E18X2_2	E18X2_3	E18X3_1	E18X3_2	E18X3_3	E18X4_1	E18X4_2	E18X4_3	E18X5_1	E18X5_2	E18X5_3	E18X6_2	E18X6_3	E18X7_1	E18X7_2	E18X7_3	E18X8_1	E18X8_2	E18X8_3
168	69	175	164	132	0	97	185	244	139	158	159	210	231	196	148	214	213	210	420	194	156	180	224	144	160	151	134	138	180	142	96	120	123	146	147	162	158	159	69	114	162	172	120	126	506	519	127	0	196	282	98	119	222	114	159	218	301	87	201	172	113	173	127	196	173	231	431	290	214	187	131	262	182	527	91	119	147	334	120	143	194	165	170	107	76	94	280	386	484	220	300	113	139	134	185	461	191	609	84	237	189	120	210	171	86	106	211	211	148	126	110	182	425	237	231
252	107	218	134	183	80	197	301	428	233	317	278	312	327	286	235	373	326	337	801	330	301	246	439	238	288	283	246	260	285	272	159	0	289	231	288	286	315	328	108	278	268	292	229	240	1025	982	226	91	321	486	209	216	363	203	218	386	451	135	392	274	211	296	287	337	297	499	854	449	352	368	221	542	411	1088	192	218	249	691	237	249	394	286	336	281	83	144	545	793	815	403	612	168	237	254	278	1000	359	1262	177	481	344	160	332	288	131	201	396	369	300	278	246	361	813	409	432
483	201	424	221	308	147	355	780	848	500	651	582	652	706	633	530	744	688	861	1532	587	568	550	875	454	642	556	477	520	609	517	306	599	479	509	594	685	536	608	224	597	555	641	425	519	2180	2145	381	209	677	891	340	404	719	401	537	766	894	262	765	592	356	604	494	696	603	1013	1671	867	748	766	468	1094	778	2540	416	455	551	1632	441	562	784	616	608	555	212	276	1260	1825	1938	794	1174	376	500	561	599	2125	927	2874	330	934	727	333	767	560	231	406	914	800	525	580	562	689	1751	894	913
889	395	823	395	562	323	766	1443	1759	981	1222	1055	1274	1469	1254	1018	1410	1467	1508	2719	1051	1123	1118	1596	902	1256	1051	963	1043	1242	991	538	1157	966	999	1086	1260	1064	1189	406	1042	966	1196	868	1079	4375	4120	882	540	1254	1752	655	727	1486	753	976	1534	1763	541	1455	1108	689	1083	837	1262	1108	1967	2954	1610	1357	1397	863	2121	1420	4881	881	884	1018	2932	909	1107	1705	1216	1239	969	426	616	2217	3566	3799	1613	2203	738	990	1079	1100	3865	1747	5527	610	1883	1472	669	1430	1150	446	699	1590	1389	905	1038	1044	1288	3317	1760	1714
1684	868	1483	700	930	516	1449	2560	3322	1867	2246	1969	2440	2671	2206	1827	2574	2693	2689	4961	1876	2026	2293	2974	1734	2224	2169	1760	2012	2546	1849	1058	1883	1743	1902	1919	2327	2163	2395	766	1974	1637	2389	1527	1998	7578	7296	1597	1046	2486	3480	1195	1470	2624	1394	1920	2519	3036	1009	2881	2091	1249	1911	1495	2420	1960	4395	6235	3297	2549	2809	1649	4490	3183	10156	1770	1708	2102	5311	1700	2186	3035	2549	2459	1939	807	1180	4433	6839	6851	2957	4044	1164	1885	2165	1971	8771	3645	10785	1198	3235	2415	1358	2432	2047	787	1275	2710	2443	1603	1988	1745	2536	6704	3042	3505
3017	1494	2842	1195	1699	963	2530	4724	5732	3711	4324	3788	4390	4870	3941	3586	4500	4659	5128	9366	3454	3796	4262	5434	3170	4297	3608	3251	3741	4415	3443	2047	3433	3306	3439	3592	4282	3667	4284	1369	3413	2836	4108	2986	3419	13956	13233	2877	2228	4325	5822	2303	2492	4737	2731	3558	4801	5586	2063	4959	3680	2287	3491	2722	4435	3552	6785	9888	5146	4487	4835	2889	6730	4945	15892	2964	2989	3583	9961	3418	4146	5328	4625	4313	3337	1561	2261	7694	12197	12187	4981	7011	2075	3258	3589	3623	13620	5624	17032	2264	5783	4212	2597	4644	3762	1469	2386	4733	4492	2816	3392	3040	4081	11928	5588	5919
4206	2110	3949	1700	2345	1423	3412	6426	7761	5328	6312	5334	6035	7015	5631	5260	6116	6756	7254	12922	4882	5395	5906	7507	4342	6165	5106	4719	5196	6040	4556	2835	4903	4658	4701	5158	5954	4833	5723	1783	4358	3720	5471	4081	4494	18979	17979	3882	3256	5870	8310	3321	3561	6740	3824	4937	6806	7769	2798	6570	4883	3109	4738	3786	5979	4666	8147	11823	6151	5731	6202	3811	7834	5841	19045	3826	3971	4620	13843	5001	5717	7288	6124	5559	4370	2166	3006	10310	16724	16746	6540	9229	2707	4571	4846	4926	16159	6357	19917	3124	8083	5727	3844	6674	5318	1978	3195	6281	6383	3926	4508	4042	5377	15799	7750	8303
4347	2243	4027	1840	2367	1574	3524	6533	7783	5590	6531	5470	6510	7374	5976	5447	6385	7342	7389	12721	4887	5674	6223	7335	4585	6649	5474	4963	5645	6438	4673	2996	5043	4874	4861	5392	6121	4913	5620	1786	4220	3749	5447	4108	4509	18543	17917	4015	3447	6308	8276	3552	3690	6924	4057	5046	6908	7953	2819	6288	4877	3071	4860	3823	6017	4688	6785	10227	5232	5211	5654	3535	6681	4768	16266	3410	3754	4338	13987	5273	5908	6876	5894	5263	4525	2197	3243	10264	16610	16793	6598	8839	2698	4795	5003	4810	13430	5060	16413	3226	8345	5752	3903	7085	5694	1988	3163	6024	6516	3976	4384	3829	5279	16369	8333	8739
3499	1932	3322	1564	1986	1347	2683	5180	6068	4396	5181	4293	5272	5957	4752	4247	5088	5920	5956	10197	3950	4347	5004	5833	3679	5282	4367	4075	4557	5330	3474	2439	3915	4082	4155	4615	4757	3811	4600	1432	3316	2924	4386	3133	3659	14537	13279	3041	2688	4936	6574	2838	2958	5931	3239	4026	5563	6392	2283	4957	4100	2445	3868	3101	4706	3618	4033	6055	3140	3684	3769	2452	4026	2561	9126	2167	2533	2737	10826	4044	4634	4543	3904	3495	3414	1685	2544	8034	12275	12477	5217	7134	2045	3802	4050	3737	7585	2854	10176	2613	6533	4364	3198	5600	4544	1515	2335	4726	5244	3403	3261	2794	3831	12959	6558	7201
2546	1371	2431	1074	1401	956	1870	3538	4218	2968	3372	2737	3603	4199	3219	2881	3374	4223	3956	6285	2339	2739	3111	3711	2531	3836	3044	2791	3019	3569	2372	1693	2680	3062	3063	3503	3301	2505	3062	946	2060	2146	2840	2151	2538	8724	8205	1961	1604	3452	4236	1860	1954	3864	1994	2510	3307	4585	1620	3297	2876	1798	2740	2406	3321	2564	1758	2785	1389	1808	1842	1223	1799	1224	4354	1056	1246	1212	6814	2510	2987	2241	1958	1694	2201	1037	1584	5331	8076	8156	3433	5382	1510	2669	2758	2482	3714	1530	5567	1714	4541	2882	2079	3732	3043	949	1514	3179	3584	2103	2020	1762	2599	8331	4365	5063
