E18B10_1	E18B10_2	E18B10_3	E18B11_3	E18B12_1	E18B12_2	E18B12_3	E18B1_1	E18B1_2	E18B1_3	E18B2_1	E18B2_2	E18B2_3	E18B3_1	E18B3_2	E18B3_3	E18B4_1	E18B4_2	E18B4_3	E18B5_1	E18B5_2	E18B6_1	E18B6_2	E18B7_1	E18B7_2	E18B7_3	E18B8_1	E18B8_2	E18B8_3	E18B9_1	E18B9_2	E18B9_3	E18L4a_1	E18L4a_2	E18L4a_3	E18L4b_1	E18L4b_2	E18L4b_3	E18LD2a_1	E18LD2a_2	E18LD2a_3	E18LD2b_1	E18LD2b_2	E18LD2b_3	E18N1_1	E18N2_1	E18N2_2	E18N2_3	E18N3_1	E18N3_2	E18N3_3	E18P10_1	E18P10_2	E18P10_3	E18P11_1	E18P11_2	E18P11_3	E18P12_1	E18P12_2	E18P12_3	E18P1_1	E18P1_2	E18P2_1	E18P2_2	E18P2_3	E18P3_1	E18P3_2	E18P3_3	E18P4_1	E18P4_2	E18P4_3	E18P5_1	E18P5_2	E18P5_3	E18P6_1	E18P6_2	E18P6_3	E18P7_1	E18P7_2	E18P7_3	E18P8_1	E18P8_2	E18P8_3	E18P9_1	E18P9_2	E18P9_3	E18X1_1	E18X1_2	E18X1_3	E18X2_1	E18X3_1	E18X3_2	E18X3_3	E18X4_1	E18X4_2	E18X4_3	E18X5_1	E18X5_2	E18X5_3	E18X6_1	E18X6_2	E18X6_3	E18X7_1	E18X7_2	E18X7_3	E18X8_1	E18X8_2	E18X8_3
399	139	188	693	329	358	260	195	234	222	252	379	346	136	578	319	537	1125	413	509	561	252	325	236	169	301	118	142	78	243	474	215	239	340	273	0	186	111	353	268	262	388	360	459	215	81	487	611	53	141	206	376	139	276	200	194	147	287	143	156	332	457	183	0	354	231	135	207	183	93	369	363	131	361	298	294	402	502	91	222	672	431	434	480	596	626	289	489	505	209	86	142	599	92	305	593	0	252	246	97	173	136	155	544	347	296	520	252
621	308	371	1066	907	936	855	976	820	998	827	1031	921	641	1203	1020	1685	1481	1611	1586	2091	1309	1657	764	534	1002	372	507	262	1063	853	803	708	1092	663	227	519	338	984	893	850	1739	1158	1482	1360	300	1631	2035	211	600	689	900	823	1378	680	499	524	605	485	687	719	962	375	70	1071	768	496	716	378	237	630	1181	476	1543	686	781	1259	435	136	532	1744	1622	1778	1353	1279	1543	1480	1629	1432	1130	330	565	1935	312	818	1725	86	873	723	172	337	387	255	1189	764	594	1081	739
1615	959	1053	2372	2557	2827	2398	2730	2342	3255	2347	2968	3065	1897	3290	2898	4879	4643	4314	4476	5610	3733	4405	2299	1748	2985	1236	1514	859	3079	2654	2169	2178	3326	2254	738	1345	996	3048	2668	2486	4895	3329	3949	3951	854	4370	6189	735	1727	1820	2388	2223	3822	1966	1344	1691	1787	1463	2046	1896	2477	1194	245	2947	2213	1469	2491	939	650	1529	3822	1641	5173	2202	2141	3908	1032	403	1453	5120	6011	4605	3825	3573	4107	4774	4439	4150	3347	1064	1880	4924	1134	2530	5295	287	2709	1955	558	1002	1016	821	3357	2014	1648	3383	2120
4057	2434	2901	5447	7519	7813	6862	8000	6937	8882	6970	8243	8763	5604	9564	7935	13129	11818	12596	13900	15850	11172	12818	6292	4260	7594	3027	4648	2588	8411	7225	6277	6068	8769	5616	2192	2956	2241	7725	8146	6908	13269	9886	11641	12202	2564	12246	16158	2037	4705	5008	6676	6244	11219	5124	3646	4094	4471	4155	5410	5288	6733	3102	621	8398	5881	4489	6424	2544	1352	4024	10233	4236	14439	5596	6603	10426	2807	1295	3905	12853	14244	13998	10169	9211	11468	12360	12800	11605	9370	2973	4719	12756	3006	6379	14237	680	7229	5634	1589	2789	2841	1869	8784	5405	4275	9032	5175
5998	3641	4470	7472	11424	11815	10264	12189	10879	14025	10707	12670	13882	8381	14335	12144	20134	18018	19097	21907	24751	17104	19426	10031	6984	12302	4921	7057	3991	13576	11572	9976	9978	13959	9722	3475	5034	3661	12390	13131	11154	20491	15626	18315	18735	3862	17325	23049	3241	6659	7131	10412	9660	17652	8439	6436	7297	7126	6832	9187	8054	10113	4825	1112	12182	9276	7204	10883	3710	2353	6329	16276	7140	24134	8817	10345	17040	3866	1872	6077	19629	13478	21422	17126	16109	19210	20106	21046	18943	15460	4627	7116	18901	4775	9719	21829	1131	10805	8645	2445	4418	4145	3093	12951	8116	6065	12640	7745
6268	3972	4678	7139	11515	11794	10569	12429	11159	14542	11051	12639	14192	8367	14413	12578	20297	18404	19754	22017	24752	17253	19279	10165	7419	12868	5309	7155	4127	14410	12473	10264	10588	15140	11005	3700	5541	3772	13566	13646	11969	20370	16345	18566	18100	3720	17129	21992	3280	6511	7162	10986	9996	18256	9354	7297	8269	7864	7537	10054	8007	10291	4920	1236	11846	9886	7712	11695	3849	2604	6519	16796	7494	25262	9242	10827	17864	3819	1921	6555	19770	10758	20780	19064	18032	20946	21589	22224	20834	15887	4935	7249	18800	4902	10085	22264	1230	10937	8654	2540	4641	4280	3358	13890	8410	5720	12225	7782
4847	2775	3589	4837	7784	8242	6983	9075	8314	10699	8060	9077	10620	5876	10013	8698	14800	13143	14548	15770	18060	12963	14134	7583	5395	9499	4196	5408	3095	11221	9547	8155	8223	12086	8886	2982	4615	3056	10461	10542	9135	15556	12146	14153	12333	2534	11535	15851	2218	4243	4639	8908	7598	13974	7668	6071	6801	6483	6265	8206	6267	7738	3520	927	8407	7742	5812	9194	3007	2145	4990	12282	5191	18189	7087	8316	13678	2937	1425	5171	14356	6448	14103	16472	15210	17159	17002	17692	16385	11559	3682	5593	14118	3500	7378	15744	921	8158	6489	1842	3636	3349	2777	10673	6686	3831	8969	5707
3695	2070	2752	3355	5688	6130	5214	6982	6689	8267	6181	6975	8092	4471	7449	6452	11083	9681	11036	11826	14126	9865	10536	5881	4303	7408	3483	4162	2373	8924	7699	6565	6634	10040	7227	2389	3740	2503	8328	8111	7308	11937	9441	11018	8974	1812	8292	11119	1613	2906	3377	7305	6052	11117	6527	4906	5604	5528	5053	6585	5041	5863	2627	752	6333	6205	4598	7275	2447	1837	3851	9417	3944	13868	5583	6405	10522	2191	1090	4095	10698	4778	10366	14028	12250	13858	13482	14171	13007	8850	2919	4325	10767	2636	5586	11616	743	5882	4924	1372	2811	2642	2255	8362	5403	2623	6859	4370
2099	1118	1584	1748	2918	3682	3119	4070	3838	4632	3705	3821	4625	2703	4288	3854	6624	5597	6088	6723	7665	5413	6259	3249	2262	4014	2101	2419	1291	4885	4235	3702	3740	6011	4146	1407	2144	1411	4830	4511	3997	6440	5084	5824	5197	975	5067	6829	856	1801	1958	4206	3179	6387	3874	2783	3047	3317	2909	3623	2828	3334	1409	425	3812	3618	2631	4047	1347	1132	2203	5669	2161	7567	3353	3749	5754	1343	581	2334	6414	2584	5472	8335	7006	8114	7522	7876	7294	4668	1598	2482	6372	1375	3070	6686	428	3657	2719	748	1574	1439	1407	4690	3012	1555	3834	2420
480	278	471	436	739	1097	800	1092	932	1141	978	957	1338	647	1165	992	1863	1405	1764	1807	2054	1383	1745	810	571	971	483	654	337	1249	1171	1042	1061	1577	981	366	515	295	1341	1099	1267	1797	1352	1604	1378	261	1715	2055	209	356	507	1210	797	1748	1059	674	660	932	630	874	879	861	379	66	896	907	589	941	389	205	552	1613	499	1784	971	1007	1356	372	129	614	2019	582	1497	2151	1572	2125	2087	2177	1746	985	378	580	1903	362	774	1893	55	1007	744	194	336	356	330	1319	799	395	1071	655
