E18B10_1	E18B10_2	E18B10_3	E18B11_1	E18B11_2	E18B11_3	E18B12_1	E18B12_2	E18B1_2	E18B2_2	E18B2_3	E18B3_2	E18B3_3	E18B4_1	E18B4_2	E18B4_3	E18B5_2	E18B6_2	E18B7_2	E18B8_2	E18B8_3	E18B9_1	E18B9_2	E18B9_3	E18L1_1	E18L1_3	E18L4a_1	E18L4a_2	E18L4b_1	E18L4b_2	E18L4b_3	E18LD2a_2	E18LD2a_3	E18LD2b_1	E18N1_1	E18N2_1	E18N2_2	E18N3_1	E18N3_2	E18P10_1	E18P10_2	E18P10_3	E18P11_1	E18P11_2	E18P11_3	E18P12_2	E18P12_3	E18P1_1	E18P1_2	E18P1_3	E18P2_1	E18P2_2	E18P2_3	E18P3_1	E18P4_1	E18P4_2	E18P4_3	E18P5_1	E18P5_2	E18P6_2	E18P7_1	E18P7_2	E18P7_3	E18P8_1	E18P9_1	E18P9_2	E18X1_1	E18X1_2	E18X1_3	E18X2_3	E18X3_1	E18X3_2	E18X4_1	E18X4_2	E18X5_1	E18X5_2	E18X6_1	E18X6_2	E18X7_1	E18X7_2	E18X7_3	E18X8_2
343	235	291	229	200	276	239	343	317	275	280	263	266	292	217	329	375	342	351	283	316	292	363	220	0	96	207	412	330	353	383	246	223	134	208	266	419	243	283	333	297	233	354	239	250	176	286	333	202	433	332	241	319	339	329	230	353	192	299	258	368	206	227	257	393	214	372	228	264	339	289	421	232	288	246	344	261	402	244	397	349	148
733	409	646	572	395	688	601	775	693	609	704	641	630	711	364	638	833	830	817	702	736	770	729	510	95	105	572	811	811	620	835	610	575	310	558	617	807	620	568	704	524	562	873	480	582	356	706	628	371	873	577	455	706	790	608	442	759	395	655	627	675	409	515	604	825	443	788	480	713	776	529	788	594	576	585	663	497	934	621	670	893	449
916	553	919	805	492	858	739	1095	904	778	1001	846	825	998	539	978	1036	1029	1051	870	897	1017	850	672	82	127	771	1014	874	708	1039	772	680	480	766	894	1229	874	884	955	621	667	1074	552	749	462	788	736	488	1016	754	551	987	927	696	485	803	696	948	869	855	468	639	685	948	485	1014	773	1008	1158	711	1024	711	893	785	803	659	914	841	813	1079	641
956	793	1115	828	546	1084	839	1379	1089	909	1307	1042	1005	1128	735	1171	1286	1409	1307	1152	1245	1070	1038	898	126	153	834	1172	1026	831	1189	887	873	536	834	1017	1383	814	1037	1013	752	901	1237	636	801	472	936	916	517	1248	983	727	1069	1000	988	572	1000	824	1048	871	1163	554	674	959	1262	557	1095	854	1090	1316	739	1268	835	1075	710	1051	780	1009	828	1053	1216	752
2217	1714	2172	1980	1073	2366	1904	2940	2302	1886	2309	2111	2193	2433	1276	2114	2520	2883	2759	2240	2615	2417	2196	2012	193	491	2549	2488	2568	2198	2536	2015	1634	1067	1643	1853	2638	1684	1976	2869	1642	2468	2791	1753	1796	1220	2067	2332	1315	2304	2330	1737	2182	2397	2149	1588	2091	1724	2170	2088	3029	1323	1794	1970	3123	1379	2377	1908	1908	2726	1700	2865	1621	2160	1608	2342	1608	2604	2003	2895	2606	1802
9490	6890	8082	6522	5166	6649	6879	10325	8275	7414	6708	8099	6073	8565	5247	6937	10258	10168	9914	8975	7043	9005	8647	4757	707	1419	7692	10193	9216	8623	8973	7920	6029	3096	6466	7840	9903	6973	8199	8673	7175	5447	10538	7047	6267	4949	7385	8565	5612	8482	8491	6475	7868	9039	7736	6069	7664	5162	7820	8173	10208	5721	6329	5568	10938	5622	8756	8200	7559	8582	7976	9946	6340	8111	6760	10179	6923	9358	8545	10195	9148	6546
5328	3791	5392	4599	3571	5615	4733	7022	5677	5338	6096	5756	5187	6579	3558	6209	7744	7054	7075	5186	5503	5726	5125	3714	708	871	4306	5885	4338	3429	5497	4512	5100	2324	5723	6003	7766	5354	6819	4934	3585	3623	5743	3034	4039	1992	4267	4697	2518	5964	4500	3599	5343	5128	3803	2880	4094	3888	5782	5068	5650	2686	3546	4156	4860	2111	5490	4314	5480	6838	4204	5574	5111	5858	4583	6399	4281	5242	4539	5337	5752	4329
8071	5233	11552	8493	4029	12067	10809	12400	10782	7919	15804	9535	13274	13744	5508	15309	13315	12914	13275	10172	14640	14790	11562	11352	672	1511	11527	13368	10545	6870	16492	11683	15224	6380	9591	8170	10008	8211	8084	8798	5585	10310	14052	5571	12072	4679	13501	9036	4953	16239	7259	5361	12735	13103	6807	4666	10405	8517	11051	10829	10709	4672	9058	11699	12171	5047	12879	8811	15522	17398	6461	7750	8318	7948	8826	9888	5481	6817	8574	8500	13082	5306
20350	13481	24457	19252	11654	24147	21998	28296	23095	18957	28359	21422	26148	27950	12897	28453	28271	28218	28321	22414	27277	28183	25474	22184	1583	2854	22884	28469	21731	17266	29001	23639	27898	12030	21068	19801	24381	19492	20171	19466	14779	19226	28121	14076	21407	11014	23733	19329	11832	29052	18191	12840	24733	25416	16400	11788	21571	17367	24321	24069	22835	11665	18507	21380	25417	11964	26185	20702	28537	29258	16697	19945	18884	19408	19158	23342	14366	17138	19931	20051	28484	13392
8262	5065	9962	9652	6149	12663	9463	12534	10103	9344	14432	10268	11807	12648	5822	13430	14719	13347	13875	8690	10996	10661	8884	8576	1170	1380	7461	9436	5210	4199	7036	7537	10185	5007	11934	10885	14003	10923	12844	7587	4878	6713	8084	4010	6196	2497	5594	6124	3352	10569	6345	4921	9435	7605	4940	3700	6455	8495	11831	9663	8342	3329	5887	7812	5315	2589	9167	6413	9224	12657	6161	8032	10802	10193	8731	10377	6460	7105	6509	6871	10370	6926
