E18B10_1	E18B10_2	E18B12_1	E18B12_2	E18B12_3	E18B1_1	E18B1_2	E18B1_3	E18B2_1	E18B2_2	E18B2_3	E18B3_1	E18B3_2	E18B3_3	E18B4_1	E18B4_2	E18B5_1	E18B6_1	E18B6_2	E18B7_1	E18B7_2	E18B8_1	E18B8_2	E18B8_3	E18B9_1	E18B9_2	E18B9_3	E18L4a_1	E18L4a_2	E18L4a_3	E18L4b_1	E18L4b_2	E18L4b_3	E18LD2a_1	E18LD2a_2	E18LD2a_3	E18LD2b_2	E18LD2b_3	E18N1_1	E18N2_1	E18N2_2	E18N3_1	E18N3_2	E18N3_3	E18P10_1	E18P10_2	E18P10_3	E18P11_1	E18P11_2	E18P11_3	E18P12_1	E18P12_2	E18P12_3	E18P1_1	E18P1_2	E18P1_3	E18P2_1	E18P2_2	E18P2_3	E18P3_1	E18P3_2	E18P3_3	E18P4_1	E18P4_2	E18P4_3	E18P5_1	E18P5_2	E18P5_3	E18P6_1	E18P6_2	E18P6_3	E18P7_1	E18P7_2	E18P7_3	E18P8_1	E18P8_2	E18P8_3	E18P9_1	E18P9_2	E18P9_3	E18X1_1	E18X1_2	E18X1_3	E18X2_1	E18X3_1	E18X3_2	E18X3_3	E18X4_1	E18X4_2	E18X4_3	E18X5_1	E18X5_2	E18X5_3	E18X6_1	E18X6_2	E18X6_3	E18X7_1	E18X7_2	E18X7_3	E18X8_1	E18X8_2	E18X8_3
413	431	502	843	887	827	689	660	690	600	661	284	90	1040	769	704	733	617	879	718	792	604	501	650	707	579	691	568	762	831	115	465	633	879	624	559	737	774	685	574	1108	69	856	828	541	403	539	78	425	598	484	544	423	1078	760	685	1051	68	538	1012	634	761	1147	576	711	901	683	623	1008	529	683	759	399	346	1019	699	494	562	654	620	908	664	705	677	276	600	1377	502	571	942	289	585	640	433	185	594	407	607	546	610	854	924
864	1011	1146	1661	1855	1541	1507	1519	1335	1301	1309	608	232	1962	1868	1373	1426	1202	1647	1358	1661	1329	1053	1279	1317	1107	1289	1359	1408	2037	233	929	1207	1812	1298	1297	1472	1549	1380	988	1836	147	1690	1539	1234	854	1046	323	864	1334	1114	1035	903	2112	1635	1614	1825	128	1342	1977	1236	1650	2190	1279	1251	1924	1379	1308	2176	1060	1525	1650	895	757	2020	1467	978	1286	1057	1209	1595	1362	1305	1168	628	1432	2015	1052	1184	1814	604	1048	1221	930	311	1272	865	1282	1821	1273	1703	1856
1623	1537	2200	2828	3230	2756	2695	2920	2500	2376	2435	1116	376	3387	3127	2586	2445	2170	3129	2455	2986	2545	1972	2597	2427	2022	2477	2545	2573	3894	324	1689	2510	3416	2335	2337	2665	2522	2631	1653	3516	229	2971	2716	2128	1574	1750	481	1584	2304	2049	1799	1666	3921	2757	3031	3057	191	2286	3547	2366	3355	4004	1974	2144	3602	2606	2344	3893	2049	2760	3053	1618	1475	3721	2631	1770	2145	1927	2215	2958	2288	2547	2045	1120	2518	3307	1892	1923	3531	1130	1885	2294	1504	622	2298	1619	2168	2830	2259	2830	3114
2768	2925	4031	5320	6384	5047	4788	5743	4538	4769	4521	2110	730	6414	5884	4892	4836	4340	4898	4658	5434	4662	4030	4735	4400	4369	4685	4655	5631	7253	687	3236	4323	6207	4029	4327	4807	4839	4316	3130	6378	439	5427	5733	3674	2967	3273	1085	3024	4336	3543	3428	3254	6959	4695	5827	5190	421	4324	6972	4520	5561	6754	3558	3612	6358	4719	4116	7135	3604	5071	5357	2902	2678	6335	4278	3493	4370	3543	3809	5182	4550	4879	3955	2108	4431	6487	3317	3064	5938	2120	2990	3960	2937	1144	4200	2987	3639	5159	3871	5466	6037
4815	4536	6708	8810	11026	8833	8713	9675	7270	7803	7763	3636	1207	10585	9102	7611	7591	7220	8681	8546	9139	7350	6622	8185	7927	6234	7231	7386	8525	11547	1099	4899	7210	9328	6943	7198	7851	8545	6978	4895	10003	700	9347	8814	5897	5471	5597	1577	5283	7541	5565	5814	5516	12102	7242	10041	9249	788	7471	11705	8097	10093	11528	5944	6809	10293	8353	7872	11537	6358	8762	8804	4743	4854	10035	7175	6305	6612	5962	6785	8109	6888	9085	6700	3621	7239	10248	5466	5279	9607	3868	5322	6658	4319	1933	7050	4710	6443	7967	6516	8882	8855
8064	8520	11561	15444	20248	14557	15149	17815	12740	13909	13182	6806	2033	17654	15485	13776	14197	13231	14661	14689	16592	13424	11510	14932	13795	11961	13445	13208	15550	20209	2157	8683	11225	15601	13096	12424	13656	14740	11512	8599	17953	1267	15491	16108	10152	9718	9560	3067	9181	12950	9621	10054	10142	18526	12117	15517	14852	1521	12429	18853	12734	15024	16105	9348	9977	18272	15052	13066	18912	11660	14138	15131	8285	8060	16662	12684	11269	12314	10762	11579	14558	12179	15490	11905	6597	13443	17009	9185	8361	15448	6887	8315	12314	8275	3034	11766	8103	10855	14559	10997	15111	15736
9145	8742	13797	16123	21029	16069	16122	18355	14519	16118	14311	7691	2260	18807	17553	15508	16302	15484	16034	16382	17308	14674	12193	14499	16087	12548	14266	15118	17665	23258	2452	9799	12475	17543	14236	13644	15248	16207	13235	9845	18504	1575	16975	16018	11570	10870	10345	3452	10764	13992	9842	11417	9934	20037	12689	16422	16714	1786	13919	19226	12924	15198	16427	9709	10431	19910	15363	13214	20866	12774	13930	16472	9133	8462	18999	14623	12183	13914	12711	12586	16429	13765	16733	14256	7920	15214	18341	10240	8291	15975	7645	9627	12838	8509	2835	10901	9417	11177	12460	12860	16435	16465
9817	10818	14732	17573	23725	17497	18221	21178	15145	16704	14327	8636	2274	19453	19183	17761	18578	16919	18006	17920	20126	16712	12486	16707	17226	14624	17504	15922	18683	24733	2939	9734	12531	18363	16870	14679	16340	17364	13098	10108	21357	1681	16450	17335	11929	12046	12075	3894	11687	15133	11047	11894	11836	19716	12752	14496	16265	1849	14054	17989	11717	13741	13452	9266	8793	22672	17567	14010	20893	13975	13985	17659	9129	8615	20361	14335	13011	15687	14519	14688	17703	14883	17512	14996	8238	16992	18858	10702	8304	15413	8370	9446	14780	9127	2788	13054	10029	12094	17507	13896	17419	19299
4144	3292	5935	5916	7955	6618	6412	6217	5807	6246	5680	3222	899	7885	8521	7134	7716	6870	6902	7695	6990	6998	3944	4976	8928	5539	5779	6284	8124	10185	1076	4492	5343	8033	6250	5774	7064	6883	6198	4473	7370	878	5850	6016	4930	5019	4338	1543	4780	5742	4027	4617	3359	8638	4807	5808	7795	743	5596	6837	4174	4508	5937	3481	2873	8076	5972	4100	8898	5347	4558	7078	3575	3294	9043	5947	4876	5991	5858	5438	7534	5725	6359	6919	3941	6387	7209	3674	2701	4953	3506	3306	4136	3525	984	3565	4109	4138	3920	6031	6951	5911
2342	2267	3664	3964	4858	4300	4033	3864	3808	3911	3480	2148	609	4826	5514	4623	5041	4769	4502	4322	4524	4235	2776	3338	5994	4220	4285	3896	4836	6313	719	2759	3254	5128	4073	3203	4596	4086	3723	2794	5135	414	4051	4109	2840	3461	3010	877	3038	3380	2520	3028	2069	5762	3251	3126	4925	466	3263	4355	2533	2561	3542	2086	2098	5556	3939	2791	5657	3414	2808	4804	2417	2047	5874	3687	3155	3557	3858	3402	4691	3576	4032	4490	2420	3904	4501	2091	1714	2994	1932	1862	2770	2337	682	2679	2598	2773	3346	4046	4355	4567
1046	954	1638	1569	1846	1635	1664	1582	1917	1874	1560	1018	245	2219	2445	2060	2180	2046	1801	2205	1728	1916	1135	1331	2581	1872	1438	1825	2574	2687	317	1326	1485	2495	1798	1474	2059	1823	1753	1226	2278	226	1500	1940	1439	1637	1125	480	1444	1330	1222	1284	807	2597	1610	1464	2426	232	1515	2085	1043	1103	1606	903	777	2469	1544	990	2743	1318	1158	2512	1205	863	2953	1932	1388	1691	1756	1329	2520	1530	1662	2030	1240	1841	1830	931	720	1383	918	786	866	1112	267	965	1260	1124	1182	1706	2261	1738
574	567	938	928	1163	1082	986	934	1092	1072	850	599	117	1290	1456	1236	1219	1297	1049	1236	929	1110	606	788	1580	1218	999	1115	1513	1676	143	791	783	1435	1119	788	1173	1085	914	752	1290	150	842	1119	778	1051	722	297	808	795	697	831	509	1516	910	810	1454	122	834	1199	568	607	820	527	476	1466	956	532	1479	812	688	1451	735	507	1911	1133	780	958	1087	809	1497	866	942	1268	751	1164	986	460	429	763	535	416	723	705	147	610	726	642	706	1111	1260	1196
241	212	452	414	452	429	447	344	524	483	405	236	0	598	769	506	589	560	543	583	386	526	280	304	746	560	403	505	698	704	53	385	384	656	449	334	616	434	499	322	640	93	389	492	419	463	297	189	399	328	366	323	198	742	495	369	660	54	363	565	285	274	407	254	181	668	394	181	665	328	249	662	448	238	921	522	319	388	406	392	767	417	392	621	351	671	357	226	254	399	237	180	209	397	66	315	403	332	320	486	559	513
