E18B10_1	E18B10_2	E18B10_3	E18B11_1	E18B11_2	E18B11_3	E18B12_1	E18B12_2	E18B1_2	E18B2_2	E18B3_2	E18B4_2	E18B5_2	E18B6_2	E18B7_2	E18B8_2	E18B9_2	E18L1_3	E18L4a_1	E18L4a_2	E18L4b_1	E18L4b_2	E18LD2a_2	E18LD2b_1	E18N1_1	E18N1_2	E18N2_1	E18N2_2	E18N3_1	E18N3_2	E18N3_3	E18P10_1	E18P10_2	E18P11_2	E18P12_2	E18P1_1	E18P1_2	E18P2_1	E18P2_2	E18P2_3	E18P3_1	E18P4_1	E18P4_2	E18P4_3	E18P5_1	E18P5_2	E18P6_1	E18P6_2	E18P7_1	E18P7_2	E18P7_3	E18P8_1	E18P9_1	E18P9_2	E18X1_2	E18X3_1	E18X3_2	E18X4_1	E18X4_2	E18X4_3	E18X5_1	E18X5_2	E18X6_1	E18X6_2	E18X6_3	E18X7_1	E18X7_2	E18X7_3	E18X8_2	E18X8_3
232	52	406	299	92	502	339	420	212	120	185	135	340	401	326	190	374	48	267	363	80	141	298	310	305	595	200	209	185	248	639	241	125	159	97	210	132	217	83	409	358	209	94	304	381	382	825	241	165	59	281	414	374	130	350	109	168	235	163	523	262	178	58	146	438	248	150	403	73	471
1499	650	2691	1502	849	2796	1992	2178	1554	1186	1675	1049	2213	2258	2131	1517	2678	228	2006	2447	1530	883	2041	1485	1999	2888	1340	1640	1548	1199	3278	1935	977	1118	904	1743	942	1331	743	2546	2374	1431	710	1832	1712	1816	3439	1828	1872	794	2226	2934	2419	897	2473	917	1239	1696	1097	2871	1827	1156	873	826	2803	1445	1124	2625	606	2397
7262	3593	12847	6226	3398	12658	10794	8984	8447	5824	8453	5104	9737	9519	9790	8299	13382	873	11168	11277	8276	3958	12071	5362	9846	11802	6652	6737	8964	4575	13309	9826	5676	6063	4535	8980	4809	6354	4394	13777	11434	6567	3734	9236	7017	9542	13794	10301	8930	4596	11645	13188	11107	4488	11721	4476	4543	8932	4541	11569	8733	5707	5730	4204	12235	8512	5009	12202	2768	10746
14803	7739	25098	13995	7201	25408	24093	17527	18254	12405	17658	10898	20846	18928	21064	16930	26535	1808	22810	22570	16767	9268	24714	10931	20481	25565	14716	13467	19282	9884	26174	19539	11656	12116	9140	16950	8830	11868	9305	26906	22573	12681	8315	20184	14823	20794	27697	21772	18769	8811	21905	25309	22651	9049	22508	10296	9671	19686	9638	24281	18729	12577	12106	7985	24690	17154	10384	23417	5588	22483
16590	7941	26503	15560	7601	25405	26372	19164	20828	13586	20168	12304	22618	20691	23102	17576	28443	1709	25008	24411	17949	10439	25987	11811	21710	28065	16764	14732	19596	11329	26914	19637	13843	13220	9314	18094	9943	12553	10183	27256	23710	13186	9159	21996	16324	24558	27497	22993	20859	9363	23341	26473	23601	9314	24491	11293	10549	22562	11008	26697	20978	14137	13218	8440	27013	18124	11914	23955	5945	24833
5820	3109	9577	7382	3329	11126	10660	7967	8073	5194	7857	4215	9536	7963	9169	6205	9650	885	10114	9707	8104	4453	11249	4944	9481	11559	6506	5810	7851	5495	12132	6569	4638	4537	3132	5994	3242	4240	3532	10730	8027	5667	3794	9240	6630	9148	11492	8359	9150	3601	9080	9793	7106	3189	8147	4961	4316	8095	4440	11165	8011	5541	5049	2975	10991	6331	4208	8687	2531	9424
4022	2286	7280	6843	2899	8878	8784	7228	6735	4186	6175	3109	8131	6577	7711	4387	6473	244	8166	8220	7105	3978	8768	3795	7643	9489	5520	5116	6176	4850	10522	4406	3178	2629	1959	4084	2236	2840	2375	7697	5437	4536	3023	7206	5475	7192	8902	6137	7540	2819	6907	7115	4360	2165	5297	4556	3742	6039	3893	8835	6068	4799	3574	2096	9333	4348	3021	5849	2249	6710
3142	2040	6226	6179	2726	7370	8498	6774	6101	3819	5587	2784	7133	6292	7582	3916	5836	112	7391	8091	6498	3757	7766	3362	6446	8325	4960	4889	5700	4514	9439	3875	2657	2173	1772	3656	1895	2699	2052	5878	4776	3880	2787	5645	4822	6626	8009	5601	6504	2508	6362	6301	3676	1985	4841	3981	3398	5578	3627	7400	5366	4617	2799	2020	7922	4231	2925	4986	2104	5858
1816	1259	3780	3302	1600	4621	5005	4610	4226	2276	3203	1657	4668	3777	4840	2550	3671	61	4996	5911	4375	2239	4611	2116	4103	4830	2809	3101	3107	2847	5983	2572	1811	1542	1066	2167	1227	1678	1318	3513	3451	2577	1481	3458	2866	4300	4730	3369	3699	1394	4188	4082	2476	1109	3018	2263	2120	3300	2310	4653	3418	2700	1773	1302	4883	2548	2062	3374	1125	3525
506	342	925	917	438	1178	1312	1023	921	690	956	507	1153	1027	1171	670	972	0	983	971	900	566	1276	496	1019	1394	806	1060	924	635	1515	541	498	351	249	572	252	507	397	956	602	659	484	831	808	767	1357	925	1217	395	966	1163	374	267	773	468	416	692	615	1170	680	787	489	314	1519	709	411	719	387	930
70	66	232	180	72	276	251	269	251	121	191	101	258	253	277	148	220	0	277	285	301	99	250	106	258	352	217	278	166	161	385	137	105	92	62	147	83	103	94	209	144	175	93	149	183	226	309	234	273	85	247	321	73	0	230	73	104	151	175	230	127	152	94	84	373	163	128	179	98	217
