E19B1a_1	E19B1a_2	E19B1a_3	E19B1b_1	E19B1b_2	E19B1b_3	E19B2a_1	E19B2a_2	E19B2a_3	E19B2b_1	E19B2b_2	E19B2b_3	E19B2c_1	E19B2c_2	E19B2c_3	E19B2d_1	E19B2d_3	E19B3a_1	E19B3a_2	E19B3a_3	E19B3b_1	E19B3b_2	E19B3b_3	E19B3c_1	E19B3c_2	E19B3c_3	E19B4_1	E19B4_2	E19B4_3	E19B5a_1	E19B5a_2	E19B5a_3	E19B5b_1	E19B5b_2	E19B5b_3	E19B6_1	E19B6_2	E19B6_3	E19L10_1	E19L10_2	E19L10_3	E19L1_1	E19L1_3	E19L2_1	E19L2_3	E19L3_1	E19L3_2	E19L3_3	E19L6_1	E19L6_2	E19L6_3	E19L7_1	E19L7_2	E19L7_3	E19L8_1	E19L8_2	E19L8_3	E19L9_1	E19L9_2	E19L9_3	E19N1_1	E19N1_2	E19N1_3	E19N2_1	E19N2_2	E19N2_3	E19N3_1	E19N3_2	E19N3_3	E19OL_1	E19OL_2	E19OL_3	E19P10_1	E19P10_2	E19P10_3	E19P11_1	E19P11_3	E19P12_1	E19P12_2	E19P12_3	E19P1_1	E19P1_2	E19P1_3	E19P2_1	E19P2_2	E19P2_3	E19P3_1	E19P3_2	E19P3_3	E19P4_1	E19P4_2	E19P4_3	E19P5_1	E19P5_2	E19P5_3	E19P6_1	E19P6_2	E19P6_3	E19P7_1	E19P7_2	E19P7_3	E19P8_1	E19P8_2	E19P8_3	E19P9_1	E19P9_2	E19P9_3	E19X1_1	E19X1_2	E19X1_3	E19X2_1	E19X2_2	E19X2_3
106	31	302	106	44	84	150	59	228	558	251	1173	61	45	182	106	107	219	72	195	1363	447	1164	92	109	375	203	122	160	290	145	715	309	126	436	233	72	371	236	150	635	46	91	63	96	121	45	236	652	326	1091	295	110	351	74	0	127	192	148	451	110	59	199	237	96	468	551	430	1312	133	41	129	353	157	730	37	81	232	223	692	737	242	677	506	285	630	341	342	630	527	213	339	292	135	357	663	272	670	562	264	739	351	316	776	459	387	807	80	53	141	176	59	266
275	105	901	286	101	303	394	109	577	1234	482	1925	185	125	500	268	328	607	165	594	2446	816	3039	221	274	894	537	254	441	911	428	2000	850	283	1185	635	235	1182	681	391	1622	130	240	168	247	274	142	733	1409	608	2189	688	265	1034	177	71	307	511	448	1440	335	146	511	545	191	1016	1195	1091	2616	354	95	355	872	384	1980	121	216	614	722	1801	1754	702	2051	1400	803	1860	1018	939	1729	1451	630	1068	771	379	1106	1731	722	1859	1635	776	2265	860	1027	1866	1347	979	2294	205	121	412	427	139	635
726	239	2109	719	293	740	965	292	1280	2155	883	4041	461	353	1207	701	785	1342	373	1490	4580	1250	7080	545	635	2052	896	382	933	1965	985	4600	2166	845	2946	1459	495	2994	1521	992	3914	397	617	380	602	458	313	1822	2993	1301	4124	1762	625	2471	284	195	746	1316	1047	3425	940	399	1483	1250	531	2186	2502	2188	4914	930	243	836	2149	1020	4616	271	646	1439	1601	4553	4375	1500	5245	3498	2017	4172	2275	2530	4483	3222	1450	2877	1767	1032	2865	4217	2044	4862	3835	1978	5760	2109	2198	4243	3069	2442	5570	581	263	979	1036	385	1676
1234	400	3632	1099	415	1257	1310	409	1930	2488	1059	4748	638	510	1735	984	1258	2189	597	2437	5768	1568	8044	790	917	3100	1321	523	1750	3230	1534	7083	3169	1217	4189	2124	821	4642	2521	1516	5878	598	1018	637	999	759	492	2421	3997	1820	5317	2777	1021	3966	523	362	1295	1971	1802	5683	2168	747	3087	2362	952	4354	3273	2598	5751	1372	436	1378	3286	1608	8036	452	1092	2419	2684	7145	6794	2548	7736	5234	3062	6680	3708	4074	6954	5045	2270	4430	3062	1651	4228	5758	3014	6724	5823	3064	8905	3603	3511	6696	4850	3797	9199	927	497	1822	1723	617	2595
1950	699	4810	1405	629	1783	1562	490	2329	2771	1086	4383	686	493	2010	1065	1489	2565	760	2847	5783	1737	8116	1014	1011	3761	1542	662	2445	3884	1849	8352	3938	1650	5453	2647	963	5668	3119	1873	7170	866	1333	923	1198	1040	603	2406	4306	2160	5754	3846	1653	5881	849	557	2024	2659	2360	7321	4752	1683	7116	4811	1947	7734	3239	2449	5571	1502	506	1599	4314	2561	9894	749	1394	3111	3459	9678	8281	2925	9320	5817	3692	8125	3942	4915	8343	5661	2745	5256	4178	2582	6548	5940	3123	6436	7259	3350	10351	4759	4151	8253	5650	4704	10935	1515	716	2600	2685	919	4002
2304	828	5370	1487	745	2078	1503	475	2313	2566	982	3667	542	351	1752	877	1469	2548	743	2884	4980	1439	6300	1113	979	3983	1539	703	2750	3808	1843	8795	4063	1749	6110	2663	917	5499	3096	1839	7181	932	1615	1046	1281	1111	421	2054	3992	1797	5194	4321	2022	6851	1098	727	2753	2912	2513	7401	7044	2436	10369	6740	2766	10664	2986	2069	4459	1385	406	1518	4947	3091	10820	930	1349	3294	3574	10249	7531	2617	8803	5550	3535	7941	3309	4489	7263	4936	2516	4980	4592	3151	7559	4428	2327	5110	7278	3102	10024	5111	4321	9208	5600	4350	10683	1912	933	3301	2974	1037	4837
2410	966	5703	1453	838	2174	1548	532	2491	2380	896	2868	497	345	1645	756	1442	2484	778	2957	3696	1175	5086	1203	969	4097	1483	713	2798	3921	1973	8883	4237	1862	6549	2707	947	5478	3293	1950	7565	1009	1712	1183	1397	1269	420	1858	3288	1499	4447	4455	2265	7673	1261	763	3057	3134	2753	7746	7824	2777	11410	7345	3094	11001	2144	1379	2930	1344	378	1701	5194	3293	10996	994	1462	3491	3935	11074	7583	2693	9297	5455	3643	8202	3354	4541	7243	5006	2434	4784	4928	3472	8276	4085	2210	4642	7895	3214	10200	5400	4618	9990	5941	4617	10792	1966	1100	3750	3269	1152	5444
1919	787	4542	1120	665	1729	1354	465	2097	1865	475	1912	415	295	1326	577	1219	1930	720	2596	2567	734	2947	1022	835	3273	1174	512	2104	3271	1587	7560	3595	1663	5753	2279	800	4586	2896	1621	6241	879	1489	984	1243	787	170	1369	2400	1021	3020	3567	1864	6295	1001	573	2627	2704	2214	6212	6199	2138	8886	5773	2304	8730	1136	892	1656	1024	304	1464	4208	2780	9224	854	1321	2935	3280	8865	6220	2239	7367	4465	3080	6764	2710	3521	5634	3888	2015	3883	3896	2834	6768	3004	1760	3789	6504	2679	8783	4305	3732	8342	5023	4029	9190	1677	972	3275	2723	951	4387
873	402	2200	546	270	867	740	249	1293	1018	303	1093	265	182	863	292	705	1080	339	1363	1383	455	1615	518	458	1578	616	279	1089	1696	916	3888	1746	843	2953	1116	470	2284	1567	906	3448	476	736	505	686	356	91	852	1281	583	1562	1652	935	3265	509	279	1323	1495	1178	3434	2996	993	4144	2621	977	3747	623	450	852	612	151	769	2077	1429	5128	397	548	1679	1709	4557	3836	1133	4035	2503	1582	3882	1684	1787	3185	2095	986	2017	1971	1300	3267	1820	933	2398	3612	1592	5178	2402	2149	4539	3016	2124	5047	802	527	1849	1308	444	2174
261	116	750	170	98	326	264	100	383	376	104	392	79	75	291	107	231	356	132	516	544	190	628	177	168	490	213	90	398	584	317	1369	597	291	987	369	174	730	485	305	1219	176	235	182	218	141	47	234	491	210	604	595	336	978	150	83	399	549	390	1267	749	297	1345	822	334	1218	263	244	432	193	56	283	769	501	1749	73	228	559	550	1616	1283	358	1315	885	614	1322	560	564	973	662	364	702	665	370	1130	615	271	760	1462	503	1893	769	728	1586	944	725	1807	243	153	624	449	161	707
