E19B1a_1	E19B1a_2	E19B1a_3	E19B1b_1	E19B1b_2	E19B1b_3	E19B2a_1	E19B2a_2	E19B2a_3	E19B2b_1	E19B2b_2	E19B2b_3	E19B2c_1	E19B2c_2	E19B2c_3	E19B2d_1	E19B2d_2	E19B2d_3	E19B3a_1	E19B3a_2	E19B3a_3	E19B3b_1	E19B3b_2	E19B3b_3	E19B3c_1	E19B3c_2	E19B3c_3	E19B4_1	E19B4_2	E19B4_3	E19B5a_1	E19B5a_2	E19B5a_3	E19B5b_1	E19B5b_2	E19B5b_3	E19B6_1	E19B6_2	E19B6_3	E19L10_1	E19L10_2	E19L10_3	E19L1_1	E19L1_3	E19L2_3	E19L3_1	E19L3_2	E19L3_3	E19L6_1	E19L6_2	E19L6_3	E19L7_1	E19L7_2	E19L7_3	E19L8_1	E19L8_2	E19L8_3	E19L9_1	E19L9_2	E19L9_3	E19N1_1	E19N1_2	E19N1_3	E19N2_1	E19N2_2	E19N2_3	E19N3_1	E19N3_2	E19N3_3	E19OL_1	E19OL_2	E19OL_3	E19P10_1	E19P10_2	E19P10_3	E19P11_1	E19P11_2	E19P11_3	E19P12_1	E19P12_2	E19P12_3	E19P1_1	E19P1_2	E19P1_3	E19P2_1	E19P2_2	E19P2_3	E19P3_1	E19P3_2	E19P3_3	E19P4_1	E19P4_2	E19P4_3	E19P5_1	E19P5_2	E19P5_3	E19P6_1	E19P6_2	E19P6_3	E19P7_1	E19P7_2	E19P7_3	E19P8_1	E19P8_2	E19P8_3	E19P9_1	E19P9_2	E19P9_3	E19X1_1	E19X1_2	E19X1_3	E19X2_1	E19X2_2	E19X2_3
182	78	116	85	151	204	65	43	54	88	124	50	245	47	104	71	72	108	242	126	152	41	269	95	204	192	208	152	162	0	447	447	413	282	320	298	228	189	194	337	444	310	45	82	62	97	88	160	117	142	60	388	416	533	92	164	145	317	279	258	436	395	478	453	505	463	278	212	215	92	137	154	525	503	494	253	246	205	361	367	396	391	485	437	605	425	409	579	465	379	369	437	333	483	429	442	307	314	292	414	388	317	160	222	157	554	595	617	261	231	244	296	201	230
502	260	314	206	350	429	140	122	162	203	261	102	352	184	308	189	167	293	516	266	457	77	564	169	568	592	667	493	347	197	1246	1114	1087	831	811	962	667	546	520	1011	1076	988	106	164	145	188	191	319	243	289	146	1081	1278	1574	280	495	457	886	818	711	1484	1120	1237	1276	1432	1272	732	639	610	230	224	336	1512	1603	1483	661	625	579	1143	1118	1083	1300	1179	1315	1625	1445	1190	1479	1348	1022	1058	1068	841	1286	1306	1158	884	702	810	1126	958	821	458	479	378	1475	1500	1442	800	740	571	694	683	710
1124	781	770	560	677	839	288	250	326	400	485	282	655	435	648	423	331	678	992	721	1033	248	826	322	1277	1401	1427	1131	957	672	3034	2609	2492	2150	1875	2321	1612	1506	1199	2371	2581	2471	287	345	280	358	392	582	447	559	347	2939	2790	3472	756	1215	1114	2003	1980	1802	3777	3046	3321	3339	3684	3305	2125	1801	1654	464	436	622	3885	3933	3663	1499	1448	1431	2716	2920	2791	2998	3017	3383	3637	3468	3166	3707	3307	2855	2615	2422	2103	3516	3314	2862	1768	1729	1806	2669	2247	1989	1112	1180	900	3700	3518	3772	2023	1552	1514	1592	1514	1762
2588	1766	1943	1157	1489	1899	562	654	854	729	847	527	1277	910	1434	968	781	1123	2078	1579	2403	532	1319	527	2667	3038	3246	2739	1918	1505	6672	6039	5627	4606	4497	4952	3439	3287	2758	5360	6177	5456	489	782	560	552	669	1091	724	1047	786	6196	6276	7714	1648	2558	2360	4496	4674	3911	8081	6491	7216	7416	7381	7272	4262	3442	3389	972	939	1208	7693	8239	8041	3274	2952	3308	6181	6603	6447	6712	6744	7217	8247	7201	6938	8109	7280	6616	5678	5610	4794	7167	7095	5795	3849	3926	4139	5757	5370	4789	2264	2270	1798	8033	8486	8821	4551	3440	3042	3359	3563	3684
4716	3377	3450	2098	2272	2904	1013	1051	1301	1070	1126	750	1973	1528	2408	1705	1331	1607	3453	2752	4136	821	1698	738	4821	5040	5345	4605	3450	2842	12206	10683	10084	8414	8255	8951	5921	5962	5107	9863	10601	9983	847	1378	1071	875	1149	1851	1151	1440	1205	11591	11307	13410	3009	4690	4357	7966	8152	7185	16979	12973	14535	15179	14970	14290	8622	6851	6068	1442	1547	1702	14631	15364	14622	6270	6013	6252	11291	12015	11948	12283	12378	12913	15138	13482	12645	14710	14067	12891	10238	10687	9089	13296	13686	12023	6916	6899	7598	10296	9536	8896	4183	4141	3253	14667	15401	15840	7961	5878	5289	6943	6190	6648
6152	4443	4395	2775	2595	3400	1323	1193	1517	1251	1159	855	2243	1860	2717	1982	1516	1850	4122	3235	5184	902	1782	863	6025	6264	6446	5609	4307	3645	15260	13392	12843	11099	10526	11537	7170	7184	6451	12720	13302	12480	1092	1723	1487	1073	1388	2242	1337	1608	1374	14685	14532	17168	3695	5960	5679	10026	10064	9287	22988	17926	20110	20756	20778	19985	11812	9308	8823	1674	1745	1922	19064	19706	18492	8332	7948	8110	14686	15087	15262	15683	15718	16019	19659	17418	15712	19242	18143	16901	13120	14070	11814	17937	17983	16460	8505	8529	9501	13105	12056	11372	5465	5335	4081	19042	19369	19805	9844	7026	6302	9207	7905	8096
5925	4154	4201	2686	2149	2836	1297	993	1253	1139	930	763	1760	1628	2334	1722	1205	1513	3574	2884	4548	735	1463	726	5488	5473	5730	4816	3693	3463	13704	11959	11913	10634	9752	10663	6413	6281	5697	11667	12046	11401	967	1579	1493	1006	1242	2000	1147	1377	1221	13561	13691	15907	3426	5619	5293	9075	9047	8357	23110	17638	19546	21603	20826	20568	11709	9384	8785	1418	1465	1572	18433	18362	17112	8033	7628	7931	13667	13794	14220	14605	14567	14438	18324	15957	14606	17658	16867	16051	12302	13149	11045	17855	17387	16253	7781	7545	8273	12111	11180	10802	5167	4966	3769	17426	17693	18184	9062	6030	5495	8715	7356	7644
3990	2913	2723	1757	1199	1649	842	529	709	717	559	449	853	929	1152	1026	641	676	1958	1683	2636	437	822	468	3441	3202	3583	2769	1963	2127	8574	7571	7210	7038	5842	6618	4043	3337	3172	7250	7465	7289	609	947	1046	664	671	1183	690	841	731	8864	9404	10176	2208	3653	3354	5613	5606	5102	17188	13064	14443	16124	15584	15110	8266	6720	6446	829	785	804	12458	12153	11287	5241	4827	5151	8979	8710	9192	9348	9322	8838	11940	10586	9634	11030	10397	10520	7703	8199	6667	12857	12221	10855	4461	4423	4592	7483	6974	6720	3321	3009	2389	10592	10444	11304	5801	3693	3106	5829	4715	4876
1651	1353	1232	702	527	702	339	217	325	302	306	268	247	373	437	416	272	229	710	630	1114	204	424	248	1309	1301	1370	1093	725	870	3208	2805	2618	2882	2109	2584	1639	1253	1206	2708	2710	2718	245	325	434	326	209	456	249	396	321	3823	4415	4489	855	1585	1480	2445	2067	1832	8704	6843	7651	8022	8541	8332	4089	3254	3208	330	282	324	5165	5042	4850	1986	1738	1865	3735	3430	3651	3688	3426	3220	5082	4291	3735	4725	3797	3994	3361	3123	2384	6402	5574	4691	1765	1417	1568	3304	2599	2333	1407	1187	1008	4097	3831	4200	2315	1656	1283	2489	1998	2056
595	524	462	272	220	263	126	76	143	128	130	119	64	130	150	161	109	67	230	241	407	58	194	101	559	508	541	443	258	372	1155	981	906	1156	729	811	620	461	418	1048	956	943	145	133	98	163	57	167	61	137	127	1502	1672	1743	306	714	653	908	644	644	3677	2884	3329	3450	3976	3455	1762	1542	1381	126	120	102	2070	1732	1749	665	605	618	1351	1177	1293	1403	1138	1007	1800	1547	1327	1883	1300	1360	1404	1191	837	2778	1986	1791	517	417	460	1165	830	702	530	445	389	1654	1242	1367	838	584	464	1003	769	762
