E19B1a_3	E19B1b_1	E19B1b_2	E19B1b_3	E19B2a_1	E19B2a_2	E19B2a_3	E19B2b_1	E19B2b_2	E19B2b_3	E19B2c_1	E19B2c_3	E19B2d_3	E19B3a_1	E19B3a_2	E19B3a_3	E19B3b_1	E19B3b_2	E19B3b_3	E19B3c_1	E19B3c_2	E19B3c_3	E19B4_1	E19B4_2	E19B5a_1	E19B5a_2	E19B5a_3	E19B5b_1	E19B5b_2	E19B5b_3	E19B6_1	E19B6_2	E19B6_3	E19L10_1	E19L10_2	E19L10_3	E19L1_1	E19L1_2	E19L1_3	E19L2_1	E19L2_2	E19L2_3	E19L3_1	E19L6_3	E19L7_1	E19L7_2	E19L7_3	E19L8_1	E19L8_2	E19L8_3	E19L9_1	E19L9_2	E19L9_3	E19N1_1	E19N1_2	E19N1_3	E19N2_1	E19N2_2	E19N2_3	E19N3_1	E19N3_2	E19N3_3	E19OL_1	E19OL_2	E19OL_3	E19P10_1	E19P10_2	E19P10_3	E19P11_2	E19P11_3	E19P12_1	E19P12_2	E19P12_3	E19P1_1	E19P1_2	E19P1_3	E19P2_2	E19P2_3	E19P3_1	E19P3_2	E19P3_3	E19P4_2	E19P4_3	E19P5_2	E19P6_1	E19P6_2	E19P6_3	E19P7_1	E19P7_2	E19P7_3	E19P8_1	E19P8_2	E19P8_3	E19P9_1	E19P9_2	E19P9_3	E19X1_1	E19X1_3	E19X2_1	E19X2_2	E19X2_3
203	37	56	585	277	250	718	79	255	542	218	295	217	324	221	871	47	116	166	264	308	873	70	148	228	221	727	237	189	633	139	201	312	142	171	559	166	218	498	151	76	464	77	288	288	411	806	141	149	595	160	251	133	47	256	746	271	376	768	420	227	785	135	97	830	161	112	648	56	453	53	220	573	157	292	967	298	1191	161	193	787	111	70	143	133	76	607	153	238	858	184	257	795	423	193	874	98	273	174	175	419
445	63	71	1116	513	330	1256	93	405	900	352	506	383	509	420	1468	76	207	234	427	472	1449	182	346	382	377	1341	410	348	1224	203	320	581	276	313	917	293	298	925	241	181	702	102	612	498	783	1414	227	236	1133	268	320	215	136	435	1317	502	586	1469	782	430	1405	209	166	1170	335	199	1186	84	857	93	417	1033	266	479	1636	522	2097	265	328	1502	211	100	295	219	151	1053	280	398	1475	325	474	1355	772	350	1492	221	446	304	307	781
1088	100	129	2038	778	793	2245	167	712	1740	688	819	719	864	666	2162	110	395	342	801	750	2309	257	477	719	797	2381	700	559	2014	385	593	987	520	669	1688	546	430	1554	393	237	1217	106	1155	928	1420	2360	401	442	1995	515	439	428	195	888	2487	917	1172	2466	1396	660	2388	317	272	2100	524	370	1911	190	1390	161	680	1828	473	943	2883	1026	3982	484	589	2492	379	203	507	409	209	1720	505	758	2599	555	795	2308	1289	621	2999	372	821	560	577	1414
1562	179	179	3320	1317	1116	3700	182	1095	2607	1102	1332	1181	1407	1113	3524	156	700	534	1195	1101	3434	420	1027	1106	1190	4171	1111	890	3254	540	992	1765	902	993	2900	963	615	2572	578	556	1947	128	1807	1560	2167	3858	606	701	3224	829	716	734	367	1479	3860	1578	1899	4370	2185	1196	4060	522	497	3574	918	630	3321	266	2113	249	1118	2927	782	1652	4881	1587	5944	787	981	4220	590	283	830	644	364	2878	764	1211	4398	936	1314	3836	2129	992	4643	603	1375	930	919	2334
1335	280	334	5477	1984	1888	6692	257	1747	3993	1919	2280	1827	2415	2019	5865	236	1191	793	1934	2024	5693	731	1381	1850	2195	6712	1878	1521	5487	918	1586	2832	1548	1757	4848	1527	1050	4154	807	716	2634	156	3039	2749	3853	6340	1103	1332	5618	1512	1329	1233	698	2519	6605	2792	3102	6975	3761	2182	6985	780	781	5334	1579	1087	5579	515	3512	466	1921	5121	1459	2917	8498	2817	10185	1363	1782	7364	1060	405	1449	1190	637	4764	1230	1997	6847	1541	2245	6081	3608	1762	8318	974	2295	1660	1669	4126
428	321	370	6092	2272	1860	6593	264	1502	4099	2337	2757	1634	2623	2404	6439	305	1500	881	2297	2297	6826	864	1635	2165	2353	7767	2194	1715	6305	1070	1532	3175	1792	1925	5015	1634	1171	4216	823	778	2569	190	3493	3366	4332	7408	1319	1709	6133	1677	1589	1452	880	2762	7420	3274	3211	7549	4479	2422	8144	872	843	5489	1827	1365	6599	539	3847	547	2237	5949	1824	3524	10177	3468	11787	1565	2209	8665	1202	422	1730	1432	826	5487	1363	2184	7785	1769	2608	6906	4560	2202	9717	1166	2604	1952	1705	4566
190	338	458	6072	2102	1888	7316	179	1380	3880	2259	2754	1599	2952	2440	6667	312	1474	859	2328	2358	6922	913	1650	2152	2418	7609	2151	1808	6607	1177	1527	3209	1912	1958	5515	1699	1226	4936	733	618	2232	165	3560	3360	4437	7860	1472	1714	7062	1784	1720	1557	921	2917	7573	3438	3309	7763	4489	2505	8370	730	779	4992	2015	1414	6983	628	3687	600	2322	6510	1972	3731	10412	3557	12492	1593	2351	9442	1325	450	1818	1541	948	5652	1282	1947	6967	1860	2404	6290	4760	2262	10540	1221	2698	2025	1809	4910
57	156	214	2353	935	671	3130	101	444	1675	1049	1452	578	1250	1060	3053	225	747	405	1118	1063	3261	500	577	956	941	3420	924	715	3107	527	546	1441	880	761	2031	684	503	1839	420	275	1051	183	1868	1677	1913	3975	725	1002	3373	746	778	628	472	1012	3153	1603	1058	3255	2274	961	3829	336	286	2243	939	683	3179	251	1541	259	1048	2841	959	1878	5051	1867	5617	794	1053	4293	542	189	737	741	500	2590	605	782	3256	845	1097	2816	2462	1067	4820	618	1225	903	563	2202
0	112	120	1548	607	452	1959	75	276	1040	702	945	376	807	598	1983	163	471	277	749	693	2326	250	399	611	630	1978	621	496	2002	336	344	882	539	485	1268	431	275	1218	405	132	690	177	1201	1018	1174	2512	513	660	2570	454	540	404	217	697	1993	980	764	2033	1347	686	2147	209	184	1440	557	398	2167	157	891	152	640	1718	647	1144	3047	1094	3364	502	692	3028	361	159	444	472	274	1663	422	502	2185	591	725	1929	1624	663	3276	349	692	493	421	1379
0	58	74	777	296	205	1048	50	140	476	337	506	175	379	319	837	122	262	130	345	429	1142	136	233	302	318	934	259	194	1005	161	162	469	252	238	600	193	131	616	206	84	402	154	577	534	630	1299	217	361	1320	226	220	181	101	298	891	473	290	1022	726	304	1125	126	81	558	298	194	1007	70	458	73	316	821	296	564	1618	534	1815	262	297	1422	181	88	216	230	144	874	232	247	1095	309	390	1051	782	318	1512	189	339	222	172	584
0	46	49	506	191	153	640	40	99	309	236	355	94	221	182	470	69	198	90	250	275	784	97	158	167	162	548	158	123	569	97	97	315	144	151	319	103	93	349	204	44	300	114	362	330	375	703	166	239	827	112	148	114	81	170	527	278	206	605	431	179	608	76	56	344	184	123	638	44	273	68	194	537	211	396	1071	335	1114	165	219	911	110	63	139	175	93	548	192	167	663	216	232	657	516	204	1002	107	224	138	127	376
