E19B1b_1	E19B1b_2	E19B1b_3	E19B2a_1	E19B2a_2	E19B2a_3	E19B2b_1	E19B2b_2	E19B2b_3	E19B2c_1	E19B2c_2	E19B2c_3	E19B2d_1	E19B2d_2	E19B2d_3	E19B3a_1	E19B3a_2	E19B3a_3	E19B3b_1	E19B3b_2	E19B3b_3	E19B3c_1	E19B3c_2	E19B3c_3	E19B4_1	E19B4_2	E19B4_3	E19B5a_1	E19B5a_2	E19B5b_1	E19B5b_2	E19B6_1	E19B6_2	E19B6_3	E19L10_1	E19L10_2	E19L10_3	E19L1_1	E19L1_2	E19L1_3	E19L2_1	E19L2_3	E19L6_1	E19L6_2	E19L6_3	E19L7_1	E19L7_2	E19L7_3	E19L8_1	E19L8_2	E19L8_3	E19L9_1	E19L9_2	E19L9_3	E19N1_1	E19N1_2	E19OL_1	E19OL_2	E19OL_3	E19P10_1	E19P10_2	E19P10_3	E19P11_1	E19P11_2	E19P11_3	E19P12_1	E19P12_2	E19P12_3	E19P1_1	E19P1_2	E19P1_3	E19P2_1	E19P2_2	E19P2_3	E19P3_1	E19P3_2	E19P3_3	E19P4_1	E19P4_2	E19P4_3	E19P5_1	E19P5_2	E19P5_3	E19P6_1	E19P6_2	E19P6_3	E19P7_1	E19P7_2	E19P7_3	E19P8_1	E19P8_2	E19P8_3	E19P9_1	E19P9_2	E19P9_3	E19X1_1	E19X1_2	E19X1_3	E19X2_1	E19X2_2	E19X2_3
206	230	253	418	167	310	237	96	199	144	205	77	96	168	110	235	270	267	292	291	338	377	322	405	310	42	294	596	433	512	385	309	192	265	301	565	381	404	314	395	714	539	457	94	423	449	469	562	282	297	416	402	514	186	392	458	162	90	66	284	308	427	283	113	272	454	305	570	225	305	229	308	309	264	307	280	278	0	200	127	525	381	536	576	111	595	348	376	368	449	329	643	277	304	369	413	274	384	481	313	490
1093	1593	1636	1840	1517	1500	1401	916	1178	597	858	427	538	675	571	1597	1926	1719	1225	1247	1563	1530	1852	1686	1160	680	1112	2711	2576	2396	2399	1533	1379	1473	1970	2801	2277	2084	1839	1988	3418	2936	1665	984	1770	1999	2581	2439	1292	1691	1656	2592	2228	2458	2004	2604	705	515	639	1474	1806	1871	1361	588	1063	1951	1734	2601	1616	1417	1600	1926	1650	1929	1527	1544	1719	945	963	1036	2252	1800	2316	1355	748	1324	2222	2018	2431	2084	1974	2578	1385	1733	1837	1954	1772	2087	2457	2206	2514
6099	8602	7973	9908	8076	8552	6982	5105	5857	2990	4311	2432	2940	3486	3218	8707	10407	8572	5792	6640	6879	8522	10158	8967	5615	4830	5680	13400	13943	12162	12402	8415	7092	7409	11625	13712	12059	9894	9878	9628	15000	13968	7451	6915	7205	11707	12805	12815	6299	8148	7821	11747	12186	11973	9698	12930	4212	3375	3689	8401	9916	10020	6740	3278	6056	10309	9653	12990	9602	8713	8808	10303	9063	10583	7724	8478	9172	5713	6246	6004	10422	10297	10758	6972	5264	6789	12403	10996	12935	11375	11309	11048	7652	9934	9485	10361	9195	10923	13939	11459	12850
13232	18106	16786	20928	17225	18636	15040	10679	12649	6890	9586	5729	6905	7822	7239	18480	21932	18226	12566	13858	14170	18309	21632	19514	12150	10608	12234	28128	29072	26496	26494	18071	14913	16088	25237	28751	25743	20454	20490	19474	29396	28984	16936	14991	15956	25339	27637	27285	13997	17626	16466	24237	25742	24859	22119	27029	9470	7457	8738	19031	21755	21930	14577	7931	13295	22337	20938	27588	20531	19829	19132	22852	20286	22845	16736	18736	19361	12858	14241	13015	22457	22639	23007	14900	11675	14541	26638	23607	27701	24102	24134	23192	17078	21819	20551	22196	19251	23274	28709	24354	27369
14702	20023	18407	22551	18559	21008	17825	11974	14151	7508	10592	6717	7420	9181	8128	20543	23667	19700	13926	15262	15721	20250	23913	21637	13002	11631	13386	28017	29181	28674	28487	19445	16219	16975	27738	29214	27927	22661	21948	21122	29149	29441	18326	16323	17538	28039	27907	28900	15957	19114	18004	25697	27816	26184	25020	28840	10453	8246	9921	21622	23568	24814	17828	10411	16065	25031	23037	28968	22666	22749	21378	25379	22854	25464	18471	20447	21213	14884	15810	14563	25512	25694	25984	16363	13095	15614	29196	26634	29296	26979	27220	26019	18962	24485	22834	24127	20903	25211	28634	26085	29131
3210	4214	3872	5208	3278	4386	4355	2256	3351	1971	2669	1629	2035	2182	2037	4605	4969	3941	3411	3735	3706	5406	6029	5642	3385	2663	3471	7606	6514	6841	5658	4627	2908	3783	5500	6024	5116	4441	4388	3588	6163	5180	4673	4090	4335	7472	8722	7850	4298	5263	4795	5726	6308	5180	6363	5264	2394	1588	2148	5491	5970	5987	3971	2283	3602	5489	4693	6712	5952	5960	5384	6584	5343	6188	4261	4213	4637	3237	3393	3099	6265	5376	5708	3545	2795	3140	6741	5563	5945	6295	5866	5647	4737	6243	5490	5968	4048	5510	7134	4826	6345
1488	1842	1557	2543	1075	1754	2138	983	1541	1153	1543	744	1263	1240	892	2260	2220	1371	1845	1689	1852	3370	3503	3371	1862	1336	1918	4397	2850	3770	2326	2383	793	1723	2383	2257	1772	1916	1614	1139	2550	1822	2831	2464	2146	4918	5920	4838	2742	3559	2671	2997	2935	2338	4083	2570	953	458	742	3388	3740	3307	1618	1024	1248	2550	2205	2956	3813	3776	3277	4532	2837	3628	2445	1867	2292	1711	1399	1347	3782	2633	2927	1557	1051	1108	3562	2457	2429	3566	2914	2815	2708	3630	2966	3141	1706	2416	3560	2149	3059
1804	2123	1830	2859	1449	2097	2265	1060	1833	1206	1680	771	1239	1293	1016	2662	2791	1756	2216	2170	2175	3921	4236	3963	2076	1729	2071	5476	3326	4401	2606	2582	1218	2029	3217	3052	2430	2126	2009	1466	3271	2309	3298	3041	2520	5633	6699	5613	3038	4018	3102	3464	3633	2805	5005	3557	1038	460	771	3745	4525	4078	1894	1103	1675	3257	3018	3858	4322	4244	3706	5167	3677	4528	2974	2549	2901	2170	1794	1883	4286	3421	3586	2004	1181	1440	4571	3079	3425	4294	3910	3480	3251	4010	3532	3337	2082	2897	4513	2923	3662
1512	1803	1578	2198	1372	1764	1860	938	1458	1063	1307	610	950	1133	862	2172	2318	1522	1716	1681	1835	2961	3249	3033	1567	1428	1641	4251	2753	3229	2225	2088	1133	1786	2706	2619	2067	1714	1771	1302	2829	2008	2610	2373	2089	4298	4795	4403	2334	2903	2488	2793	2965	2242	4140	2987	871	420	770	2949	3278	3273	1710	859	1470	2752	2491	3262	3282	3178	2935	4075	2986	3611	2187	2139	2421	1825	1585	1613	3485	2833	3031	1605	1031	1207	3549	2532	2781	3495	3051	2836	2400	2959	2730	2458	1718	2187	3739	2517	2904
470	581	545	645	367	484	531	264	438	228	384	140	266	316	236	609	692	446	527	502	502	730	988	756	476	412	466	1164	848	990	671	652	349	565	719	734	578	616	492	415	862	740	866	660	688	1112	1452	1165	717	892	734	801	844	702	1079	932	241	158	221	790	973	936	501	203	454	783	660	1028	833	847	816	991	744	983	685	516	672	472	431	455	938	725	878	484	310	399	1015	638	875	932	809	825	655	824	730	733	524	685	987	691	936
