E19B1b_1	E19B1b_2	E19B1b_3	E19B2a_1	E19B2a_2	E19B2a_3	E19B2b_1	E19B2b_2	E19B2b_3	E19B2c_1	E19B2c_2	E19B2c_3	E19B2d_1	E19B2d_2	E19B2d_3	E19B3a_1	E19B3a_2	E19B3a_3	E19B3b_1	E19B3b_2	E19B3b_3	E19B3c_1	E19B3c_2	E19B3c_3	E19B4_1	E19B4_2	E19B4_3	E19B5a_1	E19B5a_2	E19B5a_3	E19B5b_1	E19B5b_2	E19B5b_3	E19B6_1	E19B6_2	E19B6_3	E19L10_1	E19L10_2	E19L10_3	E19L1_1	E19L1_2	E19L1_3	E19L2_1	E19L2_2	E19L2_3	E19L6_1	E19L6_2	E19L6_3	E19L7_1	E19L7_2	E19L7_3	E19L8_1	E19L8_2	E19L8_3	E19L9_1	E19L9_2	E19L9_3	E19N1_1	E19N1_3	E19N2_1	E19N2_3	E19OL_1	E19OL_2	E19OL_3	E19P10_1	E19P10_2	E19P10_3	E19P11_1	E19P11_3	E19P12_1	E19P12_2	E19P12_3	E19P1_1	E19P1_2	E19P1_3	E19P2_1	E19P2_2	E19P2_3	E19P3_1	E19P3_2	E19P3_3	E19P4_1	E19P4_2	E19P4_3	E19P5_1	E19P5_2	E19P5_3	E19P6_1	E19P6_2	E19P6_3	E19P7_1	E19P7_2	E19P7_3	E19P8_1	E19P8_2	E19P8_3	E19P9_1	E19P9_2	E19P9_3	E19X1_1	E19X1_2	E19X1_3	E19X2_1	E19X2_2	E19X2_3
0	65	47	135	96	111	0	0	0	0	53	0	0	0	0	74	114	95	70	58	55	57	71	70	0	55	0	218	223	214	250	239	222	121	193	124	120	134	111	0	43	106	52	0	55	59	51	66	122	156	135	0	56	0	78	100	97	0	52	0	57	63	0	97	176	189	221	0	0	342	183	318	158	181	181	277	227	292	174	181	252	109	115	121	155	118	154	199	88	214	290	160	371	199	183	178	151	180	223	111	175	101	117	215	84
93	184	142	337	261	345	74	57	92	77	111	56	0	78	47	197	263	262	107	117	135	138	297	134	113	114	62	590	626	630	567	639	561	315	402	347	352	370	321	185	136	173	197	103	134	168	78	184	319	439	354	66	102	75	172	231	195	54	112	117	117	147	66	217	458	485	614	0	54	794	522	772	488	435	525	675	598	811	567	528	633	280	253	326	409	303	363	456	274	492	742	454	834	542	470	552	393	416	506	264	437	283	309	499	260
215	302	203	596	397	491	135	88	122	140	182	109	131	167	119	328	432	375	195	182	216	259	453	231	190	198	127	978	951	924	904	913	994	498	536	516	590	613	548	314	197	322	336	159	251	278	112	243	493	739	554	84	185	121	314	373	334	173	214	264	243	276	118	307	779	777	955	129	117	1454	870	1190	693	736	681	1100	1010	1063	734	829	914	465	357	467	576	488	587	754	471	758	1120	781	1278	860	654	685	619	669	762	473	612	514	579	712	513
256	387	290	816	518	875	217	215	195	220	371	187	198	277	164	409	614	451	255	273	301	327	683	351	295	296	219	1370	1354	1313	1226	1211	1264	599	618	629	822	768	768	482	285	463	441	325	394	366	209	353	617	955	755	126	191	173	508	559	491	293	392	513	480	360	151	366	1006	984	1106	212	204	1792	1095	1501	803	852	837	1352	1258	1440	971	1070	1182	555	509	538	711	649	535	877	576	1019	1511	1000	1499	959	871	925	773	850	1133	602	903	654	760	867	638
318	434	341	1095	618	988	236	215	231	254	381	201	174	325	159	626	860	585	336	333	390	433	946	480	327	453	290	1656	1782	1675	1589	1647	1609	627	582	671	1142	1069	980	508	272	513	718	409	487	496	235	368	928	1232	1016	185	272	276	695	796	709	694	793	897	783	328	161	326	1347	1321	1567	243	183	2459	1424	2126	1316	1158	1468	1845	1510	2017	1411	1279	1538	836	668	762	977	987	1044	1230	713	1250	1981	1228	2038	1558	1160	1476	1042	1114	1457	817	1118	795	997	1328	790
335	497	472	1029	675	937	230	145	230	199	356	130	116	387	153	623	876	678	431	354	399	449	1053	577	297	496	343	1806	2034	1872	1644	1876	1881	718	776	748	1285	1391	1270	429	238	444	1033	565	728	630	272	411	1164	1708	1249	219	440	375	982	1014	1012	1394	1775	1975	2078	265	201	380	1631	1724	1942	164	200	2735	1775	2591	1702	1609	1950	2316	1747	2442	1727	1561	2098	1126	718	1054	1719	1340	1957	1445	738	1464	2580	1531	2631	2188	1632	2217	1288	1271	1640	714	1295	850	1232	1931	1086
534	780	789	1144	712	934	265	121	329	161	377	92	129	461	185	814	995	892	552	494	618	578	1244	693	445	605	463	2170	2442	2269	2169	2241	2332	1006	1115	1081	1696	1709	1658	558	293	471	1240	651	952	821	358	606	1698	2139	1722	438	653	551	1359	1289	1428	2796	3527	3747	4019	444	252	459	2199	2385	2626	164	229	4030	2502	3559	2387	2341	2735	3076	2246	3090	2541	2420	3108	1595	1135	1548	2797	2231	3056	1853	1002	1749	3592	2339	3513	3130	2436	3250	1832	1664	2013	934	1681	1144	1796	2765	1620
616	837	896	969	677	925	301	145	313	194	243	162	191	371	239	737	972	869	502	550	568	587	1058	642	517	495	464	2013	2266	2248	2065	2279	2383	1102	1183	1193	1655	1817	1675	559	317	574	1159	645	917	843	403	628	1897	2366	1792	491	847	667	1262	1349	1449	3866	4849	4898	5186	495	288	495	2468	2719	3094	188	213	4530	3033	3827	2566	2638	2706	3207	2646	3086	2844	2707	3014	1571	1369	1627	3264	2958	3538	1784	1205	1719	3591	2624	3574	3172	2726	3165	2038	1909	1928	922	1570	1225	1981	2715	1817
702	1013	921	1150	746	965	449	140	353	258	214	217	285	349	251	886	1006	937	644	484	579	650	812	567	459	553	421	2060	2508	2414	2173	2367	2470	1175	1479	1349	1549	1724	1627	765	528	688	1213	655	920	818	455	599	1903	2206	1687	535	852	683	1257	1308	1205	3489	4787	4574	4660	567	349	771	2474	2739	3138	320	249	4716	2964	3775	2073	2527	2075	3188	2814	2540	2695	2954	2754	1592	1524	1390	3025	2932	3139	1694	1262	1459	3406	2690	2917	2448	2495	2282	2053	1913	1902	1123	1347	1130	1923	2490	1983
778	982	815	1642	1011	1470	500	251	420	272	442	251	230	269	183	1117	1336	1185	748	482	688	770	1206	652	610	543	457	3527	3071	3230	3239	2937	3026	1876	1791	1788	1952	1944	1863	966	684	932	1178	751	901	926	391	807	1850	2284	1676	419	679	494	1360	1477	1206	2339	2944	3076	2970	834	337	1047	2849	3019	3050	265	275	5291	3644	3996	1965	2396	1727	3341	3309	3414	2563	3077	2585	1268	1694	1189	2136	2650	1491	2099	1410	2044	3742	2989	3468	2180	2305	1929	2087	2192	2393	1439	1719	1486	2245	2032	1894
950	1164	926	2653	1735	2394	627	604	613	479	1161	439	584	675	485	1506	1903	1621	926	944	971	1309	2178	975	1018	1005	605	4787	4567	4281	4025	4138	3989	2305	2581	2210	2592	2521	2244	1412	953	1365	1327	825	939	963	517	953	2109	3172	2284	302	718	426	1666	1754	1422	1595	1563	2103	1569	1350	542	1346	3338	3513	3783	374	358	6014	4178	4926	2468	2767	2509	4395	4429	4488	3215	3730	3601	1557	1701	1736	2331	2382	2038	2907	1726	3086	5021	3356	5075	3196	2738	2865	2569	2839	3321	2101	2389	2105	2634	2758	1978
1453	1766	1619	4436	2804	4004	1222	1102	1196	914	2085	826	1027	1292	867	2522	3346	2734	1695	1619	1753	2244	3827	2028	1701	1851	1303	7307	7286	6677	5666	5897	5888	3201	3290	2714	3801	3917	3434	2152	1396	2066	2492	1550	1853	1854	1004	1621	3687	5398	3897	679	1321	785	2884	2981	2531	1850	2058	2547	1951	1829	855	1814	5102	4714	5830	760	809	8068	5317	6634	4892	4231	4773	7062	5977	7645	5147	4391	5153	2942	2240	2789	3265	2807	2800	4330	2806	4991	7149	4248	7907	4842	3797	4527	4315	4774	5727	3174	4124	3281	3303	4226	2816
1873	2144	2245	5364	3342	4784	1432	1202	1391	1125	2212	888	899	1485	931	3082	4040	3254	2098	1994	2121	2675	4588	2745	1914	2238	1601	9037	8859	8044	7403	7179	7367	3215	3245	3091	5204	5299	4796	2321	1320	2251	3658	2332	3007	2441	1262	2066	4963	6935	5172	872	1839	1436	3970	4252	3824	2827	3155	4496	4270	1703	934	1721	6637	6539	7847	905	905	10805	7401	9314	6704	6004	7120	8998	7735	9760	6775	6049	7444	4078	3042	4310	5505	3912	5189	5951	3564	6403	9694	6098	10236	7458	6117	7213	5350	5937	7023	3882	5124	3964	4421	6523	4077
2092	2553	2847	5256	3484	4526	1376	865	1375	978	1832	763	770	1541	949	3308	4132	3339	2183	2240	2388	2660	4957	3008	1982	2448	1721	9094	9497	8872	7696	8181	8402	3717	3633	3381	6164	6422	6129	2090	1218	2039	5101	3177	3993	2865	1514	2371	5875	8217	6139	1530	2449	1891	5108	5392	4894	7317	8754	10847	10714	1580	1074	1791	7464	7961	9144	748	924	12404	8568	11019	8246	7597	9199	10833	8403	11479	8299	7429	9618	5043	3634	5356	8621	6164	8790	6904	4095	7088	12101	7785	12323	9982	8028	10128	6334	6399	7610	3740	5745	4227	5957	8445	5524
2435	3170	3558	4826	3471	4002	1470	803	1469	904	1579	632	750	1802	898	3237	4186	3500	2396	2530	2675	2730	5170	3133	2106	2529	1818	9275	10413	9509	8464	8812	9435	4221	4144	3916	6690	7262	6749	2428	1254	2163	5339	3210	4395	3145	1729	2652	7299	9776	7382	2083	3247	2610	5746	5875	5653	12366	14881	16719	17063	1759	1295	1920	9033	9961	11369	904	1068	15669	10935	13017	9898	9579	10941	12659	9594	13023	10319	9662	11868	6258	5016	6426	11820	8905	12286	7591	4567	7948	14216	9891	15080	12315	10374	12661	7651	7156	8068	3921	6719	4444	7588	11094	7017
2504	3390	3602	3442	2701	3148	1541	787	1286	779	1387	600	683	1849	780	2671	3548	3125	2230	2474	2469	2129	4184	2572	1799	2188	1651	7715	8954	8261	8062	8307	8569	4058	4201	3773	5943	6478	6192	2266	1274	2038	4413	2626	3758	3039	1740	2645	7509	10003	7544	2372	3571	2902	5044	5197	5080	15231	18893	20582	19923	1607	1257	1718	9549	10600	12288	967	1119	16448	11318	13912	10489	9810	11459	13145	9579	13211	10608	10580	12520	6391	5381	6877	13139	10275	14416	6748	4440	7239	13604	10065	15385	12824	10760	12949	8094	7490	8293	3738	6416	4149	7540	11681	7503
1848	2402	2574	1861	1477	1757	989	557	802	403	871	304	398	1265	474	1528	1924	1758	1294	1637	1535	1164	2282	1367	946	1107	1021	4163	5410	4691	4767	4843	5257	2403	2653	2553	3319	3418	3340	1539	968	1482	2916	1514	2387	2195	1140	2019	5484	7234	5103	1752	2628	2164	3129	2970	2966	13121	15850	15891	16802	1001	756	926	6983	7679	9536	661	779	11785	7803	9356	7307	7060	7664	8779	6604	8623	7239	7570	8650	4763	3935	5183	9983	8113	11304	4093	2598	4533	8333	5752	9359	8626	7125	8972	5808	5114	5788	1878	3843	2127	5502	8853	5374
696	1037	843	506	457	733	277	203	237	127	246	91	129	503	105	522	745	759	658	543	571	381	761	597	417	526	383	1675	1694	1589	2148	2009	1967	915	1151	1047	1119	1361	1304	652	379	512	1081	491	883	927	471	944	2287	2888	1959	732	993	730	1145	984	1103	6728	8449	7945	8298	453	255	424	3017	2466	4140	218	268	5021	2945	3925	2813	2250	2847	3216	2112	3181	2701	2537	3057	1681	1164	1936	4162	3357	5228	1207	666	1652	2715	1983	3571	3104	2563	3332	2241	1903	2300	562	1321	796	2110	3935	2213
259	450	331	154	161	280	119	111	52	63	97	0	0	168	43	196	296	310	223	172	236	144	277	244	167	233	184	541	757	609	774	787	908	275	478	393	449	517	465	240	132	193	367	176	321	377	169	385	752	907	721	292	290	251	447	334	412	1787	2107	2461	2387	155	69	152	1107	921	1323	94	63	1718	1140	1467	1070	869	948	1112	736	1197	944	807	1257	534	408	664	1320	1081	1783	472	229	673	973	640	1329	1196	1008	1291	736	584	832	132	463	310	766	1467	658
0	114	120	0	55	64	0	0	0	0	0	0	0	66	0	0	69	63	75	46	0	42	86	83	0	92	0	0	218	161	0	146	225	0	129	98	0	132	81	0	0	0	0	52	0	97	60	92	196	225	177	60	81	0	0	77	99	0	673	0	642	0	0	77	221	278	352	0	0	427	209	312	249	246	216	268	115	296	229	173	276	175	0	164	424	0	438	108	65	158	216	0	385	281	275	365	168	154	221	0	131	121	0	401	126
