E2P10_1	E2P9_1	E2B2a_1	E2X3_1	E2P10_2	E2P9_2	E2B2a_2	E2X3_2	E2P10_3	E2P9_3	E2B2a_3	E2X3_3	E2P2_1	E2P1_1	E2B2b_1	E2A1a_1	E2P2_2	E2P1_2	E2B2b_2	E2A1a_2	E2P2_3	E2P1_3	E2B2b_3	E2A1a_3	E2P3_1	E2L1_1	E2B2c_1	E2A1b_1	E2P3_2	E2L1_2	E2B2c_2	E2A1b_2	E2P3_3	E2L1_3	E2B2c_3	E2A1b_3	E2P4_1	E2L2_1	E2B3a_1	E2A2a_1	E2P4_2	E2L2_2	E2B3a_2	E2A2a_2	E2P4_3	E2L2_3	E2B3a_3	E2A2a_3	E2P5_1	E2L3_1	E2B3b_1	E2A2b_1	E2P5_2	E2L3_2	E2B3b_2	E2A2b_2	E2P5_3	E2L3_3	E2B3b_3	E2A2b_3	E2P6_1	E2L4_1	E2B3c_1	E2N1_1	E2P6_2	E2B3c_2	E2N1_2	E2P6_3	E2B3c_3	E2N1_3	E2P7_1	E2B1a_1	E2X1_1	E2P7_2	E2B1a_2	E2X1_2	E2P7_3	E2B1a_3	E2X1_3	E2P8_1	E2B1b_1	E2X2_1	E2N3_1	E2P8_2	E2B1b_2	E2X2_2	E2N3_2	E2P8_3	E2B1b_3	E2X2_3	E2N3_3
290	301	314	242	214	112	235	179	225	247	420	482	264	267	222	117	202	218	171	226	181	251	296	350	258	234	199	261	92	92	237	245	216	146	348	281	150	321	233	280	110	230	214	199	105	185	203	285	214	197	290	322	162	184	242	234	177	160	273	286	317	128	287	231	224	208	131	179	318	172	341	372	285	230	272	175	149	178	251	140	428	175	188	217	170	0	96	179	154	214	202
815	764	899	611	564	311	789	551	649	661	1057	740	796	688	622	447	293	541	499	579	478	603	791	944	539	600	678	734	316	189	620	550	424	332	919	786	237	731	631	873	184	579	506	615	211	451	745	826	617	335	776	931	353	364	519	554	505	358	704	875	834	327	799	272	508	618	173	490	905	182	790	901	681	565	658	487	437	531	656	434	1193	425	214	462	623	186	121	507	537	603	257
2393	2039	2234	1537	1460	1061	2015	1472	1886	2004	3253	1479	1930	2074	1558	1395	856	1384	1281	1602	1316	1596	2092	2505	1423	1575	2190	2161	712	607	1673	1548	1043	1027	2913	2206	703	2006	1657	2234	380	1386	1521	1618	386	1278	1887	2078	2145	841	2440	2611	1037	1023	1542	1446	1295	1078	2200	2160	2295	867	2244	438	1521	1561	246	1520	2602	234	2044	2676	2147	1528	1916	1240	1293	1359	1687	1371	3134	1385	310	1384	1701	520	253	1476	1474	1542	401
6480	5117	5838	3982	3777	2863	4930	3804	4763	4298	6858	3496	4758	4895	3896	3404	3730	3486	2945	4149	2845	3880	4759	6154	3954	3795	6008	5388	1851	1430	4477	4017	2733	2336	6330	5840	1699	5308	4211	5875	784	3430	3334	4472	886	2973	4564	5367	5131	1661	6299	6421	2839	2141	3796	3807	3450	2350	5421	5344	5015	1575	5514	864	3527	3928	575	3529	6245	605	4916	5904	4991	3738	4443	3254	3236	3369	4008	3756	7973	3186	796	3226	4819	1178	574	3882	3725	3933	659
13375	11864	11683	9216	7848	6748	10781	8709	9861	9978	14874	6858	10151	11793	8055	8320	7011	7999	6206	9499	6718	8895	9892	14346	8525	8590	12126	12951	4102	3473	9294	9239	6084	5142	13344	13028	3877	12373	8938	12426	1693	8380	7571	9313	1935	7452	9109	10645	12091	4118	14060	13331	6750	5104	8717	7881	7759	5284	12039	10676	11590	3007	11798	2086	8582	8468	1247	8568	12984	1508	11642	12771	11975	9322	9766	7527	7671	7080	9120	8646	15927	7904	1583	8069	9386	3575	1279	8514	8082	8071	1161
18735	18701	17197	14543	11153	10602	15798	13523	14508	15515	21218	10779	15915	18641	12489	13365	11246	12632	9502	15024	10466	13965	15039	22554	14378	13242	17087	20821	6916	5617	13859	15180	10123	8508	18992	20715	6196	19838	13007	18005	3078	13340	11442	13540	3309	12131	13929	16111	19247	6641	21503	19115	11099	8039	13591	11451	12858	8455	18043	15761	17980	4146	17159	4391	13449	12459	2530	13983	18301	3549	18165	18673	19041	15295	14106	11996	12245	10621	14547	13955	22556	12888	3053	12986	13469	4731	2580	13986	11994	13371	2518
19083	20300	17633	16556	11223	11787	16371	15518	14300	16769	22382	11835	18524	20586	14276	14847	12662	14427	10969	16984	11650	15983	16829	25834	16810	15143	17257	23137	8137	6675	13986	17174	12279	9701	19089	23004	9295	23488	13583	17857	4618	15484	11430	13698	5154	14020	14057	16025	22110	7506	22035	18294	12847	8721	14093	11546	14840	9210	18609	15472	19654	4403	16689	8670	14659	12507	5452	15388	18837	6869	21351	18288	20467	17299	13721	13457	14244	10757	15884	16288	22286	14724	6281	14890	13067	5523	4856	15916	11578	14927	4600
12532	15508	12392	13147	7248	8981	11780	12319	8913	13127	15259	8987	15130	16384	12324	11637	10141	11307	9420	13125	9703	12468	14295	19288	14081	12073	11604	17836	7225	5312	9580	13504	10580	7606	13415	18790	11546	19592	10346	12122	5839	12707	8117	9247	6456	12003	10074	10656	17470	6208	14450	11889	10362	6944	9350	7784	11642	6816	12784	10340	15819	3439	11247	14571	11577	8200	9026	12085	12746	11725	16603	12862	15834	13803	9060	10340	11046	7315	12715	13147	13940	12119	10026	12445	8332	4488	7557	12807	7895	12513	7834
4438	6401	4671	5508	2543	3344	4586	5270	3322	5236	6003	3387	7907	6468	8075	4477	5069	4498	6203	4839	5135	4853	9542	8065	8185	5390	4567	7946	4119	2499	4020	5831	6192	3630	5515	8196	11451	9162	5918	4967	6064	5653	4477	3493	6500	5835	5925	4162	6908	2732	5086	4712	4365	2959	3210	3008	4675	2901	4526	4362	6933	1982	3986	18317	5164	2907	11340	5739	4848	14780	6559	5575	6138	5641	3574	3930	4197	2993	5072	6360	5030	5208	12033	5817	3005	1793	9460	6172	2981	5650	9732
2614	2740	2802	2943	1507	1520	2637	2456	1945	2523	3574	2319	4945	2418	5294	1535	2968	1495	4283	1470	3046	1787	6740	2850	4713	2628	3121	2896	2200	1129	2611	1937	3552	1569	3684	3159	10322	3673	3767	2719	5372	2350	3311	2229	5820	2323	3767	2678	2881	1400	2672	3214	1516	1479	1820	1887	1733	1446	2521	2853	3443	1316	2508	16807	2464	1805	10826	2622	2660	14083	2557	3690	2601	2122	2405	1475	1558	1906	2160	3034	2958	2382	11362	2871	1813	747	8799	2859	1927	2645	9463
3406	2268	3222	3157	2187	1144	3027	2697	2523	1907	4377	2508	4132	1758	4626	471	2589	1220	3696	596	2881	1426	5485	957	3467	2883	3488	1338	1672	1251	2948	829	2382	1631	4132	1423	7723	2261	3852	3496	3826	1400	2969	2787	4517	1410	4041	3256	2444	1576	3603	3845	1379	1791	2539	2375	1505	1837	3187	3283	2298	1524	3380	10030	2093	2364	6758	2181	3330	8851	2120	3978	2264	1681	2864	1284	1220	2338	1698	2144	3957	1687	6976	1845	2239	602	5271	2028	2288	2028	6052
4994	2840	4550	3942	3033	1566	3948	3460	3674	2548	6046	3036	4744	2567	3966	208	2967	1853	3258	249	2848	2315	5147	339	3533	3620	4545	498	1562	1599	3748	393	2189	2265	5395	670	6452	2039	3986	5000	3420	1288	3024	3790	3884	1198	4023	4642	3653	1956	5592	5292	2027	2350	3813	3290	2218	2505	4805	4403	2844	1735	4554	4763	2667	3250	3013	2406	4809	4001	2909	4956	2991	2388	3745	1839	1963	2961	2601	2280	5491	2061	3516	1840	3088	721	2689	2106	3039	2632	3024
3999	3508	3645	3220	2508	1885	3359	2863	3103	2888	5208	2274	3748	3227	3633	127	2337	2355	2914	201	2328	2804	4437	308	3647	2982	3770	430	1577	1149	3036	298	2362	1671	4338	579	6731	2328	3165	3988	3387	1364	2553	3071	4368	1348	3490	3753	4252	1525	4794	4108	2405	1794	3284	2742	2518	1970	3915	3473	3158	1374	3751	3583	3095	2624	2551	2827	4006	3010	3721	3844	3768	2840	2916	2169	2360	2480	3083	2638	4605	2408	2773	2286	2454	888	2235	2575	2386	3013	2645
