E2P10_1	E2P9_1	E2B2a_1	E2X3_1	E2P10_2	E2P9_2	E2X3_2	E2P10_3	E2P9_3	E2X3_3	E2P2_1	E2P1_1	E2P2_2	E2P1_2	E2P2_3	E2P1_3	E2B2b_3	E2P3_1	E2L1_1	E2B2c_1	E2P3_2	E2L1_2	E2B2c_2	E2P3_3	E2L1_3	E2B2c_3	E2L2_1	E2B3a_1	E2L2_2	E2B3a_2	E2P4_3	E2L2_3	E2B3a_3	E2A2a_3	E2P5_1	E2L3_1	E2A2b_1	E2P5_2	E2P5_3	E2L3_3	E2A2b_3	E2P6_1	E2B3c_1	E2P6_2	E2L4_2	E2N1_2	E2P6_3	E2L4_3	E2B3c_3	E2N1_3	E2P7_1	E2B1a_1	E2X1_1	E2P7_2	E2B1a_2	E2X1_2	E2P7_3	E2B1a_3	E2X1_3	E2B1b_1	E2X2_1	E2X2_2	E2N3_2	E2B1b_3	E2X2_3	E2B2a_2	E2A1a_1	E2B2b_2	E2A1a_2	E2A1a_3	E2A1b_1	E2A1b_2	E2A1b_3	E2P4_1	E2A2a_1	E2A2a_2	E2B3b_1	E2B3b_2	E2A2b_2	E2N1_1	E2P8_1	E2N3_1	E2P8_2	E2B1b_2	E2P8_3	E2N3_3
517	555	609	928	463	578	635	694	641	500	1195	194	859	379	1258	362	2014	602	1262	581	696	562	500	676	973	1107	822	132	882	829	1428	735	1636	846	931	115	425	850	851	589	1064	2133	59	1056	512	1167	657	183	481	2604	1182	1040	496	515	417	491	512	519	609	342	1358	749	1364	683	910	846	753	1543	667	720	1205	918	1432	2119	1148	673	778	674	504	2325	1661	3638	882	631	1093	4125
1338	1255	1245	2034	1185	1339	1533	1802	1556	1065	3038	373	1913	751	2646	842	4862	1392	2327	1353	1673	1157	1436	1500	1776	2648	1723	333	1728	2150	3197	1772	3687	1733	1756	289	992	1681	1547	1312	2457	3640	156	1937	1146	2882	1182	454	1235	5416	2451	2443	1191	1412	1086	1271	1335	1340	1336	905	2383	1363	2552	1531	1706	1806	1871	3601	1668	1838	2705	2268	3472	5091	2487	1807	2018	1807	1520	5444	3804	6832	2373	1591	2636	7218
2711	2413	2475	3851	2502	2737	3133	3808	2976	1730	5783	795	3663	1465	4869	1728	9267	2713	4316	2715	3182	2200	3033	2842	3326	5173	3013	668	3077	3992	6005	3378	6655	3713	3258	601	2022	2906	2855	2525	4853	5987	316	2974	2125	6348	2140	867	2720	12285	4628	4842	2570	2888	1947	2710	2616	2788	2792	1809	3950	2448	5151	3015	2607	3529	3621	7138	3499	4140	5311	4204	6461	9905	5019	3695	4219	4173	3182	11914	7141	13185	4902	3475	5330	14222
5005	4497	4864	7086	4951	5671	5762	6658	5269	2778	10449	1416	7076	2748	8836	3409	15765	5360	7814	5436	6133	3798	5938	5130	5679	9944	4856	1252	5875	8230	11046	6105	13048	7441	6463	1119	3723	5689	5484	4611	10104	10543	587	5930	4111	10239	3690	1810	5242	18895	9232	9019	4821	5334	3888	5053	4793	5177	5504	3041	6461	4412	7875	6222	4423	6695	7562	12406	7372	7853	10006	8142	12521	17789	9639	7162	8163	8893	6137	18316	14196	18965	9755	7353	10626	21152
9160	7499	8241	11355	9000	8887	9194	11972	8968	4687	14404	2862	10034	5499	12482	6593	19640	7438	12656	8754	8549	6670	9840	7234	9351	16033	6757	2145	8401	11321	14619	8534	17947	12714	10174	2195	6830	8919	8251	8107	16453	15250	1249	8727	5462	11885	5723	2488	9385	21401	15507	13787	8587	9761	6032	9527	8767	8469	9618	5441	8954	6267	8773	10392	6252	11370	11547	15907	11149	11752	13923	11095	17411	23725	16082	11667	15012	15625	10527	21277	21031	21530	14354	12473	15477	23919
13026	10214	11009	14794	12567	11252	11632	16360	11888	6173	16465	4286	11739	8049	14563	9333	20269	8464	16583	11473	9743	8991	12921	8539	12155	20671	7812	2624	9733	12698	15735	10036	19968	16926	12581	3183	9427	11204	10418	10831	21327	18532	1880	10785	6010	10862	7189	2874	12599	19015	20951	17072	11919	13855	7631	13257	12259	11110	13067	7720	10756	7805	7729	14085	7677	15452	14242	16048	13693	14451	15741	12478	19771	24203	21434	15467	21502	21720	14093	19230	25490	19173	17363	16660	18683	21283
13590	10369	11210	14953	13003	11011	11593	16853	12016	6190	14873	4772	10776	8676	13554	9831	16426	7637	17010	11643	8739	9275	12976	7521	12570	20715	7333	2567	9041	11169	12533	9189	18350	17302	12209	3489	10142	10518	9931	11176	21252	17875	2100	9969	5225	7481	6976	2482	13589	12496	21913	16502	12654	14606	7676	13479	12962	11001	13674	8280	10259	7513	5029	14473	7455	15937	13953	12799	13204	14321	14191	10947	17966	19878	22326	15775	22884	23017	14298	12757	24409	12564	16458	17004	17537	13966
10289	7754	8367	11001	9733	8090	8378	12701	9231	4692	10767	3877	7749	6608	9960	7560	11236	5428	12879	8685	6218	6963	9645	5395	9271	15601	5334	2060	6372	7766	7423	6632	12903	13594	8479	2820	7803	7223	6780	8667	15762	12735	1730	6873	3499	4095	5110	1697	10368	7213	16683	12159	9864	11173	5558	9523	9896	8457	10488	6471	7233	5388	2696	11010	5465	11988	10053	7968	9515	10431	9636	7271	12060	11057	16766	11790	17804	17379	10643	7085	17552	7275	11765	12372	12358	7978
3920	3153	3151	4195	3584	2989	3146	4955	3595	1961	4592	1700	2943	2482	3937	2945	4373	2184	5058	3425	2480	2620	3557	1943	3816	6381	2036	938	2461	2996	3107	2475	5421	5631	3388	1406	3292	2419	2478	3585	6172	5329	747	2668	1418	1891	1870	627	4459	2922	7190	4942	4124	4265	2035	2878	3848	3155	4287	2808	2864	2133	1046	4284	2441	4273	3607	3208	3287	4206	3259	2701	4605	5011	6591	4479	7289	6574	3859	3120	7534	3004	4482	4409	4758	3533
937	579	603	778	684	551	570	981	723	409	966	259	634	452	822	618	1210	440	948	892	527	427	624	454	684	1442	500	248	465	677	556	612	998	1265	695	269	835	513	468	718	1283	1165	116	530	303	329	397	151	1050	623	1703	1139	743	802	415	387	1004	601	1027	525	641	415	239	876	568	1014	816	650	789	859	621	514	931	994	1557	1048	1402	1478	972	647	1823	669	826	812	1067	796
