E2A1a_1	E2A1a_2	E2A1a_3	E2A1b_1	E2A1b_2	E2A1b_3	E2A2a_1	E2A2a_2	E2A2a_3	E2A2b_1	E2A2b_2	E2A2b_3	E2B1a_1	E2B1a_2	E2B1a_3	E2B1b_1	E2B1b_2	E2B1b_3	E2B2a_1	E2B2a_2	E2B2a_3	E2B2b_1	E2B2b_2	E2B2b_3	E2B2c_1	E2B2c_2	E2B2c_3	E2B3a_1	E2B3a_2	E2B3a_3	E2B3b_1	E2B3b_2	E2B3b_3	E2B3c_1	E2B3c_2	E2B3c_3	E2L1_1	E2L1_2	E2L1_3	E2L2_1	E2L2_2	E2L2_3	E2L3_1	E2L3_2	E2L3_3	E2L4_1	E2L4_2	E2L4_3	E2N1_1	E2N1_2	E2N1_3	E2N3_1	E2N3_2	E2N3_3	E2P10_1	E2P10_2	E2P10_3	E2P1_1	E2P1_2	E2P1_3	E2P2_1	E2P2_2	E2P2_3	E2P3_1	E2P3_2	E2P3_3	E2P4_1	E2P4_2	E2P4_3	E2P5_1	E2P5_2	E2P5_3	E2P6_1	E2P6_2	E2P6_3	E2P7_1	E2P7_2	E2P7_3	E2P8_1	E2P8_2	E2P8_3	E2P9_1	E2P9_2	E2P9_3	E2X1_1	E2X1_2	E2X1_3	E2X2_1	E2X2_2	E2X2_3	E2X3_1	E2X3_2	E2X3_3
220	178	201	292	0	224	301	183	294	251	204	374	212	154	181	287	248	185	209	240	356	160	219	180	114	122	143	119	130	113	178	225	213	189	186	233	205	157	114	196	144	185	219	100	183	123	41	54	307	219	348	343	180	233	157	150	312	194	152	199	138	152	181	180	150	208	242	119	183	316	104	186	148	99	91	261	115	186	220	79	98	251	121	219	208	164	276	220	136	262	258	228	260
269	212	276	364	0	281	386	212	368	277	240	441	274	180	213	377	246	219	276	316	488	221	257	234	124	151	165	163	208	191	247	297	216	198	216	335	221	153	172	275	159	194	280	103	205	141	46	60	413	297	482	424	253	306	188	178	405	231	173	247	170	144	216	242	142	197	258	140	196	381	135	220	132	94	84	345	123	232	242	107	111	354	155	317	255	179	323	192	190	284	260	280	305
468	428	426	457	0	475	549	276	561	454	400	672	371	278	287	526	415	361	427	479	759	248	337	356	195	237	215	196	217	249	319	380	323	296	306	530	317	239	230	335	230	317	351	175	319	194	44	63	359	323	436	503	235	401	321	248	560	345	308	430	279	282	409	344	281	354	370	161	362	556	168	339	220	149	162	464	196	396	424	126	229	444	218	437	384	282	502	316	236	419	407	433	553
639	620	646	632	0	719	574	274	689	460	455	881	444	259	341	571	402	400	453	623	957	245	391	413	178	271	320	205	265	284	347	499	441	331	338	559	380	243	310	455	273	385	442	203	397	194	64	0	300	230	468	355	197	321	383	294	739	390	360	491	425	417	600	513	359	571	443	240	467	627	193	344	331	242	252	670	310	619	524	194	298	594	314	567	468	369	712	361	308	645	469	470	629
1412	1389	1482	1437	203	1440	939	532	1094	706	737	1209	590	529	587	894	738	694	729	947	1436	448	587	634	416	473	574	258	345	475	513	796	771	520	615	1115	623	572	488	721	552	802	684	360	713	213	80	83	339	332	530	420	243	376	655	548	1131	711	600	880	908	939	1268	982	875	1176	1018	425	998	631	217	469	788	523	550	1098	597	1276	981	438	614	1014	569	1073	959	794	1525	718	661	1112	843	936	1134
2290	2017	2524	2119	688	2237	1433	830	1661	1126	1101	1912	730	654	913	1107	995	861	1063	1370	2218	557	768	821	502	684	812	267	423	513	763	1149	1181	758	839	1567	979	807	738	1036	790	1246	1106	524	956	221	101	116	542	557	767	564	428	538	830	731	1650	1029	889	1233	1368	1407	2200	1562	1290	2043	1560	618	1377	629	204	501	1128	775	951	1769	944	1985	1313	596	845	1630	796	1575	1346	1148	2269	935	1056	1748	1110	1239	1469
5046	4886	5901	4818	1599	4859	3060	1892	3575	2657	2659	4265	1540	1537	1994	2379	2249	1797	2213	2862	4452	1345	1555	1743	1241	1697	1873	704	1032	1070	1773	2781	2668	1674	1966	3495	2100	1827	1632	2304	1828	2737	2153	1058	1952	372	236	288	951	880	1259	1087	682	1009	1874	1714	3553	2246	1999	2752	3253	3399	4929	3650	3062	4378	3236	1582	3097	1270	469	972	2782	2016	2195	3616	2051	4214	3062	1549	2167	3409	1766	3203	3087	2718	5057	2194	2345	3957	2635	2896	3525
6076	5486	6363	5598	1765	5628	3721	2169	4000	3049	3030	4838	1811	1686	2160	2562	2530	1856	2554	3301	4941	1660	2165	2197	1359	1987	2064	839	1263	1348	2019	2984	3079	1827	2254	3808	2346	1935	1843	2555	2117	2977	2451	1179	1871	401	324	261	1789	1746	2133	1736	1243	1750	1944	1914	4019	2420	2182	2908	3551	4017	5562	3952	3357	5018	3741	1898	3446	1448	535	1053	3177	2382	2429	4235	2344	4626	3391	1693	2490	3944	1980	3419	3331	2947	5414	2501	2678	4516	2993	3073	3769
10105	9140	10678	9012	2728	9037	6187	3703	6815	5152	5222	8213	2925	2840	3633	4473	4049	3187	4111	5347	8102	2976	3924	3968	2400	3502	3603	1530	2203	2307	3531	5329	5411	3107	3767	6200	4030	3180	2928	4319	3610	4913	3808	1702	2872	548	486	542	3420	3509	4260	3419	2412	3082	3454	3143	6701	3887	3679	4841	5956	6522	9220	6688	5740	8153	6134	3169	5458	2440	964	1797	5601	4183	4106	6573	3571	7138	5995	2997	4328	6305	3306	5578	5262	4863	9093	4342	4435	7146	5166	5272	6149
2366	2051	1741	2771	379	2218	1464	744	1420	1268	1113	1852	878	789	922	1292	1272	708	983	1285	1914	1489	2177	1947	594	804	809	692	977	957	656	987	943	638	823	1187	863	756	676	1044	894	1175	791	427	621	289	243	107	5237	5202	6328	5620	3606	4441	738	676	1468	819	745	947	1605	1656	2426	1662	1516	2102	1992	989	1619	886	342	616	1556	1171	1151	1562	839	1439	2131	964	1373	1690	940	1453	1083	1005	1696	1075	1197	1864	1412	1554	1825
1512	1307	1494	2115	353	1577	1112	568	1060	1002	810	1419	836	718	736	1141	1057	680	798	1004	1620	1637	2312	2039	512	551	622	712	963	914	572	721	603	474	608	824	593	547	499	894	694	818	693	298	470	328	239	59	6648	6487	7959	7331	4618	5745	636	447	1152	502	555	692	1120	1126	1628	1188	1129	1355	1782	759	1290	919	282	568	1179	883	831	1145	584	943	1851	859	1154	1215	716	976	788	656	1054	742	917	1402	1135	1259	1394
