E2A1a_1	E2A1a_2	E2A1a_3	E2A1b_1	E2A1b_2	E2A1b_3	E2A2a_1	E2A2a_2	E2A2a_3	E2A2b_1	E2A2b_2	E2A2b_3	E2B1a_1	E2B1a_2	E2B1a_3	E2B1b_1	E2B1b_2	E2B1b_3	E2B2a_1	E2B2a_2	E2B2a_3	E2B2b_1	E2B2b_2	E2B2b_3	E2B2c_1	E2B2c_2	E2B2c_3	E2B3a_1	E2B3a_2	E2B3a_3	E2B3b_1	E2B3b_2	E2B3b_3	E2B3c_1	E2B3c_2	E2B3c_3	E2L1_1	E2L1_2	E2L1_3	E2L2_1	E2L2_2	E2L2_3	E2L3_1	E2L3_2	E2L3_3	E2L4_1	E2L4_3	E2N1_1	E2N1_2	E2N1_3	E2N3_1	E2N3_2	E2N3_3	E2P10_1	E2P10_2	E2P10_3	E2P1_1	E2P1_2	E2P1_3	E2P2_1	E2P2_2	E2P2_3	E2P3_1	E2P3_2	E2P3_3	E2P4_1	E2P4_2	E2P4_3	E2P5_1	E2P5_2	E2P5_3	E2P6_1	E2P6_2	E2P6_3	E2P7_1	E2P7_2	E2P7_3	E2P8_1	E2P8_2	E2P8_3	E2P9_1	E2P9_2	E2P9_3	E2X1_1	E2X1_2	E2X1_3	E2X2_1	E2X2_2	E2X2_3	E2X3_1	E2X3_2	E2X3_3
439	350	279	449	0	404	758	433	845	804	703	1116	527	505	559	843	732	654	623	701	1207	346	505	500	303	349	392	268	374	450	394	655	693	455	507	755	388	353	324	438	285	373	489	197	430	163	0	301	309	462	390	234	329	456	404	1020	418	472	613	258	303	358	281	190	315	266	193	243	976	320	721	508	382	367	612	339	628	655	283	421	776	353	600	434	342	709	365	310	503	807	808	980
724	719	713	924	136	754	1561	872	1717	1418	1313	1989	1021	950	943	1482	1369	1147	1094	1389	2226	631	937	972	515	696	664	503	784	798	845	1250	1301	956	1055	1496	623	697	552	809	571	692	772	347	711	328	88	500	521	766	549	387	526	888	733	2014	836	809	1021	452	497	613	503	413	433	559	269	524	1985	674	1402	992	745	722	1204	610	1060	1266	571	797	1313	642	1138	859	685	1302	568	530	977	1539	1331	1671
1379	1374	1320	1773	308	1435	2987	1650	3232	2672	2489	3861	1976	1767	1865	2921	2549	2165	2031	2739	3907	1177	1748	1761	1031	1322	1292	987	1485	1637	1774	2574	2485	1822	2069	2762	1213	1237	1085	1581	1036	1302	1437	666	1274	642	139	999	925	1546	1040	638	1041	1651	1398	3670	1550	1469	1980	807	878	1173	848	716	870	1095	545	993	3487	1258	2613	1858	1302	1403	2094	1163	1951	2298	1044	1533	2325	1120	1968	1583	1280	2329	1097	1058	1883	2842	2471	3122
2554	2295	2435	2844	892	2534	4892	2639	5521	4668	4227	6161	3212	2791	2931	4877	4246	3541	3184	4299	6149	2126	2825	2946	1698	2086	2264	1627	2308	2668	3047	4340	4160	2940	3512	4394	1915	1946	1764	2681	1797	2132	2329	1071	1920	952	283	1785	1534	2606	1725	1016	1788	2740	2439	5985	2450	2366	3050	1320	1447	1800	1449	1080	1342	1794	802	1551	5567	1999	4183	3092	2328	2255	3367	1818	3193	3694	1809	2594	3561	1901	3059	2652	2144	3667	1767	1895	3092	4530	3922	5411
4763	4161	4571	4885	1658	4447	8538	4834	9985	8298	7536	11212	5780	5150	5436	8110	7655	6577	5812	7573	10831	3919	5014	5341	3119	3953	3655	2983	4165	4334	5552	8057	7216	5128	6261	7888	3341	3443	3165	4675	3354	3743	4006	1974	3360	1534	524	3042	2938	4353	2870	1940	2944	4843	4411	10390	4341	4242	5523	2227	2551	3105	2606	1937	2474	3181	1586	2808	9638	3478	7292	5554	4438	3951	5841	3332	5746	5945	3114	4486	6210	3149	5262	4471	3880	6522	2888	3401	5567	7768	6932	9075
6910	6096	6485	7212	2260	6339	12373	6899	14467	11108	10352	15280	8272	7393	7747	11512	10841	9330	8448	10812	15487	5805	7390	7956	4439	5914	5621	4453	6173	6602	8228	12040	10860	7480	9103	11489	4795	4987	4522	6728	4899	5610	5430	2771	4540	2127	781	4893	4789	6779	4436	3071	4695	6819	6473	14418	6034	6099	7664	3008	3296	4158	3513	2827	3596	4696	2392	4124	13296	4968	9874	7968	6280	5499	8030	4678	8161	8443	4358	6446	8485	4196	6981	6323	5608	9130	4246	4993	8018	10506	9723	12004
7642	6741	6791	7873	2231	6942	13174	7344	15265	11378	10709	15875	9119	7862	8306	12417	11554	10016	8922	11819	16790	6445	8212	9197	4862	6591	6210	5041	6946	7621	9428	13670	12602	8363	10110	13265	5210	5372	4819	7459	5397	6368	5664	2789	4757	2245	811	6166	5922	8460	5389	3670	5676	7419	6949	15637	6413	6438	8174	3111	3386	4285	3708	3046	3945	5269	2669	4702	13758	5199	10140	8590	6691	5994	8681	4988	8739	9157	4758	7152	8527	4216	7219	6628	6035	10087	4860	5445	8857	10779	10052	12410
5951	5222	5019	6135	1417	5379	10055	5420	11685	8144	7734	11502	7281	6008	6589	9582	8615	7702	6937	9198	13056	5347	6686	7709	3755	5181	5033	4154	5576	6251	7691	11066	10451	6784	8251	10998	4133	4281	3845	5913	4294	5099	4231	2018	3506	1820	601	5916	5629	7924	4894	3422	5377	5797	5439	12295	4814	4853	6332	2328	2573	3238	2864	2304	3036	4381	2255	3835	10133	3794	7614	6630	5097	4883	6871	3855	6618	7391	3832	5761	6232	3056	5323	5103	4797	8088	4080	4282	7191	7870	7479	9603
2825	2482	2582	3144	637	2688	5051	2617	5898	3823	3502	5992	3647	2946	3284	4812	3958	3629	3113	4250	6451	2793	3504	4188	1806	2419	2481	2389	2888	3418	4025	5805	5517	3724	4404	6274	1963	1908	1855	2881	1990	2498	1934	826	1522	944	296	4051	3891	5588	3261	2292	3637	2838	2493	6154	2428	2241	2946	1177	1184	1604	1515	1170	1585	2332	1145	2059	4645	1710	3530	3308	2415	2678	3297	1737	2991	3927	1855	3000	2804	1353	2493	2455	2118	3865	1761	1976	3668	3379	3366	4533
1323	1079	1044	1381	298	1242	2084	1123	2834	1690	1539	2903	1746	1264	1452	2288	1987	1812	1429	1940	3215	1206	1560	1942	849	1059	1130	1144	1197	1696	1851	2364	2366	1626	1952	3032	920	935	856	1367	896	1157	984	396	717	429	147	1938	1773	2599	1630	980	1741	1282	1100	2962	1190	1072	1439	579	546	753	650	549	742	1023	514	837	2206	660	1659	1613	1124	1455	1622	762	1392	2028	922	1537	1362	648	1263	1163	969	1874	834	982	1788	1588	1667	2429
