E2A1a_1	E2A1a_2	E2A1b_1	E2A1b_2	E2A1b_3	E2A2a_1	E2A2a_2	E2A2a_3	E2A2b_1	E2A2b_2	E2A2b_3	E2B1a_1	E2B1a_2	E2B1a_3	E2B1b_1	E2B1b_2	E2B1b_3	E2B2a_1	E2B2a_2	E2B2a_3	E2B2b_1	E2B2b_2	E2B2b_3	E2B2c_1	E2B2c_2	E2B2c_3	E2B3a_1	E2B3a_2	E2B3a_3	E2B3b_1	E2B3b_2	E2B3b_3	E2B3c_1	E2B3c_2	E2B3c_3	E2L1_1	E2L1_2	E2L1_3	E2L2_1	E2L2_2	E2L2_3	E2L3_1	E2L3_2	E2L3_3	E2N1_1	E2N1_2	E2N1_3	E2N3_1	E2N3_2	E2N3_3	E2P10_1	E2P10_2	E2P10_3	E2P1_1	E2P1_2	E2P1_3	E2P2_1	E2P2_2	E2P2_3	E2P3_1	E2P3_2	E2P3_3	E2P4_1	E2P4_2	E2P4_3	E2P5_1	E2P5_2	E2P5_3	E2P6_1	E2P6_2	E2P6_3	E2P7_1	E2P7_2	E2P7_3	E2P9_1	E2P9_2	E2P9_3	E2X1_1	E2X1_2	E2X1_3	E2X2_1	E2X2_2	E2X2_3
14937	8083	6555	6303	5452	18591	11159	5745	14044	8899	9868	5095	6390	5325	10201	5638	6108	8229	8103	3809	4498	4910	3526	9198	13001	6229	5813	11362	5379	7065	13420	9347	8758	8650	7087	4324	7689	7105	5202	8176	5475	2784	4055	2827	3802	1171	1007	1413	459	728	10954	11224	5384	6991	11688	4065	5190	4710	4954	4930	7214	3613	5069	7683	7538	7265	7660	8577	2179	6114	7693	7200	5830	10355	9074	11026	12086	8313	4675	7253	7599	3100	4100
22640	12462	9693	9278	7983	23865	13951	7792	17987	11658	13288	6825	8483	7033	13535	7716	8484	10727	10868	5453	6652	7302	5392	12051	17596	8245	7481	14992	7176	8922	17003	12026	11219	11418	9403	5440	10089	9019	6765	10431	7338	3658	5375	3705	5527	2102	3213	2886	1293	1693	15848	16178	7994	9254	15333	5433	7161	6481	7091	5521	7972	4165	6995	9842	10170	9657	9791	11382	2901	8124	10643	9605	8076	14236	11722	13375	15326	10992	6117	9900	10381	4290	5752
23265	12828	9747	9225	7830	18559	10845	6383	14124	9311	10820	6135	7377	5995	11297	6541	7233	9025	9431	4781	6948	7577	5543	10490	14957	7033	6383	13092	6027	7389	14112	9701	8989	9211	7628	4696	8639	7438	5945	9424	6596	3260	4366	3060	7974	3379	5301	4664	2024	3377	14795	15375	7710	8062	13098	4725	6773	5943	6702	3785	5507	3085	5939	8560	8792	8191	8346	9516	2609	7090	9757	8078	7124	12336	9489	10796	12286	9329	5243	8471	9438	3796	5086
17165	8910	7434	6730	5785	9321	5221	3152	6989	4723	5261	3268	3808	3085	5715	3322	3652	4492	5014	2646	5336	5956	4009	5243	8263	3784	3396	7234	3289	3144	6018	4129	4700	4627	3460	2588	4713	4084	3342	5251	3770	1524	2174	1351	9855	4085	6747	5458	2486	3369	8507	8326	4204	4116	6646	2460	4234	3698	4269	2162	3354	1806	2815	4311	4316	4008	3945	4548	1374	3895	5345	4177	3731	6238	4835	5332	6245	4738	2644	3734	5603	1954	0
8437	4618	4348	3652	2972	4540	2384	1256	3489	2209	2505	1758	1884	1656	2772	1548	1571	2138	2619	1285	4013	4541	2924	2694	4530	2200	1666	3627	1751	1071	1788	1150	2339	2140	1407	1417	2518	2243	2088	3265	2378	914	1121	494	9410	3922	4743	5003	2245	2182	1867	1714	1045	2100	3456	1196	2667	2345	2600	909	1507	896	881	1576	1436	2142	1841	2203	730	2048	2906	2105	1881	3054	2270	2379	3257	2434	1291	1638	3341	897	1483
1844	800	1013	766	638	1581	833	356	1132	615	730	419	607	426	615	222	349	419	529	340	1745	1845	1179	865	1204	529	704	1698	702	279	484	355	628	530	335	453	610	444	632	910	656	219	292	163	6718	2754	0	3597	1368	2107	273	272	164	471	769	217	713	546	598	519	926	283	484	814	567	525	535	558	169	571	809	605	359	593	443	436	769	468	255	481	802	162	237
1328	649	755	737	711	1217	687	248	1106	532	736	475	599	453	570	226	414	467	532	208	2227	2585	1909	812	1108	520	1035	2311	1014	205	377	345	596	415	327	370	522	456	912	1242	910	215	272	183	7076	2863	5112	3762	1501	2175	375	381	131	283	660	152	916	843	859	807	1275	515	799	1262	1022	599	489	618	216	703	810	468	321	448	496	576	925	505	213	446	907	261	506
823	401	562	627	394	774	542	170	775	442	586	374	434	360	332	169	222	260	341	167	2073	2436	1922	606	901	359	1050	2373	1062	123	227	171	354	296	233	311	275	283	739	1099	753	194	163	134	7124	2958	4218	3731	1403	1779	327	264	116	149	341	77	836	747	781	849	1403	582	817	1378	1081	366	343	378	158	547	658	245	217	232	336	352	622	351	119	278	725	228	240
533	233	354	457	221	548	379	125	594	299	397	257	280	254	215	105	104	153	243	116	1523	1921	1595	413	570	266	834	2006	895	104	147	92	209	155	129	187	178	144	556	793	547	111	83	100	5377	2217	1622	2781	1064	660	237	161	69	107	232	69	626	538	632	785	1144	433	733	1160	942	237	192	253	126	399	451	162	155	160	223	193	497	236	89	194	524	132	0
298	140	214	224	69	301	224	0	316	154	244	139	168	168	150	65	60	91	113	60	641	794	829	244	337	164	400	843	545	61	94	57	112	89	74	101	116	64	271	420	332	67	61	56	1977	789	485	1085	315	209	105	107	0	51	138	0	362	276	286	320	497	201	367	544	435	127	99	168	68	187	271	86	82	95	144	109	246	125	0	99	279	78	137
