E2N3_1	E2X2_1	E2P8_1	E2N3_2	E2P8_2	E2N3_3	E2X2_3	E2B1b_3	E2P8_3	E2N2_1	E2X1_1	E2B1a_1	E2N2_2	E2X1_2	E2P7_2	E2N2_3	E2X1_3	E2B1a_3	E2P7_3	E2N1_1	E2B3c_1	E2N1_2	E2B3c_2	E2P6_2	E2N1_3	E2B3c_3	E2P6_3	E2A2b_1	E2B3b_1	E2P5_1	E2P5_2	E2L3_3	E2P5_3	E2A2a_1	E2B3a_1	E2P4_1	E2A2a_2	E2B3a_2	E2P4_2	E2B3a_3	E2L2_3	E2P4_3	E2A1b_1	E2B2c_1	E2A1b_2	E2B2c_2	E2P3_2	E2L1_3	E2P3_3	E2A1a_1	E2B2b_1	E2B2b_2	E2P2_2	E2B2b_3	E2P1_3	E2P2_3	E2X3_1	E2B2a_1	E2P9_1	E2P10_1	E2B2a_2	E2P9_2	E2P10_2	E2X3_3	E2B2a_3	E2P9_3	E2P10_3	E2X2_2	E2B1b_2	E2P7_1	E2B1a_2	E2P6_1	E2L4_3	E2L3_1	E2A2b_2	E2B3b_2	E2L3_2	E2A2b_3	E2B3b_3	E2L2_1	E2L2_2	E2A2a_3	E2L1_1	E2P3_1	E2L1_2	E2A1b_3	E2B2c_3	E2P1_1	E2A1a_2	E2P1_2	E2X3_2
93	93	126	106	49	63	251	219	175	100	59	0	63	159	94	113	177	116	205	44	64	91	66	74	92	168	60	349	103	140	79	80	69	136	103	164	76	189	87	159	135	116	206	161	125	56	54	122	111	189	41	93	0	107	85	183	98	127	119	127	351	86	199	116	124	213	182	143	190	134	225	170	0	0	151	101	117	241	285	43	124	240	194	197	39	177	242	154	183	150	89
276	186	377	292	172	319	644	617	509	280	234	221	202	506	237	233	494	388	503	174	202	250	329	144	363	526	271	702	275	338	174	183	246	352	311	470	241	378	192	387	366	332	446	378	430	278	104	353	456	586	186	330	69	352	464	472	322	262	347	264	743	464	388	479	356	544	493	378	632	382	720	451	63	0	557	385	439	709	585	174	421	616	371	468	208	542	629	484	688	435	314
535	407	977	628	368	795	1296	1319	869	588	571	734	486	1234	433	508	1166	884	1090	451	502	628	775	327	815	1111	767	1339	703	801	369	369	645	594	757	1132	738	1014	419	827	658	766	976	943	1077	1121	271	707	1214	1239	491	956	147	767	1008	879	574	563	855	690	1519	979	715	1148	681	1098	935	965	1521	867	1565	1135	177	186	1293	1125	926	1539	1238	544	903	1266	699	1232	537	1165	1226	1095	1649	974	998
1273	1021	2608	1260	902	1781	2582	3156	2270	1295	1286	2066	1084	2613	996	1355	2445	1955	2730	1083	1225	1447	1858	903	2376	2635	1637	2061	1620	1599	845	809	1514	1305	1731	2592	1835	2388	907	2100	1655	1970	2517	2375	2836	2690	640	1701	2501	2714	1420	2314	367	1653	2206	2346	1434	1202	2057	1571	2888	2395	1291	2478	1970	2505	2281	2181	3362	1865	3415	2625	394	501	2746	2911	1871	3778	2798	1341	2075	2982	1612	2772	1598	2815	3038	2325	3627	2259	2114
2991	2368	7393	3074	2495	4021	5694	8469	6622	2693	3659	5635	2179	7035	2462	2773	7618	5295	7470	2380	3153	3173	5013	2839	5279	7610	4925	5543	4043	4227	1990	2048	4650	4173	4190	7059	5556	5957	2197	6165	4788	5865	6462	6113	7737	7334	1487	5114	7250	6466	3275	6164	1299	4728	6767	6123	3476	3360	6015	3935	7001	5533	2771	7058	5383	6249	6422	6051	9821	5203	9087	6788	1171	1403	8097	8770	3572	10275	8482	3768	5207	8879	4324	7990	3930	7978	8510	6735	10502	6632	5581
7008	5292	15993	6544	5083	9153	11463	16472	13991	6723	7013	11870	5975	13573	4888	7015	14712	11076	15664	5725	6923	8221	11047	5942	13245	15800	10661	11933	9050	7838	4158	4364	10028	8658	10026	14374	11250	13697	4182	14309	10338	11605	13577	12835	16604	14845	3330	10737	14328	13176	7911	14179	2906	10651	13443	12336	7319	7084	12311	7733	12657	10771	3887	14487	11209	12778	12829	12846	19418	10758	17846	14484	2219	2685	17525	18761	6577	22732	18471	8363	9826	18855	8353	16016	8077	16575	17718	13732	21149	13789	10613
10914	7869	22922	10115	6930	14295	14997	23382	19489	10397	9324	16630	9586	17855	6616	10908	18902	15560	21573	9166	10125	12783	16040	8470	21158	22192	14769	17456	13495	11002	5643	5891	13902	12342	15468	19284	15969	20326	6216	21077	14845	15710	19353	18877	24058	21499	4663	14827	19746	18877	12425	21685	4271	15654	18874	17754	10452	10314	17053	10643	17618	14653	6029	20109	15766	18299	17494	18115	27039	15133	25631	21258	2941	3570	25395	26695	8002	26722	26813	12435	13288	26611	11497	21762	10429	23345	25347	19361	27236	18979	15101
12883	8056	25151	11126	7259	16401	14918	21397	21373	12713	6667	18556	11267	13462	6631	12963	13802	16722	23132	11147	11239	14936	17918	9087	25316	24046	16276	19548	14808	10422	5999	6234	14797	13548	17983	16547	17165	22733	5066	23674	16171	12995	20688	20470	25324	23162	4469	15097	17830	18571	14629	24980	4695	18258	20230	19012	11319	11213	17676	10856	16987	14728	4016	21383	16919	19315	17666	18959	26931	16076	27035	23026	3421	3472	27416	27533	6554	25867	27388	13421	14338	26780	11854	20048	10422	24923	27034	20697	27178	20423	15853
6845	2667	7901	5630	2329	8443	5216	7016	7012	6394	1714	5758	5869	3183	2023	6602	2906	5263	6290	5804	3437	7442	5196	2734	13698	6928	5115	6228	4274	3613	1881	1780	3905	3794	7067	5954	5429	8566	2946	9186	5826	4583	6499	6833	8273	7106	1622	4454	6192	5152	6260	10453	1684	7791	5634	6431	3291	3539	4935	2878	7557	3977	4227	5684	4894	5369	4234	5508	9978	4523	9368	7663	896	1090	9332	8124	1134	11707	7905	4795	5061	8624	2837	6764	2472	7784	8370	5623	8275	5563	5033
1418	294	1359	1057	152	1793	850	557	1039	1614	348	917	1281	481	244	1579	520	829	982	1406	642	1542	724	297	3039	925	867	855	492	442	276	187	583	551	1156	918	784	1285	0	1625	991	769	1258	1367	1420	1086	242	564	980	822	1303	2043	252	1625	998	870	607	663	867	407	578	693	94	930	876	778	576	836	713	607	1140	1183	191	204	1580	1111	300	1888	1083	820	785	1271	570	1364	463	1081	1424	955	1222	937	838
