E2P10_1	E2P9_1	E2P10_2	E2P9_2	E2X3_2	E2P10_3	E2P1_1	E2A1a_1	E2P2_2	E2A1a_2	E2B2b_3	E2P3_1	E2L1_1	E2A1b_1	E2P3_2	E2L1_2	E2A1b_2	E2P3_3	E2P4_1	E2L2_1	E2P4_2	E2A2a_2	E2B3a_3	E2P5_1	E2L3_1	E2P5_2	E2B3b_2	E2P5_3	E2L3_3	E2B3b_3	E2P6_1	E2L4_1	E2B3c_1	E2N1_1	E2P6_2	E2L4_2	E2B3c_2	E2N1_2	E2L4_3	E2N1_3	E2X1_1	E2P7_2	E2B1a_2	E2X1_2	E2P7_3	E2B1a_3	E2B1b_1	E2X2_1	E2N3_1	E2B1b_2	E2X2_2	E2N3_2	E2P8_3	E2B1b_3	E2X2_3	E2N3_3	E2B2a_2	E2B2c_2	E2A2b_2
71	125	146	187	265	0	263	233	208	301	311	309	215	299	173	0	208	0	234	255	124	155	218	227	211	123	142	130	128	239	259	137	193	68	165	0	213	73	170	107	140	160	194	156	128	246	101	0	0	123	141	0	171	312	128	78	305	169	241
230	413	510	605	621	0	705	886	593	826	747	709	636	877	406	120	774	46	684	775	295	577	573	839	568	339	415	438	315	699	748	408	650	169	540	171	832	144	392	261	517	409	741	526	391	828	477	212	0	428	523	0	508	962	550	0	926	555	710
710	1371	1422	2002	1826	89	2231	2789	1786	2587	2461	2100	1810	2291	1169	329	2260	57	1850	2024	843	1609	1791	2200	1705	1028	1225	1231	1308	1945	1965	1079	2059	567	1509	437	2246	340	1175	762	1279	1164	2099	1457	1044	2475	1419	775	0	1238	1529	78	1053	2723	1949	445	2414	1761	2143
1961	3493	3673	6242	4892	329	5735	7635	4095	7629	5252	4973	5216	5603	2677	822	5500	174	5031	5434	2231	4630	4800	5667	4201	2565	3532	3360	3587	5403	5105	2636	6064	1286	4160	1103	6642	965	2500	2148	3456	2870	5828	3921	2981	6872	4233	2105	153	4081	4274	410	2673	7638	4742	1536	6243	4734	5545
5641	8361	11504	13237	13917	1455	14701	16760	11652	15929	13835	11737	12908	13302	6951	3417	13628	1198	11635	13493	6135	13432	11314	15012	10952	7804	9861	9473	10157	15370	12333	6305	13774	3286	11305	2518	16312	2003	5814	5955	7996	7397	14753	10410	8055	17031	9716	4388	690	9570	10907	1721	6217	17292	10861	3768	17574	13631	14965
8971	12709	18228	19436	22403	2509	23902	23518	18632	23391	22148	19586	20642	19049	11518	6235	19894	2317	19550	20387	10665	21074	16703	23378	17915	12610	15648	15000	16581	22718	18991	9205	18866	6196	17783	4361	22759	4788	8782	11208	11640	11518	21232	15960	12082	24912	13649	6030	1381	13511	15916	3134	9128	24657	16307	7239	26389	23503	24731
10100	13003	20986	18884	25702	3001	25023	23308	22096	22505	25303	22187	22428	19740	14402	7277	20019	2802	22364	21531	12614	23440	15982	25913	20506	14376	15566	16525	18562	22320	21195	10064	17394	8931	18965	5412	21087	6971	9561	16142	11814	12712	21832	16501	12807	25502	13948	5961	1825	13222	16396	4161	9666	24475	16836	9912	26644	26352	26072
6778	8348	14342	11957	17914	2186	17329	13237	16344	13396	18740	17961	16093	11681	11949	5502	11909	2274	18282	14404	10213	15165	10056	17634	14340	9991	8993	11114	12855	12555	14078	6637	8656	8481	12969	4356	11206	6837	6419	14075	7211	8225	12522	10580	7930	15023	8078	3755	1644	7374	10293	3868	5918	14626	10710	9416	22419	19004	17510
2037	2649	4656	3397	6369	755	5574	3713	6824	3731	7435	8832	5370	3652	6100	2250	3600	1125	9237	4820	5391	4522	3304	5582	4878	3359	2406	3331	3911	3365	5119	2573	2457	5499	4034	2193	2713	4399	2379	9298	2333	2960	3499	3106	2466	4331	2388	1265	914	1940	3243	2219	1851	4100	3621	6050	7571	6217	5663
525	841	893	1140	1716	182	1631	820	1725	856	1765	3205	1462	956	1683	388	759	208	3498	1338	1670	1291	943	1565	1303	464	513	902	1138	852	1290	823	592	1587	1080	657	719	1068	735	2936	713	778	917	870	732	1146	621	347	237	442	1022	696	432	1050	1041	1791	1888	1201	1163
