E20B1_1	E20B1_2	E20B1_3	E20B2_1	E20B2_2	E20B2_3	E20B3_1	E20B3_2	E20B3_3	E20B4_1	E20B4_2	E20B4_3	E20B5_1	E20B5_2	E20B5_3	E20B6_1	E20B6_2	E20B6_3	E20B7_1	E20B7_2	E20B7_3	E20B8_1	E20B8_2	E20B8_3	E20N1_1	E20N1_2	E20N1_3	E20N2_1	E20N2_2	E20N2_3	E20N3_1	E20N3_2	E20N3_3	E20P10_1	E20P10_2	E20P10_3	E20P11_1	E20P11_2	E20P11_3	E20P12_1	E20P12_2	E20P12_3	E20P1_1	E20P1_2	E20P1_3	E20P2_1	E20P2_2	E20P2_3	E20P3_1	E20P3_2	E20P3_3	E20P4_1	E20P4_2	E20P4_3	E20P5_1	E20P5_2	E20P5_3	E20P6_1	E20P6_2	E20P6_3	E20P7_1	E20P7_2	E20P7_3	E20P8_1	E20P8_2	E20P8_3	E20P9_1	E20P9_2	E20P9_3	E20X10_1	E20X10_2	E20X10_3	E20X11_1	E20X11_2	E20X11_3	E20X12_1	E20X13_1	E20X13_2	E20X13_3	E20X14_2	E20X14_3	E20X15_1	E20X15_2	E20X15_3	E20X16_1	E20X16_2	E20X16_3	E20X17_1	E20X17_2	E20X17_3	E20X18_1	E20X18_3	E20X1_1	E20X1_2	E20X1_3	E20X20_1	E20X20_2	E20X20_3	E20X21_1	E20X21_2	E20X21_3	E20X22_1	E20X22_2	E20X22_3	E20X23_1	E20X23_2	E20X23_3	E20X24_1	E20X24_2	E20X24_3	E20X2_1	E20X2_2	E20X2_3	E20X3_1	E20X3_2	E20X3_3	E20X4_1	E20X4_2	E20X4_3	E20X5_1	E20X5_2	E20X5_3	E20X6_1	E20X6_2	E20X6_3	E20X7_1	E20X7_2	E20X7_3	E20X8_1	E20X8_2	E20X8_3	E20X9_1	E20X9_2	E20X9_3
2153	1254	1062	1402	1443	974	1412	678	518	2252	1429	988	615	751	468	1069	1620	967	1531	1905	1330	1130	1230	1322	1001	383	390	527	363	279	1883	1490	1490	1115	1103	975	1555	1374	919	604	393	220	528	728	813	1465	1615	1667	1089	1097	1219	1642	1360	1648	1912	1106	885	1803	1244	1118	1504	742	557	701	777	323	1016	1435	678	1025	1992	1783	686	1370	1328	1879	819	1248	1674	1141	2081	1254	1200	1894	1594	1980	1913	1057	1157	1441	1447	2222	792	696	988	1351	1746	1666	1279	1851	1919	1725	1636	1725	337	340	349	1117	999	1357	1308	1984	1466	1347	1971	2530	704	687	705	537	544	577	661	783	603	1071	1810	1238	847	506	791	1528	1712	1630
6262	4074	3402	4732	4842	3293	4927	2224	1930	7851	4656	3819	2219	2834	1569	3847	5447	2692	5103	6599	4696	3987	4453	3999	3127	1577	1541	1693	1222	1014	6178	4270	5168	3998	4295	3410	4920	4412	2821	1851	1609	902	1515	2141	3402	5419	5956	5866	3705	3520	3670	5935	5357	5321	6666	4223	2995	6062	4896	3585	4386	2561	1931	2268	2641	1178	3826	5343	2213	3871	6167	5602	3158	4529	4894	6182	2981	3688	5264	4091	7095	4692	4354	6865	4917	6895	6806	4630	4212	5459	4981	7586	3240	2639	3887	4713	6519	5904	5192	7133	7369	6082	6549	7474	1269	1449	1231	3487	3995	5660	4840	7430	5165	4865	7264	7766	2278	2595	2243	1636	2347	2203	2359	3123	2423	3841	5674	4085	3501	2096	2794	5434	5953	5813
16391	11778	8715	11751	13222	8847	10796	5400	4564	19116	12128	9205	5247	6210	4096	9100	12004	6664	12716	16777	12114	10803	11286	10274	7508	4024	3481	4202	3128	2450	15685	11227	13443	9971	10530	8198	11800	11765	7204	4544	3577	1960	2854	4823	7030	13321	14810	14096	8353	8809	8712	13842	13851	13002	14330	9932	7342	14749	12805	9258	9619	6602	4494	4663	5874	3034	8752	11747	5330	9383	13849	12898	7363	9938	10846	15980	7939	9177	11921	10117	15995	11264	10849	15334	13088	16057	16004	10290	9499	11565	12248	17250	6609	5394	8452	11677	14448	12687	12324	15763	17117	14698	15402	17308	3467	3167	3021	8313	9256	12684	11081	15607	11085	12007	17491	18239	6087	5825	5473	4254	5454	5228	5353	6906	5485	10077	13633	9726	7425	4871	6379	13037	14489	12969
22207	16210	11750	15626	18139	11824	13597	6717	5684	26342	16882	12393	6512	7571	5165	11509	15024	8729	16811	22868	16068	14616	14852	13705	9351	5083	4579	5459	3972	3052	21418	15317	18411	12931	13726	10555	15362	16106	9882	5626	4377	2293	3314	5788	8315	17626	19216	18010	10511	11505	11303	18029	18517	17500	17860	12732	9414	19494	17373	12442	12275	8576	5695	5782	7225	3915	10793	14584	6900	11912	17402	16369	9496	12837	13226	22361	10101	11322	15302	13034	20085	14906	13999	19414	18430	20681	21455	13049	11943	14087	16686	22530	7767	6666	10373	14997	18224	15674	15814	20078	21018	20014	20868	22395	4610	3906	3932	10850	11807	15851	14253	19289	13703	16312	22801	24161	7902	7004	6856	5472	6645	6543	6574	8274	6808	13663	18243	12729	8888	6080	7782	17050	18933	16747
18622	13627	10021	13170	15136	9923	10871	5462	4423	22708	14325	10538	5011	6057	4561	8910	11928	7370	13991	19273	13403	12384	12465	11418	7859	4341	3734	4599	3242	2464	18385	13195	15423	10913	10830	8789	12713	13360	8256	4298	3345	1706	2709	5114	6226	14356	15429	14183	8266	9508	9165	14774	15097	14480	14769	10241	7809	16179	14446	10226	10357	7136	4612	4648	5859	3210	8758	11110	5603	9369	13857	13059	8193	10992	11289	18868	7817	9148	12016	10441	16331	11844	11482	15486	15727	16900	18251	10354	9667	11032	13995	18376	6174	5052	8396	12448	14692	12494	12788	15977	17348	16605	16912	18843	3837	3075	3402	8760	10021	12559	11533	14862	10731	13304	18270	20001	6417	5297	5438	4555	5367	5208	5007	6904	5288	11735	15056	10590	6677	4788	5968	13988	15625	13750
9269	6661	4955	6828	7395	4829	5058	2425	1927	11889	6972	5082	2619	3170	2695	4265	5414	3708	6907	9679	6865	6057	5973	5752	3874	2173	1819	2488	1889	1300	10115	7329	8232	5506	5045	3825	5843	6287	4204	2187	1649	852	1082	2679	2859	6634	7226	6671	3734	4361	4465	6816	6792	7003	6563	4469	3348	8122	7361	5099	5996	3657	2458	2530	2937	1667	4309	5436	2742	4655	6752	6530	3534	4925	4874	8637	4049	4729	5625	4821	7414	5248	5393	7252	7791	8247	8985	4719	4075	5002	6371	8823	2666	2263	4036	5963	6822	5901	5648	7653	8675	7870	8418	9503	2074	1482	1809	4429	4947	6021	5798	6838	4817	6559	8591	9065	3305	2324	2760	2168	2542	2344	2468	2983	2466	5941	7200	5090	2847	2308	2694	6643	7130	6224
7638	5219	3789	5501	5687	4027	3258	1542	1411	9734	5489	3842	2056	2402	2284	2876	3553	2800	5561	7424	5500	4744	4604	4651	2838	1897	1434	2128	1685	1018	8856	6407	6984	4449	3480	2666	4418	4511	3186	1619	1298	639	605	2272	1809	4690	4887	4704	2520	2970	3179	4790	4744	5309	4202	2698	2097	6592	5803	4023	5282	3089	1932	1978	2309	1253	3153	3957	2103	3370	4922	4903	2364	3407	3295	6229	3252	3835	4130	3419	4939	3506	3866	5112	6193	6305	7239	3240	2532	3260	4357	6024	1574	1457	2838	4343	4601	4260	3971	5117	6409	5632	6175	7292	1709	938	1231	3323	3729	4300	4295	4440	3270	4739	6128	6256	2528	1457	2024	1525	1693	1590	1667	1924	1699	4638	5218	3799	1566	1659	1735	4708	5009	4311
8364	6187	4355	5840	6150	4368	3455	1846	1593	10465	6460	4222	2287	2277	2441	3182	3980	2916	6385	7723	5856	5106	5576	5438	3271	2022	1560	2294	1938	1168	9562	7411	8043	4759	4152	3111	4995	4824	3509	1757	1374	719	630	2375	1783	5510	5821	5350	2668	3503	3643	5082	5293	6014	4624	2701	2605	7270	6068	4749	5504	3482	2051	2052	2432	1343	3266	4358	2239	3225	5260	5224	2387	3709	3386	6426	3575	4006	4416	3804	5623	3958	4578	5650	7115	6600	8032	3613	2892	3409	5230	6401	1584	1614	3187	4964	5146	4522	4374	5621	6957	5940	7017	7894	1813	1097	1528	3596	4001	4496	4617	4513	3582	5427	6738	6783	2575	1347	2247	1528	1662	1585	1609	2029	1689	4891	6071	4012	1560	1811	1744	5234	5258	4654
6730	5069	3656	5219	4954	3598	2686	1474	1311	8616	5278	3690	1940	1875	2005	2643	3201	2341	5080	6296	4840	4180	4677	4555	2689	1665	1333	1803	1457	966	8151	6052	6657	4012	3490	2620	3996	4003	3002	1481	1117	540	519	1895	1415	4442	4803	4349	2249	2921	2841	4463	4261	4956	3868	2266	2156	6193	4815	4022	4571	2815	1774	1795	2043	1063	2785	3445	1845	2678	4190	4481	1969	3149	2790	5057	2851	3368	3955	3243	4564	3214	3662	4738	5845	5774	6849	2844	2283	2571	4046	5896	1333	1353	2548	3948	4165	3719	3552	4728	5345	4767	6087	6418	1486	905	1201	2891	3665	4040	3723	3716	3099	4411	5538	5693	2048	1091	1731	1128	1384	1335	1325	1634	1401	3921	5056	3435	1290	1540	1378	4276	4577	3946
4001	2561	1942	2776	2901	2125	1712	680	641	4644	2915	1953	1192	956	1137	1396	1597	1333	2933	3769	2915	2469	2335	2311	1355	994	813	903	775	532	4402	3214	3574	2152	1892	1437	2229	2156	1600	871	633	263	263	1051	845	2396	2474	2245	1323	1488	1432	2689	2229	2589	1970	1335	1165	3733	2852	2019	2441	1517	1008	875	1200	670	1324	1604	1155	1469	2468	2483	1201	1794	1541	3031	1485	2008	2068	2024	2649	1691	2171	2308	2908	3129	3582	1420	1452	1461	2110	3018	794	682	1431	1939	2551	2186	1889	2861	3035	2667	3569	3397	882	584	694	1588	1782	2079	1843	2084	1667	2140	3245	3341	1140	615	921	642	782	829	780	956	818	2310	2614	2047	816	840	825	2149	2708	1942
