E3A1_1	E3A1_2	E3A1_3	E3A2a_1	E3A2a_2	E3A2b_2	E3A2c_1	E3A2c_2	E3B1_1	E3B1_2	E3B1_3	E3L2_1	E3L2_2	E3L2_3	E3L3_1	E3L3_2	E3L3_3	E3L4_1	E3L4_2	E3L4_3	E3N1_1	E3N1_2	E3N1_3	E3N4_1	E3N4_2	E3N4_3	E3P10b_1	E3P10b_2	E3P10b_3	E3P11b_1	E3P11b_2	E3P11b_3	E3P12b_1	E3P13b_1	E3P13b_2	E3P13b_3	E3P14b_1	E3P14b_2	E3P14b_3	E3P15c_1	E3P15c_2	E3P15c_3	E3P16c_1	E3P16c_2	E3P16c_3	E3P17c_1	E3P17c_2	E3P17c_3	E3P18c_1	E3P18c_2	E3P18c_3	E3P19c_1	E3P19c_2	E3P19c_3	E3P1a_1	E3P1a_2	E3P20c_1	E3P20c_2	E3P20c_3	E3P3a_1	E3P3a_2	E3P4a_1	E3P4a_2	E3P4a_3	E3P5a_1	E3P5a_2	E3P5a_3	E3P6a_1	E3P6a_2	E3P6a_3	E3P7b_1	E3P8b_1	E3P8b_2	E3P8b_3	E3P9b_1	E3P9b_2
541	409	579	892	700	1190	702	443	0	0	0	115	59	70	578	222	538	355	181	256	0	0	0	0	0	0	146	91	131	156	60	96	67	0	0	0	187	86	0	620	574	366	608	439	245	399	95	135	76	258	434	1359	1189	1426	0	0	0	62	97	387	215	66	0	506	193	151	0	280	112	0	0	343	247	0	80	78
2532	1932	3273	3838	3485	4536	2714	1915	178	68	166	664	362	490	2563	1359	2172	1765	938	1319	0	0	0	85	0	0	914	469	885	619	313	404	271	141	48	105	914	343	300	2756	2104	1681	2018	1309	1054	1596	613	868	352	920	1868	5182	4690	5785	224	147	541	268	584	1552	1001	270	182	2619	851	588	0	1063	512	0	227	1391	1025	80	540	403
8452	7310	10993	15402	13082	17684	9864	7078	621	335	478	2118	1098	1711	8622	4993	7944	5995	3293	4653	221	118	144	425	228	331	2727	1622	2747	2595	1052	1640	787	705	297	481	3350	1497	1468	5761	4516	3819	4465	3331	2779	3329	1657	2068	973	2379	4046	11805	10761	12843	755	499	1431	748	1349	3112	2236	721	485	7850	2967	1862	202	3370	1713	168	847	4759	3919	464	1827	1393
16529	14511	21941	27437	24051	27809	20125	14644	1260	692	948	4541	2318	3345	14944	8987	12961	10203	5542	7356	764	502	589	1380	777	1186	3758	2216	3641	4399	2162	3201	788	1909	1061	1578	5844	2418	2587	2660	1815	1687	2859	2475	1962	1467	861	941	623	1067	1801	5731	5035	5874	1393	922	915	542	897	1505	861	1144	683	16830	4874	3065	900	5535	2872	609	2070	7680	6695	823	3287	2540
15607	13968	20463	21612	18876	20173	20006	14996	836	597	776	3746	2255	2645	8587	5823	8098	5805	2962	4033	1937	1391	1574	3911	2303	3597	2279	1252	2090	2819	1777	2379	678	2572	1709	2324	3882	1404	1674	3102	1908	1909	3310	3245	2422	2275	1371	1520	766	1517	2525	7238	6187	7551	1183	758	842	645	945	1183	979	1150	609	17616	2958	1945	2688	3008	1653	1508	2693	5198	4483	578	2780	2082
15785	13673	20092	19206	16367	15687	23057	17372	808	602	879	4892	3016	3557	8837	6388	8546	5796	2896	3886	2942	2153	2438	5733	3561	5713	840	400	810	1668	1028	1326	475	1561	913	1167	1252	402	548	2783	1697	1670	2771	2740	1739	2826	1642	1874	749	1641	2827	6436	5730	6414	1556	938	254	333	316	1842	1520	1450	877	19695	2986	1967	4593	2777	1639	2329	3035	2348	2190	583	2675	2098
10832	9107	14116	7362	6588	4347	16461	11839	680	500	643	4902	2993	3575	7048	5029	6854	4896	2317	3252	2853	2213	2604	5594	3413	5788	384	137	391	1062	716	858	187	361	254	216	591	149	271	828	553	543	2257	1949	1392	1794	888	1107	319	804	1372	3010	2548	2713	1511	863	127	99	189	1666	1357	1914	1139	13504	2382	1487	4654	2236	1331	2420	2165	854	773	469	1368	1059
5212	4398	6907	3066	2611	1386	7331	4979	226	143	161	2052	1071	1312	2168	1516	2425	1568	659	941	1400	1161	1407	2966	1706	3159	210	0	122	566	390	418	58	79	77	0	234	105	98	304	190	170	1130	843	598	815	430	496	149	284	535	1123	928	1124	398	197	0	60	147	472	320	308	215	6419	819	477	2467	641	424	1232	910	364	363	165	680	546
3737	3112	4684	1874	1578	734	4682	3394	110	42	0	1135	610	747	976	667	870	491	236	291	758	633	888	1670	1036	1974	114	50	67	403	318	327	43	0	0	0	132	82	0	190	118	156	784	539	389	550	319	336	97	226	417	700	623	712	145	111	0	60	115	265	144	200	100	4278	412	193	1451	226	220	760	659	212	228	79	503	340
1852	1506	2356	857	721	341	2308	1721	79	0	0	589	260	357	416	316	434	184	77	133	410	317	524	794	526	1044	57	0	0	247	147	238	0	0	0	0	71	0	53	93	65	165	426	243	241	317	188	147	40	112	304	375	298	327	75	54	43	0	78	103	94	69	57	1986	234	66	753	103	103	321	343	121	118	64	270	193
