E4B10_1	E4B10_2	E4B10_3	E4B11_1	E4B11_2	E4B11_3	E4B12_1	E4B12_2	E4B12_3	E4B13_1	E4B13_2	E4B13_3	E4B14_1	E4B14_2	E4B14_3	E4B15_1	E4B15_2	E4B15_3	E4B16_1	E4B16_2	E4B16_3	E4B17_1	E4B17_2	E4B17_3	E4B18_1	E4B18_2	E4B18_3	E4B19_1	E4B19_2	E4B19_3	E4B1_1	E4B1_2	E4B1_3	E4B20_1	E4B20_2	E4B20_3	E4B21_1	E4B21_2	E4B21_3	E4B22_1	E4B22_2	E4B22_3	E4B2_1	E4B2_2	E4B2_3	E4B3_1	E4B3_2	E4B5_1	E4B5_2	E4B5_3	E4B6_1	E4B6_2	E4B6_3	E4B7_1	E4B7_2	E4B7_3	E4B8_1	E4B8_2	E4B8_3	E4B9_1	E4B9_2	E4B9_3	E4H1_1	E4H1_2	E4H1_3	E4L10_1	E4L10_2	E4L10_3	E4L11_1	E4L11_2	E4L11_3	E4L1_1	E4L1_2	E4L1_3	E4L2_1	E4L2_2	E4L2_3	E4L3_1	E4L3_2	E4L3_3	E4L4_1	E4L4_2	E4L4_3	E4L5_1	E4L5_2	E4L5_3	E4L7_1	E4L7_2	E4L7_3	E4L8_1	E4L8_2	E4L8_3	E4L9_1	E4L9_2	E4L9_3	E4N1_1	E4N1_2	E4N1_3	E4N3_1	E4N3_2	E4N3_3	E4O1_1	E4O1_2	E4O1_3	E4O2_1	E4O2_2	E4O2_3	E4P10_1	E4P10_2	E4P10_3	E4P11_1	E4P11_2	E4P11_3	E4P14_1	E4P14_2	E4P14_3	E4P1_1	E4P1_2	E4P1_3	E4P2_1	E4P2_2	E4P2_3	E4P3_1	E4P3_2	E4P3_3	E4P5_1	E4P5_2	E4P5_3	E4P7_1	E4P7_2	E4P7_3	E4P9_1	E4P9_2	E4P9_3
552	702	1031	727	820	1360	474	0	748	538	723	655	700	562	0	883	406	0	0	435	0	0	708	0	0	742	556	607	773	609	384	260	505	0	149	885	807	701	755	468	461	563	913	894	1191	1361	486	0	764	879	929	1018	1047	1003	676	0	766	379	822	1076	573	816	353	446	413	687	644	813	648	366	686	712	0	832	1025	442	1279	1986	531	1943	1030	362	1431	1011	638	831	409	539	507	1270	1002	1532	1063	536	1169	0	241	0	400	379	0	155	71	0	341	564	432	580	1218	874	1322	1091	1134	2445	1081	2636	1059	739	630	1450	731	1655	1035	553	1603	724	0	943	1011	427	1763	1528	536	1396
1210	1864	3245	2058	1964	3998	859	979	1613	1320	1808	1561	1074	1542	934	866	1145	1045	1023	964	603	939	1930	1233	659	2042	973	1230	2235	1433	977	585	1309	1022	453	1602	1770	1673	1684	1083	1309	1482	2922	1901	3080	3775	1524	1033	2263	1871	2468	2772	2953	1399	1485	0	1169	962	2109	1022	1375	1635	1195	1281	1286	1714	1163	2205	1585	801	1845	2073	870	2608	2693	945	3831	6477	1792	6210	2708	868	3623	2721	1174	2564	1100	724	1446	3535	2769	4560	3092	1352	3145	0	823	603	809	1025	721	251	224	316	995	1744	1165	2015	3231	2551	3714	3235	3361	7670	3180	8434	2904	2356	1899	3695	2000	4583	3074	1559	4716	1532	791	2576	2614	1356	4213	4226	1493	3678
2547	3971	6051	3811	4227	8014	2249	2342	3272	2864	3945	3114	2472	3108	2321	1570	2123	2536	1900	1741	1807	1942	4356	2871	1652	4464	2274	2714	4299	3057	2285	1303	2868	2584	960	3396	3567	3479	3290	2156	2995	3120	6206	4072	7120	7873	3407	2459	4173	4058	4647	6103	6280	2711	3327	1518	2444	1850	4643	1829	3171	3382	2286	2568	2561	3128	2620	4218	2840	1362	2878	4328	2084	5275	5742	2146	7385	12830	3654	12640	5437	1951	7632	5837	2314	4987	2803	1371	2824	7829	6052	9355	7038	2824	6953	1190	1874	1492	1558	2193	1439	559	640	721	2340	3434	2647	4020	7622	4892	8324	6776	7045	16020	6900	17913	6916	5224	4024	8389	4720	9949	6271	3215	9980	3048	1679	4610	4889	3035	8621	8893	3991	8552
4373	6851	11019	6348	6677	12664	4290	4250	6502	5237	6269	5861	4310	5847	4480	2643	4022	4500	3738	3525	3268	3657	7189	5360	2902	7459	3906	4228	7348	5264	3961	2293	5270	4332	1630	5876	5727	5823	5192	3913	4698	5902	11167	6670	12102	13381	5505	4154	7858	7073	7960	9519	10578	4672	5723	3119	3855	3422	7544	3140	5603	6388	2941	3373	3385	5478	4334	7518	4388	2364	4991	8155	3927	9727	9569	3460	12396	17458	4991	16687	8115	2961	11104	10382	4355	9556	5460	2791	5806	12299	9237	15353	10579	4436	10588	2994	3988	3357	3408	4651	3138	1161	1360	1467	3521	5004	3925	6035	11298	6932	12651	10632	11023	23160	10092	26100	10833	8144	5895	13875	7783	15845	8912	4421	13919	5489	3278	8975	7122	4525	11954	13228	6272	12234
5274	9000	13895	7184	7778	13858	6503	5881	9212	6627	9044	7599	5965	8205	6154	3340	5607	5793	5341	5179	4697	4846	10312	7197	3694	9889	4811	4959	8546	6257	6285	3489	7819	5494	2096	7537	6369	6999	6231	5034	6452	7517	13987	8569	15488	17057	6849	5077	10281	9212	9547	11590	12494	6051	7343	4185	4567	4334	9625	4310	8021	8719	2644	3072	2920	6970	5164	9711	6279	3317	6812	11979	5809	14067	11157	3958	14788	16290	4444	15966	9079	3254	12366	13805	5627	12721	8271	4080	8406	14187	10241	17289	11079	4883	12303	5121	7164	5870	6260	8360	5587	2419	2716	2876	3604	5039	4131	6362	12580	7512	13426	11498	11646	22344	9672	25234	12098	8846	6601	16184	8664	18284	8605	4315	12810	7788	4598	12602	7548	4756	12989	13917	7067	13612
5615	9314	14732	6452	7116	13028	7861	6941	11329	7503	9988	8492	7076	9616	6874	3505	6412	6553	6227	6285	5713	5496	11525	8306	3971	10453	5248	4546	8566	5708	7723	4198	9399	5856	2206	7900	6611	7477	6304	5399	7163	8433	15104	8840	16076	17377	7162	5337	11582	10438	8767	10962	12416	6382	8174	4329	4532	4613	9901	4791	9168	9956	1499	1856	1829	7107	5538	9944	8033	4020	8472	13663	7030	17016	11548	3684	14133	10441	2688	10292	8074	2998	10803	15607	6380	14368	9802	5131	10301	12958	8680	15057	10009	4381	10720	7092	10265	8401	8679	11441	7920	3477	3777	4074	2867	4181	3370	5834	10538	6482	11971	9905	10208	16619	6560	19520	11249	7826	5770	14505	7743	16947	6027	2919	9441	9405	5372	15568	6480	4008	10747	12185	5722	11314
5071	8823	13949	5210	5733	10388	7832	6848	11262	7198	10185	7915	6813	9398	6845	3302	5984	6304	6513	6363	5517	5347	11944	7971	3549	9820	4750	3853	7213	4782	7851	4151	9113	5234	2203	7355	6267	7477	6573	5021	6700	7805	13497	8138	15219	16352	6777	4852	10851	9740	7496	9782	10501	6064	7721	4423	4180	4028	8737	4533	9221	9797	598	845	789	6687	4905	9586	8055	4064	8799	14121	6821	16679	10040	3148	12467	5856	1171	6014	6699	2211	8670	14872	5941	13544	9917	5011	9875	10392	7021	12337	7709	3554	8846	7683	11201	8949	9584	12618	8314	3728	4165	4413	1968	2983	2255	4555	8158	5352	9137	7730	7959	10044	3924	12210	8936	6353	4775	12398	6536	14375	3463	1591	5506	9442	5520	15211	5036	3087	8865	9149	4139	8621
3512	6128	9981	3756	3888	7121	6087	5191	8867	5067	7782	5656	4993	7574	5059	2478	4555	4646	4916	4997	4272	3782	9018	5869	2475	7291	3481	2574	5098	3077	6134	3212	6991	3941	1580	5265	4772	5879	4893	3462	4812	5769	10507	5914	11159	12393	4804	3393	8344	7492	4994	6996	7351	4276	5962	3442	3043	2909	6950	3512	7278	7101	284	453	385	4881	3568	7058	6311	2961	6423	10985	5102	12981	7373	2013	8830	3422	712	3553	4742	1452	6047	11466	4201	10463	7599	3681	7340	7241	4488	7896	5205	2320	5837	5829	9118	6641	7409	9955	6639	3003	3213	3522	1256	1970	1538	3423	5120	3996	6682	4951	5601	6935	2656	8113	6293	4396	3418	8472	4248	9880	2130	960	3620	7328	3853	12294	3359	1894	5985	6687	2456	6362
1778	3326	5716	1997	2129	3639	3232	2779	4719	2844	4006	3054	2534	4266	2870	1335	2356	2541	2714	2597	2261	2216	4608	3154	1152	3640	1810	1308	2986	1477	2985	1546	3628	2161	818	2798	2567	3091	2972	1880	2308	2876	5592	3350	6228	6512	2626	1957	4317	3868	2921	4038	3827	2517	2949	1994	1657	1491	3537	1838	3764	3978	94	229	155	2765	1825	3974	3035	1590	3293	5951	2420	6412	3993	1015	5412	1623	294	1692	2819	709	3414	6216	2080	5763	3934	1712	3448	3761	2597	4556	2619	1112	3520	3014	4939	3235	3912	5395	3355	1410	1642	1602	599	1103	777	1977	3099	2139	3433	2770	2782	3384	1260	4503	3448	2271	1789	4962	2465	5863	1086	459	2027	3966	2251	6626	2114	1011	3239	3781	1238	3376
530	1162	1975	651	685	1228	1150	929	1644	966	1538	1034	826	1610	926	430	833	867	937	1024	677	766	1702	1029	329	1265	542	282	955	354	1083	515	1317	659	310	881	841	1103	933	577	882	939	2021	1138	2147	2423	824	633	1536	1274	977	1262	1302	791	1013	656	550	458	1257	589	1357	1346	0	62	0	930	585	1383	987	527	1073	2159	741	2359	1553	339	1949	509	57	499	1015	202	1091	2110	637	2075	1302	575	1177	1253	732	1452	846	347	1245	971	1800	971	1493	1907	1183	383	506	520	164	366	243	669	953	784	1114	867	847	1114	338	1481	1136	657	522	1641	762	1984	318	100	711	1475	798	2490	782	280	1284	1355	308	1233
