E4B10_1	E4B10_2	E4B10_3	E4B11_1	E4B11_2	E4B11_3	E4B12_1	E4B12_2	E4B12_3	E4B13_1	E4B13_2	E4B13_3	E4B14_1	E4B14_2	E4B14_3	E4B15_1	E4B15_2	E4B15_3	E4B16_1	E4B16_2	E4B16_3	E4B17_1	E4B17_2	E4B17_3	E4B18_1	E4B18_2	E4B18_3	E4B19_1	E4B19_2	E4B19_3	E4B1_1	E4B1_2	E4B1_3	E4B20_1	E4B20_2	E4B20_3	E4B21_1	E4B21_2	E4B21_3	E4B22_1	E4B22_2	E4B22_3	E4B2_1	E4B2_2	E4B2_3	E4B3_1	E4B3_2	E4B3_3	E4B5_1	E4B5_2	E4B5_3	E4B6_1	E4B6_2	E4B6_3	E4B7_1	E4B7_2	E4B7_3	E4B8_1	E4B8_2	E4B8_3	E4B9_1	E4B9_2	E4B9_3	E4H1_1	E4H1_2	E4H1_3	E4L10_1	E4L10_2	E4L10_3	E4L11_1	E4L11_2	E4L11_3	E4L1_1	E4L1_2	E4L1_3	E4L2_1	E4L2_2	E4L2_3	E4L3_1	E4L3_2	E4L3_3	E4L4_1	E4L4_2	E4L4_3	E4L5_1	E4L5_2	E4L5_3	E4L7_1	E4L7_2	E4L7_3	E4L8_1	E4L8_2	E4L8_3	E4L9_1	E4L9_2	E4L9_3	E4N1_1	E4N1_2	E4N1_3	E4N3_1	E4N3_2	E4N3_3	E4O1_1	E4O1_2	E4O1_3	E4O2_1	E4O2_2	E4O2_3	E4P10_1	E4P10_2	E4P10_3	E4P11_1	E4P11_2	E4P14_1	E4P14_2	E4P1_1	E4P1_2	E4P2_1	E4P2_2	E4P2_3	E4P3_1	E4P3_2	E4P3_3	E4P5_1	E4P5_2	E4P5_3	E4P7_1	E4P7_2	E4P7_3	E4P9_1	E4P9_2	E4P9_3
287	226	423	306	159	401	346	176	393	240	315	350	226	406	332	192	284	256	226	224	314	264	384	374	231	642	240	293	377	519	184	278	183	179	346	438	374	486	215	254	358	326	404	298	357	418	332	444	301	325	480	291	226	446	233	208	447	240	249	455	287	200	428	99	47	104	289	221	280	166	139	232	243	250	418	215	92	350	177	193	300	209	215	270	285	276	364	285	317	333	0	489	535	432	346	317	193	186	350	246	232	288	131	158	170	194	159	312	258	189	221	366	367	317	356	157	358	252	329	623	253	256	368	342	286	342	155	236	461	362	207	733
889	728	1282	897	652	1302	1159	567	1430	796	1078	900	850	1177	1232	631	760	1029	779	784	1043	753	977	1411	648	1942	890	861	1076	1603	578	667	634	648	919	1353	1049	1441	999	792	917	1042	1068	1097	1372	1182	1044	1454	824	920	1632	1162	667	1554	904	725	1233	850	771	1391	969	607	1441	373	216	395	809	833	998	636	587	728	850	806	1294	706	445	1131	639	613	946	712	829	832	837	832	1123	962	1136	1123	0	1212	1359	1155	879	1127	653	771	922	651	648	933	389	432	526	570	471	876	800	699	697	1084	1290	889	1115	605	1033	797	972	1787	681	652	1093	738	910	1085	592	642	1221	981	767	1934
2325	1620	3157	2258	1367	3314	2816	1485	3592	1844	2838	2311	2065	2530	3043	1505	1839	2759	2003	2056	3148	2060	2572	3921	1847	4348	2288	2247	2504	3880	1562	1774	1436	1705	2080	3279	2616	3221	2372	2310	2482	2584	2842	2470	3380	2652	2559	3302	2338	2224	3999	2756	1810	3955	2075	1764	3251	2080	1906	3346	2267	1761	3539	823	631	905	2115	1958	2112	1410	1353	1777	2148	2049	3317	1682	1342	3059	1595	1568	2329	1633	1801	2179	2324	2386	2934	2328	2448	2880	0	3250	3602	2549	2353	2748	1721	1936	2595	1821	1687	2584	1026	1020	1225	1404	1095	2088	1948	2148	1784	2765	3387	2470	3077	1809	2856	2002	2605	4371	1649	1689	2927	1838	2116	2799	1457	1706	2793	2111	1979	4271
4934	3826	6920	4349	3430	6488	5942	3099	6877	3997	5700	5234	4444	5866	6431	3288	3852	5777	4184	4051	6226	4323	5106	7614	3584	9322	4409	4830	5448	8688	2974	3461	3273	3729	4447	6907	5339	6322	5559	4667	5599	5560	5690	5699	6956	6051	5531	6922	4538	5129	8804	6289	3592	8808	4367	3671	6967	4215	3617	7332	5162	3271	6953	2008	1528	2482	4292	4210	4933	3172	3247	3914	4253	4440	7262	3649	3129	6144	3117	3054	4935	3509	3930	4462	4810	4919	6789	5008	5425	5883	2310	6735	7875	5460	4668	6626	3621	4058	5829	3513	3469	5241	1873	1918	2616	3451	2610	5008	4328	5412	4017	6389	7308	5691	7212	4154	5929	4641	6035	10450	3646	4044	7236	3916	4752	6103	3249	3835	5988	4740	4945	9561
9332	7310	13186	8209	6076	12296	11521	5863	14144	7660	10869	10359	9042	10405	13509	6617	7199	11950	8398	8023	12950	8452	9667	15740	6807	16557	8961	9565	10189	17217	5342	6306	6008	7146	8278	13512	10427	12026	11251	9286	9735	11385	10697	10884	13513	11242	10508	13575	8805	9061	17506	12044	7166	17080	8698	6908	13432	8119	7108	13846	9731	6549	14281	3501	2714	4510	8236	7963	9564	5799	5746	7367	8329	8959	13296	6613	6186	11667	5950	6343	9721	6119	7282	7939	8877	9957	12584	9083	9618	11014	4038	12571	14653	9480	8517	11574	7221	7697	11273	6510	6221	9886	3677	3653	4979	5927	4500	9125	7186	9449	6144	11326	14127	10334	13699	7474	11783	8726	11770	18628	6265	7287	12179	6864	8951	11026	5504	6982	10278	8056	9101	16873
12039	9297	17233	10567	7826	15339	15150	7604	18167	9883	13730	13634	11922	13538	18009	8663	8980	15702	10969	10413	16975	10967	12435	20474	8830	21101	11869	12555	13263	23118	6694	7908	7250	9293	10411	16912	13586	15106	14734	11955	12633	15028	13577	14093	16970	14405	13286	17305	11452	11569	22207	15432	9340	21836	11223	9172	17633	10392	9308	18298	12569	8563	18284	4245	3354	5548	10491	10172	12674	7450	7282	9512	10750	11935	17521	8534	7967	14850	7817	8456	12694	7530	9331	9926	11069	12716	16309	11579	12394	13398	4256	15997	19057	11444	10972	14288	9482	10192	15072	8248	8004	12556	4669	4330	6334	7395	5642	11548	8709	11538	6952	14284	18430	13113	17664	9440	15469	11105	15266	23943	7638	9129	15171	8473	11577	13931	6736	8857	13098	10059	11345	20602
11150	8825	16530	10055	7323	14625	14794	7374	17611	9403	12730	12758	11196	12892	17187	8136	8541	14524	10379	10165	16232	10203	11582	19633	8304	19046	10954	12072	12509	21954	6147	7166	6665	8773	9680	16101	12762	14679	13751	11272	12242	14115	12623	13335	16198	13750	12485	16233	10749	10756	20676	14178	8581	20166	10938	8804	16713	10041	8722	17628	12015	8049	17159	3856	3131	4977	9952	9496	11771	6916	6759	8867	10002	11718	16631	7922	7278	13854	7603	8169	11960	6859	8747	9073	10547	12039	15585	10876	11719	12675	2646	14866	17734	10440	10176	12941	9206	9974	14640	7730	7952	11932	4385	4243	5919	6709	4907	10450	8035	10493	6069	13163	16988	12321	16141	8749	14362	10481	14224	21887	6788	8334	13819	7910	10946	13044	6133	8145	11676	9084	10469	18490
7888	6397	11869	7011	5154	10001	11183	5423	13207	6538	9208	8909	8398	9692	12651	5885	6262	10803	7487	7488	11818	7453	8326	14137	5875	14303	7530	8558	9101	15634	4490	5098	4777	6117	7077	11276	9114	10459	10099	8236	8376	10452	8791	9358	11508	10012	8714	11605	7703	7646	14868	9810	5857	14223	7943	6501	12487	7242	6325	12528	9145	5657	12364	2545	2176	3086	7095	6839	8537	5133	4863	6555	7367	8755	12479	5513	5044	9831	5454	5852	8858	4636	5894	6446	7952	8782	11785	8222	8798	9309	231	10099	12114	6905	6976	8642	7291	7369	11256	5808	6012	8853	3332	3347	4471	4300	3427	6901	5416	7095	3705	8993	11744	8219	10524	6022	9797	7091	9759	14766	4380	5315	9103	6009	8300	9489	4010	5482	8044	6109	6867	12481
4483	3771	7127	3777	2805	5165	7385	3430	8273	3675	5702	5040	5433	6294	7875	3451	3923	6513	4687	4956	7369	4548	4912	8181	3402	8902	4001	4752	5385	8717	2888	2917	3014	3465	4414	6331	5260	6039	5949	4990	5307	6292	5037	5355	6412	6016	5200	6718	4349	4694	8864	5255	3119	7945	4868	4153	7913	4459	3552	7491	6009	3322	7464	1087	1070	1163	4223	3951	5114	3164	2981	4135	4431	5821	8220	3166	2651	5507	2878	2972	4753	2379	2933	3604	5258	5374	7775	5243	5700	5903	117	5096	5887	3512	3809	4366	5171	5101	7724	3838	4200	5644	2326	2287	2928	1860	1635	3120	2828	3536	1941	4763	5851	3902	4548	3140	4887	3729	5024	7850	1823	2177	4260	3919	5254	6177	2177	2651	4341	3165	3338	6000
3030	2642	4515	2458	1704	3239	5088	2280	5782	2572	4047	3252	3580	4059	5344	2193	2812	4254	3222	3396	4790	3155	3679	5523	2357	5765	2685	3077	3735	5530	2020	1973	2051	2457	2772	4611	3605	4815	3832	3414	3550	4240	3469	3551	4447	3913	3439	4772	2964	3016	5502	3472	2253	4994	3189	2765	4683	3042	2486	4440	3745	2416	5571	604	448	524	2866	2707	3155	2223	2105	2860	3139	3797	5675	2117	1735	3308	1701	1638	2575	1514	1789	2334	3788	3662	4769	3824	3925	4026	0	3292	3856	2262	2309	2950	3328	3827	5018	2822	3031	4124	1707	1768	1998	1002	997	1854	1904	2099	1039	3032	3719	2212	2531	2026	3114	2230	2988	4605	987	1077	2207	2719	3376	4059	1357	1520	2806	1927	2033	3878
