E4B10_1	E4B10_2	E4B10_3	E4B11_1	E4B11_2	E4B11_3	E4B12_1	E4B12_2	E4B12_3	E4B13_1	E4B13_2	E4B13_3	E4B14_1	E4B14_2	E4B14_3	E4B15_1	E4B15_2	E4B15_3	E4B16_1	E4B16_2	E4B16_3	E4B17_1	E4B17_2	E4B17_3	E4B18_1	E4B18_2	E4B18_3	E4B19_1	E4B19_2	E4B19_3	E4B1_1	E4B1_2	E4B1_3	E4B20_1	E4B20_2	E4B20_3	E4B21_1	E4B21_2	E4B21_3	E4B22_1	E4B22_2	E4B22_3	E4B2_1	E4B2_2	E4B2_3	E4B3_2	E4B3_3	E4B5_1	E4B5_2	E4B5_3	E4B6_1	E4B6_2	E4B6_3	E4B7_1	E4B7_2	E4B7_3	E4B8_1	E4B8_2	E4B8_3	E4B9_1	E4B9_2	E4B9_3	E4H1_1	E4H1_2	E4H1_3	E4L10_1	E4L10_2	E4L10_3	E4L11_1	E4L11_2	E4L11_3	E4L1_1	E4L1_2	E4L1_3	E4L2_1	E4L2_2	E4L2_3	E4L3_1	E4L3_2	E4L3_3	E4L4_1	E4L4_2	E4L4_3	E4L5_2	E4L5_3	E4L7_1	E4L7_2	E4L7_3	E4L8_1	E4L8_2	E4L8_3	E4L9_1	E4L9_2	E4L9_3	E4N1_1	E4N1_3	E4N3_1	E4N3_2	E4N3_3	E4O1_1	E4O1_2	E4O1_3	E4O2_1	E4O2_2	E4O2_3	E4P10_1	E4P10_2	E4P10_3	E4P11_1	E4P11_2	E4P11_3	E4P14_1	E4P14_2	E4P14_3	E4P1_1	E4P1_2	E4P1_3	E4P2_1	E4P2_2	E4P2_3	E4P3_1	E4P3_2	E4P3_3	E4P5_1	E4P5_2	E4P5_3	E4P7_1	E4P7_2	E4P7_3	E4P9_1	E4P9_2	E4P9_3
1743	730	1259	1579	750	1241	1362	740	918	764	1080	516	1064	743	682	715	815	690	890	497	773	754	991	584	573	1522	548	1527	1929	1175	755	541	376	768	220	946	651	2830	613	730	1657	606	1130	949	487	2164	1089	855	1003	869	1099	622	812	1313	770	847	1074	786	897	1204	532	984	489	986	501	1191	631	1020	267	486	764	1072	715	3670	1552	527	1079	1850	1288	2744	1521	169	1180	608	1539	750	804	410	322	1232	941	872	1025	826	496	430	296	698	286	374	56	129	506	807	413	3004	1813	1803	1532	1070	1096	2042	1349	1658	918	486	1127	1222	919	1316	1289	849	7001	876	667	3750	1219	594	2860	3302	1822	4146
3971	2890	3161	4195	2398	3775	3822	2234	2872	2333	3679	1713	2984	2937	1877	2139	2934	2193	2332	2201	1882	2411	3533	2099	2122	4026	1764	4249	5245	3391	1933	2158	1146	2605	1293	2723	2069	5489	2057	2351	4150	2110	2989	3142	1535	4311	3150	2821	3079	2515	3161	2507	2592	3222	2741	2474	2932	2626	2747	3289	2185	2605	2412	4007	2904	3193	2454	2621	883	1857	2189	3162	2261	6465	4079	2179	3189	5665	3763	7173	3899	699	3066	2472	3640	2283	2672	1485	1119	3940	3090	2531	2985	2431	1557	1679	1469	2089	1511	1169	0	719	2038	2502	1639	6201	3909	4271	4372	3402	3359	5371	3913	4866	2724	1445	3172	4087	3116	3921	4415	2684	10629	2802	1957	5731	3582	1988	4399	6284	3734	7437
7984	7083	7207	9175	6240	9267	7715	5370	7170	5843	7747	4424	6709	6580	5000	5220	7548	5095	4729	6058	4322	5321	7771	5013	4856	7696	4628	10663	12969	8876	5096	5195	4317	6022	3190	6522	5242	8642	5249	5734	8609	5578	6817	7066	5255	8133	8229	6626	7866	5927	7402	6550	6884	6494	6107	5630	6740	6275	6015	6903	5352	5845	5685	8630	5954	6470	5859	5884	1876	4646	4853	6059	5521	8076	8576	5492	7988	12104	9103	11140	8768	2969	7635	6795	7232	5675	5758	3769	3608	9325	7804	5834	7689	6240	4234	4448	4380	5312	3708	3478	1747	2606	5558	6426	4462	9775	8430	8259	11391	8131	8356	12823	9959	12170	7477	4203	8145	8767	7142	8213	10044	6935	10151	5399	5019	7532	7455	5522	7049	10855	7063	11195
10253	7003	8943	11330	7225	11047	11994	8323	10747	7973	10741	6070	9519	8368	6473	6915	7988	6453	6932	6764	5935	7283	8720	6386	6612	10775	5847	13944	12894	10803	6634	6879	4794	9582	4530	8231	7618	12513	7078	7855	11281	6968	9042	9747	6535	9604	11022	10026	10339	8094	10347	7701	8833	9200	7715	8016	8614	6886	7372	8890	6570	7864	5203	7646	4852	8591	7118	7177	3852	5913	6330	8854	7691	7638	10500	6342	8696	11947	8608	10089	10297	4162	8053	8846	9918	7793	8986	5290	3551	12396	8923	7062	8290	6386	6287	5950	6376	8433	5197	4731	2530	3168	5388	6593	4239	11960	9874	10636	14438	11218	11127	15572	12111	13670	9915	6573	10576	13024	8943	11460	11213	7191	7896	8669	6584	7459	9111	6708	7831	13252	8126	12033
12287	8539	11035	13406	8672	12273	16898	11724	14459	11394	14601	8341	13141	10893	9449	9477	10533	8976	9736	9461	8628	9694	11593	9185	8700	14112	7686	15683	13473	12163	8220	8975	6134	12524	5945	10108	9909	15497	8905	10957	14076	9235	11486	12846	8376	11602	12899	13804	13791	10727	13221	9414	11138	12341	9823	10363	11033	8534	9188	11915	8365	11071	4704	6044	4021	11236	9131	9009	5219	7572	8182	11799	10874	6890	12513	7844	9578	11111	7989	8424	11203	4813	8660	11718	12502	10330	12333	7703	3158	15113	10799	8031	9699	6850	9752	9320	9404	12577	7994	7211	2702	4876	5592	6737	4438	14449	11289	12542	16958	13292	13328	16537	12938	13602	11624	8393	12020	16449	11230	13852	10856	6765	4694	12380	9168	7850	10475	7244	7493	15488	9352	13842
14675	11726	13585	14852	9326	13270	20179	15024	18088	14314	18807	10603	17310	14690	12526	12361	14546	11704	12659	14050	11740	12564	15813	12201	10087	17179	9611	15287	14094	12498	11519	11356	8536	14390	7405	11628	10954	17048	10358	12695	16919	11465	14253	15651	10137	14165	15177	15699	16816	12960	14702	10899	12117	15050	12497	13113	13112	10954	11744	15227	11601	14277	3884	4997	3323	13630	11977	11566	6844	10356	10783	14355	13962	8803	14113	9594	11286	9338	7109	7105	11832	5297	9936	14540	15212	12674	15624	10346	3244	16102	12061	8995	11013	7679	13508	13296	13172	17628	11626	10104	3597	7234	6092	7122	4708	13582	11069	12516	17411	13919	14556	14722	11469	12347	12094	8800	12522	17272	12297	14951	8810	6045	4185	15498	12403	9981	10748	7790	7405	14225	8933	11673
13538	11931	11908	12258	8127	10576	18004	13942	16922	12021	18227	9147	15607	15319	11420	11466	14720	10588	13095	14815	11365	11942	15420	10960	8910	15884	8359	11795	11880	9624	11365	10879	8501	11565	6548	9627	8904	14808	8239	11242	15016	10510	13300	14077	9215	12249	13519	13331	15173	11007	11640	9686	9762	12992	12320	11532	11696	10317	10763	14204	11833	13092	2395	3085	1836	12462	11441	11053	6575	10128	10660	13897	12179	8199	13017	8529	10173	6229	4595	4838	10081	4354	8264	12298	13530	11273	14509	9546	2589	13491	9783	7664	9388	6742	12831	13611	13073	18420	11568	9824	3552	7287	4753	5949	3707	10610	8719	10142	13424	10885	11429	9858	6706	8231	9285	6627	9698	13776	9990	12091	5711	3703	3100	15053	12247	9694	8723	6585	5930	10478	6978	9141
8189	7352	6952	6456	4612	5750	10041	7988	9946	6822	11824	4987	9319	10126	6575	6716	9489	6163	8196	10388	6877	7038	10205	6386	4796	9769	4533	6722	7550	4889	6860	6581	5492	6218	3933	5231	4568	8481	4444	6335	8826	5532	7881	8390	5828	7211	8169	7056	8742	6194	6476	5856	5564	7348	7518	6547	7279	6521	6027	8798	7423	7814	1227	1714	995	7835	6698	6888	4138	6169	6592	8736	6762	5251	8155	4992	6288	3650	2471	2844	5527	2419	4873	6529	8104	6381	7986	5397	1521	7757	5548	4379	5576	3769	8449	8875	8172	12235	7109	6175	2265	4720	2816	3356	2218	5989	4820	5912	6952	5865	6238	4866	3318	4463	5014	3541	5501	7759	5350	6824	3224	1896	1836	9140	7810	6485	5150	3558	3515	5919	3733	5611
2759	2309	2223	2333	1542	1741	3165	2580	3094	1824	3670	1496	2567	3075	1819	1894	3077	1794	2628	2824	1908	2164	3586	1903	1600	3524	1409	1741	2391	1417	2297	2179	1693	2008	1266	1546	1351	2550	1302	1866	2945	1632	2759	2630	1919	2273	2322	2166	2621	1874	1888	1790	1559	1999	2335	2028	2406	2107	1960	2874	2377	2371	398	606	348	2590	2159	2266	1520	2102	2045	2823	1900	1956	2791	1739	2216	1265	853	870	2036	724	1658	1982	2673	2079	2622	1790	468	2285	1594	1613	1734	1341	2235	2169	2321	3610	1996	1659	887	1363	948	1146	770	2104	1354	2192	2268	1580	2127	1543	891	1588	1658	1189	1563	2592	1685	2258	1065	644	561	3075	2435	2137	1859	1213	1322	2116	1246	2002
666	486	579	466	370	250	658	565	590	331	917	287	476	607	453	372	795	304	538	636	384	470	928	402	427	799	293	269	558	237	527	473	391	359	338	365	251	606	230	362	663	315	678	562	458	487	528	475	527	296	352	393	288	379	539	448	550	543	429	616	532	502	103	229	94	453	448	508	413	486	523	696	299	476	567	400	424	325	183	274	465	153	425	439	407	447	597	415	58	439	390	416	376	384	437	352	535	811	454	343	250	308	242	311	213	505	266	411	477	296	481	307	168	296	289	306	389	595	343	453	230	123	96	735	520	543	462	271	306	516	266	502
