E4B10_1	E4B10_2	E4B10_3	E4B11_1	E4B11_2	E4B11_3	E4B12_1	E4B12_2	E4B12_3	E4B13_1	E4B13_2	E4B13_3	E4B14_1	E4B14_2	E4B14_3	E4B15_1	E4B15_2	E4B15_3	E4B16_1	E4B16_2	E4B16_3	E4B17_1	E4B17_2	E4B17_3	E4B18_1	E4B18_2	E4B18_3	E4B19_1	E4B19_2	E4B19_3	E4B1_1	E4B1_2	E4B1_3	E4B20_1	E4B20_2	E4B20_3	E4B21_1	E4B21_2	E4B21_3	E4B22_1	E4B22_2	E4B22_3	E4B2_1	E4B2_2	E4B2_3	E4B3_1	E4B3_2	E4B3_3	E4B5_1	E4B5_2	E4B5_3	E4B6_1	E4B6_2	E4B6_3	E4B7_1	E4B7_2	E4B7_3	E4B8_1	E4B8_2	E4B8_3	E4B9_1	E4B9_2	E4B9_3	E4H1_1	E4H1_2	E4H1_3	E4L10_1	E4L10_2	E4L10_3	E4L11_1	E4L11_2	E4L11_3	E4L1_1	E4L1_2	E4L1_3	E4L2_1	E4L2_2	E4L2_3	E4L3_1	E4L3_2	E4L3_3	E4L4_1	E4L4_2	E4L4_3	E4L5_1	E4L5_2	E4L5_3	E4L7_1	E4L7_2	E4L7_3	E4L8_1	E4L8_2	E4L8_3	E4L9_1	E4L9_2	E4L9_3	E4N1_1	E4N1_2	E4N1_3	E4N3_1	E4N3_2	E4N3_3	E4O1_1	E4O1_2	E4O1_3	E4O2_1	E4O2_2	E4O2_3	E4P10_1	E4P10_2	E4P10_3	E4P11_1	E4P11_2	E4P11_3	E4P14_1	E4P14_2	E4P14_3	E4P1_1	E4P1_2	E4P1_3	E4P2_1	E4P2_2	E4P2_3	E4P3_1	E4P3_2	E4P3_3	E4P5_1	E4P5_2	E4P5_3	E4P7_1	E4P7_2	E4P7_3	E4P9_1	E4P9_2	E4P9_3
252	140	281	243	155	267	284	135	307	201	359	240	269	339	274	173	195	248	234	260	301	225	336	461	172	490	178	274	285	423	180	201	173	122	190	274	268	342	265	303	350	331	321	211	302	287	306	311	254	250	418	329	200	355	296	187	285	309	222	325	271	180	308	121	102	94	274	220	220	156	107	179	350	259	385	219	161	273	286	207	394	206	168	252	326	204	373	151	217	204	260	280	329	396	237	219	188	251	295	153	114	214	122	102	104	161	161	203	345	268	141	355	269	581	341	319	556	160	275	505	174	279	435	195	227	247	254	292	283	254	220	287	335	265	609
611	533	775	629	455	758	857	466	848	654	1012	674	782	930	857	518	640	802	699	838	1010	670	970	1153	489	1187	505	652	802	1086	607	576	588	483	545	778	760	988	660	843	1033	846	846	704	800	803	772	872	684	724	1099	924	627	1053	686	626	938	728	650	1012	881	592	1021	328	270	276	852	710	814	514	414	563	1016	794	1198	541	414	817	711	685	983	530	515	668	853	734	993	545	632	602	692	1054	1079	951	780	1001	626	749	842	551	496	694	412	324	367	434	381	598	723	747	662	966	891	1465	855	904	1598	519	857	1306	660	890	1222	512	596	727	827	874	844	678	651	880	999	811	1602
1281	1090	1582	1258	948	1566	1571	848	1670	1360	1994	1319	1304	1788	1696	962	1193	1520	1384	1525	1812	1273	1640	2076	965	2362	970	1262	1557	2042	1124	1142	1016	971	1133	1657	1596	1933	1310	1553	2024	1553	1594	1485	1477	1583	1434	1699	1266	1370	2004	1782	1211	2087	1409	1147	1745	1398	1240	2026	1606	1087	2025	823	692	719	1543	1373	1496	1059	940	1084	1688	1431	2171	1128	875	1606	1509	1463	2064	1068	1097	1250	1575	1465	1707	1207	1198	1129	1438	2138	2209	1870	1536	1855	1188	1416	1653	1080	1028	1363	792	690	766	970	836	1299	1265	1372	1167	1699	1935	2706	1623	1974	2948	1066	1735	2472	1434	1795	2439	1218	1240	1595	1370	1685	1860	1348	1382	1811	1903	1703	2848
2811	2561	3981	2947	2455	3643	4293	2402	4570	3274	4498	3712	3770	4592	4810	2683	2993	4400	3665	3955	5583	3505	4800	6683	2459	5617	2826	3479	4014	5541	2452	2448	2795	2478	2810	4396	3938	4874	3799	4245	5034	4552	4058	3551	4581	4105	3513	4469	3263	3212	5958	4548	3071	5805	3813	2966	5024	3788	3394	5737	3904	2824	5526	1458	1067	1438	3728	3411	4333	2497	1999	2739	4471	3989	6024	2527	2252	4070	3382	3413	5261	2157	2385	2940	3962	4160	5158	2409	2548	2825	3748	5272	5942	4401	3599	4569	2837	3563	4201	2415	2233	3226	1794	1387	1691	2121	1697	2901	3251	3896	2815	4115	5409	7139	3944	5015	7638	2555	4477	7032	3147	4365	6236	2340	2710	3680	2909	4267	4473	2298	2974	4179	3968	4674	7061
7372	6675	10377	7660	6309	9383	11147	5955	11908	8438	11849	9800	9888	11943	12683	7117	7951	11537	9648	10512	14612	9181	12302	17264	6208	14661	7306	9064	10620	14426	6341	6282	6955	6514	7430	11336	10377	12584	9812	10800	12989	11739	10633	9419	12109	10874	9498	11693	8764	8692	15764	11996	8028	15418	9810	7875	13349	9693	8926	14984	10101	7400	14399	3364	2661	3507	10041	9109	11120	6446	5034	7331	11641	10382	15717	6686	5784	10762	8760	9098	13242	5796	6279	7680	10451	10739	13078	6220	6648	7273	10644	14275	15769	11293	9340	11779	7511	9225	11284	6056	6167	8131	4629	3631	4666	5475	4155	7695	8120	9533	7284	11218	14129	19051	10496	13157	20356	6595	11791	18972	8823	12103	17328	5998	6869	10008	7670	11131	11548	6245	7877	10664	10503	12291	18475
4644	4158	6797	5230	4074	6198	6586	3555	7120	4839	6941	5784	5877	7004	7687	4383	4913	7054	5575	5890	8538	5499	7625	10404	3709	9155	4553	5746	6781	9158	3924	3738	4383	3944	4664	6776	6169	7666	5844	6595	7965	7064	6440	5643	7744	6602	5778	7281	5254	5143	9340	7382	5104	9824	6178	4853	8344	6233	5781	9662	6072	4458	8665	2603	2010	2675	6147	5533	6799	3994	3140	4432	7196	6638	9903	4414	3676	6760	6371	6416	9613	3883	4330	4920	6701	6781	8176	3773	4013	4343	6356	9093	9957	7493	6192	7748	4144	4933	6178	3341	3445	4460	2534	2081	2606	3733	2889	5149	5174	6123	4590	7072	9124	12242	7239	9323	13985	4237	7792	12402	5428	7237	11044	4315	5011	6999	4450	6473	6582	4272	5240	7031	6931	8104	12315
2900	2455	4271	2786	2001	3204	4662	2509	5243	3269	4825	4038	4258	4898	5534	2946	3238	4635	4121	4286	6080	3661	5183	6995	2237	5809	2896	3235	3861	5280	2862	2670	3117	2359	2988	4136	3761	4659	3577	4192	5038	4646	3890	3455	4567	4116	3539	4464	3360	3265	6070	4183	2890	5784	3975	3194	5339	3869	3592	5878	4255	2927	5842	954	655	847	4093	3447	4368	2786	2340	3143	4914	4549	6683	2494	2071	3742	2373	2361	3426	2037	2222	2392	4236	4069	5125	2701	2865	3200	2800	4557	5037	3710	3202	3983	3596	4123	5386	2902	3005	3852	1975	1728	2233	1668	1263	2219	2569	3148	2307	3518	4580	6297	2789	3654	5588	2223	4117	6430	2991	3714	5928	1656	1861	2413	3321	4606	4835	2049	2502	3317	3248	3728	5770
2494	2077	3640	2107	1517	2432	4847	2534	5177	3102	4816	3929	4114	4850	5440	2697	3117	4246	4132	4339	5987	3520	5021	6717	1862	5524	2396	2663	3506	4333	2804	2499	2914	2275	2830	3793	3565	4351	3292	3985	4855	4286	3561	3162	4160	3919	3324	4258	3182	3177	5659	3602	2573	5001	3748	2950	4971	3442	3180	5201	4081	2798	5410	286	231	221	3748	3113	3813	2506	2222	2917	4729	4271	6373	2014	1646	3047	1050	1082	1511	1489	1505	1730	3886	3645	4753	2629	2771	3034	1914	3778	4082	2792	2354	2953	3836	4543	5705	3049	3343	3994	2001	1946	2324	1034	723	1356	2085	2551	1775	2852	3477	4927	1499	1854	3187	1805	3108	5096	2504	3077	4783	757	796	1102	3345	4615	4824	1374	1634	2438	2438	2494	4227
733	658	1116	610	533	729	1618	892	1638	962	1616	1087	1303	1767	1683	746	1037	1406	1331	1498	1942	1064	1560	2088	492	1716	609	794	1095	1393	989	902	968	847	1004	1156	1054	1641	1020	1227	1628	1406	1070	977	1499	1415	1034	1495	943	1018	1717	1105	735	1584	1312	997	1585	1210	1031	1574	1271	884	1773	68	71	68	1182	1041	1195	832	659	973	1597	1340	2168	631	509	873	387	380	540	483	441	730	1171	1064	1444	786	905	969	593	1178	1287	952	818	1067	1115	1429	1861	967	1070	1228	656	630	671	314	276	425	827	907	668	1044	1062	1638	532	573	1007	694	1018	1888	741	994	1617	291	311	437	1178	1518	1577	567	574	888	911	818	1576
147	97	229	121	69	129	237	152	274	145	270	172	211	261	242	125	136	234	170	222	303	217	299	375	60	370	89	107	206	191	156	119	162	138	185	240	215	302	141	166	332	203	236	162	249	257	182	282	166	205	289	207	137	255	200	157	296	161	165	294	252	159	296	0	0	0	180	160	200	163	123	146	227	210	332	77	95	180	66	58	204	0	64	175	162	246	215	139	191	195	66	222	207	182	141	209	182	265	296	170	194	239	120	109	116	70	79	50	149	155	156	157	186	298	85	118	117	125	189	304	125	158	274	0	47	125	236	227	301	122	116	161	150	150	274
