E4B10_1	E4B10_2	E4B10_3	E4B11_1	E4B11_2	E4B11_3	E4B12_1	E4B12_2	E4B12_3	E4B13_1	E4B13_2	E4B13_3	E4B14_1	E4B14_2	E4B14_3	E4B15_1	E4B15_2	E4B15_3	E4B16_1	E4B16_2	E4B16_3	E4B17_1	E4B17_2	E4B17_3	E4B18_1	E4B18_2	E4B18_3	E4B19_1	E4B19_2	E4B19_3	E4B1_1	E4B1_2	E4B1_3	E4B20_1	E4B20_2	E4B20_3	E4B21_1	E4B21_2	E4B21_3	E4B22_1	E4B22_2	E4B22_3	E4B2_1	E4B2_2	E4B2_3	E4B3_2	E4B3_3	E4B5_1	E4B5_2	E4B5_3	E4B6_1	E4B6_2	E4B6_3	E4B7_1	E4B7_2	E4B7_3	E4B8_1	E4B8_2	E4B8_3	E4B9_1	E4B9_2	E4B9_3	E4H1_1	E4H1_2	E4H1_3	E4L10_1	E4L10_2	E4L10_3	E4L11_1	E4L11_2	E4L11_3	E4L1_1	E4L1_2	E4L1_3	E4L2_1	E4L2_2	E4L2_3	E4L3_1	E4L3_2	E4L3_3	E4L4_1	E4L4_2	E4L4_3	E4L5_1	E4L5_2	E4L5_3	E4L7_1	E4L7_2	E4L7_3	E4L8_1	E4L8_2	E4L8_3	E4L9_1	E4L9_2	E4L9_3	E4N1_1	E4N1_2	E4N1_3	E4N3_1	E4N3_2	E4N3_3	E4O1_1	E4O1_2	E4O1_3	E4O2_1	E4O2_2	E4O2_3	E4P10_1	E4P10_2	E4P10_3	E4P11_1	E4P11_2	E4P11_3	E4P14_3	E4P1_1	E4P1_2	E4P1_3	E4P2_1	E4P2_2	E4P2_3	E4P3_1	E4P3_2	E4P3_3	E4P5_1	E4P5_2	E4P5_3	E4P7_1	E4P7_2	E4P7_3	E4P9_1	E4P9_2	E4P9_3
783	561	730	958	529	573	943	534	1076	545	729	502	658	635	598	518	568	583	568	531	532	554	633	541	494	907	505	770	900	713	697	409	541	622	849	560	462	1017	489	676	939	612	767	720	642	684	618	807	701	599	805	699	668	735	751	740	723	663	697	876	654	716	418	409	442	740	626	671	545	370	471	866	624	618	715	516	727	1067	853	798	857	656	606	959	699	779	603	538	507	975	753	667	655	755	584	508	459	571	575	474	558	371	593	370	607	581	641	1073	551	823	1094	817	899	1126	1041	925	807	843	810	838	888	573	698	693	543	710	983	598	584	991	691	883
2659	1889	1998	2642	1706	1640	2706	2088	2582	2001	2348	1814	1878	2047	2013	1852	1774	1711	2043	1719	1676	2026	2135	1993	1649	2801	1806	2578	2660	2264	1968	1460	1578	2288	2458	1865	1986	3037	1847	1989	2873	2153	2341	2316	2215	2309	2040	2431	2397	2052	3078	2493	2460	2703	2405	2484	2766	2316	2033	2547	1930	2073	1472	1265	1533	2298	2022	1838	2001	1385	1456	2509	2129	2168	2721	1936	2434	3192	2602	2358	2621	2075	1851	3076	2437	2371	1830	1890	1692	2723	2721	2563	2579	2475	2280	1586	1667	1616	1778	1509	1774	1115	1653	1348	2110	1706	2163	3003	1988	2248	3524	2849	2575	3791	3309	3014	2909	3024	2367	2751	2895	2025	2252	2276	1936	1884	3031	2174	2147	3257	2405	3006
7289	4665	5535	7291	4968	5152	6618	6034	6389	5078	6371	5123	5317	5674	5130	5288	4929	4807	4903	4873	4723	5669	5353	5543	4455	7134	5089	7385	7213	6761	5086	3649	3800	6521	6726	5795	5659	7956	5909	5736	7343	5832	6915	6403	5954	6588	6294	6805	6379	6026	8995	6981	7041	6993	6871	6108	7239	6178	5675	7237	5136	5877	5102	3597	4950	6550	5306	5013	5035	3769	3639	6709	5443	5810	7410	5680	6554	10074	8718	7385	7410	6183	5147	7818	6234	6443	4835	4918	4638	8312	8151	7657	8556	6773	7223	4421	4291	4693	4815	3922	4733	2959	3698	3280	6537	4230	6572	8430	6624	6819	10314	8422	7456	12105	9880	8539	9918	9145	6896	7582	8780	6631	7272	6439	5465	5009	8188	6919	6217	9442	7452	8742
16771	11581	14068	16127	9782	10814	17386	14937	16295	12868	13851	12101	14155	13906	13837	13808	11606	12452	13680	12029	12356	14651	12646	13469	10604	15651	11300	18249	17344	16395	13287	8783	9707	15966	15709	12529	14496	19128	14589	15642	17451	14749	16192	15302	13751	16372	13150	17003	14321	14046	20584	15918	15903	17495	16012	15998	17847	15098	13683	19090	13313	14518	9935	6063	8960	15732	13230	12499	12572	9172	9234	17727	14107	13933	17321	13401	14885	20314	17089	13728	16049	14007	10587	19123	16089	14173	12435	11203	10685	18737	17447	16438	17304	15507	14509	12137	11077	12878	12986	9179	12857	8300	8390	8474	12968	8602	13258	17110	13587	13816	21517	18773	16550	23533	21127	19805	21256	20331	16823	17276	16574	12861	13283	15547	13881	11714	16389	14864	13295	19051	15981	16717
22072	16004	18424	20346	12090	13229	24108	20694	21343	16851	17889	16152	19105	18355	18272	18516	15901	16422	19297	16177	17231	19254	17779	17919	13745	19257	14508	24550	23058	20432	18223	12447	13380	20412	21253	15405	19349	25758	18476	20946	23957	20016	21734	20652	18999	21729	16341	21975	18339	17828	25694	20260	20720	23591	21620	20869	24217	21077	18962	25306	18781	20132	11327	6608	10516	20423	17197	16687	17600	12541	12586	23931	20133	19870	22160	17421	19722	22893	20102	16077	19288	17786	13184	24561	22217	18892	16932	15018	14022	23299	21321	20953	20778	18590	17774	17238	16274	18713	18251	12567	17546	11600	11845	11730	16097	10248	16322	20913	16884	16472	26234	22917	19803	26691	25643	24831	25442	25869	21104	21721	18734	15394	15859	20395	19147	15459	20066	18397	16133	22794	19243	20140
20357	15158	17209	17957	10255	11808	23302	21304	20989	15236	17528	14957	18689	18846	17821	17689	16353	16168	19530	16774	16669	18251	17701	17126	12381	18210	13075	22538	21949	19110	17800	12045	13965	19031	20208	14134	17756	24025	17375	20529	22889	19220	20010	18975	17716	20167	15242	20088	17099	16605	22998	19060	18492	22475	21308	20094	22543	20189	17978	25299	18236	19550	9160	5369	8384	19601	16741	15502	17156	12423	12659	23785	19082	19699	20252	15873	17829	18434	15676	12964	17566	15449	11929	23642	20443	17930	16164	14651	13614	19605	18682	18234	18152	16855	15544	17996	16990	19155	18967	13448	17471	12034	11455	11975	13531	9101	13552	18033	14216	13724	23295	20179	17710	22506	22716	22303	21867	22688	19047	18724	15324	12627	12526	20015	18556	15213	17262	16183	14336	19514	16553	16679
13204	10505	11819	10914	5914	7201	16490	15463	14202	10133	11835	9717	13242	13592	12380	11957	11713	11118	13817	12460	11564	12122	12331	11239	8367	11898	8480	14220	15010	12178	12508	9020	10270	12214	13989	8992	11383	16106	11427	13964	15602	13135	13360	12955	11878	13717	9942	12841	11235	10856	14820	11778	11610	15181	14772	13334	15196	13891	12151	18554	13204	14054	4596	2820	4507	12935	11205	10677	12070	8909	9037	16322	13693	13841	13093	10347	11834	9632	8314	7047	10842	9375	7536	15647	14039	12334	11133	10256	9313	11764	11157	10722	10768	10083	9155	13913	13252	14300	14312	10256	12994	9077	8175	8910	8031	5162	7698	10466	8454	8502	14220	12318	10096	12349	13151	12918	12921	13991	11166	11181	8171	6738	6774	13781	13511	11109	10456	10017	8546	11018	8988	9481
5996	4499	5361	3968	2247	2808	7954	7553	6351	4209	5911	3922	6250	6880	5498	5228	5922	4617	6660	6400	5518	5093	5957	4631	3454	5799	3582	5591	6286	4864	5896	4465	5216	5315	6448	3764	4824	7366	4954	6009	7403	5520	5737	5517	5357	5859	4311	5400	5130	4467	5971	5095	4492	6870	7145	5848	6987	6292	5706	9210	6135	7049	1327	959	1207	5826	4877	4799	5905	4214	4323	8099	6560	6866	5791	4360	5144	2999	2731	2331	4498	3352	3295	7315	5540	5342	4750	4858	4141	4514	4624	3984	4339	4072	3554	7851	7056	7840	7273	5486	6387	4754	3867	4579	2869	1992	2586	4581	3391	3618	5800	4722	4015	4281	5461	5075	5094	5508	4338	4199	2812	2127	2155	6768	6468	5422	4261	3958	3206	4228	3010	3700
2845	2162	2465	1801	953	1158	3751	2997	2542	1914	2707	1647	2688	2965	2355	1991	2403	2091	2730	2410	2055	2126	2563	1887	1303	2615	1328	2592	2772	1958	2808	2054	2154	2313	2898	1551	2385	3468	2008	2363	3523	2286	2574	2454	2585	2545	1791	2810	2163	1929	2440	2400	2175	2493	2840	2612	3089	2609	2323	3839	2889	2733	435	351	401	2512	2128	2025	2690	1834	1956	3662	2712	2763	2456	1798	2402	1224	826	781	2057	1589	1676	3407	2327	2089	2402	2119	1709	1803	1804	1740	1741	1925	1628	2998	3154	2557	3029	2310	2825	1841	1988	1987	1111	935	1225	2190	1399	1533	2309	1825	1632	1520	2518	2361	2139	2115	1974	2000	1082	872	665	2800	2601	2480	1740	1598	1469	1939	1443	1579
819	629	574	349	242	344	996	830	584	507	731	439	632	842	473	529	667	513	783	626	599	649	733	541	210	682	303	576	758	502	722	594	656	578	810	453	635	886	570	662	981	647	706	657	678	713	486	667	589	569	720	576	499	534	796	501	877	818	685	859	871	838	114	47	98	853	571	484	699	594	525	967	571	616	850	578	684	254	267	250	893	406	515	855	654	477	698	659	494	535	460	437	522	469	457	743	1032	730	918	697	699	551	678	486	294	281	274	594	357	446	594	524	317	453	667	576	559	526	477	379	324	191	103	763	755	777	418	398	385	528	326	399
