E4B10_1	E4B10_2	E4B10_3	E4B11_1	E4B11_2	E4B11_3	E4B12_1	E4B12_2	E4B12_3	E4B13_1	E4B13_2	E4B13_3	E4B14_1	E4B14_2	E4B14_3	E4B15_1	E4B15_2	E4B15_3	E4B16_1	E4B16_2	E4B16_3	E4B17_1	E4B17_2	E4B17_3	E4B18_1	E4B18_2	E4B18_3	E4B19_1	E4B19_2	E4B19_3	E4B1_1	E4B1_2	E4B1_3	E4B20_1	E4B20_2	E4B20_3	E4B21_1	E4B21_2	E4B21_3	E4B22_1	E4B22_2	E4B22_3	E4B2_1	E4B2_2	E4B2_3	E4B3_1	E4B3_2	E4B3_3	E4B5_1	E4B5_2	E4B5_3	E4B6_1	E4B6_2	E4B6_3	E4B7_1	E4B7_2	E4B7_3	E4B8_1	E4B8_2	E4B8_3	E4B9_1	E4B9_2	E4B9_3	E4H1_1	E4H1_2	E4H1_3	E4L10_1	E4L10_2	E4L10_3	E4L11_1	E4L11_2	E4L11_3	E4L1_1	E4L1_2	E4L1_3	E4L2_1	E4L2_2	E4L2_3	E4L3_1	E4L3_2	E4L3_3	E4L4_1	E4L4_2	E4L4_3	E4L5_1	E4L5_2	E4L5_3	E4L7_1	E4L7_2	E4L7_3	E4L8_1	E4L8_2	E4L8_3	E4L9_1	E4L9_2	E4N1_1	E4N1_2	E4N1_3	E4N3_1	E4N3_2	E4N3_3	E4O1_1	E4O1_2	E4O1_3	E4O2_1	E4O2_2	E4O2_3	E4P10_1	E4P10_2	E4P10_3	E4P11_1	E4P11_2	E4P11_3	E4P14_1	E4P14_2	E4P14_3	E4P1_1	E4P1_2	E4P1_3	E4P2_1	E4P2_2	E4P2_3	E4P3_1	E4P3_2	E4P3_3	E4P5_1	E4P5_2	E4P5_3	E4P7_1	E4P7_2	E4P7_3	E4P9_1	E4P9_2	E4P9_3
326	259	190	310	230	153	283	285	218	203	193	114	314	232	184	276	156	117	148	47	89	269	205	235	91	259	118	395	123	251	227	221	115	124	284	207	287	304	259	253	235	228	295	263	202	209	256	281	252	356	288	374	240	369	222	360	299	428	202	165	322	258	63	147	106	34	324	116	175	99	109	0	219	257	174	299	173	166	433	141	170	301	252	215	360	241	209	226	209	117	324	537	304	87	530	258	208	100	230	80	133	78	138	54	224	159	106	274	318	356	0	375	342	787	388	440	474	356	430	511	387	269	191	326	271	287	130	122	341	380	370	272	362	213
1850	1491	812	1587	1074	639	1449	1133	1022	1547	1028	736	1625	1374	905	1399	998	657	620	400	367	1608	1222	1461	765	1242	629	2035	734	1347	1285	1434	733	549	1423	1129	1475	1590	1339	1521	1778	1237	1537	1633	1219	947	1441	1594	1424	1936	1256	1972	1578	1611	1099	1887	1358	2117	1112	869	1544	1464	221	722	519	218	1756	879	866	685	845	151	1232	1483	821	1538	1010	879	2055	461	631	1449	1152	931	1774	1478	1194	1136	1307	472	1972	2701	1720	774	2407	1383	1367	713	1203	682	748	543	681	323	1157	746	567	1472	1440	1366	236	1842	1680	3597	1927	2280	2199	1753	2450	2465	2645	1557	922	1447	1266	1707	366	543	1572	1982	1719	1174	2090	760
7403	5838	2836	5902	4163	2133	5528	4194	3835	7004	3790	3286	6178	5188	3971	6581	3849	2547	2504	1781	1382	8010	5245	6457	3809	4757	2801	8882	2751	5547	4815	6031	2591	2259	5847	4497	6766	6408	5163	6333	6467	5507	6495	7144	5086	4050	5569	6053	6026	7609	4778	8012	6823	5873	4343	7683	5440	8522	4825	2957	6128	6681	765	2850	1894	751	7652	3763	3290	2746	3152	617	5305	6021	3261	6411	4284	3180	7720	1766	2290	5457	4228	3341	7634	5945	4340	4885	5622	1845	8979	10176	7058	3137	8861	6076	5695	3050	4993	3027	3212	2435	2428	1461	5033	2723	2421	5106	5880	4048	3882	7749	6253	14343	7596	8583	8859	7839	9224	9733	11108	6037	3546	6042	4757	7766	1420	2063	5967	8473	6297	4353	8769	2847
14979	12181	6118	10903	7959	4215	12775	10107	8748	15099	8630	7188	14947	12204	9329	14584	8875	6202	6736	4939	3805	17370	11327	13849	8177	9554	5839	17194	6108	11386	10467	13364	6218	4854	12467	9598	13953	13346	10806	14378	14466	12101	12846	14502	10235	7951	11555	12306	12498	15644	10488	15573	13262	12003	9539	16263	11372	16835	10457	6580	13759	14159	1775	4370	2783	1204	15588	8471	6787	6257	6972	1549	12034	14062	7578	12269	8681	6483	12582	3198	3775	9740	8237	6073	15638	12903	8866	10077	12010	4618	16784	19237	13423	5365	15716	15251	13782	8079	11931	8301	8147	6858	6092	3838	8686	5009	4258	9442	10615	7271	8967	14330	11853	23212	13184	14029	16690	15116	17181	19269	21502	11599	5767	9703	7527	16323	3774	4727	10462	14734	11126	7816	15628	5278
12280	10465	5555	7837	6192	3355	12362	10063	8861	12885	7961	6402	14073	11674	9190	12815	8283	5762	6716	5071	3994	14922	10361	12861	6569	8062	5023	13754	5404	9376	10158	12625	6601	4127	11368	8962	11737	11661	9846	12893	13139	11156	11429	12876	9226	6867	9840	10974	10117	12949	9579	11701	10727	9682	8715	14389	10651	14559	9114	5923	12682	13402	1721	2203	1578	726	13505	7524	6165	6233	6812	1563	11652	13389	7491	9796	7100	5507	6589	1853	2114	6849	6478	4390	13428	11221	7851	9173	10833	4967	11525	13600	9561	4420	12288	16289	13919	8665	12605	9026	8898	7643	6637	4273	5603	3491	3083	6942	7617	5643	6069	9644	8936	12879	7756	8550	12302	10755	12926	14438	15755	9051	3192	5384	4290	15075	3749	4942	7493	10243	7862	5573	10459	3603
7797	6492	3765	5203	4195	2375	7620	6234	5765	7455	5062	4017	8584	7284	5796	7955	5162	3691	4170	3015	2667	9149	6111	7866	4179	5027	3272	8741	3778	6341	6448	7811	4500	2681	7301	6081	7319	7200	6258	7606	8423	7073	7219	8585	6316	4373	6372	7021	6259	7804	6480	7158	7179	6444	5747	9115	6964	9265	5890	4051	7834	7906	1195	1818	1366	558	8660	4869	4179	4205	4486	1051	7324	8219	4754	6199	4632	3594	4676	1437	1613	4296	4649	3071	8465	7118	5257	5517	6453	3495	7138	8804	6377	3264	8457	9712	8244	5239	7701	5862	5379	4857	4497	2663	3786	2434	2105	4730	5073	4102	3263	5824	5923	8712	5661	6011	8186	6934	8770	8455	9681	5560	2286	4123	3276	8909	2352	3257	5271	7228	5448	3719	6834	2523
6232	5159	3259	4631	3637	2188	6332	5133	4822	5842	4172	3330	7277	5860	4619	6467	4289	3210	3750	2325	2416	7436	4877	6339	3572	4082	2780	7308	3497	5456	5055	5968	3708	2354	6146	5106	6324	6040	5099	6445	6930	5461	5252	6374	5018	3735	5377	5828	5358	6482	5591	6034	6389	5902	4824	7265	5765	7676	5056	3759	6400	6250	1109	1762	1365	534	7023	4234	3670	3326	3570	915	6020	6431	3960	5151	4007	3302	4224	1388	1682	3440	4069	2712	6974	6015	4410	4268	5007	3133	6261	7643	5656	2850	6919	7165	6163	4108	5881	4715	4290	4017	3713	2001	3449	2321	1836	4118	4242	3642	1950	4990	5306	8142	5419	5780	7451	5802	7789	7251	8372	4892	2209	3871	3204	6767	2012	2861	4890	6213	4549	3407	5791	2446
3943	3477	2135	3212	2576	1598	4345	3398	3129	3875	2985	2073	5130	3937	3151	4232	2746	2159	2592	1389	1651	4855	3250	4321	2353	2723	1833	5197	2464	3986	3264	3982	2621	1674	4252	3368	4278	3847	3452	4669	4910	3620	3033	3465	2945	2711	3574	3949	3648	4349	3864	4151	4474	4065	3433	4706	4243	5380	3578	2610	4448	4222	780	1217	1060	364	4465	2980	2654	2203	2527	659	4360	4466	2529	3399	2722	2358	2932	1019	1198	2294	2903	1737	4724	4015	3037	2700	3248	2212	4249	5468	3716	1878	4606	4692	3771	2457	3590	2965	2762	2676	2451	1274	2374	1597	1305	2814	2954	2430	584	3579	3839	6025	4022	4094	5368	3785	5605	4979	5821	3519	1624	2637	2132	4608	1426	2078	3521	4282	3035	2424	4171	1958
1298	1053	736	1077	729	494	1282	1114	921	975	924	672	1458	1242	826	1352	897	689	759	318	506	1528	916	1247	691	813	606	1378	829	1065	1066	1169	821	516	1289	1081	1197	1268	1064	1207	1477	1068	834	965	831	770	1099	1343	1063	1400	1180	1243	1311	1251	875	1604	1278	1621	1165	820	1277	1128	260	397	362	86	1443	783	851	694	766	243	1350	1188	851	1175	882	763	862	295	406	637	817	553	1330	1028	862	879	956	679	1350	1504	1211	679	1329	1243	1046	682	1172	1019	810	788	892	412	789	526	403	985	835	864	0	843	1119	1746	1054	1266	1546	1125	1619	1425	1547	917	505	831	755	1302	409	643	1141	1244	1009	768	1157	607
287	251	161	267	174	111	304	272	188	200	201	150	302	304	156	300	193	133	106	51	154	371	215	276	115	151	154	304	193	201	250	270	199	133	320	295	251	221	241	282	352	224	181	182	184	195	227	318	228	273	288	228	271	276	166	376	320	382	232	199	238	246	63	105	115	0	355	159	211	167	197	95	293	263	154	273	214	214	161	56	110	116	180	98	286	238	185	213	208	148	309	361	281	169	308	280	246	129	294	245	150	159	260	85	191	155	87	216	208	197	0	180	195	314	223	250	358	233	308	311	308	161	86	194	170	307	100	162	247	308	222	179	268	134
