E5B7_1	E5B7_2	E5B7_3	E5B8_1	E5B8_2	E5B8_3	E5H1_1	E5H1_2	E5H1_3	E5H2a_1	E5H2a_3	E5H2b_1	E5H2b_2	E5H2b_3	E5H2c_1	E5H2c_2	E5H2c_3	E5H3a_1	E5H3a_2	E5H3a_3	E5H3b_1	E5H3b_2	E5H3b_3	E5H3c_1	E5H3c_2	E5H3c_3	E5H3d_1	E5H3d_3	E5L1a_1	E5L1a_2	E5L1a_3	E5L1b_1	E5L1b_2	E5L1b_3	E5N1_1	E5N1_2	E5N1_3	E5N2_1	E5N2_2	E5N2_3	E5N3_1	E5N3_2	E5N3_3	E5OLa_1	E5OLa_2	E5OLa_3	E5OLb_1	E5OLb_2	E5OLb_3	E5OLc_1	E5OLc_2	E5OLc_3	E5OLd_1	E5OLd_2	E5OLd_3	E5OR_1	E5OR_2	E5OR_3	E5P10_1	E5P10_2	E5P10_3	E5P1_1	E5P1_2	E5P1_3	E5P2_1	E5P2_2	E5P2_3	E5P3_1	E5P3_2	E5P3_3	E5P4_1	E5P4_2	E5P4_3	E5P5_1	E5P5_2	E5P5_3	E5P6_1	E5P6_2	E5P6_3	E5P7_1	E5P7_2	E5P7_3	E5P8_1	E5P8_2	E5P8_3	E5P9_1	E5P9_2	E5P9_3	E5X1_1	E5X1_2	E5X1_3	E5X2_1	E5X2_2	E5X2_3	E5X3_1	E5X3_2	E5X3_3	E5X4_1	E5X4_2	E5X4_3	E5X5_1	E5X5_2	E5X5_3	E5X6_1	E5X6_2	E5X6_3	E5X7_1	E5X7_2	E5X7_3	E5X8_1	E5X8_2	E5X8_3	E5X9_1	E5X9_2	E5X9_3
644	546	324	666	309	434	720	0	729	721	631	815	1269	725	478	466	575	589	963	708	663	1217	683	877	1096	612	789	559	780	633	647	1123	529	955	170	192	0	108	86	0	132	130	79	596	869	797	812	805	669	121	247	154	562	624	385	202	603	650	802	564	838	656	433	513	937	452	532	1081	330	435	921	760	824	975	357	729	1056	318	1015	782	495	712	644	631	867	1041	646	432	833	1026	876	607	511	453	644	562	604	670	349	545	549	874	486	269	687	246	339	439	0	354	285	484	591	539	329
1427	1174	607	1511	667	852	2012	7694	2137	2378	1725	2259	3511	1863	1659	1044	1475	1798	2308	1916	1894	3042	1756	2110	2859	1469	2416	1497	2104	1525	1712	3068	1453	2451	248	284	0	105	160	0	158	203	105	1700	2114	2082	1966	1933	1553	381	686	355	1514	1489	964	448	1512	1647	2039	1604	2121	1861	1070	1196	2282	1127	1299	2653	929	1122	2299	1879	2253	2105	891	1861	2766	854	2436	1801	1263	1983	1780	1550	2139	2615	1578	1141	2134	2580	2083	1263	946	1049	1686	1359	1402	1571	764	1277	1248	2004	1068	655	1405	459	708	880	117	792	744	1157	1237	1153	620
2810	2418	1192	2869	1417	1624	4284	17880	4676	5644	3723	5231	7185	3943	3881	2319	3213	3922	5132	4251	4438	6744	3523	4587	6154	3491	5991	3257	4979	3187	4207	7058	3165	5896	451	671	108	207	203	80	286	362	160	3741	4463	4466	4386	4133	3423	1137	1596	775	3127	3401	2103	1053	3022	3431	4197	3730	4362	4062	2183	2625	4710	2471	2575	5307	2110	2650	5513	3957	4469	4601	1970	3988	5845	1833	5198	4307	3002	3992	3462	3391	4646	4983	3532	2367	5114	5117	4912	2435	1939	2212	3215	2738	2749	3271	1617	2424	2392	3717	2124	1320	2748	874	1308	1641	294	1546	1501	2438	2346	2276	1256
5389	4308	2068	5674	2788	3144	9860	0	10192	13034	8885	12193	15983	9230	9211	5452	7513	8951	11739	9732	9727	14739	8323	10088	13141	7673	12848	7590	10729	7639	9120	15514	7899	12769	974	1494	178	498	390	161	741	765	396	8189	10024	9681	9535	9145	7176	2336	3330	1672	6877	7096	4946	2080	6106	6781	9089	8301	9634	9009	4383	4890	8370	4851	4629	11581	4626	5241	11707	8864	9782	8834	4111	7315	13142	4618	11841	9063	6671	8857	7648	7439	9185	10186	7914	5095	10277	10734	9601	4050	3326	3773	6483	4941	4662	5113	2907	3700	4956	7396	4205	2319	4488	1515	2301	2581	519	2741	2692	4222	4128	3653	2216
7601	6954	3208	8136	4153	4451	15053	24236	15596	19917	13767	18526	24196	14299	13862	8568	11808	13709	17763	14720	14835	21872	12104	15029	20137	11461	19041	11708	15975	11994	13880	23384	12274	19345	2116	3067	455	999	648	394	1588	1344	872	12426	15049	14676	14003	13653	10320	3549	4867	2407	10123	10539	7384	3173	8988	9328	13739	12271	14573	13724	7155	7637	14365	8495	7899	17199	7167	7930	17387	13436	14856	11561	5820	9934	20185	7653	17539	13371	10217	13673	11269	10973	13818	14506	11609	7774	14184	14584	13272	6398	5249	5000	14273	7145	7017	8276	4593	5916	6952	10165	5802	3664	7062	2300	3524	3991	922	4119	3945	6088	6489	5014	3304
8258	8133	3753	9064	4913	5108	17315	21138	17675	23108	15930	21380	26652	16633	16187	10319	13734	15565	20170	16973	16753	24881	14248	17180	23898	13353	21082	13239	18494	14503	16102	26877	14519	22041	4816	6486	915	2405	1273	952	3673	2966	2101	14352	16923	16854	15636	15193	11161	4093	5719	2789	11491	12707	8542	3631	10259	10401	16293	14469	16996	16564	8884	9438	18981	11066	10375	20110	8772	9711	19635	15578	17371	11969	6491	10723	23480	9404	20763	15844	12421	16084	12928	12699	15888	16469	13207	9040	14611	14950	13582	8170	6889	6494	11077	8055	8400	10487	5666	7529	7660	10853	6167	4499	8836	2877	4201	5110	1307	4724	4335	6814	8233	6234	3943
7220	7330	3580	7615	4255	4221	12966	8591	13330	17428	11999	16022	21510	12754	12162	8218	10539	11742	15529	12331	12777	19352	10686	13107	18234	10797	15500	9555	14989	11839	13513	20805	11265	17488	8486	12068	1931	4103	2007	1710	6455	5121	3580	10884	12456	12780	11320	11052	7812	3065	4326	2055	8912	10419	6642	3010	8317	8490	13700	12419	14020	14760	7932	8439	18138	10771	10145	17184	7724	8377	16177	12821	14566	9120	5030	8313	19120	8047	17633	13505	10443	13113	10982	10629	12999	13446	10856	7424	9965	9629	8966	9060	7342	7067	9801	7022	7641	10869	5954	7884	6169	8882	5056	4727	8890	2757	4088	5378	1362	4207	3677	5945	9022	6737	4030
5806	6142	3112	5745	3245	3201	5001	3474	4937	6681	4230	6306	9210	5061	4950	3363	4358	4276	5877	4224	5320	8568	4273	5508	8483	4870	5319	3115	7423	5623	6682	8723	4476	7666	11301	17178	2809	5406	2734	2285	8841	7013	4860	4297	4526	5037	4121	4013	2814	1100	1481	725	4349	5337	3018	2031	5653	5694	7829	6897	8130	10364	5433	5796	13553	8084	7303	10442	4772	5063	8625	7041	7867	6336	3414	5692	10447	4506	9329	7704	5841	7475	6482	5880	7601	8013	6234	4312	3947	3123	3430	9445	7316	7307	7558	5523	6153	10479	5851	7729	4504	6677	3539	4225	8170	2337	3647	5453	1312	3689	2928	5022	9052	7202	4112
4464	4767	2494	4251	2249	2209	1697	0	1728	1858	1404	2340	3751	1867	1673	1198	1627	1372	2041	1329	1984	3312	1746	2357	3580	2079	1831	977	3219	2071	2788	3162	1774	2545	11075	17287	3012	5187	2655	2237	8928	6981	4884	1363	1655	1783	1406	1300	933	406	565	332	1882	2543	1325	1348	3725	3713	3688	3469	4630	6974	3315	3590	9004	5450	4838	5874	2588	2725	4230	3165	4212	4523	2420	4057	5147	1919	4592	4017	2774	3703	3379	3011	4411	3984	3285	2156	1804	1404	1514	8279	6242	6673	5214	3847	4616	9146	4877	6681	3061	4464	2545	3433	6483	1872	2948	4770	1135	3113	2189	4169	7797	6494	3711
2754	3042	1610	2611	1425	1445	935	1578	825	748	582	1051	1827	882	762	664	837	517	718	575	925	1656	835	1287	2005	1094	757	461	1651	1004	1570	1374	836	1265	6851	11261	2056	3374	1752	1426	5840	4712	3208	629	572	815	513	513	417	195	251	126	901	1375	643	922	2440	2191	2231	2016	2568	4449	2418	2332	5550	3346	2794	3428	1413	1616	2344	1604	2217	3883	1930	3167	2949	1129	2551	2298	1596	2150	2252	1828	2483	2328	1929	1248	879	736	815	4974	3447	3868	3568	2510	3168	5256	2709	3845	1932	3101	1671	2026	3463	1116	1950	2742	682	2035	1508	2918	4561	3885	2269
