E5B11_1	E5B11_2	E5B11_3	E5B4_1	E5B4_2	E5B5_1	E5B5_2	E5B5_3	E5B6_2	E5B7_1	E5B7_2	E5B7_3	E5B8_1	E5B8_2	E5B8_3	E5B9_1	E5B9_2	E5B9_3	E5H1_1	E5H1_2	E5H1_3	E5H2a_1	E5H2a_2	E5H2a_3	E5H2b_1	E5H2b_2	E5H2b_3	E5H2c_1	E5H2c_2	E5H3a_3	E5H3b_1	E5H3b_2	E5H3b_3	E5H3c_1	E5H3c_2	E5H3c_3	E5H3d_1	E5H3d_2	E5H3d_3	E5L1a_1	E5L1a_2	E5L1a_3	E5L1b_1	E5L1b_2	E5L1b_3	E5N1_1	E5N1_2	E5N1_3	E5N2_1	E5N3_1	E5N3_2	E5N3_3	E5OLa_1	E5OLa_2	E5OLa_3	E5OLb_1	E5OLb_2	E5OLb_3	E5OLc_2	E5OLc_3	E5OLd_1	E5OLd_2	E5OLd_3	E5OR_1	E5OR_2	E5OR_3	E5P10_1	E5P10_2	E5P10_3	E5P1_1	E5P1_2	E5P1_3	E5P2_1	E5P2_2	E5P2_3	E5P3_1	E5P3_2	E5P3_3	E5P4_1	E5P4_2	E5P4_3	E5P5_1	E5P5_2	E5P5_3	E5P6_1	E5P6_2	E5P6_3	E5P7_1	E5P7_2	E5P7_3	E5P8_1	E5P8_3	E5P9_1	E5P9_2	E5P9_3	E5X1_1	E5X1_2	E5X1_3	E5X2_1	E5X2_2	E5X2_3	E5X3_1	E5X3_2	E5X3_3	E5X4_1	E5X4_2	E5X4_3	E5X5_1	E5X5_2	E5X5_3	E5X6_1	E5X6_2	E5X6_3	E5X7_1	E5X7_2	E5X7_3	E5X8_1	E5X8_2	E5X8_3	E5X9_1	E5X9_2	E5X9_3
0	394	339	323	260	879	517	500	1324	434	300	112	528	549	319	713	288	95	945	1377	396	662	1221	577	658	694	325	783	664	449	601	848	415	642	412	309	777	1536	416	2074	1322	1585	1265	954	1833	144	952	113	108	198	289	343	678	674	559	83	465	533	404	259	685	1621	244	1078	569	347	1028	1032	633	898	682	1055	294	377	139	393	282	308	384	500	363	739	407	396	354	481	456	424	446	538	262	544	413	859	601	1254	835	1103	145	650	917	746	637	586	567	378	220	652	986	291	613	960	234	371	427	70	449	505	536	516	375	488
1513	748	594	515	448	1651	838	921	504	807	551	181	892	931	565	1256	448	220	1749	2494	687	1157	2454	1129	1167	1259	619	1379	1205	806	1119	1553	717	1229	778	599	1457	2962	854	3616	2336	2741	2203	1705	3135	283	1739	195	260	414	618	550	1231	1271	1014	156	825	1036	718	516	1374	2797	416	1868	1049	598	1834	1975	1216	1680	1213	1969	642	702	243	733	531	531	686	883	627	1318	698	731	665	914	770	668	769	814	338	847	697	1576	1055	2248	1473	1915	244	1154	1668	1345	1168	1012	973	713	363	1183	1736	500	1070	1718	399	644	807	135	804	942	935	943	757	884
0	1201	941	945	854	2319	1355	1398	468	1354	926	270	1378	1522	815	1897	690	356	3255	4173	1303	2097	3741	2080	1921	2195	1034	2218	2025	1510	2144	2730	1297	2186	1368	1048	2566	5404	1482	5191	3199	3797	2995	2339	4602	457	2707	335	352	647	997	876	1943	1975	1580	326	1365	1340	1228	802	2243	4754	601	2561	1512	905	2599	2863	1570	2698	1943	2964	932	1165	386	1126	839	817	1058	1174	927	2136	1102	1211	985	1344	1161	912	1162	1313	430	1112	1147	2366	1573	3108	2036	2918	698	1676	2349	2024	1722	1470	1565	1198	528	1990	2832	774	1685	2494	581	969	1221	211	1154	1539	1522	1365	1014	1260
1528	1713	1408	1446	1078	3502	1872	1942	529	1974	1328	396	2063	1978	1180	2471	1084	557	4701	6324	2079	3610	6347	3458	2897	3477	1751	3719	3135	2319	3304	4333	2057	3350	2182	1595	3993	7779	2248	6429	4553	4782	3942	3121	6026	720	4587	508	533	925	1388	1482	2634	2852	2236	498	1865	1870	1702	1151	3260	6441	910	3417	2115	1210	3733	4082	2231	3985	2783	4313	1500	1692	544	1702	1107	1040	1471	1667	1195	2998	1569	1642	1302	1791	1612	1113	1692	1908	550	1456	1498	3583	2228	3887	2700	4058	1286	2675	3601	2616	2473	2191	2278	1887	800	2782	4102	1157	2277	3549	795	1388	2070	337	1704	2128	2043	1918	1541	1680
0	1909	1465	2801	2252	3626	2256	2084	837	2244	1616	421	2318	2464	1005	2908	1263	620	7681	10334	3424	5465	9151	4932	5148	5662	2991	6201	5283	3689	5319	7028	3345	5468	3592	2728	6371	13255	3516	5299	3750	3504	3045	2449	4143	860	5187	566	651	1079	1692	1471	2981	3001	2528	685	2204	1987	2166	1307	3747	7192	1031	3334	1941	1163	3480	3583	1782	4372	3200	5027	1826	1870	586	2019	1505	1349	1417	1468	1100	3716	1868	2091	1473	2042	1664	1359	2245	2247	452	1457	1684	3780	2383	3436	2511	3544	1162	2765	3089	2978	2814	2180	2777	2276	927	3228	4983	1225	2290	3807	705	1579	2168	370	2123	2301	2100	2007	1494	1634
703	2551	1762	2925	1259	4139	2689	2672	1163	2960	2079	577	2824	3073	1485	3477	1583	819	10012	13314	4571	7553	12640	6848	6634	7339	3861	8127	6999	4637	6723	9027	4300	7033	4669	3674	7987	17062	4389	5773	3787	3663	3710	2833	4850	1151	6680	755	898	1282	2304	1661	3857	3694	3221	839	2455	2621	2403	1556	4471	7646	1254	3752	2349	1407	4362	4324	2352	4459	3216	5061	2438	2228	815	2972	1860	1696	1564	1733	1433	4671	2531	2668	1691	2423	2108	1683	2549	2929	515	1487	1940	4566	2727	4363	3169	4228	1425	3667	4221	3574	3324	2819	3250	2751	1098	3684	5516	1324	2627	4524	913	1862	2207	522	2676	2778	2673	2400	2119	2198
581	2434	1515	3374	1257	3751	2629	2637	2129	2899	2184	580	2954	2950	1503	3201	1548	906	12333	16474	5611	8028	12196	6766	7952	8430	4752	9815	8443	5495	7799	10068	5087	8232	5595	4390	9625	20296	5158	6980	4483	4132	4157	3198	5817	915	5006	550	695	889	1647	1043	4467	4192	3443	879	2756	3044	2918	1883	4861	8309	1369	3602	2373	1475	4966	4732	2567	4067	3456	5155	2556	2201	848	3218	2191	1903	1698	1824	1512	5190	3029	3131	1927	2793	2506	1833	2851	3200	554	1611	2000	4503	3130	5243	3650	4984	885	3238	3913	3394	3228	2812	3227	2441	1185	3881	5311	1289	2441	4212	924	1756	2064	412	2894	2903	2909	2171	1755	1835
674	2853	1763	2461	806	3733	2676	3091	1219	3113	2379	681	3211	3093	1780	3407	1719	1028	8394	10979	3800	5709	8062	4559	4583	4887	2593	6331	5210	3276	5203	6183	3318	5737	3454	2935	5838	12401	3089	8108	5225	4667	4993	3583	6493	1144	6330	688	632	1095	1913	1211	4768	4533	3775	1043	2778	3188	3018	2077	5409	9652	1602	4089	2739	1770	5506	5216	2836	4106	3458	5092	2852	2477	963	3841	2475	2172	1863	2030	1788	5836	3419	3614	2155	3069	2789	2090	3125	3738	658	1997	2286	5073	3648	5548	4097	5430	718	3801	4895	3737	3406	3229	3649	2670	1343	4278	5711	1394	2811	4792	1082	1858	2178	460	3183	3150	3256	2388	2014	2030
547	1968	1398	1396	419	2642	1403	2024	1239	1922	1351	389	1938	1727	945	2483	1275	743	6324	7730	2570	3935	4767	2699	2816	3104	1554	3681	2657	2079	3181	3296	1973	4096	2144	1836	4342	9122	1929	5955	4232	3239	2582	2119	3549	992	5899	618	568	920	1711	945	2586	2476	2033	513	1834	1578	1871	1259	3553	7337	1014	2701	1716	1200	4083	3771	1811	2631	2260	3098	2111	1902	613	2454	1626	1199	1134	1195	892	3528	2430	2215	1223	1701	1744	1070	1851	2127	448	1572	1906	3792	3031	2523	1980	2791	243	2784	2981	2343	2364	2059	2764	2072	964	3233	3855	866	2034	3476	747	1373	2027	285	2071	2268	1739	1671	1542	1316
470	1671	1054	700	272	2073	1056	1488	1095	1622	935	240	1397	1270	628	2154	1040	522	3118	3766	1166	1901	2423	1218	1419	1398	742	1845	1349	892	1774	1765	968	2192	1048	900	2006	4615	965	2884	2073	1618	1270	992	1843	1047	5830	602	537	1005	1795	1208	1219	1334	998	274	872	818	831	587	2418	5189	711	2023	1263	824	2220	2246	1040	1848	1354	2128	1333	1103	375	1450	927	698	758	666	599	2123	1113	1122	666	891	1055	623	1227	1458	305	1020	1197	2499	1800	1308	970	1417	238	2288	2395	1928	1798	1507	2205	1724	801	2045	2990	662	1643	2364	575	1299	1605	214	1337	1579	1172	1345	1323	1041
