E5B7_2	E5B7_3	E5B8_2	E5B8_3	E5H1_3	E5H2a_1	E5H2a_2	E5H2a_3	E5H2b_1	E5H2b_2	E5H2b_3	E5H2c_2	E5H2c_3	E5H3a_2	E5H3a_3	E5H3b_1	E5H3b_2	E5H3b_3	E5H3c_2	E5H3c_3	E5H3d_1	E5H3d_2	E5H3d_3	E5L1a_2	E5L1a_3	E5L1b_2	E5L1b_3	E5N1_2	E5N1_3	E5N2_1	E5N2_2	E5N2_3	E5N3_1	E5N3_2	E5N3_3	E5OLa_1	E5OLa_2	E5OLa_3	E5OLb_1	E5OLb_2	E5OLb_3	E5OLc_2	E5OLc_3	E5OLd_2	E5OLd_3	E5OR_1	E5OR_2	E5OR_3	E5P10_2	E5P10_3	E5P1_1	E5P1_2	E5P1_3	E5P2_2	E5P2_3	E5P3_1	E5P3_2	E5P3_3	E5P4_1	E5P4_2	E5P4_3	E5P5_1	E5P5_2	E5P5_3	E5P6_2	E5P6_3	E5P7_1	E5P7_2	E5P7_3	E5P8_2	E5P8_3	E5P9_1	E5P9_2	E5P9_3	E5X1_1	E5X1_2	E5X1_3	E5X2_2	E5X2_3	E5X3_1	E5X3_2	E5X3_3	E5X4_2	E5X4_3	E5X6_2	E5X6_3	E5X7_1	E5X7_2	E5X7_3	E5X8_1	E5X8_2	E5X8_3	E5X9_1	E5X9_2	E5X9_3
329	357	241	302	332	445	440	454	318	347	359	206	357	285	247	605	541	654	839	609	340	460	331	272	390	250	404	169	274	201	81	59	580	114	207	746	391	613	618	186	125	5828	4246	331	138	397	216	313	242	275	0	406	791	977	1341	480	471	568	1094	294	576	464	401	317	230	526	2083	831	853	601	707	632	204	554	338	228	246	358	329	1129	314	404	588	1772	271	353	708	90	85	743	362	480	383	143	189
860	647	864	794	1178	1964	1903	1544	1704	1323	1569	935	1276	1068	1282	2195	2313	1953	2475	2189	1323	1932	1363	1323	1583	1102	1826	470	1224	820	368	239	2260	499	582	3197	1282	1419	1555	632	565	14662	9986	1304	614	1178	777	1343	900	1277	0	1668	2551	2547	3606	1848	1207	1415	2826	1247	1656	2040	1161	1482	1040	1823	4685	2145	2314	1236	1815	2263	976	1710	1555	959	1172	1087	1443	1687	994	963	1746	3417	939	1274	2563	302	407	2270	1139	1786	1474	596	955
2333	1648	2486	1928	3935	5570	5536	4755	4565	4060	5028	3066	4377	3384	3773	6192	5623	3921	6308	6447	3594	5672	3543	4312	4942	3345	5506	1348	4362	3129	1370	750	8029	1883	1841	10775	3905	4815	3776	2005	2247	20964	13127	3763	2781	3309	2620	3599	2854	3994	0	5155	6480	5949	9525	5852	3502	3678	7478	3511	3564	5546	3481	4771	3584	5093	11676	4570	5997	3154	4358	6539	2014	3307	4274	3184	3183	3555	4429	2674	2165	1648	5112	6791	3097	4086	8450	812	1397	6875	3549	5414	4676	2376	3172
5050	4009	4810	4016	10942	15347	13590	12846	13021	10406	13400	8426	12489	8570	9844	14793	12619	8796	12235	13633	9061	13313	9532	10546	12330	8615	12999	2942	9041	6581	2449	1822	17723	3854	3859	23046	8121	10269	6471	4298	4745	22528	14657	8277	6307	7393	5897	7944	6342	9476	6332	10750	12837	11041	15848	11693	7213	7398	15618	7588	6910	11894	8723	10594	8157	10684	21981	8302	10950	6121	8788	12517	5086	7090	10698	8583	8215	8658	9546	3951	3390	2597	8566	10638	7013	8592	17547	1831	3579	13818	6917	9615	10032	5043	7015
6207	5376	6161	5169	16429	23734	20842	19208	19594	15403	20200	12289	19141	13264	16095	21064	18634	12838	16175	18416	15056	21005	15293	14468	16996	12703	18726	3824	11673	8104	2696	2395	23527	4622	4949	27031	10047	12997	8094	5455	5991	18432	11795	10981	7839	9523	7401	11142	8295	13057	7289	14077	16653	13531	18926	14368	9186	8576	21950	9733	9063	16495	11943	13557	10868	14147	27652	10137	13809	7973	10606	15525	6656	9455	15120	12487	11565	11504	12956	4824	4085	3012	9186	11040	9120	11162	24658	2528	4619	18288	8547	12245	13397	6036	8904
5325	4515	5394	4423	14677	21260	18113	16940	17869	14143	17745	10868	16781	13588	16074	18914	15884	11416	13843	15606	14963	22456	15270	12354	15799	12268	16452	3023	9023	6141	2108	1843	19412	3522	3989	25219	7659	10002	6441	4100	5049	12227	7581	8793	6212	7939	6507	9555	7208	11007	5053	12140	13061	10642	14297	12181	7792	7240	20017	8435	7889	13393	10382	11263	9128	11739	23947	8596	11043	6911	8653	12198	5882	8000	13832	11101	10817	8988	10527	3677	3095	2456	6486	8559	7276	8929	20372	2180	3904	15081	6894	9834	10718	4803	7180
3056	2517	3208	2896	8971	12607	11813	10115	10399	8819	10210	6910	10570	10754	12617	11394	9640	6317	8151	9020	11412	16329	11037	6763	9134	6806	9788	1308	3841	3194	1221	928	8465	1503	1686	11793	3568	5145	2874	1946	2423	5490	3744	4541	2687	4105	3683	5181	4403	6295	0	6319	6799	5105	6902	5757	3763	3690	10057	4545	4617	6911	5940	6136	4825	6694	12687	4967	5737	4229	5344	6435	3584	4153	8820	7457	7118	4812	5628	2161	1757	1528	2751	4484	3900	4442	9700	1368	2455	8571	3840	5542	5887	2427	3860
2116	1858	2383	2156	5939	7430	7389	6745	6346	6124	6788	4594	6945	8215	9919	7570	6105	3427	5926	5977	8955	13185	8558	3998	6172	4279	6650	865	2502	2352	1117	572	5184	1033	1081	6168	1753	2583	1421	943	1326	3225	2868	2820	1325	2679	2793	3699	3127	4157	0	3850	3996	3015	4614	3524	2176	2326	6523	2679	3047	3968	3617	4312	2968	4312	8537	3470	3962	2994	3666	4120	2213	2656	6072	5343	5069	3361	3803	1423	1103	1061	1823	3520	2598	3225	5578	1023	1923	5856	2788	3759	4025	1685	2806
2118	1723	1690	1536	3422	4773	4863	3724	4205	3795	3883	2679	3827	4498	5198	4681	4191	1960	4022	3902	5087	8249	4852	2829	4112	2762	3925	993	2538	2302	1064	601	4975	1120	1003	3476	1102	1716	863	637	795	1485	1223	2314	1032	2053	2295	2716	2039	3214	0	2347	2773	2689	3424	2358	1483	1636	4053	2015	2191	3150	2769	3058	2197	3460	5309	2172	2697	1996	2921	2684	1615	1787	3624	3031	3089	2797	3124	834	850	828	1534	2992	1943	2820	4084	843	1879	5213	2098	2962	3290	1451	2471
1177	1000	1229	1010	1219	1615	1699	1346	1656	1503	1414	1029	1357	1623	1704	1524	1649	478	1649	1698	1672	2906	1758	1207	1780	1159	1634	800	2078	1691	842	449	4153	889	852	1500	412	651	346	213	334	494	439	1216	521	1158	1461	1793	1106	1488	0	1229	1411	1598	2241	1275	751	961	2079	915	1031	1402	1294	1460	955	1594	2591	1014	1334	952	1475	1613	666	967	1539	992	1111	2009	2163	512	559	427	1128	1797	1342	1786	2647	553	1151	2788	1302	1664	2567	924	1810
