E6B1_1	E6B1_2	E6B1_3	E6B2_1	E6B2_2	E6B2_3	E6B3_1	E6B3_2	E6B3_3	E6B4_1	E6B4_2	E6B4_3	E6B5_1	E6B5_2	E6B5_3	E6B7a_2	E6B7a_3	E6B7b_1	E6B7b_2	E6B7b_3	E6B7c_1	E6B7c_2	E6B7c_3	E6B7d_1	E6B7d_2	E6B7d_3	E6H1a_1	E6H1a_2	E6H1a_3	E6H1b_1	E6H1b_2	E6H1b_3	E6H2a_1	E6H2a_2	E6H2a_3	E6H2b_1	E6H2b_2	E6H2b_3	E6H3a_1	E6H3a_2	E6H3a_3	E6H3b_1	E6H3b_2	E6H3b_3	E6L1a_1	E6L1a_2	E6L1a_3	E6L2_1	E6L2_2	E6L2_3	E6N1_1	E6N1_2	E6N1_3	E6N2_1	E6N2_2	E6N2_3	E6OL_1	E6OL_2	E6OL_3	E6P10_1	E6P10_2	E6P10_3	E6P1_1	E6P1_2	E6P1_3	E6P2_1	E6P2_2	E6P2_3	E6P3_1	E6P3_2	E6P3_3	E6P4_1	E6P4_2	E6P4_3	E6P5_1	E6P5_2	E6P5_3	E6P6_1	E6P6_2	E6P6_3	E6P7_1	E6P7_2	E6P7_3	E6P8_1	E6P8_2	E6P8_3	E6P9_3
198	117	327	2243	1427	950	997	331	447	3872	2417	2018	583	602	492	173	104	6211	3840	4881	1723	1196	1448	1995	1681	2325	603	324	485	1205	705	770	779	717	1312	821	741	1462	621	816	1071	675	547	531	471	129	254	6329	2570	6833	0	0	0	0	0	0	882	773	820	752	427	652	721	815	672	448	224	399	971	412	418	3251	1197	1136	1538	1059	679	365	226	190	3376	2160	1666	1955	991	700	547
662	443	793	5706	3541	2593	2730	993	1371	9477	6024	5448	1491	1659	1421	437	449	15002	9049	11954	4426	3214	3435	4975	3889	6015	1718	896	1247	2903	1754	2345	2313	2264	3508	2149	1891	3428	1998	2095	2719	2037	1601	1469	972	500	624	13542	6046	12910	0	0	0	0	48	0	2337	1724	2107	1885	1005	2018	1926	2110	2098	1222	669	1076	2231	1174	1245	8233	3510	3426	4024	2637	1882	995	593	595	7844	5279	4625	4717	2733	2008	1631
602	193	355	3001	1424	1406	1136	395	700	4849	2889	2154	644	699	706	290	280	8091	4279	5547	2067	1321	1504	1311	1050	1606	391	245	269	793	474	505	593	548	819	539	511	784	581	504	680	639	460	355	297	133	274	3107	1245	2813	72	53	44	48	57	0	1115	851	1048	612	255	448	598	587	642	354	236	272	631	269	273	3478	1388	1232	1163	674	529	348	153	147	2167	1342	1196	1267	698	527	363
914	256	426	3508	1546	1839	1490	468	836	6062	3720	2385	860	843	863	266	305	9682	4741	6114	2593	1373	1739	1768	1435	2109	537	233	310	1121	661	648	881	766	1196	734	742	1003	1033	702	902	881	629	452	393	182	156	2666	1190	2598	186	66	105	201	130	168	1319	1066	1265	754	337	506	890	784	1031	598	328	381	947	377	338	4357	1726	1643	1660	805	797	591	227	142	3501	2023	2258	1945	1004	733	505
266	100	126	950	400	455	506	230	270	1915	1093	626	271	259	282	184	184	2840	1280	1823	938	426	477	2141	1670	2699	788	330	403	1519	800	939	1364	1017	1596	1152	921	1239	1426	1063	1297	1092	749	684	418	266	260	2529	1327	2332	513	236	279	523	266	387	417	281	436	921	562	542	1173	1181	1624	1111	652	606	1265	530	548	2973	1086	883	2892	1302	1351	968	309	252	4440	2913	3431	2726	1435	1027	737
301	152	164	1011	461	462	724	397	318	2372	1338	847	391	362	360	414	337	3069	1445	1941	1150	607	566	662	424	783	225	96	101	416	163	236	298	262	316	282	219	413	498	375	523	913	626	528	316	151	157	1161	578	1073	1285	611	775	1322	659	997	461	371	513	383	173	214	733	688	682	1155	670	798	816	382	314	1532	492	426	2373	1118	1111	511	192	144	2479	1601	1577	964	364	311	536
481	278	227	1554	753	718	1206	613	545	3859	2332	1446	689	639	624	733	578	4931	2468	3228	1818	978	1045	441	263	597	142	88	75	238	112	113	222	156	210	210	141	379	379	342	461	1316	908	888	394	159	191	1143	522	1131	1854	1094	1115	1985	1060	1593	701	581	862	361	149	222	821	845	817	1802	1049	1205	1028	520	390	1788	557	538	3552	1711	1653	536	294	164	2931	1863	1793	606	280	222	707
622	304	285	1994	890	870	1396	699	632	4803	2606	1668	827	789	758	804	697	5590	2813	3971	2123	1139	1286	402	272	605	74	86	72	206	137	127	264	180	249	242	145	416	400	381	473	1515	1115	1101	432	186	212	1252	600	1230	1957	1173	1086	2019	1128	1593	823	706	1127	473	185	268	991	974	946	2173	1303	1410	1212	604	459	2036	639	594	4003	2118	2009	603	328	185	3425	2199	1971	593	324	258	787
378	211	181	1312	635	638	880	524	468	3564	1822	1179	557	647	514	593	553	4117	1957	2813	1476	786	920	264	219	394	115	79	0	149	81	89	161	133	207	178	137	275	311	297	297	1080	765	869	320	109	139	928	382	849	1208	733	644	1367	854	999	559	477	814	340	154	193	824	696	647	1670	1043	919	759	445	331	1285	440	411	2727	1653	1348	389	188	140	2461	1493	1301	450	215	179	554
102	59	52	293	110	134	170	105	103	596	333	85	111	116	100	108	80	721	406	532	272	130	183	79	60	130	0	0	0	54	0	0	0	0	0	59	0	51	66	0	84	234	147	166	73	0	51	225	79	150	221	135	154	230	145	214	94	92	145	93	0	0	141	128	145	303	180	203	200	74	67	288	88	106	536	280	280	93	51	44	480	287	251	113	60	79	105
