E6B1_1	E6B1_2	E6B1_3	E6B2_1	E6B2_2	E6B2_3	E6B3_1	E6B3_2	E6B3_3	E6B4_1	E6B4_2	E6B4_3	E6B5_1	E6B5_2	E6B5_3	E6B7a_1	E6B7a_2	E6B7a_3	E6B7b_1	E6B7b_2	E6B7b_3	E6B7c_1	E6B7c_2	E6B7c_3	E6B7d_1	E6B7d_2	E6B7d_3	E6H1a_1	E6H1a_2	E6H1a_3	E6H1b_1	E6H1b_2	E6H1b_3	E6H2a_1	E6H2a_2	E6H2a_3	E6H2b_1	E6H2b_2	E6H2b_3	E6H3a_1	E6H3a_2	E6H3a_3	E6H3b_1	E6H3b_2	E6H3b_3	E6H3c_1	E6H3c_2	E6H3c_3	E6L1a_1	E6L1a_2	E6L1a_3	E6L2_1	E6L2_2	E6L2_3	E6N1_1	E6N1_2	E6N1_3	E6N2_1	E6N2_2	E6N2_3	E6OL_1	E6OL_2	E6OL_3	E6P10_1	E6P10_2	E6P10_3	E6P1_1	E6P1_2	E6P1_3	E6P2_1	E6P2_2	E6P2_3	E6P3_1	E6P3_2	E6P3_3	E6P4_1	E6P4_2	E6P4_3	E6P5_1	E6P5_2	E6P5_3	E6P6_1	E6P6_2	E6P6_3	E6P7_1	E6P7_2	E6P7_3	E6P8_1	E6P8_2	E6P8_3	E6P9_1	E6P9_2	E6P9_3
456	222	247	551	371	338	855	437	400	1904	831	928	605	1149	1292	1249	897	1091	1541	1127	1531	882	879	1015	537	809	952	700	496	316	872	436	711	1245	1130	1792	992	770	1346	1289	860	966	1414	873	1161	636	358	272	348	592	328	1157	648	817	634	783	475	1117	727	725	656	470	926	473	564	338	1048	1037	1593	732	899	929	450	622	562	1086	911	825	1418	886	755	203	114	186	1307	1109	1211	207	211	0	632	570	1047
1338	543	628	1520	948	1083	2226	1286	1315	5053	2505	2701	1942	3280	4239	3754	1867	3037	4578	3384	4290	2902	2539	2951	1690	2358	2488	1830	1446	915	2370	1477	1703	3630	3551	5106	3269	2328	3643	3854	2364	3052	4194	2624	3395	1719	1064	770	1023	1647	1000	3212	2168	2423	2143	2564	1645	3302	2109	2932	2421	1442	2803	1549	1503	948	3175	2894	4360	2381	2866	2801	1465	1845	1602	3318	2769	2658	3717	2541	2564	538	392	508	3798	3046	3194	561	593	546	2033	1991	2835
3191	1633	1783	3972	2439	2982	5708	3328	3504	12912	6983	7664	5022	8965	10648	6519	3895	6258	13267	9561	11900	7904	6837	7828	4348	6189	6032	5029	3613	2429	6400	4163	4584	10332	8820	13342	9078	6911	9799	9811	6773	8323	11219	7372	9490	4475	2963	2145	2773	3961	2561	8404	6242	6821	5908	6725	3868	9000	6022	6975	6360	4029	6935	4127	4345	2806	8258	7729	10615	6014	7408	7114	3552	4702	3804	9043	8233	7006	9475	7131	6788	1074	1036	969	9617	8026	8578	1448	1385	1411	5249	5151	7237
4184	2157	2441	5519	3712	4438	8142	4831	4821	18404	10029	10836	6736	11967	14168	7221	4827	8019	18556	13826	16712	10968	9261	10394	6064	8627	8428	7031	4839	3523	8912	5712	6052	14897	12673	18255	12734	9460	13042	13844	9269	11778	16085	10504	12892	5788	3914	2898	3672	5176	3515	12058	8945	9433	7922	8746	4771	12062	8131	8648	8421	5609	8943	5621	5920	3950	11478	10710	14421	8048	9596	9641	5091	6505	5281	12471	11351	9683	13132	9967	8904	1666	1757	1649	13521	11422	12171	2321	2314	2335	7043	6835	9535
3911	2218	2366	5161	3618	4248	7981	4737	4561	16855	9320	9939	6025	10414	13178	6167	4118	6181	16545	12471	15380	9890	8159	9139	5423	8188	7895	6790	4259	3514	8167	5248	5447	14251	11821	16665	11398	8639	11265	12892	8517	10899	14710	9581	11931	4942	3403	2707	3235	4461	3442	11036	8301	8657	6890	7710	3901	10256	7194	7383	7466	5103	7825	5186	5233	3648	10270	9928	12522	6872	8288	8683	4931	6374	4970	11349	10044	8802	12080	9499	8132	1959	2031	1912	12677	10601	11655	2868	2772	2919	6143	6214	8337
2797	1318	1715	3367	2534	2873	5431	3321	3047	10638	5712	6097	3500	5778	8050	3389	2088	3608	9958	7668	9018	6665	5086	5104	3532	5428	5529	4373	2863	2416	5277	3454	3315	8673	7177	10165	6803	5102	6901	7594	4911	6281	8004	5125	6336	2906	1706	1414	1890	2683	2010	6504	4639	5226	3816	3730	1982	5323	3753	3577	4179	3325	4396	3218	2900	2398	6359	5874	8059	3999	4530	4980	2923	3716	3012	7037	5852	5230	7122	5325	4401	1920	1823	1788	8065	6391	6476	2857	2472	2696	3631	3335	5309
2460	1128	1489	2925	2179	2429	4713	3008	2605	9160	4936	5239	2847	4568	6959	2693	1627	2771	8597	6316	7834	5929	4339	4156	3205	4671	5268	3644	2474	2011	4490	2961	2681	7347	6084	8762	5758	4272	5971	6401	4033	5468	6919	4280	5186	2376	1352	1210	1650	2236	1792	5740	3917	4435	3245	2958	1577	4233	3050	2812	3176	2893	3488	2675	2254	2158	5506	5125	6820	3544	3689	4149	2572	3028	2571	6183	4791	4521	6178	4430	3444	1755	1480	1675	6758	5638	5455	2765	2324	2461	2869	2691	4506
2118	933	1255	2666	1924	2199	4153	2626	2314	8461	4755	5074	2636	4054	6535	2784	1668	2449	8118	5701	7462	5386	3936	3883	2793	4108	4822	2871	1987	1659	3804	2584	2391	6648	5235	8258	5207	3724	5837	5790	3614	5277	6490	4208	5300	2363	1397	1215	1677	2126	1796	5443	3658	4046	3436	3335	1710	4876	3385	3146	2964	2576	3205	2306	2025	1879	4993	4842	6347	3266	3474	4137	2317	2548	2419	5874	4348	4280	6115	4042	3337	1478	953	1340	6458	5342	5179	2234	1887	1914	2593	2475	4034
1428	588	842	1753	1267	1494	2732	2542	1498	5742	3308	3439	1959	2817	4205	2082	1192	1775	6081	4047	5157	3350	2491	2686	1831	2570	3211	1724	1026	1057	2300	1445	1685	4182	3239	5042	3408	2557	3636	3735	2616	3388	4945	3233	4178	1807	1060	918	1198	1517	1306	4007	2711	2854	2971	2676	1563	4158	2745	2833	1862	1836	1984	1487	1361	1136	3283	3379	4519	2504	2600	2849	1658	1739	1657	3856	3108	2928	4107	2657	2192	895	523	858	4280	3591	3934	1317	1043	1181	1611	1557	2481
584	183	398	717	519	550	1409	485	715	2466	1421	1739	785	1229	2009	1104	526	806	2566	1632	2147	1351	1119	1207	525	848	961	546	306	307	701	486	521	1119	823	1678	1106	713	1411	1185	841	1344	2144	1525	1903	850	575	485	523	653	536	1770	1194	1078	1761	1505	887	2214	1607	1604	706	787	892	388	434	353	1515	1073	1641	1091	1297	1436	517	543	753	1796	1067	1042	1900	1098	912	421	227	360	1994	1616	1439	694	506	606	641	495	0
