E7A1a_1	E7A1a_2	E7A1a_3	E7A1b_1	E7A1b_2	E7A1b_3	E7B1b_3	E7B1a_1	E7B1a_2	E7B1a_3	E7B1b_1	E7B1c_1	E7B1c_2	E7B1c_3	E7B1d_1	E7B1d_2	E7B1d_3	E7B2a_1	E7B2a_2	E7B2a_3	E7B2b_1	E7B2b_2	E7B2b_3	E7B2c_2	E7B2c_3	E7B2d_2	E7B2d_3	E7B3b_2	E7B3b_3	E7B3j_2	E7B3j_3	E7B3a_1	E7B3a_2	E7B3a_3	E7B3b_1	E7B3c_1	E7B3c_2	E7B3c_3	E7B3d_1	E7B3d_2	E7B3d_3	E7B3e_1	E7B3e_2	E7B3e_3	E7B3f_1	E7B3f_2	E7B3f_3	E7B3g_1	E7B3g_2	E7B3g_3	E7B3h_1	E7B3h_2	E7B3h_3	E7B3i_1	E7B3i_2	E7B3i_3	E7B3j_1	E7N1_1	E7N1_2	E7N1_3	E7P1a_2	E7P1a_3	E7P1b_1	E7P1b_2	E7P1b_3	E7P1c_2	E7P1f_1	E7P1f_2	E7P2a_1	E7P2a_2	E7P2a_3	E7P2b_1	E7P2b_2	E7P2b_3	E7P2c_2	E7P2c_3	E7P2d_1	E7P2d_2	E7P2d_3	E7P2e_1	E7P2e_2	E7P2e_3	E7P2f_1	E7P2f_3	E7P2g_1	E7P2g_2	E7P2g_3	E7P2h_1	E7X1_1	E7X1_2	E7X1_3
1098	0	283	2281	88	496	369	666	292	266	664	1035	534	411	745	204	437	354	1606	362	2136	1363	367	569	672	527	488	190	512	307	179	481	295	170	382	305	362	252	521	441	185	561	265	343	4504	272	364	601	94	464	399	215	308	121	273	268	355	177	241	81	286	514	105	203	288	75	121	186	636	613	184	1343	564	705	165	523	1663	1527	290	84	278	874	1158	924	431	222	1670	441	1696	296	2230
1745	110	745	2853	287	1544	1306	1958	961	616	1701	1945	1310	1308	1691	735	1134	1116	2375	786	3119	1914	980	995	1209	1972	1878	660	1050	410	384	1008	820	927	1164	1056	1432	793	1257	1551	689	1953	1061	1006	5924	358	1187	1742	261	1436	1247	582	1233	450	915	1067	828	730	1254	299	1187	1321	1045	616	768	202	521	801	1064	1197	551	2618	1265	2799	892	1169	3054	2620	782	197	817	2462	1874	1563	691	482	3282	1064	2467	484	3677
3287	585	1466	3557	1292	4443	4956	5774	3863	2405	5712	5979	5215	4892	5022	2271	3324	3105	3767	2371	2312	5357	3965	1724	2247	7579	6814	1952	2645	794	861	3944	3227	2873	2857	3674	3691	2378	3669	4261	2783	6640	5200	4321	2560	1197	5654	3938	790	3789	4618	1985	3147	1761	3244	3748	1166	2047	3495	1024	3660	3906	2960	1935	2373	685	1430	2248	2779	2434	1772	4218	2231	3107	1573	1503	4245	2959	2749	513	2051	5598	1576	1052	714	708	3318	963	3158	697	4589
8273	1416	4241	9657	4939	14774	15150	14833	10569	6678	16465	15154	14721	14057	13395	8265	11512	9678	11041	7838	5742	13825	11017	6381	7303	19513	17004	6395	8940	2624	2771	13035	10056	10202	9764	11946	12016	9127	12850	14829	10228	17279	14904	13239	4607	3738	15845	13219	2896	12964	14682	6864	11227	5747	10807	13071	3023	7393	10346	3221	10919	12521	9785	5631	7306	2395	4787	7425	8041	7531	5652	10157	5768	7369	4493	3712	12091	7865	8717	1885	6580	17253	2619	1706	1808	1251	6383	2531	7916	1446	10426
13372	2309	6793	16803	8748	25911	25326	23326	16765	10664	27644	25417	24243	23067	22690	14630	20282	16372	18965	13640	9640	22033	18278	11363	12878	29000	26662	11445	15510	4651	4942	24760	18576	18682	16917	21047	20979	16375	22196	26219	18252	28468	24853	22311	8408	6260	25966	23718	5277	23463	26347	12578	20111	11067	19628	23164	5256	14168	20309	6798	21208	24191	19786	11804	14780	4915	9900	15064	14431	13146	9820	15176	9135	11399	6957	5786	21455	13610	15248	3365	10995	26775	3742	2325	2826	1943	9056	4167	12590	2257	15920
11285	1843	5584	15036	7838	23155	22184	19258	13740	8860	24682	22149	21455	20226	20204	13809	19226	15111	17725	12348	9055	19264	15520	11261	12494	26834	23026	11013	14567	4203	4717	25402	19311	19141	15746	19350	19824	15177	21088	25126	16980	25064	21478	19252	7791	5559	22518	22721	5075	22373	25597	12235	19874	11383	19745	23643	4765	15230	22163	7260	22662	26140	22095	13249	16577	5269	11321	17008	14320	12476	9693	13156	8103	9650	5802	4604	20281	12728	13568	3000	10228	26384	3265	2021	2412	1576	7729	3456	11312	2027	13852
5152	673	2104	7282	3628	10405	8408	6243	4264	2686	9124	7413	7497	6749	8082	5751	7876	6855	8523	5481	3616	6684	5023	6122	6802	8448	7055	5772	6869	2170	2412	14864	10684	10621	7568	8875	9576	7295	9109	11718	7650	8770	7170	6575	3836	1767	7293	11679	2508	12217	13684	6500	11164	6643	11823	13543	2283	9646	14679	4618	14245	16563	15232	9103	11136	3151	7009	10847	9127	7273	5906	6180	3926	4099	2559	2032	11122	6670	7011	1362	5028	14079	1888	1149	1062	704	3836	1760	5475	912	6567
2675	320	868	4617	1919	5725	3452	1628	985	600	4021	2375	2456	2135	4262	2948	3883	3479	4674	2962	2196	2402	1498	3986	4388	2172	1830	3938	4205	1202	1481	10734	7317	7300	4805	5610	5930	4244	4936	6549	4189	3215	2373	2334	2535	489	2294	7248	1596	8259	8916	4417	7793	4867	8508	9668	1318	7310	11170	3675	11128	12654	12339	7800	9133	2719	5729	8713	6847	5215	4088	2771	1847	1969	1318	1088	6705	4064	4059	838	2919	8418	942	596	518	369	1790	973	2870	426	3510
1210	165	478	2657	1096	3291	2102	1006	674	320	2184	1472	1442	1136	2528	1628	2096	1956	2973	1565	1563	1432	800	2026	2179	1221	921	2013	2316	698	771	6292	3921	3841	2918	3434	3041	2420	3184	3474	2301	1896	1308	1364	1915	226	1328	3754	991	4399	5189	2299	4205	2591	4736	4827	647	4238	6350	2238	5962	7286	7257	4479	5372	1605	3109	5059	3679	2849	2118	1662	1038	1196	828	694	3913	2687	2143	473	1806	5437	399	349	221	183	1180	682	1667	279	2226
494	57	138	1091	349	865	525	354	185	86	615	401	318	352	624	374	680	536	790	378	893	578	256	698	578	257	218	629	618	121	211	1616	905	928	857	1081	725	620	896	920	612	544	356	294	1100	68	326	1259	297	1140	1420	561	1091	703	1219	1185	89	1071	1705	492	1482	1713	1901	1097	1349	393	719	1150	1132	986	623	657	371	453	326	199	1294	1078	734	108	611	1725	134	149	0	59	425	236	596	83	669
