E8B1_1	E8B1_2	E8B1_3	E8B2_1	E8B2_2	E8B2_3	E8B3_1	E8B3_2	E8B3_3	E8B4_1	E8B4_2	E8B4_3	E8B5_1	E8B5_2	E8B5_3	E8B6_1	E8B6_2	E8B6_3	E8B7_1	E8B7_2	E8B7_3	E8B8a_1	E8B8a_2	E8B8a_3	E8B8b_1	E8B8b_2	E8B8b_3	E8B8c_1	E8B8c_2	E8B8c_3	E8H1_1	E8H1_2	E8H1_3	E8N1_1	E8N1_2	E8N1_3	E8N2_1	E8N2_2	E8N2_3	E8N3_1	E8N3_2	E8N3_3	E8P1_1	E8P1_2	E8P1_3	E8P2_1	E8P2_2	E8P2_3	E8P3_1	E8P3_2	E8P3_3	E8P4_1	E8P4_2	E8P4_3	E8P5_1	E8P5_2	E8P5_3	E8P6_1	E8P6_2	E8P6_3	E8P7_1	E8P7_2	E8P7_3	E8P8_1	E8P8_2	E8P8_3	E8P9_1	E8P9_2	E8P9_3	E8X1_1	E8X1_2	E8X1_3
288	186	86	281	238	81	290	323	178	158	67	54	643	389	159	397	273	314	572	478	370	249	201	261	279	450	290	91	73	43	179	156	168	151	118	195	254	169	405	749	341	827	176	166	320	310	220	240	216	203	213	163	95	190	171	115	128	0	150	271	565	371	302	882	685	651	158	317	42	132	96	157
903	621	240	577	591	190	947	616	413	399	195	190	899	1083	432	1156	997	573	1953	1512	1102	633	468	451	618	903	709	166	142	97	491	389	333	346	235	367	506	352	345	2187	912	2452	496	590	859	724	684	657	603	595	592	350	161	369	363	208	235	194	436	583	1660	1044	999	2757	1899	1858	489	613	169	305	218	402
2310	1558	800	1452	1531	567	2214	1484	1208	1315	541	586	1748	2267	871	3043	2618	1770	4474	3216	2193	1406	990	1150	1290	1933	1769	541	321	276	1476	1299	1039	818	627	785	802	857	590	5145	1780	5136	1773	1717	2235	2158	1978	1897	1894	2137	1815	905	481	1000	699	510	576	676	1166	879	3974	2494	2603	6751	4511	4856	1650	1225	503	742	566	882
5215	3649	1928	4003	3492	1435	4905	3483	2507	3170	1430	1538	3757	4026	1528	7569	6226	4270	9202	7932	4908	3288	2324	2854	3623	4381	4390	1731	992	694	3995	3314	2848	1924	1713	1263	1768	1707	1073	8443	3271	8620	4822	4670	6202	5370	5821	4984	4752	5520	4919	2229	1466	2412	1662	1234	1425	1741	2499	1674	9204	6961	6580	13629	10969	10066	3791	3379	1315	2060	1672	1613
7676	6090	3437	6075	6864	2572	8181	6305	4049	5718	2321	2707	5782	5936	2184	13791	11646	7880	12909	10531	6568	6983	4783	5279	6674	7071	8513	3296	1809	1497	7908	6756	5049	3670	3311	2034	2633	2369	1482	10949	3831	10966	9446	10222	11407	11311	12225	9989	10289	13167	10942	4565	2828	4624	2777	1756	2324	2600	4073	2704	16415	13484	12271	18578	18865	19240	6992	5174	2114	3674	2711	2970
9841	7929	4629	9058	9742	3745	11128	8903	5541	7396	3175	3533	8126	7275	3557	16806	14707	9992	13920	10944	6373	11592	8024	8860	10308	10272	13045	5998	3543	2581	12213	10380	7669	6001	7061	3401	4697	3983	2913	11976	3778	12708	13476	14355	16175	15473	17784	14609	14109	18563	15776	7939	5719	7493	4652	2876	4462	4358	7092	4202	21125	18356	16627	19473	22807	23991	8848	5991	2685	6615	4264	4810
9794	8015	4898	9524	10273	4165	12137	9437	5860	7635	3665	3877	8709	7082	3967	15662	13877	8870	11941	8796	4854	15360	10250	11754	11386	11186	14557	8146	5053	3550	13720	11227	8303	9679	11283	5731	7102	5639	3853	11395	2910	13298	13934	15226	16559	15863	19016	14666	13777	18135	15438	11291	8278	11226	7072	4607	6331	5554	9451	5214	21102	18355	16782	16523	19978	22980	8655	5503	2369	8736	5041	6414
8578	7195	4549	8717	9324	3881	11072	8210	5484	6833	3330	3242	7651	6073	3719	10619	9669	6246	8431	5003	2893	17525	11589	13317	10646	10461	14506	9151	5895	4305	13203	10028	7956	12430	14252	8024	8899	6814	4729	10585	1864	11666	11061	12859	14408	12839	15401	12116	11259	13584	12079	14213	9733	13312	8607	6124	7496	6355	10446	5871	16466	14740	13332	11164	14764	17217	6238	3506	1459	9327	5307	6979
7465	5995	3598	7953	8039	3448	9346	6853	5035	5609	2950	2754	6434	4579	3384	7355	6471	4096	4922	2828	1880	16723	11377	13278	9790	8905	12791	8886	5851	4315	11918	8974	7335	12472	14707	8172	9082	6654	4584	7865	1484	9467	9327	10642	12381	10479	12430	10164	9062	10948	10252	14181	9753	13088	9036	6246	7456	6324	10100	5685	13212	11691	10574	7929	10520	12702	4330	2129	989	8642	4630	6651
4430	3522	2371	5444	5026	2194	6256	4481	3310	3538	1787	1818	4222	2652	2207	4705	4532	2713	2816	1488	798	11766	8108	9975	6675	5909	8751	6324	4382	3302	7897	5791	4876	9139	10715	6044	6496	4655	3290	6061	825	5866	5698	6779	7945	7568	8236	6197	6146	6883	6204	10651	7176	9739	6796	4503	5252	4529	7157	3898	8580	7860	6892	4502	6714	8174	3141	1364	646	6162	2954	4763
2194	1557	1047	2135	2479	789	2765	1949	1598	1471	797	867	1745	1386	978	2032	1806	1011	1158	621	380	4757	3402	4255	3028	2545	3899	2623	1581	1391	3770	2603	2388	3630	4356	2555	2614	1871	1363	2684	305	2654	2369	2803	3562	3220	3465	2935	2551	2886	2904	4352	2589	3616	2893	1697	2173	1993	3024	1695	3898	3393	2985	1937	2839	3644	1195	543	275	2419	1079	1934
613	356	260	597	589	195	782	482	442	374	226	226	400	332	218	432	381	219	312	160	119	1250	982	1217	729	595	1004	675	371	364	1005	594	685	1068	1117	692	833	445	322	679	0	738	628	678	994	820	790	839	543	570	779	1133	629	1057	860	467	490	534	680	499	930	767	742	455	706	931	305	122	63	541	263	556
