E8B1_1	E8B1_2	E8B1_3	E8B2_1	E8B2_2	E8B2_3	E8B3_1	E8B3_2	E8B3_3	E8B4_1	E8B4_2	E8B4_3	E8B5_1	E8B5_2	E8B5_3	E8B6_1	E8B6_2	E8B6_3	E8B7_1	E8B7_2	E8B7_3	E8B8a_1	E8B8a_2	E8B8a_3	E8B8b_1	E8B8b_2	E8B8b_3	E8B8c_1	E8B8c_2	E8B8c_3	E8H1_1	E8H1_2	E8H1_3	E8N1_1	E8N1_2	E8N2_1	E8N2_2	E8N2_3	E8N3_1	E8N3_2	E8N3_3	E8P1_1	E8P1_2	E8P1_3	E8P2_1	E8P2_2	E8P2_3	E8P3_1	E8P3_2	E8P3_3	E8P4_1	E8P4_2	E8P4_3	E8P5_1	E8P5_2	E8P5_3	E8P6_1	E8P6_2	E8P6_3	E8P7_1	E8P7_2	E8P7_3	E8P8_1	E8P8_2	E8P8_3	E8P9_1	E8P9_2	E8P9_3	E8X1_1	E8X1_2	E8X1_3
161	112	95	227	138	155	351	319	231	139	96	102	110	126	107	209	201	165	59	96	35	426	322	461	326	361	319	223	241	200	287	72	240	106	218	100	124	65	96	168	92	392	395	313	468	369	391	371	378	406	380	340	308	123	149	144	211	292	176	692	530	457	392	434	421	233	150	111	144	223	205
386	274	266	439	304	291	863	775	529	315	252	214	285	361	281	541	556	429	162	241	118	1068	889	1033	816	950	735	530	574	509	792	209	685	288	437	243	254	125	263	320	145	1000	1012	835	1162	930	995	963	976	1014	935	820	743	333	371	357	597	694	418	1581	1370	1119	1031	1088	1255	569	325	318	326	504	445
823	559	503	838	651	538	1795	1615	1051	635	482	415	556	683	556	1189	1165	900	330	500	190	2151	1690	2082	1753	1952	1562	1239	1193	1053	1732	446	1330	528	861	438	421	193	498	579	269	2005	2098	1677	2475	1972	2039	1904	1999	1992	1958	1739	1580	758	753	758	1338	1433	844	3050	2886	2300	2228	2197	2572	1032	672	577	710	1104	861
1551	1159	1031	1566	1242	1023	3323	3069	2109	1192	1052	885	1111	1265	1101	2162	2504	1761	684	1037	404	4551	3479	4137	3766	4171	3315	2648	2336	1947	3578	903	2522	1068	1715	830	851	362	871	1108	500	4127	4386	3233	5024	4295	4123	3893	3902	3840	4023	3780	3173	1490	1626	1620	2475	3015	1728	5664	5557	4504	4039	4724	5129	1960	1242	1163	1503	2285	1622
2278	1849	1541	2384	1959	1559	4820	4749	3265	1828	1614	1346	1714	2049	1681	3607	4495	3022	1166	1652	669	7025	5261	6084	6058	6667	5301	4072	3471	2858	5754	1512	3995	1623	2602	1179	1300	452	1119	1567	708	6228	6899	4714	7502	6492	6202	5966	5851	5907	6331	5969	4690	2252	2523	2426	3659	4616	2592	8555	8412	7019	5878	7076	7539	2774	1662	1782	2345	3542	2529
2662	2095	1778	2720	2167	1777	5474	5457	3632	2054	1838	1474	1975	2338	1946	4616	5670	3840	1447	2001	793	8122	6081	6930	7175	7795	6406	4645	3904	3169	6861	1855	4721	1896	3102	1325	1484	490	1185	1704	766	7085	7642	5400	8373	7275	7303	6683	6586	6517	7207	6941	5407	2535	2873	2727	4126	5305	3018	9505	9465	8011	6556	7933	8431	2995	1721	1917	2668	4108	2877
2279	1701	1499	2303	1850	1582	4733	4529	3015	1771	1494	1222	1676	1972	1656	4420	5418	3773	1351	1825	732	6763	5299	5995	6388	7149	5895	3798	3250	2747	6163	1733	4391	1601	2809	1093	1190	402	940	1358	659	6109	6538	4565	7023	6108	6499	5565	5358	5369	6105	5840	4590	2213	2536	2359	3509	4571	2559	8043	7916	6961	5551	6481	7225	2424	1403	1639	2275	3484	2434
1337	982	784	1316	1059	917	2811	2488	1757	1051	845	664	949	1213	897	3001	3661	2581	885	1213	420	3717	3149	3532	4033	4516	3747	2188	1800	1628	3937	1074	2701	950	1557	620	627	228	519	643	352	3549	3714	2709	4126	3499	3907	3242	3121	3061	3566	3439	2566	1326	1489	1377	2008	2597	1412	4779	4405	4249	3257	3636	4437	1355	743	895	1328	1954	1334
484	342	344	494	356	296	974	861	604	403	282	254	350	371	301	1202	1469	978	332	448	160	1465	1052	1314	1503	1586	1427	784	632	542	1426	411	1083	337	512	207	223	81	206	270	151	1376	1380	1018	1573	1258	1495	1308	1167	1144	1331	1169	894	500	512	499	770	861	560	2123	1563	1669	1351	1352	1586	497	290	374	443	605	545
140	95	98	149	83	70	298	231	187	132	68	69	89	131	101	393	447	265	123	149	46	439	312	437	413	454	415	231	172	170	390	108	326	103	179	72	60	44	67	96	40	350	413	312	504	335	504	403	294	389	425	317	261	153	173	164	239	250	184	598	456	552	413	427	462	151	81	96	137	150	149
