E8B1_2	E8B1_3	E8B2_1	E8B2_2	E8B2_3	E8B3_1	E8B3_2	E8B3_3	E8B4_1	E8B4_2	E8B4_3	E8B5_1	E8B5_2	E8B5_3	E8B6_1	E8B6_2	E8B6_3	E8B7_1	E8B7_2	E8B7_3	E8B8a_1	E8B8a_2	E8B8a_3	E8B8b_1	E8B8b_2	E8B8b_3	E8B8c_1	E8B8c_2	E8B8c_3	E8H1_1	E8H1_2	E8H1_3	E8N1_1	E8N1_2	E8N1_3	E8N2_1	E8N2_2	E8N2_3	E8N3_1	E8N3_2	E8N3_3	E8P1_1	E8P1_2	E8P1_3	E8P2_2	E8P2_3	E8P4_1	E8P4_2	E8P4_3	E8P5_1	E8P5_2	E8P5_3	E8P6_1	E8P6_2	E8P6_3	E8P7_2	E8P7_3	E8P8_1	E8P8_2	E8P8_3	E8P9_1	E8P9_2	E8P9_3	E8X1_1	E8X1_2	E8X1_3
380	500	554	442	376	1817	1027	1148	817	531	489	657	566	751	2511	1413	1481	660	693	794	1556	1149	1562	1632	1309	1592	1315	788	918	2022	1670	2255	912	779	1120	497	390	327	489	383	759	2161	1333	1997	1871	2461	1296	668	716	1041	544	471	1543	536	816	1606	1698	698	556	367	959	441	730	881	885	982
652	783	874	599	715	3398	2085	2478	1400	815	865	741	532	858	4746	2463	3024	885	813	1014	2968	2485	3331	3039	2822	2952	2415	1726	1767	3703	3110	4154	1707	1652	2338	869	666	638	738	571	970	4690	2579	3605	3667	4550	1670	795	1225	1641	836	897	1870	683	1133	2925	3818	1142	894	620	1880	917	1317	1613	1919	1881
1268	1248	1399	1069	1074	6732	4075	4607	2408	1290	1446	798	521	892	8021	4520	5540	958	898	1192	5177	5029	6102	5719	4995	5700	3952	2941	3003	6857	5670	7269	3176	3137	4084	1534	1152	1149	967	756	1123	9121	5092	6826	7360	8317	1551	794	2256	2443	1434	1548	1731	839	1149	5560	6872	1969	1302	1051	3389	1565	2209	3102	3295	3709
2139	2274	2339	1746	1630	11817	7528	7892	3657	2115	2514	726	498	782	12291	8329	8656	825	808	1183	9400	8475	10463	10210	8658	9985	6819	5110	5171	12416	10586	13301	5588	5131	6637	2491	1810	1808	1075	838	1206	16063	9113	12043	12849	15483	1338	637	3813	3763	2252	2528	1205	792	1048	10242	11809	3051	2274	1758	5326	2730	3575	5757	5603	6454
3149	3347	3475	2683	2556	17488	11349	12245	5281	3314	3879	599	483	540	18859	12631	13337	566	614	982	13546	12497	14915	14757	13227	14703	9883	7648	7628	18084	15835	20172	7416	7037	8840	3250	2463	2345	1027	810	1207	22650	13068	17040	18468	22148	1177	469	5448	5230	3209	3691	842	643	891	15247	18036	4407	3380	2723	7931	4181	5279	8692	8445	9538
3730	3865	4090	3401	3168	19980	13484	14276	6449	4177	4689	842	857	839	22891	14751	16537	773	1465	1492	14425	13331	15881	16842	14956	16449	10988	8564	8811	21002	18372	23260	7300	7020	8847	3410	2855	2425	1232	870	1356	25460	14747	18432	21034	24220	1762	1120	6114	5927	3512	4116	1347	686	1174	17693	21258	5694	4093	3361	9863	4902	6272	9714	9752	11001
4463	5331	5720	4697	4593	19668	13393	13371	8852	5578	6196	4856	5810	5190	24244	15688	18165	5790	6477	5983	12143	11423	13540	16055	14031	15511	11024	8406	8227	19610	17323	21353	6267	5809	7840	4712	3766	3874	3590	3207	4387	23849	12211	16386	17944	21496	7282	6683	7058	7977	4152	4427	5476	2928	6340	18112	20815	9296	6890	6227	11936	6086	7732	9706	10099	11331
1883	1924	2458	2051	1909	11106	7071	8163	4509	2717	3341	90	702	64	14555	9148	10723	0	180	303	4449	4597	4905	9005	7831	9366	4741	3918	4171	11345	10060	13321	1035	1039	1500	358	341	346	112	0	148	12745	6132	8353	8544	10952	488	0	2655	2437	1521	1587	214	0	223	7701	10302	3060	1984	1886	6168	2512	3430	4563	4701	5623
909	1163	1333	1116	942	5778	3740	4723	2843	1621	1959	57	0	0	8339	5085	6238	0	0	74	2202	2043	2483	4817	4354	5519	2726	2114	2363	6103	5127	7637	293	245	493	172	127	116	82	0	49	6767	3004	4583	4149	6024	169	0	1181	1400	689	898	52	0	0	3758	5120	1617	1175	1211	3546	1402	1970	2684	2600	3173
423	601	658	580	436	3079	1868	2526	1540	798	1033	75	0	0	4380	2387	3100	105	0	0	1035	850	1103	2246	1994	2508	1231	867	1059	2901	2350	3583	55	0	146	0	0	0	0	0	0	3519	1398	2073	1841	2747	128	0	610	718	348	453	0	0	0	1773	2435	893	673	613	2002	733	1199	1358	1377	1633
97	180	176	157	81	1051	709	756	549	264	305	61	0	0	1323	622	968	94	0	0	351	195	313	712	519	760	393	270	363	803	667	1128	0	0	0	0	0	0	0	0	0	1127	499	662	627	763	62	0	240	242	79	115	0	0	0	534	841	320	201	186	728	290	459	409	426	538
