E9B10_1	E9B10_2	E9B10_3	E9B11_1	E9B11_2	E9B11_3	E9B12a_1	E9B12a_2	E9B12a_3	E9B12b_1	E9B12b_2	E9B12b_3	E9B12c_1	E9B12c_2	E9B12c_3	E9B13a_1	E9B13a_2	E9B13a_3	E9B13b_1	E9B13b_2	E9B13b_3	E9B13c_1	E9B13c_2	E9B13c_3	E9B14a_1	E9B14a_2	E9B14a_3	E9B14b_1	E9B14b_2	E9B14b_3	E9B14c_1	E9B14c_2	E9B14c_3	E9B1_1	E9B1_2	E9B1_3	E9B2_1	E9B2_2	E9B2_3	E9B3_1	E9B3_2	E9B3_3	E9B4_1	E9B4_2	E9B4_3	E9B5a_1	E9B5a_2	E9B5a_3	E9B5b_1	E9B5b_2	E9B5b_3	E9B6_1	E9B6_2	E9B6_3	E9B7_1	E9B7_2	E9B7_3	E9B8_1	E9B8_2	E9B8_3	E9B9_1	E9B9_2	E9B9_3	E9H1a_1	E9H1a_2	E9H1a_3	E9H1b_1	E9H1b_3	E9H1c_1	E9H1c_2	E9H1c_3	E9H2_1	E9H2_2	E9H2_3	E9L1_1	E9L1_2	E9L1_3	E9L2_1	E9L2_2	E9L2_3	E9L4_1	E9L4_2	E9L4_3	E9L5_1	E9L5_2	E9L5_3	E9L6_1	E9L6_2	E9L6_3	E9N2_1	E9N2_2	E9N2_3	E9N3_1	E9N3_2	E9N3_3	E9P10_1	E9P10_2	E9P10_3	E9P1_1	E9P1_2	E9P1_3	E9P2_1	E9P2_2	E9P2_3	E9P3_1	E9P3_2	E9P3_3	E9P4_1	E9P4_2	E9P4_3	E9P5_1	E9P5_2	E9P5_3	E9P6_1	E9P6_2	E9P6_3	E9P7_1	E9P7_2	E9P7_3	E9P8_1	E9P8_2	E9P8_3	E9P9_1	E9P9_2	E9P9_3	E9X1_1	E9X1_2	E9X1_3	E9X2_1	E9X2_2	E9X2_3	E9X3_1	E9X3_2	E9X3_3	E9X4_1	E9X4_2	E9X4_3	E9X5_1	E9X5_2	E9X5_3
464	430	430	404	409	359	723	687	501	921	678	550	760	710	506	323	327	224	568	484	753	428	339	413	608	944	822	348	793	822	506	999	773	408	268	192	289	295	180	202	508	245	584	805	471	609	546	478	577	811	496	522	107	185	358	300	215	554	721	446	422	605	352	394	370	402	232	423	615	430	648	834	1204	1282	542	295	180	581	485	235	261	349	176	353	344	69	186	437	407	149	159	126	136	247	117	321	389	64	258	403	249	373	378	255	160	366	236	305	325	127	202	306	242	236	244	149	618	394	202	483	120	187	184	348	191	426	623	509	448	497	462	228	109	0	317	374	376	487	472	469
1163	1024	907	985	975	776	1771	1852	1321	2405	1715	1281	1856	1737	1272	634	550	362	1354	1002	1765	861	611	852	1583	2398	1810	741	1951	1673	1221	2479	1826	757	523	374	728	562	371	442	1179	492	1781	2004	1161	1355	1342	1080	1348	1841	1149	1059	221	402	850	814	476	1525	1815	1182	1154	1347	809	895	938	878	739	879	1695	990	1388	1823	2951	2686	1235	780	391	1570	1290	586	578	758	363	717	719	142	468	1126	949	185	203	186	225	358	153	607	792	139	665	1085	576	850	953	664	417	840	533	597	610	248	409	595	526	418	395	302	1432	856	437	1047	438	434	530	834	456	1022	1481	990	1101	1200	900	323	108	72	881	956	736	1136	1119	1096
2597	2373	1957	2051	2113	1523	3882	4046	2676	5237	3800	2566	4150	3610	2495	1198	987	821	2542	2030	3043	1822	1213	1635	3491	4709	3993	1672	4298	3305	2874	5090	3662	1392	1061	647	1533	1161	858	1003	2607	1106	4173	4328	2296	2930	2908	2203	3000	3891	2636	2253	586	835	2004	1840	1154	3561	4068	2709	2721	3192	1819	2178	2188	2210	1813	2031	3895	2367	2950	3735	5541	5544	2918	1819	969	4015	3014	1458	1267	1640	826	1578	1498	292	1200	2669	2046	427	448	315	417	545	305	1466	1763	324	1391	2585	1254	1994	2203	1441	973	1972	1208	1423	1223	566	1039	1380	1048	951	924	681	3412	1930	1070	2301	1197	960	1323	1950	1017	2387	3612	2200	2503	3010	2293	587	194	169	2070	2308	1566	2292	2363	2301
5230	5173	4102	3674	4012	2665	8403	7914	5567	11348	9016	6083	8779	7613	5291	2010	1706	1415	4087	3150	5492	3277	2365	3034	6995	9074	8169	3644	8614	6883	6227	11098	8152	2279	1912	1115	2694	2337	1517	2272	5156	2367	8655	8824	4477	5861	5614	4571	5931	7877	5089	4507	1195	2096	4197	3738	2182	7648	9257	5704	5754	7700	4106	4486	4358	4443	3770	4267	8927	5668	6711	6850	9940	9563	6412	3552	2280	8183	6613	3148	2875	3142	1507	2960	2873	608	2536	5988	4431	1104	979	672	587	1115	676	3039	3589	794	2808	5163	2646	3781	4366	2892	1979	3949	2629	3171	2676	1958	2390	2848	2157	1962	1898	1320	6526	3858	2116	4954	2782	2190	2575	4041	1953	4961	6836	4000	5534	5957	4491	1217	512	430	4300	4510	3464	4423	4115	4157
10772	10674	8216	6451	7062	5010	13468	12747	9468	16898	14135	9305	13453	12310	8437	3135	2703	2231	6363	4781	7791	5386	3569	5135	11262	15017	12439	6113	13985	10733	10289	17531	12785	3676	3446	2030	4952	4303	2587	4941	10424	4808	13333	14326	7522	9400	9161	7316	9945	12775	8346	8864	2637	4222	8338	7721	4536	14307	16862	10501	11000	14483	7815	9425	9582	8836	8096	8353	14123	9538	10807	8756	12634	13015	12730	7408	4662	15898	13215	6480	5997	6493	3248	5980	6206	1300	5345	11474	9012	2009	2198	1288	1094	1949	1217	5898	7496	1751	5594	10238	5226	7613	8870	5836	4243	8299	5190	6371	4657	2262	4521	5237	4054	3719	3459	2594	12756	8267	4532	9650	5883	4589	5382	8055	4177	10147	13399	8465	11334	12127	8862	2377	1153	1118	9195	9654	6728	7706	7150	7061
16285	16491	12702	8653	9679	6750	16877	16413	12318	20201	17106	11076	16547	15519	10442	4823	4365	3918	8296	6554	10198	8685	5951	8094	13869	19011	16160	7753	18276	13878	13007	21976	15614	6388	5387	3363	6787	6135	3639	7824	15779	7579	16622	17980	9715	11495	11769	9299	13135	16449	11249	12973	4116	6457	12599	12117	7352	20640	23621	15323	16285	21143	11974	14343	14728	13860	12781	13335	17320	12677	14289	9137	13432	14219	19116	11331	7215	23098	19657	9943	9415	10476	5426	9228	9601	2108	8388	16769	13429	5754	4722	2854	2350	4175	2801	9765	11973	2892	8730	15763	8141	11512	13563	9115	6757	12776	8070	11065	9072	4406	7906	9713	7159	7015	7050	5184	19653	12900	7264	14693	9204	7200	8198	12043	6472	15201	20548	12842	17252	19065	13430	5210	2574	2545	14356	15155	10652	10551	9555	9323
18348	18886	14532	9088	10390	7227	16147	15863	11723	17448	15646	9770	15410	14475	9603	6318	5911	5226	9193	7270	10953	11219	7989	10577	13191	18298	15515	7217	17439	13451	12303	21044	15000	8623	6963	4461	7451	6779	4157	9217	18075	8667	15858	16899	9191	10722	11300	9043	13438	16404	11276	14083	4562	7313	14228	13931	8484	21240	24292	16058	17289	22109	13124	15658	16509	15443	14912	15739	15663	12083	13184	7741	11532	13044	20918	12362	8105	24429	21062	11055	11133	12316	6589	10753	10817	2477	9449	17778	14675	10037	7940	5050	3900	6831	4586	12018	14619	3742	9887	17730	9410	13140	15335	10514	7538	14519	9178	14770	12524	6177	10217	12907	9152	9693	9974	7267	22390	14457	8485	16319	10273	8291	9282	13350	7310	16504	22301	14676	19244	21065	15463	8395	4089	4393	16042	17872	12555	11130	9925	9967
14973	15888	12563	7699	8885	6176	11586	12021	8743	10559	9775	6130	10783	10281	6952	6928	6697	5918	8198	7177	10363	12159	8990	12111	9315	13424	10915	5178	12608	10027	8355	14839	10206	9394	7621	5148	6501	5955	3691	8243	14611	7674	11302	11977	6967	7483	8067	6608	10940	12697	9081	10635	3433	5632	11599	11625	7193	14522	16925	11164	12210	15703	9488	11407	12604	11583	12215	13537	9252	7786	7658	4867	7634	8738	15883	9003	6225	17231	15007	7986	10126	10895	5875	9083	8769	2114	6967	12748	10981	13133	10591	7041	4948	8632	6105	11621	13852	3601	8010	14275	7855	10764	12178	8801	5996	11750	7442	15130	13210	6660	10136	12687	9170	10500	10792	7880	18084	11482	6909	13217	7977	6580	7464	10622	5816	12108	16502	11527	14781	17026	12177	10381	5140	5809	12710	14564	10163	9293	8463	8525
7595	8752	6897	4723	5622	3696	5431	5787	4324	3281	3046	2039	3833	3659	2539	5655	5579	5124	5406	5152	7362	9339	7556	9566	3688	5809	4996	2001	5505	4561	2661	5422	4092	7707	5857	4526	3936	3609	2337	4622	7642	4413	4272	4262	2739	2772	3134	2592	5768	6343	4723	4305	1328	2504	6343	5985	3915	4604	6405	4344	3484	5229	3146	3843	4813	5017	5718	7211	3291	3102	2926	2453	3901	4032	6450	3111	2444	5542	4540	2712	6185	6631	3557	4831	4379	1201	2551	4658	4034	11948	10286	6924	4328	7942	5544	7917	8958	2272	3906	6882	4236	5525	6257	4498	2845	5586	3549	11633	9951	5091	7025	8601	6515	7989	8290	6423	8754	5306	3579	5994	3122	3205	3639	5099	2918	4530	6608	4621	6625	8218	5374	9247	4577	5422	5545	7182	4884	5191	5022	4946
2598	3218	2654	2249	2506	1686	2290	2865	1787	942	998	628	1518	1509	1046	2815	2866	2752	2558	2757	3914	4186	4171	5293	1381	2782	1916	772	2377	1875	865	2158	1406	4047	2774	2572	1794	1753	1004	1859	2996	1749	1599	1760	1266	1298	1336	1215	2729	2983	2420	1889	434	890	2516	2501	1650	1742	2407	1786	1107	1468	948	1526	1783	2032	2389	3004	1311	1322	1331	1068	1637	1755	2498	1082	784	1615	1151	619	2677	2686	1466	2019	1624	442	998	1510	1481	6567	6370	4495	2359	4867	3102	3741	3694	915	1884	2673	1574	2242	2524	1818	1165	2181	1318	6046	4798	2422	3311	3529	3040	4206	4005	3443	3588	1906	1368	2408	1141	1177	1435	2033	1160	1593	2551	1867	2454	3408	2256	5178	2707	3156	1818	2688	1757	2257	2483	2627
