E9B10_1	E9B10_2	E9B10_3	E9B11_1	E9B11_2	E9B11_3	E9B12a_1	E9B12a_2	E9B12a_3	E9B12b_1	E9B12c_1	E9B13a_1	E9B13a_2	E9B13a_3	E9B13b_1	E9B13b_2	E9B13b_3	E9B13c_1	E9B13c_3	E9B14a_1	E9B14a_2	E9B14a_3	E9B14b_1	E9B14b_2	E9B14b_3	E9B14c_1	E9B14c_2	E9B14c_3	E9B1_1	E9B1_2	E9B3_1	E9B3_2	E9B3_3	E9B4_1	E9B4_2	E9B4_3	E9B5a_1	E9B5a_2	E9B5a_3	E9B5b_1	E9B5b_2	E9B5b_3	E9B6_1	E9B6_2	E9B7_1	E9B7_2	E9B8_1	E9B8_2	E9B8_3	E9B9_1	E9B9_2	E9B9_3	E9H1a_1	E9H1b_2	E9H1b_3	E9H1c_1	E9H1c_2	E9H1c_3	E9H2_1	E9H2_2	E9H2_3	E9L1_1	E9L1_2	E9L2_1	E9L2_2	E9L2_3	E9L4_1	E9L4_2	E9L5_1	E9L6_1	E9L6_2	E9N2_2	E9N3_1	E9N3_2	E9N3_3	E9P10_1	E9P10_2	E9P10_3	E9P1_1	E9P1_2	E9P1_3	E9P2_1	E9P2_2	E9P2_3	E9P4_2	E9P5_1	E9P5_2	E9P5_3	E9P6_2	E9P7_1	E9P8_1	E9P8_2	E9P8_3	E9P9_1	E9P9_2	E9P9_3	E9X1_1	E9X1_3	E9X2_1	E9X2_3	E9X3_1	E9X3_2	E9X3_3	E9X4_1	E9X4_2	E9X4_3	E9X5_1	E9X5_2	E9X5_3
805	738	298	1225	2903	212	766	963	749	208	895	2321	2683	777	430	2000	273	508	259	585	384	334	1968	3202	673	1350	1618	451	1581	1792	422	903	287	308	938	324	996	2880	299	823	881	323	259	266	2525	1189	766	1570	278	787	819	341	596	1344	414	333	513	213	1189	1857	364	2778	1193	1472	687	184	477	452	327	313	1361	475	1029	2884	394	848	593	291	816	909	396	1143	978	423	1390	1183	643	250	466	1019	2064	1732	451	940	736	313	663	338	583	308	1560	1379	470	545	1145	245	690	1724	202
1513	1523	571	1867	1679	403	1408	1654	696	367	866	3314	3044	760	890	3581	537	1023	573	1094	714	654	2643	3569	1013	2175	2970	826	2592	2012	1011	1611	541	587	1783	624	2051	2728	485	1588	1789	642	281	449	3292	1994	1679	2083	493	1660	1596	645	945	2014	723	582	755	472	1627	2655	620	3124	1576	1882	1230	355	849	863	694	503	2094	586	1467	3432	615	1559	1133	710	1539	1583	810	2167	2001	836	1541	1865	1355	486	1115	1990	3108	2376	492	1368	1565	578	1310	639	1127	665	2151	2323	416	1172	1759	405	1564	2357	417
2524	2713	1186	2797	2402	714	2741	2335	788	506	1366	4175	3940	1030	1569	5266	1062	2155	1080	2117	1437	1206	3682	4908	1786	3681	4556	1490	3921	3098	1751	2948	1052	987	3386	1126	2209	4329	935	2702	3301	1192	568	718	4510	2836	3166	3486	982	3108	2987	1110	1673	3602	1347	1062	1353	792	2242	3988	909	3975	1835	4037	2263	648	1433	1670	1015	863	3355	648	2228	4723	881	3258	2051	1267	2943	2994	1587	4178	3498	1648	2586	3187	2556	977	1526	3846	3584	3335	533	2377	2701	1181	2328	1253	2112	1226	2104	3521	636	2035	2996	753	2474	4204	767
4469	4851	2103	4500	4560	1330	5142	4215	1071	870	1955	5412	5118	1186	2972	7722	2134	3825	2127	3380	2325	2286	6316	7086	2671	6322	8108	2563	6230	3649	3368	5327	1765	1775	6025	1971	3351	4120	1577	4896	5872	2259	835	1261	5498	4463	5722	5742	1911	5452	5151	1986	2828	6001	2635	1880	2558	1434	3444	5996	1459	5021	2526	5934	4224	1064	2559	3177	2119	1563	4867	987	3183	5888	1078	5740	3918	2038	5608	5416	2560	7559	6172	2996	3463	5020	4819	1870	2652	6725	5846	3876	692	4111	4794	2119	4276	2068	4094	2253	2874	5949	1119	3706	4740	1495	4512	6962	1415
7321	7461	3617	6099	7312	2133	8598	6336	1673	1088	3080	5201	5806	1391	5238	9652	3499	6061	3395	5378	3525	3548	7940	11078	4519	11260	12000	4260	7683	4871	5560	8482	2780	2853	9510	3175	6086	6775	2519	8259	9172	3808	1291	1845	6845	5998	8975	9134	3079	9198	8169	3134	4667	9156	4194	3488	4344	2465	4941	7694	2034	6393	3843	9403	7046	1770	4591	5169	2889	2733	6926	1425	4094	7388	1589	9206	6773	3246	8806	8853	4268	12842	10454	4736	5267	7870	7186	3154	4500	10544	7061	5638	883	6552	7400	3585	7261	3190	6631	3472	3452	7357	1867	6112	8084	2542	6347	11007	2432
13159	13000	6679	9810	12748	3773	14422	10545	2589	1781	4861	5805	6087	1632	9593	16269	5859	11055	5513	7971	5535	5280	9583	13598	5958	15216	15358	5693	10459	6279	10770	14877	5106	4978	16449	5595	8161	10717	4459	14222	15938	6911	2172	3215	9291	9367	16015	14708	5251	14742	14055	5392	7524	15776	7444	6268	7859	4495	7128	11420	3118	9199	5661	15126	11740	3095	7598	8982	5450	4489	10728	1301	4900	7568	2009	15603	12323	5868	14957	14546	7383	21306	17138	8058	8441	13206	12448	5151	8076	17456	10143	7312	1095	11444	13191	6327	13098	5873	12165	6388	5922	10027	3064	10777	13601	4429	10981	17464	4302
17433	16464	9064	11678	14839	4908	17707	12686	3255	2005	5664	5898	5472	1777	13737	19781	8524	15337	8069	8607	5808	5859	9766	12411	5990	14812	12279	5289	12068	6652	14067	19450	7086	6366	18981	7122	9456	11416	5679	16560	19943	9094	2578	3857	10840	11345	20246	17579	7038	17489	15746	6935	8466	20320	9836	7822	9242	5823	8136	12924	3823	10451	5847	17163	12732	3532	9264	11182	5990	5638	12064	1091	5059	7649	2360	20246	16211	7603	19135	17807	9296	25643	20341	9803	10645	17140	15439	6834	10842	21662	10512	7969	1090	14613	17191	8282	16235	7599	14449	8403	7561	11570	4052	13049	15039	5702	14877	21361	5673
20178	18974	10522	12564	17139	5682	19499	14194	3698	2276	5877	5650	4921	1769	16341	22790	10077	18664	9705	7664	5751	5193	7371	9997	4431	10335	8753	3828	11958	6274	16653	22203	8654	6844	21792	7620	9931	11556	6188	18505	22277	10907	2854	4511	11165	12834	22468	18531	7815	18460	16478	7436	9114	23249	11091	8843	10259	6300	8703	14100	4226	10515	5908	17849	13472	3798	9770	12133	7403	5524	12907	702	4844	7378	2427	23027	17980	8878	20341	18524	9856	25988	21955	10132	12570	19582	17438	7919	12675	24387	11560	7834	1056	16413	19363	9418	17946	8431	17414	9434	8329	13273	4612	14550	16021	6395	17035	22984	6482
14656	13272	7855	8515	11516	4000	13651	10026	2832	1388	4016	4473	3793	1473	13060	16692	8398	15242	8269	5497	4191	3832	4881	6605	2990	6133	5333	2473	9857	4501	12168	16192	6906	4201	11997	4777	6416	6170	3916	11300	13941	7221	1810	2745	8326	9475	13962	11784	5095	10214	8417	4374	4973	16107	7478	5366	5846	3943	5829	8663	2905	6783	3065	9463	6705	1931	5718	8389	4040	3453	7080	380	3581	5658	2021	16668	13389	5993	14465	12575	6750	17419	12351	6447	9209	14010	12214	6051	10055	15909	7859	4959	681	10462	13076	6243	11212	5701	11233	6562	6067	9143	3463	8313	9686	4059	12499	15460	4529
7957	7132	4093	4558	5866	2186	6809	5117	1447	838	2147	2614	2220	859	7033	9658	4447	8291	4291	2725	2143	2077	2471	3358	1567	3127	2722	1267	5390	2408	6288	8272	3552	1968	6389	2422	3373	3121	2109	5700	7392	3867	964	1389	4700	5054	7223	6742	2694	6243	5372	2723	2760	8866	3962	2731	3196	2104	3209	5412	1789	3348	1874	5592	3791	1030	2886	4063	2210	1834	3775	283	1995	3805	1146	8495	6507	3231	7442	6155	3754	9689	6557	3758	4605	6931	5564	3151	4973	8878	4676	3112	432	5423	7087	3468	5799	2764	5774	3360	3249	5117	1714	4019	5346	1938	6355	8046	2397
