E9B10_1	E9B10_2	E9B10_3	E9B11_1	E9B11_2	E9B11_3	E9B12a_1	E9B12a_2	E9B12a_3	E9B12b_1	E9B12b_2	E9B12b_3	E9B12c_1	E9B12c_2	E9B12c_3	E9B13a_1	E9B13a_2	E9B13a_3	E9B13b_1	E9B13b_2	E9B13b_3	E9B13c_1	E9B13c_2	E9B13c_3	E9B14a_1	E9B14a_2	E9B14a_3	E9B14b_1	E9B14b_2	E9B14b_3	E9B14c_1	E9B14c_2	E9B14c_3	E9B1_1	E9B1_2	E9B1_3	E9B2_1	E9B2_2	E9B2_3	E9B3_1	E9B3_2	E9B3_3	E9B4_1	E9B4_2	E9B4_3	E9B5a_1	E9B5a_2	E9B5a_3	E9B5b_1	E9B5b_2	E9B5b_3	E9B6_1	E9B6_2	E9B6_3	E9B7_1	E9B7_2	E9B7_3	E9B8_1	E9B8_2	E9B8_3	E9B9_2	E9B9_3	E9H1a_1	E9H1a_2	E9H1a_3	E9H1b_1	E9H1b_2	E9H1c_1	E9H1c_2	E9H1c_3	E9H2_1	E9H2_2	E9H2_3	E9L1_1	E9L1_2	E9L1_3	E9L2_1	E9L2_2	E9L2_3	E9L4_1	E9L4_2	E9L4_3	E9L5_1	E9L5_2	E9L5_3	E9L6_1	E9L6_2	E9L6_3	E9N2_1	E9N2_2	E9N2_3	E9N3_1	E9N3_2	E9N3_3	E9P10_1	E9P10_2	E9P10_3	E9P1_1	E9P1_2	E9P1_3	E9P2_1	E9P2_2	E9P2_3	E9P3_1	E9P3_2	E9P3_3	E9P4_1	E9P4_2	E9P4_3	E9P5_1	E9P5_2	E9P5_3	E9P6_1	E9P6_2	E9P6_3	E9P7_1	E9P7_2	E9P7_3	E9P8_1	E9P8_2	E9P8_3	E9P9_1	E9P9_2	E9P9_3	E9X1_1	E9X1_2	E9X1_3	E9X2_1	E9X2_2	E9X2_3	E9X3_1	E9X3_2	E9X4_1	E9X4_2	E9X4_3	E9X5_1	E9X5_2	E9X5_3
576	588	576	645	351	377	523	533	507	506	265	297	600	489	926	550	522	589	540	773	882	594	674	556	573	403	600	585	373	400	598	433	469	956	563	653	682	554	839	724	443	702	673	496	544	669	264	484	854	453	670	1092	463	714	771	905	945	650	684	855	532	647	710	742	972	909	1281	1039	1048	919	1025	998	1064	685	159	210	823	573	437	725	403	679	884	274	409	947	336	673	528	616	852	1765	1602	1761	741	530	451	880	700	559	883	631	654	911	517	629	1116	583	487	1162	783	513	703	508	435	1046	448	459	655	1076	424	955	649	660	656	464	850	505	680	662	435	285	559	379	478	522	552	421
2113	1771	1885	2130	1428	1378	1917	1649	1847	1591	969	1077	1852	1624	2047	1753	1433	1760	1752	2500	2500	1772	1891	1847	1968	1223	1868	1834	1148	1353	2280	1588	1599	2630	1779	2120	2523	1798	2896	2127	1681	2039	2084	1379	1785	2366	1069	1742	2966	1373	2158	2854	1761	2341	2605	2363	2595	2574	2522	2689	1615	2255	2446	2581	3158	2974	4293	3528	3113	3064	2796	3373	3205	1795	587	956	2531	1845	1798	2398	1198	2263	2682	1052	1548	3776	1353	2302	1698	2030	2693	2311	2579	2799	2780	1717	1629	3407	2328	1826	2973	2263	1774	3250	1553	2040	3092	2060	1605	3026	2201	1746	2686	1642	1588	2978	1631	1657	2798	2279	1537	3647	1943	2360	2017	1889	2585	2059	2048	2525	1484	995	1826	1299	1496	1481	1647	1747
7336	5903	6393	6849	4632	4684	6492	5560	6471	5293	3222	3587	5974	4887	5850	5331	4668	5911	6053	6856	7512	5992	5624	5496	6581	3891	6526	6633	3541	4461	7948	5294	5609	6979	5559	6929	8669	5781	9506	7223	5480	6750	6261	4990	6136	7599	3680	6242	10190	4859	7791	9327	6073	7921	8243	7225	8757	8888	8008	8491	5369	7024	9107	8674	10857	10389	13537	12241	10493	10513	10130	10668	10357	5521	2612	3603	7481	6008	6047	7100	4193	7769	7000	3815	5674	11154	4984	8159	5725	5465	7313	4803	5836	6751	9191	6233	6125	10955	8441	6349	9370	8097	6527	10998	5919	7152	9258	7393	5703	8939	7554	6078	8458	5915	5426	8704	5938	5972	9850	6438	5079	12307	7012	8175	7335	5944	8719	7257	6612	8942	4685	2935	6405	4429	5188	5214	5584	6132
12385	10348	11143	12137	8075	8632	11487	9669	11159	8625	5102	5790	9578	7570	9487	8692	7703	10236	10184	11231	13262	10239	9449	9873	10801	6459	11431	11229	6046	7912	13658	8911	9684	11964	9425	12139	14830	9838	16558	12345	9347	11319	10148	8658	10512	12572	6201	11296	18163	8415	13589	16007	10473	13692	13493	12425	15865	14688	13496	15205	8748	11705	16172	14764	18856	18533	23031	21320	18559	19039	17414	17937	18141	8854	4361	5767	12601	9734	10043	11891	7137	12871	11470	6179	9485	18044	8407	13690	10073	9927	13000	6695	9000	10581	15955	10343	10592	18867	14591	11056	15889	14090	11475	19017	10270	11925	15997	12953	10038	15199	12865	10770	14146	10680	10042	13984	10424	10192	16873	11014	8829	20080	11780	14071	12351	9847	15066	12928	11920	16902	8056	5010	10645	7642	9326	9006	9430	10483
12878	11235	12381	13227	8942	9406	12128	10200	11711	8962	5215	6023	9801	7687	9818	9108	8510	10725	10514	11725	13719	10749	10072	10427	10795	7148	12077	11437	6391	8503	14231	9110	10150	13033	10484	13038	15244	10642	17775	12975	9740	12202	10338	9166	10872	12865	6372	11811	18908	9157	14855	16853	11038	14315	14612	13467	16976	15306	13742	15402	9387	12061	17071	15504	19230	19041	24649	22006	19658	20200	18228	19243	19206	9219	4546	6062	12742	9668	10162	12256	7706	13423	11710	6223	9615	17539	9153	14310	11039	11443	14106	7043	9260	11008	17594	11024	11365	18982	15464	11575	16021	14699	12448	19377	10649	12834	16989	13604	11187	15993	13317	11466	15209	11466	11142	14579	10951	10663	17935	11426	9247	20287	12289	14261	13079	11057	15531	14069	12729	18719	8576	5527	11143	8705	9788	9619	9788	11041
9290	8502	9096	9687	6916	6738	8172	7234	8592	5965	3567	3753	6423	5382	6592	6311	6173	8044	7328	8479	10148	7674	7419	7779	6972	5021	8418	7778	4457	6082	9441	6524	6827	9562	7988	9689	10971	7498	12990	8937	6800	8931	7198	6535	7194	8232	4492	7797	13180	6361	10308	10781	7572	9856	9821	9207	11708	10251	9388	10148	6341	7534	11187	10694	12918	12853	17337	14420	13960	13767	11509	13076	12802	6437	3053	4055	8433	6056	6681	8405	5562	8829	8435	4128	6512	11245	6166	9530	8543	9125	11120	5017	6702	7979	12628	7638	7945	12286	10367	7937	11040	9531	8363	13064	6788	8342	11965	10089	8587	11215	9489	8204	11089	8197	8154	9505	7346	7555	12285	7695	6195	12799	7828	9774	8820	7468	10431	10169	9213	13111	6542	4224	7432	6284	6903	6790	6826	7538
3990	4198	4036	4212	3100	2961	3466	2896	3518	1797	910	904	1904	1364	1910	3144	3344	4232	3298	3897	4661	3880	3936	3864	2269	1875	3051	2518	1670	2229	2948	1927	2002	5021	4211	4838	4693	3301	6013	4121	2935	3744	2119	1979	2134	2752	1608	2765	5403	2629	4136	3700	2511	3354	4041	3770	4746	3228	2916	3110	1579	2051	2626	3017	3467	3405	5256	3477	3569	3760	3581	4828	4661	1921	964	1152	2234	1493	1331	3058	1894	2628	2843	1183	1871	3226	1903	2929	4537	5145	6260	2766	3630	4374	4923	2876	3134	3581	3144	2677	3033	3084	2287	3322	1830	2398	4912	4557	3909	3976	3741	3230	4974	3605	3739	3597	2565	2619	3900	2289	2066	3698	2040	2756	2667	2466	3373	4140	3597	5189	3454	2539	2412	2112	2359	2900	2772	3286
2554	2665	2521	2428	1838	1919	2032	1837	2305	792	368	424	842	638	1066	2440	2659	3160	2265	2627	3410	2579	2920	3186	1143	982	1796	1334	885	1219	1117	772	939	3620	2944	3530	3020	2348	3980	2630	1807	2436	1128	918	1015	1336	673	1700	3209	1840	2563	2253	1448	2012	3004	2598	3367	1801	1424	1683	671	869	918	1006	1373	1722	2489	1394	1552	1731	2203	2767	2881	924	610	690	992	554	500	1727	825	1441	1528	579	954	1428	977	1655	3495	3929	5534	2520	3185	3559	2620	1674	1923	1868	1662	1239	1428	1373	1142	1263	909	1027	3573	2718	2566	2628	2127	2061	3677	2385	2616	2223	1608	1562	2128	1566	1252	1989	1015	1491	1468	1287	1852	2457	2286	3388	2377	1927	1483	1262	1595	1675	1773	1929
1667	1939	1761	1850	1092	1418	1374	1192	1542	433	249	207	551	464	622	1688	1887	2364	1566	1902	2526	2173	1934	2303	722	750	1213	947	581	859	635	570	718	2931	2221	2801	2337	1699	2751	1966	1146	1679	803	610	694	833	463	1004	2083	1261	2002	1379	1051	1436	1924	1951	2268	1231	1079	1194	406	493	470	499	848	1317	1742	835	1053	981	1465	2034	1902	537	447	428	560	312	305	1324	590	946	1039	463	651	926	706	1041	2430	3019	3998	1679	2153	2584	1703	1248	1426	1276	998	804	909	796	877	745	539	631	2702	1821	1907	1841	1405	1580	2757	1731	2064	1489	1072	1108	1453	963	962	1123	687	863	1036	873	1234	1665	1508	2438	1863	1353	1029	893	950	1065	1268	1456
985	1030	959	899	584	707	722	642	825	205	160	77	281	186	320	1019	1008	1218	756	954	1475	1004	935	1124	308	385	708	471	293	384	259	243	386	1434	1098	1466	1112	849	1440	960	598	858	359	304	343	466	266	528	968	673	1061	667	486	728	1033	1039	1204	589	544	645	211	251	263	300	419	622	844	370	459	524	696	924	1036	228	266	213	422	170	146	650	252	490	537	254	423	410	305	554	1091	1488	1864	866	1074	1393	905	622	796	608	472	430	422	436	447	308	301	328	1306	979	1033	877	684	875	1354	859	1040	761	586	555	770	543	556	609	339	422	390	463	657	858	779	1121	793	680	537	408	478	472	690	798
