E3B1_1	E3B1_2	E3B1_3	E3L2_1	E3L2_2	E3L2_3	E3L3_1	E3L3_2	E3L3_3	E3L4_1	E3L4_2	E3L4_3	E3N1_1	E3N1_2	E3N1_3	E3N4_1	E3N4_2	E3N4_3	E3P1a_1	E3P1a_2	E3P3a_1	E3P3a_2	E3P4a_1	E3P4a_2	E3P4a_3	E3P5a_1	E3P5a_2	E3P5a_3	E3P6a_1	E3P6a_2	E3P6a_3
0	0	0	115	59	70	578	222	538	355	181	256	0	0	0	0	0	0	0	0	387	215	66	0	506	193	151	0	280	112	0
178	68	166	664	362	490	2563	1359	2172	1765	938	1319	0	0	0	85	0	0	224	147	1552	1001	270	182	2619	851	588	0	1063	512	0
621	335	478	2118	1098	1711	8622	4993	7944	5995	3293	4653	221	118	144	425	228	331	755	499	3112	2236	721	485	7850	2967	1862	202	3370	1713	168
1260	692	948	4541	2318	3345	14944	8987	12961	10203	5542	7356	764	502	589	1380	777	1186	1393	922	1505	861	1144	683	16830	4874	3065	900	5535	2872	609
836	597	776	3746	2255	2645	8587	5823	8098	5805	2962	4033	1937	1391	1574	3911	2303	3597	1183	758	1183	979	1150	609	17616	2958	1945	2688	3008	1653	1508
808	602	879	4892	3016	3557	8837	6388	8546	5796	2896	3886	2942	2153	2438	5733	3561	5713	1556	938	1842	1520	1450	877	19695	2986	1967	4593	2777	1639	2329
680	500	643	4902	2993	3575	7048	5029	6854	4896	2317	3252	2853	2213	2604	5594	3413	5788	1511	863	1666	1357	1914	1139	13504	2382	1487	4654	2236	1331	2420
226	143	161	2052	1071	1312	2168	1516	2425	1568	659	941	1400	1161	1407	2966	1706	3159	398	197	472	320	308	215	6419	819	477	2467	641	424	1232
110	42	0	1135	610	747	976	667	870	491	236	291	758	633	888	1670	1036	1974	145	111	265	144	200	100	4278	412	193	1451	226	220	760
79	0	0	589	260	357	416	316	434	184	77	133	410	317	524	794	526	1044	75	54	103	94	69	57	1986	234	66	753	103	103	321
