E3A1_1	E3A1_2	E3A1_3	E3A2a_1	E3A2a_2	E3A2b_2	E3A2c_1	E3A2c_2	E3N1_1	E3N1_2	E3N1_3	E3N4_1	E3N4_2	E3N4_3	E3P10b_1	E3P10b_2	E3P10b_3	E3P11b_1	E3P11b_2	E3P11b_3	E3P12b_1	E3P13b_1	E3P13b_2	E3P13b_3	E3P14b_1	E3P14b_2	E3P14b_3	E3P7b_1	E3P8b_1	E3P8b_2	E3P8b_3	E3P9b_1	E3P9b_2
541	409	579	892	700	1190	702	443	0	0	0	0	0	0	146	91	131	156	60	96	67	0	0	0	187	86	0	0	343	247	0	80	78
2532	1932	3273	3838	3485	4536	2714	1915	0	0	0	85	0	0	914	469	885	619	313	404	271	141	48	105	914	343	300	227	1391	1025	80	540	403
8452	7310	10993	15402	13082	17684	9864	7078	221	118	144	425	228	331	2727	1622	2747	2595	1052	1640	787	705	297	481	3350	1497	1468	847	4759	3919	464	1827	1393
16529	14511	21941	27437	24051	27809	20125	14644	764	502	589	1380	777	1186	3758	2216	3641	4399	2162	3201	788	1909	1061	1578	5844	2418	2587	2070	7680	6695	823	3287	2540
15607	13968	20463	21612	18876	20173	20006	14996	1937	1391	1574	3911	2303	3597	2279	1252	2090	2819	1777	2379	678	2572	1709	2324	3882	1404	1674	2693	5198	4483	578	2780	2082
15785	13673	20092	19206	16367	15687	23057	17372	2942	2153	2438	5733	3561	5713	840	400	810	1668	1028	1326	475	1561	913	1167	1252	402	548	3035	2348	2190	583	2675	2098
10832	9107	14116	7362	6588	4347	16461	11839	2853	2213	2604	5594	3413	5788	384	137	391	1062	716	858	187	361	254	216	591	149	271	2165	854	773	469	1368	1059
5212	4398	6907	3066	2611	1386	7331	4979	1400	1161	1407	2966	1706	3159	210	0	122	566	390	418	58	79	77	0	234	105	98	910	364	363	165	680	546
3737	3112	4684	1874	1578	734	4682	3394	758	633	888	1670	1036	1974	114	50	67	403	318	327	43	0	0	0	132	82	0	659	212	228	79	503	340
1852	1506	2356	857	721	341	2308	1721	410	317	524	794	526	1044	57	0	0	247	147	238	0	0	0	0	71	0	53	343	121	118	64	270	193
