E3N1_1	E3N1_2	E3N1_3	E3N4_1	E3N4_2	E3N4_3	E3P15c_1	E3P15c_2	E3P15c_3	E3P16c_1	E3P16c_2	E3P16c_3	E3P17c_1	E3P17c_2	E3P17c_3	E3P18c_1	E3P18c_2	E3P18c_3	E3P19c_1	E3P19c_2	E3P19c_3	E3P20c_1	E3P20c_2	E3P20c_3
0	0	0	0	0	0	620	574	366	608	439	245	399	95	135	76	258	434	1359	1189	1426	0	62	97
0	0	0	85	0	0	2756	2104	1681	2018	1309	1054	1596	613	868	352	920	1868	5182	4690	5785	541	268	584
221	118	144	425	228	331	5761	4516	3819	4465	3331	2779	3329	1657	2068	973	2379	4046	11805	10761	12843	1431	748	1349
764	502	589	1380	777	1186	2660	1815	1687	2859	2475	1962	1467	861	941	623	1067	1801	5731	5035	5874	915	542	897
1937	1391	1574	3911	2303	3597	3102	1908	1909	3310	3245	2422	2275	1371	1520	766	1517	2525	7238	6187	7551	842	645	945
2942	2153	2438	5733	3561	5713	2783	1697	1670	2771	2740	1739	2826	1642	1874	749	1641	2827	6436	5730	6414	254	333	316
2853	2213	2604	5594	3413	5788	828	553	543	2257	1949	1392	1794	888	1107	319	804	1372	3010	2548	2713	127	99	189
1400	1161	1407	2966	1706	3159	304	190	170	1130	843	598	815	430	496	149	284	535	1123	928	1124	0	60	147
758	633	888	1670	1036	1974	190	118	156	784	539	389	550	319	336	97	226	417	700	623	712	0	60	115
410	317	524	794	526	1044	93	65	165	426	243	241	317	188	147	40	112	304	375	298	327	43	0	78
