C38-A_1	C38-A_2	C38-A_3	C38-B_1	C38-B_2	C38-B_3	C38-C_1	C38-C_2	C38-C_3	C38-D_1	C38-D_2	C38-D_3	C38-E_1	C38-E_2	C38-E_3	C38-F_1	C38-F_2	C38-F_3	C38-G_1	C38-G_2	C38-G_3	C38-H_1	C38-H_2	C38-H_3	C38-I_1	C38-I_2	C38-I_3	C38-J-N1_1	C38-J-N1_2	C38-J-N1_3	C38-J-N2_1	C38-J-N2_2	C38-J-N2_3	C38-K_1	C38-K_2	C38-K_3	C38-L_1	C38-L_2	C38-L_3
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	61	56	0	0	0	188	220	178	68	126	124	0	0	0	408	506	343	0	0	0
575	693	605	220	303	249	414	393	331	384	365	357	626	725	667	0	0	0	595	575	460	341	249	318	1168	1317	1054	703	931	848	495	504	397	1404	1619	1244	309	477	283
1887	2102	1925	1071	1356	1073	1152	1133	1031	1248	1184	1107	1550	1772	1719	0	0	0	1188	1176	880	763	630	694	2248	2306	1877	1368	1694	1412	1115	1118	914	811	825	656	590	772	502
2292	2412	2157	1312	1621	1262	1393	1382	1215	1327	1338	1182	1110	1468	1364	0	0	0	720	768	539	472	429	452	1197	1192	974	595	791	583	701	760	540	784	721	618	206	337	199
1698	1803	1601	962	1193	929	1252	1260	1105	1037	1011	951	599	854	735	73	76	68	640	662	503	600	494	505	831	808	638	552	739	528	944	1001	698	523	418	351	277	457	271
663	668	632	452	539	427	740	684	643	583	570	523	322	435	367	336	398	313	310	273	224	497	444	412	250	231	186	299	392	278	900	987	702	363	362	236	317	488	284
125	90	93	324	324	284	204	195	175	258	254	219	125	141	120	784	900	712	62	52	0	271	240	229	117	99	77	77	129	79	503	539	412	200	221	121	245	319	184
0	0	0	239	216	162	51	0	0	0	57	0	0	54	52	1167	1370	1110	0	0	0	103	112	80	162	147	113	57	70	0	100	123	83	81	115	76	71	74	0
0	0	0	144	191	132	0	0	0	0	0	0	0	0	0	1157	1421	1110	0	0	0	56	50	0	155	142	110	54	65	0	0	55	0	59	74	0	0	0	0
0	0	0	112	113	61	0	0	0	0	0	0	0	0	0	916	1059	849	0	0	0	0	0	0	126	118	78	0	54	0	0	0	0	0	50	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	399	485	386	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0
