C38-A_1	C38-A_2	C38-A_3	C38-B_1	C38-B_2	C38-B_3	C38-C_1	C38-C_2	C38-C_3	C38-D_1	C38-D_2	C38-D_3	C38-E_1	C38-E_2	C38-E_3	C38-F_1	C38-F_2	C38-F_3	C38-G_1	C38-G_2	C38-G_3	C38-H_1	C38-H_2	C38-H_3	C38-I_1	C38-I_3	C38-J-N1_1	C38-J-N1_2	C38-J-N1_3	C38-J-N2_1	C38-J-N2_2	C38-J-N2_3	C38-K_1	C38-K_2	C38-K_3	C38-L_1	C38-L_2	C38-L_3
484	246	131	296	219	120	0	0	0	70	63	0	268	183	130	0	0	0	0	0	0	113	179	105	170	54	811	1199	606	157	111	65	86	78	67	235	169	66
1765	1064	615	2276	1916	945	412	354	207	897	793	395	1346	979	641	0	0	0	478	507	175	780	994	503	1847	667	4075	4592	2595	1369	1438	767	1021	1041	764	1308	988	492
4560	2865	1862	2803	2553	1319	1546	1235	740	2546	2050	1074	2612	2004	1223	0	0	0	1438	1446	500	1865	2091	1002	5208	1808	2018	2021	1041	3881	4096	2274	2878	3086	2096	2639	2280	1116
1143	816	527	1680	1374	726	1656	1426	807	499	429	214	381	320	200	115	108	0	922	826	307	282	302	155	3029	1166	2631	2450	1350	2479	2618	1483	2221	2185	1311	626	611	289
1265	1008	645	1521	1305	649	1185	941	545	592	506	219	0	52	0	379	354	181	210	210	86	75	79	0	883	359	573	509	346	481	456	299	520	564	352	131	112	58
1875	1630	1025	1408	1355	671	417	330	188	897	734	337	0	0	0	1227	1194	631	130	147	0	131	162	84	754	297	453	378	302	196	243	110	287	308	229	153	121	62
1656	1389	868	991	850	438	275	229	120	785	642	287	87	67	54	2177	2091	1166	195	232	80	215	258	146	1137	409	637	564	421	281	328	153	382	444	338	227	189	122
660	550	344	760	731	366	231	199	112	401	363	149	75	73	0	2337	2359	1341	187	237	80	199	274	149	1126	412	572	577	377	277	330	160	369	479	341	194	212	134
189	172	125	325	404	159	134	105	67	105	117	60	0	0	0	1337	1411	790	96	113	0	100	167	99	520	188	242	272	176	133	162	83	152	215	194	76	126	76
0	0	0	85	95	0	0	0	0	0	0	0	0	0	0	311	357	206	0	0	0	0	0	0	96	53	0	75	0	0	0	0	0	70	54	0	0	0
