C38-A_3	C38-B_1	C38-B_2	C38-B_3	C38-C_2	C38-C_3	C38-D_1	C38-G_1	C38-G_2	C38-G_3	C38-H_1	C38-H_2	C38-H_3	C38-I_1	C38-I_2	C38-I_3	C38-J-N1_1	C38-J-N1_2	C38-J-N1_3	C38-J-N2_1	C38-J-N2_3	C38-K_2	C38-K_3	C38-L_2	C38-L_3
468	436	505	868	132	307	583	1254	151	734	2542	1478	1477	153	0	676	1138	210	1206	94	468	2347	926	151	861
0	943	1400	1989	298	701	1450	4619	1218	3348	6925	4241	5337	382	87	1907	3674	795	3441	0	988	6824	0	1112	2666
1436	2235	1931	3896	378	1382	2772	7060	1085	3593	8527	3987	4130	883	145	3966	8295	1717	8407	462	1836	10081	4546	1005	4700
3015	6212	5935	11141	971	2961	8443	7786	1338	5693	1914	997	1253	2568	513	10578	15375	3662	15288	990	4360	11818	5581	637	2842
6635	10554	10070	17177	2567	7837	15049	2957	471	1470	811	145	293	4058	1050	15965	13260	2704	12950	2471	8281	8158	4354	266	2741
9590	11999	11742	19064	5191	12030	16881	2028	237	682	299	0	0	4404	1266	17114	11382	2300	9691	3641	11044	4326	2751	907	2007
10027	7207	7151	10999	5815	14022	11885	2375	348	742	501	144	164	3386	1056	10720	7591	1416	6881	3103	11053	1369	444	106	786
8503	2504	2745	3296	4308	9259	4499	2982	495	1027	712	228	362	1123	502	4045	2559	538	2782	2070	6570	850	237	249	646
4730	620	670	857	1742	3195	1296	2489	390	909	782	157	369	351	104	1520	695	299	936	837	3125	383	0	233	383
1605	214	201	280	345	765	306	2561	198	819	609	129	231	84	0	426	202	0	355	505	1783	169	0	221	208
