C38-A_1	C38-A_2	C38-A_3	C38-B_1	C38-B_2	C38-B_3	C38-C_1	C38-C_2	C38-C_3	C38-D_1	C38-D_2	C38-D_3	C38-E_1	C38-E_2	C38-E_3	C38-F_1	C38-F_2	C38-F_3	C38-G_1	C38-G_2	C38-G_3	C38-H_1	C38-H_2	C38-H_3	C38-I_1	C38-I_2	C38-I_3	C38-J-N1_1	C38-J-N1_2	C38-J-N1_3	C38-J-N2_1	C38-J-N2_2	C38-J-N2_3	C38-K_1	C38-K_2	C38-K_3	C38-L_1	C38-L_2	C38-L_3
269	373	166	1309	2030	854	629	595	364	610	842	348	1918	4182	1981	66	57	0	439	432	345	331	255	249	872	941	722	808	1395	762	1096	1520	637	525	547	722	1028	711	807
781	1137	500	3609	5458	2762	3293	3165	2081	3207	4009	2233	3471	7071	3856	90	88	66	1516	1364	1361	1370	1043	1020	3103	4203	2598	3034	4985	2557	3881	5581	2577	2221	2393	2337	4472	4122	3509
3040	4970	2512	5801	9033	4178	8707	9140	5906	8790	11049	6247	4648	9228	4243	66	105	90	4134	3586	3331	4027	3152	2898	7871	9630	6985	8988	13614	6815	8727	14491	6437	3375	4255	3716	4089	3281	3654
6953	11251	5841	6784	9952	4306	8215	7181	4587	11968	14348	8532	725	1336	775	127	73	99	2764	2183	2129	3510	2151	1632	4284	7255	4107	5983	6362	3969	5241	8169	3854	2727	3713	2927	3038	2972	3097
8651	13375	6691	2104	2980	1291	2984	2297	1455	3868	5251	2838	60	0	0	101	0	96	492	321	358	684	384	298	944	1166	648	974	1027	717	731	1275	566	2480	2199	2112	343	334	390
3329	5146	2301	97	144	177	602	287	170	854	1236	485	0	0	0	91	108	91	0	0	0	0	52	87	0	73	0	0	0	0	0	0	0	314	80	77	0	0	0
967	1088	520	0	0	61	72	99	94	215	285	54	0	0	0	212	174	191	0	0	0	0	71	63	92	127	0	68	0	0	0	0	0	60	53	0	74	0	0
286	265	158	95	130	0	50	140	78	0	154	0	0	0	0	392	382	479	121	63	61	59	70	0	198	194	78	178	106	103	0	70	51	126	127	58	0	0	0
228	153	111	173	226	64	134	166	81	59	93	0	67	54	50	972	741	980	136	90	79	117	94	57	314	339	177	321	162	102	52	151	81	232	150	96	0	0	0
317	209	130	393	422	138	257	237	114	113	173	0	113	91	60	1926	1580	2216	102	147	124	186	107	127	655	573	329	376	278	282	113	310	113	325	260	182	97	91	66
486	339	219	611	876	259	494	504	198	203	209	96	192	115	103	3669	3573	4702	167	215	181	340	162	223	1161	1230	652	489	433	595	260	573	229	668	488	409	163	238	130
752	511	453	902	1371	446	808	829	321	349	304	224	372	239	204	5405	5271	6921	287	332	285	604	275	326	1668	1783	974	631	599	924	458	919	382	1019	734	677	232	494	148
960	738	652	899	1684	617	981	1070	484	559	501	425	602	444	437	5702	5558	6693	431	409	350	743	315	477	1909	1939	1149	739	637	1013	604	1125	627	1232	782	877	322	671	220
709	752	529	634	1476	667	945	821	604	527	545	476	482	603	615	3918	3761	4546	354	451	539	552	375	523	1511	1433	985	675	632	569	566	1074	597	1168	712	834	388	478	343
