C38-A_1	C38-A_2	C38-B_1	C38-B_2	C38-B_3	C38-C_1	C38-C_2	C38-C_3	C38-D_1	C38-D_2	C38-D_3	C38-E_1	C38-E_2	C38-E_3	C38-F_1	C38-F_2	C38-F_3	C38-G_1	C38-G_2	C38-G_3	C38-H_1	C38-H_2	C38-H_3	C38-I_1	C38-I_2	C38-I_3	C38-J-N1_1	C38-J-N1_2	C38-J-N1_3	C38-J-N2_1	C38-J-N2_2	C38-J-N2_3	C38-K_1	C38-K_2	C38-K_3	C38-L_1	C38-L_2	C38-L_3
3748	3962	4204	7343	3858	7455	4056	4778	2292	2060	512	1429	2755	2686	113	57	0	1187	1502	509	1601	1127	769	274	126	237	706	297	273	1156	1591	1008	618	545	889	1616	1676	1557
5555	7715	7483	11593	5497	7649	4990	4109	5824	5475	2430	5859	9789	7333	712	423	332	4398	3399	2605	6715	4031	2649	3727	4178	2633	4433	4556	3143	7442	9522	5971	4733	4962	3864	7589	5220	5377
6812	7918	6005	9149	4229	1718	1218	929	5790	6609	3844	4316	5722	4790	2653	2666	2360	3314	2169	1608	2922	1883	1856	7482	8297	5793	6953	6829	5454	1909	2610	1589	8832	7522	6202	2087	2603	1894
6377	7167	2649	2971	1569	2155	1956	1297	6052	6471	4115	2670	3519	3129	4887	5175	4672	2778	2728	1972	2392	2200	1757	4873	4947	4396	4134	5279	2713	3345	3908	2574	2949	2903	1701	2468	2222	2620
1358	2056	1558	1621	711	1714	1427	921	2963	2731	2020	754	827	685	4729	4948	4555	1430	1119	746	1397	1076	467	2198	2610	2052	2700	3393	1680	3105	3265	2428	1616	2525	817	1276	1334	2270
104	118	283	235	141	331	170	126	354	306	476	0	0	0	1233	1253	1044	106	94	70	135	87	0	403	377	231	184	426	225	669	458	226	162	138	50	72	160	0
59	85	187	199	129	80	84	0	0	0	0	93	0	0	543	657	521	153	74	66	165	94	0	316	338	171	205	87	69	252	146	50	186	187	93	58	130	0
82	143	266	418	157	113	111	54	0	0	0	134	84	0	985	1214	826	187	101	176	266	171	137	345	479	236	143	221	96	318	148	103	372	305	178	73	279	85
131	163	333	553	167	177	160	75	51	134	0	208	69	0	1389	1680	1313	203	159	203	358	239	146	518	542	250	192	300	149	299	209	149	496	390	250	129	419	131
112	203	418	586	172	172	193	74	0	136	68	235	98	63	1589	1922	1547	216	183	222	400	251	182	603	624	282	249	296	170	327	285	187	557	452	264	114	471	176
72	162	300	442	128	119	144	73	0	165	56	197	68	62	1219	1400	1111	141	183	110	299	194	107	446	473	246	169	240	170	284	200	165	375	306	167	76	335	166
0	87	116	169	81	56	62	57	0	105	0	101	0	0	485	590	487	72	90	0	131	103	63	211	210	112	75	93	103	167	77	50	150	187	69	0	119	64
