C39-1-A_1	C39-1-A_2	C39-1-A_3	C39-1-B-T1_1	C39-1-B-T1_2	C39-1-B-T1_3	C39-1-C-J_1	C39-1-C-J_2	C39-1-C-J_3	C39-1-H-Sec_1	C39-1-H-Sec_2	C39-1-H-Sec_3	C39-1-I-T1_1	C39-1-I-T1_2	C39-1-I-T1_3	C39-2-E_1	C39-2-E_2	C39-2-E_3	C39-2-I-J_1	C39-2-I-J_2	C39-2-I-J_3
1325	2283	1197	1583	1705	1902	656	914	829	793	1006	964	1025	1282	931	1036	951	799	810	996	944
3275	5529	3239	3577	3956	4625	1616	2151	1869	1859	2449	2189	1986	2614	2508	1984	2043	1742	2055	2757	2372
4681	8253	4823	6467	6689	7201	2307	2974	2505	2682	3423	3036	3591	4792	3723	3522	3633	2883	3025	4007	3433
4638	8040	4331	7569	7629	8093	2243	2874	2329	2486	3353	2933	4168	5421	4051	4248	4023	3096	3054	3833	3216
2929	5287	2343	6189	6542	6413	1365	1807	1391	1506	2100	1741	3474	4359	3191	3416	3333	2403	2119	2619	2148
1226	2232	534	3905	4201	4026	596	751	616	647	876	515	2282	2931	2034	2479	2280	1691	1222	1418	1021
805	1132	537	1939	2100	2053	395	556	340	431	524	437	1323	1693	1200	2131	1977	1414	744	1059	856
813	1441	662	1444	1524	1607	378	588	418	454	575	457	936	1271	837	1577	1831	1032	757	934	834
661	1498	656	1282	1482	1636	345	448	351	326	476	405	713	811	609	1131	1049	752	498	700	652
389	976	401	935	1084	1182	198	239	245	224	336	278	443	645	447	585	611	375	245	447	324
