C46-A_1	C46-A_2	C46-A_3	C46-B_2	C46-B_3	C46-C_1	C46-C_2	C46-C_3	C46-D_1	C46-D_2	C46-D_3	C46-E-T1_1	C46-E-T1_2	C46-E-T1_3	C46-G_1	C46-G_2	C46-G_3	C46-H_1	C46-I_1	C46-I_2	C46-I_3	C46-J_1	C46-J_2	C46-J_3
1938	2106	1807	2430	2950	1880	1552	1702	2025	1553	1170	987	1486	1573	2133	963	1720	185	369	212	476	825	2314	1110
4162	3632	3869	4746	5780	3414	3008	3170	3808	3232	2378	2192	3057	2989	3901	1979	3140	416	607	392	769	1587	4476	2467
9035	8276	7780	10271	11307	7490	6089	6459	7707	6254	4932	4822	6238	6488	7604	4103	5796	741	1334	705	1302	3579	9276	5120
12743	11608	10863	14001	15398	10659	8493	9437	10867	9073	7090	6749	8857	9040	9823	5566	7452	913	2058	950	1636	5500	12902	7188
13760	12020	11485	14578	15592	11407	9551	10365	11594	9956	7521	7474	9402	9427	9278	5669	7404	939	2105	973	1605	6050	13561	7401
9937	10008	9080	10578	10998	8843	7520	8212	8482	7826	6033	5442	7499	7504	6505	4199	5133	642	1679	726	1176	5084	10107	5577
5319	4411	4635	4962	5355	4946	4265	4903	4104	4348	3263	2489	3782	3956	2415	1934	2213	308	721	305	540	2680	4756	2749
2188	2448	1882	2404	2064	2178	1576	1720	1589	1625	1238	1297	1700	1627	1380	952	1005	137	0	136	260	1092	1962	1138
1975	1719	1587	2306	2212	1573	1429	1227	1715	1207	1000	876	1400	1296	1615	816	964	120	0	85	172	780	1813	1257
2784	1999	1948	2461	2662	2018	1511	1520	1978	1474	1259	1200	1524	1472	1642	970	1236	107	123	93	242	1006	2296	1423
2287	2056	1787	2110	2259	1679	1433	1456	1647	1398	1036	988	1256	1178	1366	725	901	97	163	111	198	808	1717	1242
1314	1146	986	1360	1126	1049	785	890	998	885	582	671	818	759	753	379	428	52	86	52	118	548	945	635
