C51-A_1	C51-A_2	C51-A_3	C51-B_1	C51-B_2	C51-B_3	C51-C--firstR-_1	C51-C--firstR-_2	C51-C--firstR-_3	C51-C--macro-_1	C51-C--macro-_2	C51-D_1	C51-D_2	C51-D_3	C51-E_1	C51-F_1	C51-F_2	C51-F_3	C51-G_1	C51-G_3	C51-H_1	C51-H_2	C51-H_3
6733	5506	4878	865	442	206	3554	2179	876	489	767	2401	2145	1742	221	3448	1780	2367	236	451	1209	1611	1525
8819	7149	6360	1496	980	486	5454	3644	1519	867	911	3330	2893	2242	316	6497	3533	4702	402	644	1814	2302	1987
8822	6779	6275	2947	1917	1141	6537	4467	1924	1014	845	3592	3092	2326	369	10710	6175	7739	433	800	1928	2404	2017
8188	6182	5624	4062	2667	1688	6691	4600	2099	1034	680	3445	2596	1960	415	13535	7737	9391	434	883	1809	2452	1939
6630	4679	4622	4125	2838	1814	5745	3927	1846	828	424	2915	2136	1615	342	12691	7498	8978	376	744	1559	2057	1629
4210	2881	2912	3223	2158	1401	3389	2349	1187	438	360	1856	1296	962	224	8331	5063	5893	231	481	1088	1168	1026
2474	1470	1744	1756	1014	712	1983	1122	483	133	195	1035	723	585	77	2803	1969	2493	83	225	561	592	666
1600	1259	1116	839	418	308	1069	765	251	0	102	729	498	307	64	1904	1208	1166	75	146	305	418	372
1553	1003	1012	518	265	142	1173	751	210	0	90	476	350	250	60	2241	1124	1440	62	117	258	271	329
1272	795	831	682	364	227	1079	725	246	68	64	528	328	235	59	2618	1319	1777	0	126	211	300	310
898	566	576	552	302	182	737	505	149	0	0	394	223	155	54	2118	1062	1385	0	87	202	185	222
