C51-A_3	C51-B_1	C51-B_3	C51-C--firstR-_3	C51-C--macro-_1	C51-C--macro-_2	C51-C--macro-_3	C51-D_1	C51-D_3	C51-E_1	C51-E_2	C51-F_1	C51-F_2	C51-F_3	C51-G_1	C51-G_2	C51-G_3	C51-H_1	C51-H_2	C51-H_3
1232	1909	1820	1019	360	507	221	717	519	861	960	2317	1914	1423	896	464	167	1591	1548	640
3754	4874	4246	3053	1257	1642	747	2096	1630	2066	2521	5216	4333	3335	2128	1272	462	3941	3895	1648
6086	7034	5739	5344	2237	2852	1258	3538	2566	2827	3683	6864	5654	4163	3113	1807	667	5650	5582	2403
6479	5889	4716	6020	2571	3352	1455	3812	2706	2755	3530	5563	4574	3286	2984	1753	660	5665	5520	2244
4137	1928	1590	3827	1767	2351	1004	2310	1629	1446	1930	1760	1515	1031	1494	971	335	3025	2902	1109
1090	463	449	966	440	623	255	607	399	339	422	508	438	274	332	242	60	766	688	228
280	666	573	244	0	84	0	154	117	142	216	692	642	416	140	117	0	378	353	122
279	1135	980	200	0	0	0	166	141	184	255	1160	1087	730	218	144	0	440	501	177
348	1505	1352	263	0	0	0	208	150	203	314	1539	1478	1021	255	174	55	536	625	240
345	1423	1350	242	0	0	0	180	160	174	256	1482	1421	985	239	156	52	506	579	212
222	866	853	187	0	0	0	108	103	88	181	915	895	622	121	94	0	299	350	137
