C53-A_1	C53-A_2	C53-A_3	C53-B_1	C53-B_2	C53-B_3	C53-C_1	C53-C_2	C53-C_3	C53-E_1	C53-E_2	C53-E_3	C53-F_1	C53-F_2	C53-F_3	C53-G_1	C53-G_2	C53-G_3	C53-H_1	C53-H_2	C53-H_3	C53-I_1	C53-I_2	C53-I_3	C53-I_Nod_1	C53-I_Nod_2	C53-I_Nod_3	C53-J_1	C53-J_2	C53-J_3
1266	868	803	2098	1602	1277	1261	1207	1029	245	794	520	2626	1911	1641	1293	1011	624	687	1023	548	1437	1505	962	1629	1444	1183	1342	1239	936
2963	2209	1819	5164	3978	3014	3466	3226	2756	573	1959	1104	5978	4670	3795	2700	2429	1342	1747	2435	1181	3399	3375	2177	3505	3091	2502	3377	3339	2195
6027	4598	4075	11471	8477	7195	7272	6700	5537	1446	3796	2043	10808	8856	6627	5407	4590	2783	3443	4935	2347	8190	8017	4370	7899	6516	5365	6580	6401	4572
9249	7336	6383	17487	12838	11663	11292	10269	8695	1951	4532	2864	9517	7657	6011	9127	8050	5579	5292	7536	3579	12119	11614	7332	12141	10000	9342	9934	9335	7399
7769	6364	5710	14192	10166	10295	9829	8162	7356	1081	4185	2167	8059	5925	5804	11592	10109	7763	4861	6885	4734	10306	9721	7504	12212	10026	10283	8401	7120	7027
12755	10423	9556	19329	13755	14857	13337	11109	10645	1354	5940	3196	12538	9090	9542	16406	14530	11365	7919	11478	8440	13590	12592	10641	16534	13190	14452	13435	10666	11991
17442	13760	12917	18897	13296	13468	15484	12549	13081	1620	6994	3927	16749	11686	12588	16344	13502	10631	10395	15480	11153	13391	11869	10127	16302	13313	14475	18697	14950	16456
12956	9996	9663	4733	3405	3429	11132	9218	9716	1171	4983	2718	11747	7929	8978	6358	5111	4280	8093	12326	9440	4232	3563	3065	5784	4664	5249	14931	12250	13235
3339	2639	2380	1509	1201	1048	3043	3284	2876	520	1474	1093	3589	2282	2536	1933	1274	1043	1719	3282	2535	1345	1204	1086	2033	1539	1460	3628	3064	3330
856	715	666	385	366	266	984	892	1002	142	503	417	1057	651	684	435	235	250	561	1058	745	305	325	285	645	498	369	1212	1275	1104
